Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,17.88,18.3,17.7,18.27,12.1157,28723000
2009-01-05,18.4,18.48,17.88,18.16,12.0427,42162400
2009-01-06,18.32,18.44,17.71,17.8,11.804,51218600
2009-01-07,17.68,17.82,17.4,17.49,11.5984,39266400
2009-01-08,17.4,17.69,17.33,17.65,11.7045,33265300
2009-01-09,17.72,17.82,17.35,17.44,11.5653,36083800
2009-01-12,17.67,17.69,17.22,17.36,11.5122,33860600
2009-01-13,17.4,17.61,17.28,17.59,11.6647,43361200
2009-01-14,17.29,17.44,17,17.24,11.4326,45571600
2009-01-15,17.22,17.39,16.52,17.39,11.5321,80744400
2009-01-16,17.77,17.77,17.17,17.5,11.6051,58757400
2009-01-20,17.24,17.83,17.12,17.2,11.4061,52784800
2009-01-21,17.31,17.52,16.9,17.48,11.5918,43780500
2009-01-22,17.27,17.34,17.02,17.21,11.4128,46722400
2009-01-23,16.76,17.52,16.55,17.45,11.5719,108522000
2009-01-26,16.47,16.53,15.29,15.65,10.3782,210411100
2009-01-27,15.61,16.02,15.55,15.82,10.491,111621400
2009-01-28,15.95,16,15.01,15.44,10.239,108822500
2009-01-29,15.29,15.48,15.02,15.12,10.0268,67661800
2009-01-30,15.09,15.12,14.5,14.58,9.6687,68724200
2009-02-02,14.63,15.16,14.52,14.89,9.8743,69191000
2009-02-03,14.4,15.38,14.4,15.2,10.0798,63391600
2009-02-04,15.04,15.17,14.53,14.57,9.8698,65648300
2009-02-05,14.54,14.76,14.33,14.5,9.8224,77128600
2009-02-06,14.54,15.02,14.45,14.84,10.0527,63818700
2009-02-09,15.12,15.12,14.61,14.71,9.9647,47810700
2009-02-10,13.74,14.71,13.74,14.07,9.5311,75988000
2009-02-11,14.18,14.4,14.12,14.38,9.7411,50432200
2009-02-12,14.3,14.68,14.1,14.65,9.924,65199700
2009-02-13,14.52,14.94,14.5,14.58,9.8766,58061500
2009-02-17,14.28,14.42,14.05,14.25,9.6531,63395100
2009-02-18,14.11,14.4,14.06,14.16,9.5921,48398100
2009-02-19,14.3,14.43,13.98,14.03,9.504,41345400
2009-02-20,13.83,14.03,13.6,13.71,9.2873,62644400
2009-02-23,13.7,13.75,13.25,13.27,8.9892,68304000
2009-02-24,13.37,13.66,13.13,13.59,9.206,65565100
2009-02-25,13.43,13.43,12.9,13.08,8.8605,74715700
2009-02-26,13.21,13.37,12.68,12.7,8.6031,74122700
2009-02-27,12.47,12.58,12.28,12.31,8.3389,100253800
2009-03-02,12.08,12.17,11.62,11.66,7.8986,105982200
2009-03-03,11.84,12.22,11.68,11.87,8.0408,83766000
2009-03-04,12.11,12.7,11.93,12.5,8.4676,90511400
2009-03-05,12.37,12.75,12.25,12.67,8.5828,101753000
2009-03-06,12.66,12.75,12.36,12.73,8.6234,83970600
2009-03-09,12.38,12.92,12.38,12.63,8.5557,70467500
2009-03-10,12.7,13.13,12.59,13.09,8.8673,95924000
2009-03-11,13.1,13.19,12.73,12.79,8.664,79747200
2009-03-12,13.25,14.14,12.94,14.02,9.4973,112301000
2009-03-13,13.96,14.72,13.84,14.54,9.8495,83151800
2009-03-16,14.63,14.99,14.13,14.15,9.5853,84977900
2009-03-17,14.11,14.29,13.88,14.26,9.6598,53999500
2009-03-18,14.21,14.58,13.72,14.25,9.6531,55577700
2009-03-19,14.26,14.26,13.41,13.7,9.2805,67626100
2009-03-20,13.7,13.95,13.5,13.63,9.2331,71560800
2009-03-23,13.95,14.08,13.67,14.02,9.4973,65999300
2009-03-24,13.91,14.16,13.84,13.92,9.4295,42698000
2009-03-25,13.98,14.6,13.89,14.26,9.6598,68954200
2009-03-26,14.28,14.62,14.2,14.38,9.7411,55371100
2009-03-27,14.22,14.36,13.95,14.04,9.5108,46476000
2009-03-30,13.88,14.04,13.55,13.7,9.2805,59772100
2009-03-31,13.8,13.87,13.56,13.62,9.2263,57290700
2009-04-01,13.59,14.04,13.43,13.99,9.4769,64302200
2009-04-02,14.06,14.1,13.72,13.77,9.3279,60433000
2009-04-03,13.59,13.77,13.45,13.55,9.1789,52919400
2009-04-06,13.56,14.19,13.54,13.71,9.2873,59575800
2009-04-07,13.62,13.71,13.46,13.51,9.1518,50073700
2009-04-08,13.54,13.71,13.36,13.48,9.1315,41968500
2009-04-09,13.62,13.72,13.35,13.55,9.1789,55024300
2009-04-13,13.53,13.72,13.42,13.48,9.1315,41797200
2009-04-14,13.52,13.54,13.21,13.34,9.0366,58021300
2009-04-15,13.34,13.94,13.32,13.86,9.3889,58961000
2009-04-16,13.93,13.99,13.56,13.9,9.416,52162300
2009-04-17,14.01,14.27,13.9,14.16,9.5921,72734400
2009-04-20,13.97,14.02,13.56,13.59,9.206,52323000
