Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,22.89,23.86,21.15,23.6,17.3341,2876113
2009-01-05,23.28,23.99,22.71,23.08,16.9524,2389723
2009-01-06,23.4,24.8,22.97,24.48,17.9807,3214955
2009-01-07,23.79,23.79,21.62,21.83,16.0341,3066969
2009-01-08,21.66,22.3,21.06,21.9,16.0855,2937918
2009-01-09,21.98,22.55,20.74,20.94,15.3805,2407818
2009-01-12,20.87,20.87,18.27,18.55,13.6251,4473941
2009-01-13,18.26,19.85,18.15,19.1,14.0289,4140214
2009-01-14,18.58,18.62,16.39,16.94,12.4424,3946869
2009-01-15,16.89,17.35,15.44,16.4,12.0459,4589232
2009-01-16,17.05,17.68,15.19,16.19,11.8913,4132293
2009-01-20,16.02,16.17,13.48,13.95,10.2464,6105121
2009-01-21,15.21,16.39,14.36,16.29,11.9648,6277395
2009-01-22,15.59,15.9,14.03,14.91,10.9515,5918950
2009-01-23,14.17,15.99,13.59,15.7,11.5318,4323491
2009-01-26,16.12,16.89,14.96,15.48,11.3703,3900908
2009-01-27,15.76,16.56,15.31,16.49,12.1117,3243990
2009-01-28,17.9,20.7,17.5,20.48,15.0428,6329770
2009-01-29,19.79,19.79,17.45,17.84,13.1036,4439046
2009-01-30,18.25,18.52,16.43,16.59,12.1852,3690644
2009-02-02,16.01,17.23,15.81,17.03,12.5082,3219974
2009-02-03,17.39,17.39,15.05,16.64,12.2219,4008148
2009-02-04,16.75,17.66,15.91,16.19,11.8913,3009338
2009-02-05,16.36,17.86,15.63,16.62,12.2074,5030361
2009-02-06,16.65,17.5,15.91,16.83,12.3616,5144861
2009-02-09,17.55,18.83,16.9,17.03,12.5082,7732914
2009-02-10,12.95,13.66,11.5,11.99,8.8068,22830303
2009-02-11,11.94,12.44,11,11.66,8.564,6467192
2009-02-12,11.06,12.15,10.46,12.04,8.8432,6583500
2009-02-13,11.84,12,11.32,11.64,8.5495,4303039
2009-02-17,11.32,11.32,10.5,10.82,7.9472,6389974
2009-02-18,11.05,11.19,10.32,10.55,7.7489,5365156
2009-02-19,11.01,11.67,10.34,10.51,7.7199,11783210
2009-02-20,10,10.93,9.16,10.52,7.727,9469128
2009-02-23,10.8,11.1,9.3,9.34,6.8604,9025886
2009-02-24,9.54,11.11,9.15,11.07,8.131,8563593
2009-02-25,10.95,10.95,9.48,10.33,7.5873,8498365
2009-02-26,10.57,11.43,10.27,10.59,7.7781,5718454
2009-02-27,9,9.44,7.75,7.99,5.8686,15434048
2009-03-02,7.7,8,7.27,7.3,5.3618,7684139
2009-03-03,7.54,7.77,6.7,6.86,5.0388,8712162
2009-03-04,7.24,7.82,6.015,7.31,5.3692,10293739
2009-03-05,6.8,7.12,5.95,6.38,4.6861,8529850
2009-03-06,6.5,6.74,5.66,6.08,4.4659,7015128
2009-03-09,5.73,6.49,5.41,5.88,4.3187,6252003
2009-03-10,6.33,7.35,5.74,7.27,5.3398,9066508
2009-03-11,8.11,8.15,6.85,7.53,5.5308,7068508
2009-03-12,7.49,8.43,6.96,8.2,6.0227,8291559
2009-03-13,8.31,8.78,7.49,7.77,5.7073,9266842
