Date,Open,High,Low,Close,Adjusted_close,Volume
2012-04-20,16.85,17.11,13.25,14.08,14.08,7461914
2012-04-23,13.98,13.9899,13.52,13.75,13.75,284878
2012-04-24,14.1,14.14,13.58,13.78,13.78,217840
2012-04-25,13.85,13.98,13.62,13.82,13.82,262222
2012-04-26,13.69,13.84,13.2,13.59,13.59,95509
2012-04-27,13.64,13.64,13.03,13.13,13.13,251426
2012-04-30,13,13.18,13,13.1,13.1,138546
2012-05-01,13.14,13.515,13.1,13.1,13.1,62669
2012-05-02,12.93,13.32,12.9,13.15,13.15,73735
2012-05-03,13.19,13.38,13.05,13.175,13.175,80484
2012-05-04,13.02,13.82,13.02,13.51,13.51,79509
2012-05-07,13.36,14.37,13.3,14.22,14.22,149534
2012-05-08,14.72,14.72,14.098,14.49,14.49,114090
2012-05-09,14.2,14.55,13.59,13.84,13.84,58357
2012-05-10,13.95,14.19,13.65,13.77,13.77,63490
2012-05-11,13.63,14.07,13.5002,13.59,13.59,35871
2012-05-14,13.51,14.07,13.4,13.54,13.54,56776
2012-05-15,13.95,14.9,13.75,14.34,14.34,160360
2012-05-16,14.29,14.82,13.95,14.09,14.09,243925
2012-05-17,13.84,13.84,13.038,13.42,13.42,46118
2012-05-18,13.17,13.94,12.95,13.1,13.1,128660
2012-05-21,13,13.12,12.95,13,13,32921
2012-05-22,12.95,13.44,12.94,13.07,13.07,32125
2012-05-23,12.8,13.05,12.0828,12.92,12.92,82173
2012-05-24,12.98,12.98,12.3,12.45,12.45,26392
2012-05-25,12.49,12.655,12.29,12.58,12.58,262769
2012-05-29,13.56,14.91,13.34,13.76,13.76,173040
2012-05-30,13.6,14.56,13.53,13.84,13.84,374239
2012-05-31,13.77,14.51,13.19,14.27,14.27,33847
2012-06-01,13.6801,13.6801,12.37,12.48,12.48,90418
2012-06-04,12.49,12.86,12.255,12.66,12.66,112527
2012-06-05,12.64,13.24,12.42,13.17,13.17,155597
2012-06-06,13.25,14.38,13.24,14.32,14.32,61113
2012-06-07,14.42,14.75,13.7179,14.48,14.48,68277
2012-06-08,14.31,14.8,14.31,14.71,14.71,64946
2012-06-11,14.78,14.79,13.83,14.04,14.04,149432
2012-06-12,14,14.58,13.83,14.17,14.17,28093
2012-06-13,14.18,14.65,14.17,14.56,14.56,34601
2012-06-14,14.56,14.82,14.31,14.71,14.71,53034
2012-06-15,14.68,14.83,14.08,14.67,14.67,74400
2012-06-18,14.68,14.79,14.46,14.6,14.6,207978
2012-06-19,14.64,15.15,14.42,15.14,15.14,59744
2012-06-20,15.12,15.91,14.5901,15.13,15.13,99001
2012-06-21,15.24,15.74,15.13,15.4,15.4,60511
2012-06-22,15.52,15.52,14.6965,15.17,15.17,869849
2012-06-25,14.91,15.85,14.27,15.64,15.64,55095
2012-06-26,15.66,16.52,15.42,16.35,16.35,65045
2012-06-27,16.49,17.3812,16.19,17.14,17.14,64857
2012-06-28,16.99,17.75,16.75,16.93,16.93,26717
2012-06-29,17.15,17.15,16.29,16.95,16.95,54923
2012-07-02,16.99,16.99,15.86,16.07,16.07,33358
2012-07-03,16.27,16.75,16.27,16.5,16.5,11723
2012-07-05,16.54,17.04,16.37,16.9,16.9,24168
2012-07-06,16.7,16.9,16.24,16.84,16.84,22740
2012-07-09,16.89,16.908,15.7701,15.95,15.95,21315
2012-07-10,16,16.05,15.01,15.16,15.16,26171
2012-07-11,15.12,15.5,14.49,14.8,14.8,65636
2012-07-12,14.65,15.44,14.61,15.28,15.28,39735
2012-07-13,15.425,15.94,14.92,15.44,15.44,117303
2012-07-16,15.4,15.4,14.9399,14.94,14.94,16228
2012-07-17,15.01,15.36,14.48,14.71,14.71,30897
2012-07-18,14.73,15.23,14.5701,15.14,15.14,21085
2012-07-19,15.1389,15.1389,14.34,14.5,14.5,254740
2012-07-20,14.49,14.63,14.06,14.25,14.25,34959
2012-07-23,13.99,14.155,13.88,13.96,13.96,18528
2012-07-24,13.96,14,13.48,13.7,13.7,31555
2012-07-25,13.79,13.92,13.79,13.82,13.82,6860
2012-07-26,14,14.68,14,14.53,14.53,28019
2012-07-27,14.58,14.9,14.45,14.64,14.64,30116
2012-07-30,14.64,14.75,14.41,14.48,14.48,8481
2012-07-31,14.45,14.64,13.75,13.82,13.82,18883
2012-08-01,13.945,13.945,13.24,13.41,13.41,20356
2012-08-02,13.41,14.21,13.41,14,14,26410
2012-08-03,14.29,14.605,13.0927,14.58,14.58,18732
2012-08-06,14.6,14.85,14.19,14.56,14.56,38664
2012-08-07,14.51,14.86,13.01,14.09,14.09,37737
2012-08-08,14.2,14.85,13.24,14.29,14.29,66413
2012-08-09,14.29,14.78,14.01,14.49,14.49,60155
2012-08-10,14.44,14.44,13.81,13.98,13.98,23301
2012-08-13,13.98,14.61,13.03,13.25,13.25,33703
2012-08-14,13.31,13.57,13.25,13.5,13.5,42268
2012-08-15,13.5,13.79,13.14,13.79,13.79,20913
2012-08-16,13.76,14.22,13.75,14.16,14.16,18632
2012-08-17,14.09,14.63,14.01,14.52,14.52,29522
2012-08-20,14.44,14.44,13.77,14.05,14.05,11147
2012-08-21,14.14,14.5499,13.4,13.73,13.73,37972
2012-08-22,13.77,13.909,13.25,13.7,13.7,94406
2012-08-23,13.71,13.76,13.32,13.63,13.63,7778
2012-08-24,13.59,13.95,13.42,13.42,13.42,9134
2012-08-27,14.25,14.26,13.27,13.39,13.39,26554
2012-08-28,13.35,13.76,13.35,13.63,13.63,22893
2012-08-29,13.68,13.9,13.26,13.64,13.64,27284
2012-08-30,13.5,13.61,13.07,13.15,13.15,21246
2012-08-31,13.05,13.23,12.71,12.98,12.98,24274
2012-09-04,12.79,12.98,11.79,12.44,12.44,155981
2012-09-05,12.5,13.11,12.5,12.9,12.9,337062
2012-09-06,13.01,13.81,12.9,13.59,13.59,63409
2012-09-07,13.83,13.83,13.185,13.68,13.68,41121
2012-09-10,13.65,13.91,13.2501,13.82,13.82,25530
2012-09-11,14.1,14.15,13.5,14.07,14.07,20805
2012-09-12,14.17,14.74,13.8,14.74,14.74,36771
2012-09-13,14.8,16.12,14.52,15.69,15.69,54825
2012-09-14,15.8,16.08,15.1,15.48,15.48,31580
2012-09-17,15.43,16.08,14.87,15.5,15.5,16247
