Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,61.69,62.97,61.06,62.8,44.7159,11139086
2009-01-05,62.32,62.44,61.59,62.35,44.3958,14322752
2009-01-06,62.5,62.95,61.51,62.17,44.2675,13402511
2009-01-07,61.33,61.66,60.64,61.08,43.4913,12419881
2009-01-08,60.91,61.25,60,60.41,43.0143,11508280
2009-01-09,60.64,60.8,59.75,59.86,42.6226,10843130
2009-01-12,59.75,60.42,59.69,59.94,42.6799,11373109
2009-01-13,59.96,60.29,59.02,59.47,42.3449,15791844
2009-01-14,59.05,59.18,57.22,57.86,41.1985,16125204
2009-01-15,57.09,57.48,56.55,57.46,40.9136,18808247
2009-01-16,58.08,58.25,57.12,57.73,41.1061,18904787
2009-01-20,57.77,58.45,57.23,57.43,40.8926,17999420
2009-01-21,58.2,58.2,56.4868,57.57,41.2798,18206170
2009-01-22,57.38,57.56,56.27,56.96,40.8422,19133673
2009-01-23,56.54,56.61,55.59,56,40.1538,21073612
2009-01-26,55.95,56.92,55.61,56.37,40.419,17034485
2009-01-27,56.48,57.39,56.2,56.7,40.6559,11962825
2009-01-28,57.5,58.38,56.9,58.18,41.7169,17846908
2009-01-29,57.79,59,57.56,58.22,41.7457,14732471
2009-01-30,56.5,56.84,54.24,54.5,39.0782,35111095
2009-02-02,54,54.38,52.21,53.05,38.0386,19427977
2009-02-03,53.49,54.09,52.54,53.91,38.6553,14899254
2009-02-04,54.33,54.45,52.21,52.52,37.6584,14761430
2009-02-05,52.29,53.6,52.13,53.32,38.2324,17727501
2009-02-06,53.42,54.46,53.06,54,38.7197,15338489
2009-02-09,53.89,53.98,52.67,52.94,37.9599,13424353
2009-02-10,52.74,53.46,50.97,51.45,36.8912,22524866
2009-02-11,51.8,51.9078,50.86,51.16,36.6835,16404933
2009-02-12,50.93,51.4,49.95,51.28,36.7696,18021247
2009-02-13,51.37,51.68,50.73,51.09,36.6331,11644706
2009-02-17,50,50.94,49.28,50.11,35.9307,20833842
2009-02-18,49.84,51.17,49.75,50.95,36.5329,16755091
2009-02-19,51.5,52.05,51.03,51.13,36.6619,13504748
2009-02-20,50.24,51.3556,49.8,50.25,36.0311,19555932
2009-02-23,50.49,50.49,48.79,48.9,35.0626,15131026
2009-02-24,49.28,50.18,48.9701,49.77,35.6869,14983406
2009-02-25,49.59,50.48,49.22,49.92,35.7945,17412024
2009-02-26,50.1,50.2,48.9,48.97,35.1131,13607015
2009-02-27,48.66,49.11,47.76,48.17,34.5394,20751551
2009-03-02,47.32,47.93,46.8,46.87,33.6075,19033187
2009-03-03,47.33,47.88,46.38,46.63,33.4351,19532327
2009-03-04,46.93,48,46.67,47.31,33.923,15701049
2009-03-05,46.45,46.81,44.93,45.4,32.5531,19468909
2009-03-06,45.87,46.59,44.63,45.71,32.7756,19553944
2009-03-09,45.3,45.6,43.93,44.18,31.6784,16929901
2009-03-10,44.51,45.19,44.37,45.17,32.3885,20635801
2009-03-11,45.59,45.74,44.76,45.07,32.3169,13396055
2009-03-12,44.89,45.901,44.52,45.78,32.8258,13715698
2009-03-13,46.1,47.08,45.66,46.95,33.6648,13905518
2009-03-16,47.37,48.41,47.17,47.82,34.2885,15182347
2009-03-17,47.95,48.14,47.41,47.98,34.4032,11481910
2009-03-18,47.75,48.75,46.99,48.02,34.4319,16709064
2009-03-19,48.24,48.42,46.2,46.31,33.2055,16169974
2009-03-20,46.55,46.94,45.52,45.59,32.6892,25561114
2009-03-23,46.11,47.8,46,47.74,34.2311,16279679
2009-03-24,47.42,48.21,46.89,46.95,33.6648,12175671
2009-03-25,47.7,48.6,47.2,48.06,34.461,15276196
2009-03-26,48.27,48.818,47.51,48.76,34.9624,16257895
2009-03-27,48.21,49.03,48.13,48.57,34.8264,10402321
2009-03-30,48.04,48.1,46.57,47.28,33.9012,12747896
2009-03-31,47.56,47.83,46.95,47.09,33.7651,13848778
2009-04-01,46.75,48.48,46.29,48.21,34.568,17104353
2009-04-02,48.72,50.29,48.72,49.42,35.4358,18320657
2009-04-03,49.54,49.75,48.72,49.63,35.5863,14800187
2009-04-06,49.46,49.97,48.91,49.65,35.6008,10345398
2009-04-07,49.42,49.42,48.53,48.68,34.9054,9802054
2009-04-08,48.8,49,47.875,48.47,34.7543,9434402
2009-04-09,49.17,49.29,48.37,49.19,35.2709,14766398
2009-04-13,48.88,49.03,47.95,48.04,34.4462,12909880
2009-04-14,47.98,48.03,46.98,47.25,33.8798,15098538
2009-04-15,47.68,48.86,47.65,48.75,34.9554,14181602
2009-04-16,49.2,50.74,49.11,50.43,36.1604,16333428
2009-04-17,51.15,51.96,50.82,51.66,37.0418,21662434
2009-04-20,51.57,51.97,50.62,50.73,36.3748,15444850
2009-04-21,50.82,51.67,49.5,51.37,36.8342,12604246
2009-04-22,50.96,50.96,49.54,49.6,35.8722,13385973
2009-04-23,49.84,49.84,48.75,49.32,35.6694,11863399
2009-04-24,49.5,49.89,49.02,49.51,35.8071,11324188
2009-04-27,49.07,50.41,49.07,49.97,36.14,9603548
2009-04-28,49.75,50.18,49.25,49.69,35.9371,9004830
2009-04-29,49.91,50.97,49.82,50.42,36.465,11400421
2009-04-30,50.23,50.23,48.25,49.44,35.7561,24582177
2009-05-01,49.6,49.75,48.55,49.5,35.7997,11888565
2009-05-04,49.97,51.03,49.69,50.99,36.8774,12625773
2009-05-05,50.76,50.99,49.51,49.79,36.0094,12300785
2009-05-06,50,50.86,49.9,50.84,36.769,14933088
2009-05-07,51,52.19,50.62,51.34,37.1304,13719948
2009-05-08,52,52.19,51.19,51.57,37.2969,13417007
2009-05-11,51.42,51.55,50.23,50.37,36.429,13896876
2009-05-12,50.4,51.35,50,50.94,36.8413,13778918
2009-05-13,50.53,51.21,50.11,50.96,36.8553,11238991
2009-05-14,51.02,51.64,50.75,50.8,36.7398,11105756
2009-05-15,51.43,51.43,50.37,50.67,36.6459,14120257
2009-05-18,50.98,52.61,50.92,52.52,37.984,14071294
2009-05-19,52.57,53.51,52.27,52.95,38.295,15215505
2009-05-20,53.74,54.7705,53.56,54.02,39.0688,15964164
2009-05-21,53.48,53.48,52.51,53.02,38.3456,11228651
2009-05-22,53.07,53.74,52.96,53.03,38.3526,6764998
2009-05-26,52.94,54.1,52.67,53.78,38.8953,10918834
2009-05-27,53.72,53.78,51.58,51.78,37.4485,14497826
2009-05-28,52.26,52.67,51.11,52.59,38.0348,16611303
2009-05-29,52.62,52.68,51.5,51.94,37.5643,15133681
2009-06-01,52.55,53.65,52.36,53.36,38.5914,12487212
2009-06-02,53.23,54.13,53.16,53.71,38.8447,11923394
2009-06-03,53.38,53.84,52.9,53.81,38.9169,12644874
2009-06-04,53.76,53.86,52.97,53.35,38.5842,9986963
2009-06-05,53.56,53.95,52.915,53.18,38.4613,10550930
