Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,43.19,45.36,41.91,45.16,36.8713,1470860
2009-01-05,45.29,45.61,44.16,45.34,37.0179,2070799
2009-01-06,45.83,46.45,44.94,45.86,37.4428,1698172
2009-01-07,45.45,45.45,42.55,43.03,35.1322,1415372
2009-01-08,42.65,43.2,41.77,43.2,35.2709,1782258
2009-01-09,43.32,43.59,41.56,42.27,34.5117,1092330
2009-01-12,42.26,42.26,40.54,40.85,33.3521,1001684
2009-01-13,40.81,41.5,40.04,40.62,33.1643,1214683
2009-01-14,40.03,40.08,38.59,38.97,31.8171,1690023
2009-01-15,39.33,40.2,38.1,39.77,32.4704,1547360
2009-01-16,40.94,40.94,38.43,39.77,32.4704,1804200
2009-01-20,36.4,41.38,36.38,40.29,32.8953,4180042
2009-01-21,40.81,41,38.31,39.47,32.2256,3303906
2009-01-22,38.92,39.04,37.53,38.56,31.4825,3741527
2009-01-23,37.5,40.08,37.23,39.08,31.9071,2243692
2009-01-26,38.92,40.35,38.38,38.85,31.7192,1877529
2009-01-27,39.31,40.12,39.04,39.86,32.544,1483555
2009-01-28,40.74,42.2,40.45,41.79,34.1198,1973109
2009-01-29,41.07,41.57,39.29,39.62,32.3481,1672244
2009-01-30,39.4,39.4,37.81,38.21,31.197,2477161
2009-02-02,37.62,39.04,37.4,38.11,31.1151,2361070
2009-02-03,38.62,39.605,37.56,39.32,32.103,2134519
2009-02-04,39.84,40.94,39.65,40.02,32.6746,1676915
2009-02-05,39.6,41.3,38.88,40.71,33.2381,2255541
2009-02-06,40.65,42.07,40.61,41.87,34.1852,1568556
2009-02-09,41.53,42.12,40.72,41.42,33.8176,1889381
2009-02-10,40.92,41.5,38.98,39.42,32.1843,1670438
2009-02-11,40.79,42.19,39.64,40.28,32.8867,1784298
2009-02-12,39.59,40.05,38.625,40,32.6584,1744041
2009-02-13,40.22,41.7,40.22,40.69,33.2218,1950214
2009-02-17,39.77,39.77,38.18,38.56,31.6882,2360055
2009-02-18,38.99,39.55,38.08,38.67,31.7785,1954892
2009-02-19,39.32,39.34,37.6,37.69,30.973,1707688
2009-02-20,37.25,38.41,36.63,37.47,30.7922,1898185
2009-02-23,37.83,38.03,35.42,35.52,29.1898,1919627
2009-02-24,35.72,37.03,35.04,36.78,30.2255,1704082
2009-02-25,36.28,36.61,35.01,35.39,29.0831,1729940
2009-02-26,35.72,35.97,34.12,34.32,28.2037,1863602
2009-02-27,33.85,34.46,33.21,33.37,27.4228,2490322
2009-03-02,32.86,32.86,31.31,31.42,25.8203,1740700
2009-03-03,31.99,32.07,30.8413,30.94,25.4264,3010520
2009-03-04,31.59,31.8,30.91,31.32,25.7387,3618006
2009-03-05,29.87,30.34,28.43,28.92,23.7662,3410705
2009-03-06,29.28,29.76,27.71,28.63,23.5274,3231700
2009-03-09,28.24,29.07,27.69,27.86,22.8951,2426562
2009-03-10,28.37,29.97,28.37,29.97,24.6291,2350025
2009-03-11,30.45,30.58,29.67,30.24,24.8507,2301872
2009-03-12,30.24,31.08,29.36,30.99,25.4674,1453683
2009-03-13,31.08,31.23,30.25,30.77,25.2862,1140346
2009-03-16,30.77,31.43,30.37,30.47,25.0396,2064567
2009-03-17,30.17,31.44,29.81,31.44,25.8367,1631057
2009-03-18,31.17,32.68,30.57,32.34,26.5764,2050677
