Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,13.44,14.19,13.37,14.11,10.2786,706975
2009-01-05,14.11,14.5,14,14.12,10.2862,1091144
2009-01-06,14.31,15.13,14.23,15,10.9274,1374779
2009-01-07,14.76,14.87,14.19,14.37,10.4682,880059
2009-01-08,13.93,13.93,13.48,13.75,10.0163,1739235
2009-01-09,13.69,13.78,13.32,13.5,9.8345,761395
2009-01-12,13.48,13.49,13.0102,13.19,9.6089,586865
2009-01-13,13.19,13.84,13,13.78,10.0383,1103582
2009-01-14,13.3,13.54,12.861,13.01,9.4776,1031443
2009-01-15,13.01,13.49,12.52,13.37,9.7399,1191431
2009-01-16,13.54,13.65,13.04,13.33,9.7106,849835
2009-01-20,13.22,13.25,12.1,12.18,8.8731,1199447
2009-01-21,14,15,13,14.63,10.6578,2867113
2009-01-22,14.32,14.4,13.44,14.07,10.2494,1826179
2009-01-23,13.62,15.04,13.58,14.7,10.709,1427286
2009-01-26,14.7,15.24,14.47,14.63,10.6578,1330302
2009-01-27,14.74,15.1,14.52,15,10.9274,1126819
2009-01-28,15.26,15.485,15.11,15.39,11.2111,770029
2009-01-29,14.93,15.25,14.46,14.81,10.7889,1028173
2009-01-30,14.9,14.9,14.02,14.2,10.3445,1179643
2009-02-02,13.98,14.16,13.61,14.02,10.2134,1075517
2009-02-03,14.04,14.76,13.78,14.64,10.6649,1464670
2009-02-04,14.75,15.18,14.3,14.61,10.6431,1095693
2009-02-05,14.47,15.14,14.33,14.65,10.6719,995584
2009-02-06,14.57,14.91,14.47,14.74,10.7379,663205
2009-02-09,14.71,14.92,14.4,14.62,10.6503,717938
2009-02-10,14.47,14.5,13.45,13.66,9.951,1432082
2009-02-11,13.69,13.79,12.97,13.23,9.6377,1466525
2009-02-12,13.23,13.23,12.68,13.05,9.5067,1331191
2009-02-13,13.03,13.2,12.86,12.96,9.4412,1005074
2009-02-17,12.53,12.81,12.3,12.63,9.2009,1111851
2009-02-18,12.66,12.82,12.23,12.37,9.0115,833217
2009-02-19,12.51,12.63,11.91,11.98,8.7275,1436824
2009-02-20,11.81,11.94,11.29,11.75,8.5598,1338095
2009-02-23,11.8,11.88,11.37,11.39,8.2971,1086487
2009-02-24,11.7,12.29,11.3,12.23,8.9096,1348550
2009-02-25,12.23,12.71,11.88,12.54,9.1349,2243535
2009-02-26,12.89,13.05,12.43,12.55,9.1425,1152102
2009-02-27,11.54,11.62,10.38,10.59,7.7147,4113115
2009-03-02,10.43,10.6,9.89,9.98,7.2699,2503375
2009-03-03,10.28,10.3,9.82,9.9,7.2119,1673297
2009-03-04,10,10.47,9.91,10.25,7.467,2171323
2009-03-05,10.18,10.31,9.75,9.83,7.1611,1558257
2009-03-06,10.1,10.11,9.66,9.92,7.2266,1747084
2009-03-09,9.8,10.04,9.74,9.82,7.1536,1110384
2009-03-10,9.87,10.53,9.87,10.5,7.6493,1425801
2009-03-11,10.74,10.77,10.31,10.55,7.7966,1530729
2009-03-12,10.52,11.23,10.3,11.18,8.2623,1115020
2009-03-13,11.07,11.3298,10.95,11.23,8.2992,924208
2009-03-16,11.5,11.88,11.31,11.44,8.4546,887263
2009-03-17,11.46,12.1,11.3,11.98,8.8537,1258202
2009-03-18,11.84,12.47,11.7,12.34,9.1198,1083923
2009-03-19,12.5,12.65,12.28,12.33,9.1122,1204234
2009-03-20,12.56,12.56,12.17,12.26,9.0607,1492513
2009-03-23,12.9,13.35,12.32,13.35,9.8663,1013781
2009-03-24,13.1,13.68,12.94,13.35,9.8663,1039621
2009-03-25,13.5,13.74,12.89,13.34,9.8587,1119811
2009-03-26,13.47,13.76,13.2,13.74,10.1542,1130097
2009-03-27,13.64,13.67,13.19,13.36,9.8739,687494
2009-03-30,12.67,13.02,12.56,12.87,9.5116,738535
2009-03-31,12.99,13.35,12.78,13.02,9.6224,702810
2009-04-01,12.82,13.37,12.64,13.32,9.844,1164464
2009-04-02,13.64,14.26,13.6,13.85,10.2356,872537
2009-04-03,13.89,14,13.55,13.73,10.1471,973284
2009-04-06,13.53,13.59,13.051,13.28,9.8142,1229999
2009-04-07,13.04,13.28,12.43,12.46,9.2084,971472
2009-04-08,12.56,13.05,12.54,12.8,9.4598,1072982
2009-04-09,13.12,13.82,13.08,13.78,10.1838,696257
2009-04-13,13.59,14.05,13.37,14,10.3466,1088203
2009-04-14,13.81,13.81,13.18,13.31,9.8368,938507
2009-04-15,13.21,13.99,13.17,13.77,10.1767,1184247
2009-04-16,13.93,14.02,13.24,13.44,9.9325,2168022
2009-04-17,13.43,14.07,13.17,13.83,10.2209,1004310
2009-04-20,13.75,13.77,12.78,12.82,9.4745,1427558
2009-04-21,14.21,15.38,14.05,15.21,11.2405,4593612
2009-04-22,15.34,16.39,15.21,15.58,11.5142,2439812
2009-04-23,14.95,15.25,14.52,15.18,11.2188,2891002
2009-04-24,15.25,16.32,15.17,16.17,11.9503,2235295
2009-04-27,15.74,16.43,15.74,16.18,11.9576,1342875
2009-04-28,15.94,16.14,15.67,15.82,11.6913,1411431
2009-04-29,15.81,16.03,15.36,15.86,11.7212,1755557
2009-04-30,15.98,16.45,15.75,15.87,11.7283,1143821
2009-05-01,15.79,15.81,15.39,15.39,11.3735,1090327
2009-05-04,15.69,16.32,15.52,16.3,12.0462,700795
2009-05-05,16.23,16.46,15.95,16.2,11.9726,788582
2009-05-06,16.16,16.38,15.8,16.13,11.9207,1156156
2009-05-07,16.37,16.49,14.97,15.19,11.226,1096716
2009-05-08,15.38,17.07,15.21,17.07,12.6152,1953842
2009-05-11,16.74,17.1,16.49,16.83,12.4378,1631368
2009-05-12,16.93,16.93,16,16.67,12.3195,1168673
2009-05-13,16.36,16.36,15.16,15.26,11.2778,1309910
2009-05-14,15.24,15.75,15.14,15.52,11.47,1098179
2009-05-15,15.47,16.11,15.3,15.74,11.6325,880200
2009-05-18,15.98,16.08,15.8,15.98,11.8098,947713
2009-05-19,15.97,16.06,15.71,15.93,11.7727,920223
2009-05-20,16.1,16.33,15.5,15.56,11.4994,903238
