Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,43.47,45,43.28,44.12,27.2846,7250848
2009-01-05,43.79,44.73,43.51,44.47,27.5009,6636890
2009-01-06,44.47,45.02,42.93,43.24,26.7404,14052205
2009-01-07,43.07,43.65,42.37,42.7,26.4063,9346063
2009-01-08,42.57,42.89,42,42.7,26.4063,8733293
2009-01-09,42.86,43.33,42.11,42.32,26.1713,8594552
2009-01-12,42.31,43.03,41.65,41.83,25.8685,8829012
2009-01-13,41.89,42.8,41.63,42.19,26.0909,9938287
2009-01-14,41.44,41.74,40.66,41.56,25.7015,10077919
2009-01-15,41.33,41.9425,40.7,41.48,25.6522,9437298
2009-01-16,41.93,42.45,40.94,42.12,26.0477,9670333
2009-01-20,41.98,42.86,41.33,41.48,25.6522,9878806
2009-01-21,42.03,42.03,40.4,41.41,25.6085,10609149
2009-01-22,41.1,41.22,40.4,40.96,25.3303,9756687
2009-01-23,40.53,41.44,39.75,41.22,25.4911,9972296
2009-01-26,41.32,42.38,40.88,41.13,25.4353,9751447
2009-01-27,41.28,41.82,40.02,40.15,24.8292,11807416
2009-01-28,40.81,40.84,39.6,39.99,24.7306,9369876
2009-01-29,39.71,40.2,38.66,38.75,23.9637,9528927
2009-01-30,38.97,39.01,36.99,37.15,22.9743,19185071
2009-02-02,36.68,37.73,36.65,37.41,23.1352,11974750
2009-02-03,37.98,38.65,37.47,38.32,23.6976,11845392
2009-02-04,38.51,38.71,35.15,36.78,22.7454,20295115
2009-02-05,36.11,37.3,35.82,37.26,23.0423,14638192
2009-02-06,37.21,37.46,36.52,36.83,22.7765,12785984
2009-02-09,36.75,37.03,36.53,36.72,22.7082,8707000
2009-02-10,36.65,36.9,35.9,36.04,22.288,12692075
2009-02-11,36.31,36.56,35.95,36.37,22.4917,10400090
2009-02-12,36.01,36.47,35.8,36.15,22.3556,11929907
2009-02-13,36.09,36.26,35.68,35.99,22.2568,11326356
2009-02-17,35.32,35.4,34.5,34.73,21.4777,12751810
2009-02-18,34.96,35.63,34.79,35.4,21.892,13314057
2009-02-19,35.82,36.04,35.41,35.91,22.2077,9861164
2009-02-20,35.29,35.92,35.25,35.63,22.0343,13236041
2009-02-23,36.07,36.07,35.03,35.11,21.7125,10778706
2009-02-24,35.34,35.34,34.6,34.9,21.5829,12551535
2009-02-25,34.78,35.2,34.51,34.8,21.5209,26323837
2009-02-26,35.08,35.45,34.2,34.21,21.1561,10911188
2009-02-27,33.66,34.11,33.42,33.47,20.6982,13863043
2009-03-02,32.79,33.5,32.53,32.75,20.2531,16291105
2009-03-03,32.61,33.05,32.25,32.34,19.9996,14968956
2009-03-04,32.86,33.72,32.6,33.49,20.7108,14920360
2009-03-05,32.79,33.1,32.04,32.95,20.3768,16889600
2009-03-06,33.19,33.45,32.51,33.34,20.618,15376098
2009-03-09,33,34.28,32.96,34.07,21.0695,12549250
2009-03-10,34.59,34.59,33.356,34.05,21.0571,11028537
2009-03-11,34.33,34.44,33.46,33.65,20.8099,9251473
2009-03-12,33.75,34.71,33.28,34.64,21.4221,7669578
