Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,48.49,49.21,47.17,48.59,38.2946,4228942
2009-01-05,48.1,49.22,47.27,48.1,37.9082,5028347
2009-01-06,48.5,50.42,47.23,48.64,38.3336,6426982
2009-01-07,48.16,49.79,47.85,48.31,38.0738,6671884
2009-01-08,48.49,49.28,47.79,48.95,38.5781,6230501
2009-01-09,49.24,49.4,47,47.35,37.3175,6701551
2009-01-12,47.38,48.74,45.17,45.99,36.2456,10187072
2009-01-13,45.56,46.15,44.86,46.02,36.2688,5965385
2009-01-14,44.71,45.1,42.96,43.42,34.7177,6029193
2009-01-15,43.31,43.86,40.28,41.65,33.3023,8713366
2009-01-16,42.99,43.12,36.03,37.54,30.0161,13488840
2009-01-20,34.88,36.36,21.31,22,17.5907,35112380
2009-01-21,24.51,30.36,24.31,30.16,24.1153,35725352
2009-01-22,29.18,32.12,27.52,29.62,23.6836,15006959
2009-01-23,28.61,30.49,28.01,30.27,24.2033,8636614
2009-01-26,31.32,33.1,29.72,30.47,24.3631,9293153
2009-01-27,31.76,32.3,30.14,32.15,25.7063,7925650
2009-01-28,35.87,37.56,35.44,37.34,29.8566,13643861
2009-01-29,36.08,37,34,34.22,27.3613,8898150
2009-01-30,34.59,36.02,31.97,32.52,26.0023,8853602
2009-02-02,31.9,32.37,30.63,32.18,25.7306,8636229
2009-02-03,33.07,33.4,26.5,29.85,23.8677,27164549
2009-02-04,30.2,31.39,28.25,28.83,23.052,13863469
2009-02-05,27.98,30.85,26.38,29.83,23.8514,12999112
2009-02-06,30.57,33.19,29.81,32.57,26.0424,10637132
2009-02-09,32.78,33.52,31.87,33.51,26.7939,8176982
2009-02-10,33.15,34,29.59,29.83,23.8514,12921359
2009-02-11,30.6,33.1,30.08,32.94,26.3381,8655088
2009-02-12,31.62,31.95,28.88,31.07,24.8428,10709944
2009-02-13,30.16,31.18,28.07,28.2,22.5484,11623227
2009-02-17,26.58,26.96,25.45,26.47,21.1649,13140636
2009-02-18,27,27,24.47,25.6,20.4692,11216012
2009-02-19,26.4,26.57,23.84,24.1,19.2701,12333996
2009-02-20,22.41,24,21.04,23.23,18.5743,17344913
2009-02-23,24.24,25.96,23.86,24.61,19.6773,13452257
2009-02-24,24.85,28.54,23.54,28.5,22.7875,18761210
2009-02-25,27.71,30.76,26.1,29.3,23.4275,15345997
2009-02-26,30.26,32.22,29.325,29.74,23.7795,12373274
2009-02-27,28.34,29.49,26.61,27.34,21.8606,10311044
2009-03-02,26.92,27.8,25.21,26.12,20.8852,11794593
2009-03-03,26.66,26.68,24.41,24.82,19.8454,10813104
2009-03-04,25.53,25.83,22.02,23.26,18.5983,17440977
2009-03-05,22.47,23,19.8,20,15.9915,17408724
2009-03-06,20,21.05,16.2,18.51,14.8001,24909901
2009-03-09,17.92,20.75,17.56,19.72,15.7672,18749694
2009-03-10,21.66,25.18,21.3,24.71,19.7577,20949961
2009-03-11,25.13,28.35,24.26,24.8,19.8296,26137828
2009-03-12,24.65,28.78,23.75,28.55,22.8277,16808012
2009-03-13,28.26,28.46,25.79,28.15,22.5082,14832601
2009-03-16,28.54,29.75,27.07,27.32,21.8446,13520583
2009-03-17,27.25,28.51,26.07,28.51,22.7966,14354597
2009-03-18,27.7,31.5,27.58,31.47,25.1628,16771937
2009-03-19,32.25,32.25,28.43,28.67,22.9238,12477993
2009-03-20,29.21,29.21,26.57,26.92,21.5244,12180281
2009-03-23,29.1,32.84,28.1,32.73,26.1701,15044358
2009-03-24,31.66,34.69,31.37,31.76,25.3945,16375490
2009-03-25,32.83,34.09,29.71,32.39,25.8984,12623514
2009-03-26,32.84,33.16,31,31.45,25.1468,11363626
2009-03-27,31.12,32.47,30.2,30.32,24.2434,10956109
2009-03-30,28.77,29.2,26.5,26.72,21.3645,11034387
2009-03-31,27.66,29.7,26.95,29.29,23.4199,11905360
2009-04-01,28.64,30.59,27.5,30.5,24.387,9046550
2009-04-02,32.01,33,30.82,32.24,25.7786,12643670
2009-04-03,31.47,35.8,31.36,35.8,28.625,11689883
2009-04-06,34.11,34.25,32.54,33.81,27.0337,10146279
2009-04-07,32.59,32.95,31.49,31.77,25.4025,8956511
2009-04-08,32.05,32.23,30.33,31.98,25.6512,7126609
2009-04-09,34.86,38.97,34.13,38.48,30.8653,16857553
2009-04-13,37.62,40.9,37.13,40.3,32.3246,11245052
2009-04-14,39.13,40.58,36.3,36.69,29.429,12027286
2009-04-15,36.62,39.39,36,39.13,31.3865,10709558
2009-04-16,39.89,39.89,37.52,39.06,31.3301,11687524
2009-04-17,38.87,42.98,37.25,41.6,33.3673,15198393
2009-04-20,39.7,40.19,36.88,36.88,29.5815,12756780
2009-04-21,34.96,40.5,34.21,40.4,32.4049,16370950
2009-04-22,39.27,42.7,37.88,38.06,30.528,15482011
2009-04-23,40.56,41.49,37.81,40.93,32.8303,20398015
2009-04-24,40.84,44.25,39.14,43.22,34.6666,20377013
2009-04-27,41.86,42.81,40.66,41.23,33.0709,7969388
2009-04-28,39.9,41.42,39.67,40.45,32.4452,7053541
2009-04-29,40.7,41.62,39.53,40.24,32.2766,9698104
2009-04-30,40.93,41.21,39.43,39.7,31.8434,9057328
2009-05-01,39.52,39.83,37.09,37.82,30.3355,8997272
2009-05-04,38.45,43.44,38,43.25,34.691,12255919
2009-05-05,42,43.01,41.41,42.4,34.0092,6090652
2009-05-06,43.5,48.08,43.02,47.46,38.0676,13402296
2009-05-07,48.61,51.46,43.16,44.47,35.6694,18374455
2009-05-08,46.19,53.22,45.3,53.08,42.5755,21653832
2009-05-11,51.7,52,46.68,46.68,37.4422,13684169
2009-05-12,47.39,47.43,43.14,44.79,35.9263,13037754
2009-05-13,44.13,45.07,41.99,42.2,33.8487,9132792
2009-05-14,40.89,44.69,40.36,43.12,34.587,18105409
2009-05-15,43.31,44.14,41.55,41.79,33.5201,8066382
2009-05-18,42.89,45.78,42.59,44.58,35.7577,8248214
2009-05-19,44.77,45.49,43.26,43.26,34.6991,6224057
2009-05-20,44.59,44.9,41.65,42.06,33.7364,6984360
2009-05-21,41.42,41.8,40,41.18,33.0306,7664202
2009-05-22,41.67,41.9,40.47,41.18,33.0306,3938580
2009-05-26,40.86,43.5,40.52,43.25,34.691,7200429
2009-05-27,44.08,44.5,40.96,41.11,32.9743,8081962
2009-05-28,41.77,43.66,41.25,43.66,35.02,6978751
2009-05-29,43.85,45.55,42.77,45.55,36.536,7158339
2009-06-01,46.29,46.4,43.81,44.34,35.5655,8330447
2009-06-02,44.28,44.86,41.26,41.87,33.584,10659123
2009-06-03,41.71,42.33,39.95,40.33,32.3493,8004077
2009-06-04,40.89,43.82,40.78,43.7,35.052,7635449
2009-06-05,43.94,43.94,41.44,42.02,33.7043,6803509
2009-06-08,41.58,44.17,41.44,43.38,34.7951,7263688
2009-06-09,43.73,44.37,42.86,44.18,35.4371,5700423
2009-06-10,44.74,44.74,41.05,41.8,33.5279,7992859
2009-06-11,42.15,43.31,41.88,42.43,34.0332,6157459
2009-06-12,42.17,42.67,41,41.34,33.1591,6179401
2009-06-15,41,41.95,40.3,40.56,32.5331,6112927
2009-06-16,40.88,41.25,39.38,39.39,31.5951,8079573
2009-06-17,39.4,39.47,37.3,37.99,30.4719,8529847
2009-06-18,38.18,39.65,38.18,39.53,31.707,5361988
2009-06-19,39.94,40.87,39.38,40.18,32.2284,13171178
2009-06-22,39.59,40.41,38.5,38.5,30.8812,7337088
2009-06-23,38.98,39.89,38.28,39.19,31.4345,4762783
2009-06-24,39.36,40.38,39.22,40.05,32.1243,5112559
2009-06-25,39.75,40.3,39.01,40.22,32.2606,5364252
2009-06-26,40.19,40.65,39.4,39.4,31.6027,6539336
2009-06-29,39.66,40.17,38.67,39.58,31.747,4861661
2009-06-30,39.64,40.09,38.47,38.81,31.1296,4800003
2009-07-01,39.03,39.47,38.21,38.31,30.729,4678702
2009-07-02,37.94,38.18,36.63,36.89,29.5896,5423816
2009-07-06,36.52,38.11,36.52,37.6,30.1591,5847667
2009-07-07,37.45,38.77,37.17,37.5,30.079,5138103
2009-07-08,37.6,37.78,35.17,36.35,29.1565,7382701
2009-07-09,36.77,37.1,36.29,36.58,29.4222,4405060
2009-07-10,36.01,36.49,35.37,35.74,28.746,4054316
2009-07-13,36.49,37.98,35.93,37.94,30.5155,6399010
2009-07-14,37.8,38.02,36.43,36.7,29.5185,6471836
2009-07-15,37.54,39.69,37.37,38.88,31.272,8054717
2009-07-16,38.49,39.3,37.78,38.74,31.1591,5405746
2009-07-17,38.71,39.5,37.05,37.68,30.3067,7246179
2009-07-20,37.86,38.38,37.19,38.17,30.7006,4362476
2009-07-21,38.35,38.35,36.06,37.72,30.3388,6125576
2009-07-22,37.04,37.5,35.9,37.41,30.0896,12489455
2009-07-23,36.17,37.25,34.51,35.79,28.7863,18200147
2009-07-24,35.43,35.43,33.9,34.17,27.4833,9083265
2009-07-27,34.05,34.99,33.0602,34.94,28.1026,9118658
2009-07-28,34.62,36.64,34.5,36.5,29.3576,8508492
2009-07-29,36.23,36.25,34.73,35.24,28.3439,6295518
2009-07-30,35.76,36.5,35.36,35.55,28.5934,5664859
2009-07-31,35.45,36.66,34.96,36.66,29.4862,6058290
2009-08-03,37.23,38.2,36.95,37.96,30.5318,6631663
2009-08-04,37.74,38.8,37.09,38.57,31.0224,6242420
2009-08-05,38.72,41.84,38.22,41.22,33.1539,11340405
2009-08-06,41.8,42.17,40.39,41.22,33.1539,7498701
2009-08-07,41.81,44.76,41.42,44.23,35.575,9605645
2009-08-10,43.64,44.14,42.29,42.86,34.4732,4348355
2009-08-11,42.56,42.58,40.38,40.79,32.8079,6088817
2009-08-12,40.74,41.84,40.2,41.16,33.1057,6781465
2009-08-13,41.88,42.69,41.25,42.54,34.2157,5750533
2009-08-14,42.19,42.49,41.18,41.85,33.6606,3851468
2009-08-17,40.75,40.89,39.66,39.9,32.0923,4517788
2009-08-18,40.28,40.869,40,40.31,32.422,3596330
2009-08-19,39.71,40.11,39.39,39.94,32.1245,4117903
2009-08-20,40.02,41.8382,40.02,41.71,33.5482,4687737
2009-08-21,42.01,43,41.38,42.86,34.4732,5193676
2009-08-24,42.42,43.1,40.78,41.11,33.0656,7874560
2009-08-25,41.27,42.36,41.26,42.02,33.7971,7239389
2009-08-26,41.85,42.5,41.34,42.03,33.8057,3758284
2009-08-27,41.8,42.5,41.14,42.23,33.9663,3219876
2009-08-28,42.5,43.39,42.3,42.86,34.4732,4833082
2009-08-31,42.1,42.85,41.74,42.59,34.2558,3546917
2009-09-01,42.29,43.05,40.2,40.42,32.5106,5995953
2009-09-02,40.24,41.11,39.47,39.47,31.746,5173568
2009-09-03,40,40.61,39.44,39.98,32.1567,4192301
2009-09-04,39.89,40.73,39.69,40.46,32.5427,3120555
2009-09-08,41.02,41.28,40.04,40.21,32.3414,4313394
2009-09-09,40.16,41.46,40.12,41.25,33.1781,4097378
2009-09-10,41.08,41.41,40.68,41.28,33.2022,4149478
2009-09-11,41.44,42.95,41.18,42.23,33.9663,5342644
2009-09-14,41.68,42.75,41.43,42.7,34.3441,3636814
