Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,17.97,18.4,17.7,18.08,15.1197,597865
2009-01-05,18.17,18.75,17.76,18.62,15.5713,557111
2009-01-06,18.62,19.18,18.58,19,15.8888,740160
2009-01-07,18.75,18.87,18.12,18.39,15.379,500386
2009-01-08,18.25,18.32,17.73,18.13,15.1615,421599
2009-01-09,18.26,18.68,17.45,17.58,14.7013,317443
2009-01-12,17.58,17.83,16.3,16.31,13.6397,546338
2009-01-13,16.32,16.86,16.17,16.78,14.0326,441162
2009-01-14,16.57,16.77,15.78,15.8,13.2131,439086
2009-01-15,15.83,16.41,15.32,16.22,13.5643,348537
2009-01-16,16.21,16.3809,15.29,16.11,13.4719,443825
2009-01-20,16.11,16.36,15.5,15.57,13.0206,520872
2009-01-21,15.62,17,15.55,16.9,14.133,609372
2009-01-22,15.5,16.58,15.31,16.09,13.4558,1006869
2009-01-23,15.83,16.17,15.5,15.92,13.3135,783582
2009-01-26,15.99,16.54,15.85,16.01,13.3883,640547
2009-01-27,16.11,16.54,16.08,16.22,13.5643,230565
2009-01-28,16.31,17.17,16.13,17.1,14.3003,492974
2009-01-29,16.99,17.12,15.82,15.95,13.3386,541766
2009-01-30,16.11,16.2,15.73,15.85,13.2547,511875
2009-02-02,15.89,16.15,15.49,15.99,13.3717,347705
2009-02-03,16.06,16.45,15.94,16.19,13.5393,391072
2009-02-04,16.24,16.71,16.02,16.28,13.6142,287669
2009-02-05,16.28,16.8,16.19,16.67,13.9407,267783
2009-02-06,16.57,17.15,16.51,17.07,14.2753,543090
2009-02-09,16.96,17.13,16.77,16.93,14.1581,424723
2009-02-10,16.89,17.21,16.16,16.17,13.5224,405316
2009-02-11,16.24,16.57,16.16,16.45,13.7567,238528
2009-02-12,16.44,16.47,15.86,16.34,13.6646,309793
2009-02-13,16.37,16.55,16.09,16.27,13.6065,292031
2009-02-17,15.98,16.24,15.76,15.79,13.2045,489714
2009-02-18,15.9,16.1,15.11,15.2,12.7112,961591
2009-02-19,15.99,15.99,13.39,13.4,11.2063,1752871
2009-02-20,13.33,14.28,13.33,13.75,11.4985,1524123
2009-02-23,13.81,14.15,13.22,13.28,11.1058,933229
2009-02-24,13.4,14.14,13.21,13.9,11.6241,828710
2009-02-25,13.78,14.41,13.48,14.05,11.7495,902245
2009-02-26,14.12,14.59,13.71,13.77,11.5154,787217
2009-02-27,13.73,13.73,13.24,13.27,11.0972,715438
2009-03-02,13.01,13.25,12.926,13.06,10.9216,739901
2009-03-03,13.19,13.29,12.44,12.45,10.4117,558605
2009-03-04,12.51,13,12.34,12.84,10.7378,485914
2009-03-05,12.76,12.76,11.73,11.81,9.9772,1258779
2009-03-06,11.87,12.14,11.18,11.59,9.7914,977371
2009-03-09,11.45,11.65,11.33,11.39,9.6225,486299
2009-03-10,11.49,12.38,11.23,12.07,10.1971,490518
2009-03-11,12.08,12.48,11.93,11.98,10.1213,587913
2009-03-12,11.95,12.76,11.74,12.7,10.7289,738899
2009-03-13,12.72,13.15,12.67,12.92,10.9152,364523
2009-03-16,12.99,13.04,12.4,12.45,10.5182,315887
2009-03-17,12.41,12.65,12.29,12.64,10.6785,343992
2009-03-18,12.64,13.02,12.32,12.85,10.8562,654782
2009-03-19,12.94,13.29,12.82,13.03,11.0082,462859
2009-03-20,13.1,13.1,12.8574,12.86,10.8645,999498
2009-03-23,13.1,13.92,13.1,13.92,11.7599,626842
2009-03-24,14,14.06,13.5502,13.6,11.4898,353969
2009-03-25,13.77,14.42,13.5,13.91,11.7517,655981
2009-03-26,14.02,14.51,14.02,14.39,12.1572,542886
2009-03-27,14.14,14.38,13.97,13.98,11.8107,360643
2009-03-30,13.66,13.77,13.19,13.48,11.3881,420487
2009-03-31,13.51,13.65,13.36,13.4,11.3204,580908
2009-04-01,13.32,13.7,13.08,13.64,11.5232,536787
2009-04-02,13.78,15,13.78,14.75,12.461,897501
2009-04-03,14.75,14.85,14.47,14.66,12.3851,412424
2009-04-06,14.57,14.71,14.21,14.38,12.1484,297548
2009-04-07,14.16,14.21,13.57,13.58,11.4722,412701
2009-04-08,13.63,13.82,13.47,13.62,11.5065,371797
2009-04-09,13.92,14.59,13.85,14.54,12.2836,478526
2009-04-13,14.28,14.6,14.11,14.51,12.2586,438674
2009-04-14,14.36,14.47,14.06,14.11,11.9203,276161
2009-04-15,14.07,14.45,14,14.36,12.1314,236859
2009-04-16,14.52,15.06,14.43,14.96,12.6386,257659
2009-04-17,15.04,16.2,14.93,16.05,13.5593,582328
2009-04-20,15.79,15.79,15,15.2,12.8412,485633
2009-04-21,15.07,15.4,14.94,15.31,12.934,250293
2009-04-22,15.05,16.14,15.05,16.02,13.5342,598193
2009-04-23,15.12,17.46,14.89,16.29,13.7623,1005960
2009-04-24,16.38,17.17,16.07,17.03,14.387,829095
2009-04-27,16.67,17.08,16.48,16.74,14.1421,818101
2009-04-28,16.55,16.87,16.5,16.64,14.0577,392632
2009-04-29,16.71,17.79,16.68,17.58,14.8521,790692
2009-04-30,17.67,18.2356,17.67,17.86,15.0887,1183781
2009-05-01,17.77,18,17.52,17.89,15.1139,596422
2009-05-04,17.98,18.9599,17.77,18.45,15.5868,545456
2009-05-05,18.45,19.16,18.215,18.44,15.5786,410572
2009-05-06,18.62,18.7,18.1,18.31,15.4686,497509
2009-05-07,18.55,18.73,17.87,18.06,15.2573,432078
2009-05-08,18.25,19.05,18,18.47,15.6038,473746
2009-05-11,18.19,18.69,18.05,18.4,15.5446,400237
