Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,19.57,19.58,19.1,19.45,13.0008,251715
2009-01-05,19.5,19.715,19.08,19.42,12.9806,404989
2009-01-06,19.52,19.53,18.9,19.05,12.7333,752526
2009-01-07,18.76,18.98,18.6,18.77,12.5462,586260
2009-01-08,18.7,18.97,18.32,18.96,12.6734,423382
2009-01-09,18.9,19.05,18.58,18.64,12.4595,451334
2009-01-12,18.59,18.97,18.52,18.85,12.5997,580446
2009-01-13,18.85,19.07,18.57,18.87,12.6131,542145
2009-01-14,18.6,18.79,18.06,18.38,12.2854,361157
2009-01-15,18.42,18.66,18.17,18.66,12.4726,418328
2009-01-16,18.93,19,18.35,18.77,12.5462,264053
2009-01-20,18.6,18.86,18.11,18.21,12.1721,371187
2009-01-21,18.48,18.8,18,18.76,12.5395,355302
2009-01-22,18.46,18.75,18.27,18.47,12.3456,320690
2009-01-23,18.08,18.74,18,18.64,12.4595,324544
2009-01-26,18.65,19.2,18.4018,19.03,12.72,299877
2009-01-27,19.12,19.57,19.05,19.4,12.967,691002
2009-01-28,19.87,19.88,19.16,19.35,12.9338,538081
2009-01-29,19.28,19.51,18.8,19.4,12.967,573137
2009-01-30,19.54,19.81,19.13,19.45,13.0008,719485
2009-02-02,19.35,19.48,18.81,19.38,12.9541,791857
2009-02-03,19.48,19.54,18.87,18.97,12.6795,836415
2009-02-04,19.03,19.35,18.86,19.11,12.7734,402216
2009-02-05,19.02,19.62,18.89,19.3,12.9002,568326
2009-02-06,19.19,19.82,19.19,19.6,13.1009,304590
2009-02-09,19.58,19.65,19.16,19.39,12.9606,306639
2009-02-10,19.32,19.57,18.78,18.99,12.6935,519139
2009-02-11,19.1,19.18,18.5,18.55,12.3992,537382
2009-02-12,18.3,18.36,17.87,18.33,12.2519,723052
2009-02-13,18.29,18.55,18.1,18.23,12.1851,412732
2009-02-17,17.95,18.07,17.2,17.53,11.7172,909894
2009-02-18,17.76,17.76,17.13,17.23,11.5166,785276
2009-02-19,17.28,17.44,17.11,17.24,11.5235,398709
2009-02-20,17.18,17.18,16.52,16.74,11.1892,641057
2009-02-23,16.85,16.85,16.15,16.21,10.8351,534016
2009-02-24,16.49,16.66,16.02,16.38,10.9485,950973
2009-02-25,16.51,17.37,16.24,17.25,11.5303,1788028
2009-02-26,17.47,17.54,16.91,16.95,11.3296,799561
2009-02-27,16.6,16.85,16.28,16.42,10.9754,860580
2009-03-02,16.2,16.46,15.6,15.63,10.4473,657304
2009-03-03,15.74,15.87,14.8816,14.99,10.0197,756567
2009-03-04,15.17,15.4285,14.79,15.2,10.1601,614795
2009-03-05,13.54,14.74,13.45,14.37,9.6048,2744626
2009-03-06,15.25,16.18,15.01,16.1,10.7617,5885075
2009-03-09,16,16.99,15.84,16.19,10.8216,2639234
2009-03-10,16.55,17.24,16.5,16.84,11.2561,1603192
2009-03-11,16.84,16.89,16.07,16.41,10.9687,1241160
2009-03-12,16.94,17.15,16.08,16.72,11.176,1430991
2009-03-13,16.88,17.05,16.55,16.81,11.236,1411896
2009-03-16,16.93,17.43,16.79,16.84,11.2561,1451477
2009-03-17,16.97,17.71,16.83,17.58,11.7509,1215914
2009-03-18,17.61,18.26,17.27,18.05,12.065,1237051
2009-03-19,18.33,18.339,17.66,18.05,12.065,825686
2009-03-20,18.1,18.17,17.853,17.95,11.9981,1034069
2009-03-23,18.07,18.28,17.41,18.28,12.3843,791546
2009-03-24,18.07,18.25,17.7,17.78,12.0459,748250
2009-03-25,17.88,18.3,17.03,17.35,11.7541,1367450
2009-03-26,17.55,17.64,16.49,17.5,11.856,1398921
2009-03-27,17.4,17.45,17.03,17.19,11.6461,754757
2009-03-30,16.86,17.39,16.86,17.3,11.7205,1343468
2009-03-31,17.48,18.22,17.44,17.59,11.917,2994229
