Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,42.45,43.73,41.7,43.55,17.3146,1276053
2009-01-05,43.22,43.82,42.5,43.28,17.2072,1188049
2009-01-06,43.7,45.45,43.52,45.03,17.903,1607250
2009-01-07,44.77,44.77,42.94,43.14,17.1517,1503228
2009-01-08,42.94,44.23,42.5,44.19,17.569,1041813
2009-01-09,44.44,44.75,43.03,43.31,17.2192,1169871
2009-01-12,43.11,43.32,42.25,42.58,16.9289,1034851
2009-01-13,42.31,42.45,41.31,41.7,16.579,1915504
2009-01-14,40.83,41.42,40.01,40.27,16.0105,1567916
2009-01-15,40.21,42.22,39.64,41.41,16.4637,2633895
2009-01-16,39.64,41.96,39.64,41.43,16.4718,2620326
2009-01-20,41.08,41.42,39.35,39.6,15.7441,3760438
2009-01-21,40.32,40.6,38.78,40.46,16.0861,3424673
2009-01-22,39.25,40.03,38.79,39.29,15.6207,2630921
2009-01-23,38.51,39.85,38.2,39.21,15.589,2204971
2009-01-26,39.51,40.23,38.37,38.85,15.4461,1663722
2009-01-27,39.16,39.735,38.31,39.13,15.5573,2046831
2009-01-28,39.99,41.26,39.64,40.91,16.265,1757732
2009-01-29,40.43,40.79,39.24,39.38,15.6567,1315474
2009-01-30,39.33,39.5,37.41,37.58,14.9411,1898817
2009-02-02,37.17,37.94,36.4,37.49,14.9054,1372065
2009-02-03,37.68,38.05,36.84,37,14.7104,3656369
2009-02-04,37.31,37.32,36.3807,36.47,14.4999,2903851
2009-02-05,36.41,38.03,36.09,37.66,14.9729,2400811
2009-02-06,37.64,39.32,37.64,39.12,15.5533,1426113
2009-02-09,39.05,40.15,38.68,39.26,15.6089,1441296
2009-02-10,38.97,39.7,37.12,37.39,14.8656,2052606
2009-02-11,37.69,37.95,36.87,37.36,14.8534,1262667
2009-02-12,37,37.09,35.62,36.92,14.6787,1788739
2009-02-13,36.71,36.86,34,36.21,14.3964,1573117
2009-02-17,35.28,35.98,34.38,34.38,13.6689,2011670
2009-02-18,34.27,34.63,33.38,34.09,13.7657,1895563
2009-02-19,34.8,35.09,33.24,33.43,13.4994,2384819
2009-02-20,33.07,33.79,31.6,32.67,13.1921,3215069
2009-02-23,33.25,33.25,31.04,31.08,12.5503,2567567
2009-02-24,31.31,32.71,30.8,32.48,13.1156,2375995
2009-02-25,32.59,32.78,31.64,31.98,12.9138,2188856
2009-02-26,32.05,32.91,31.34,31.44,12.6956,1737386
2009-02-27,30.85,31.9,30.65,31.06,12.5421,1848761
2009-03-02,30.68,30.93,29.89,30.04,12.1304,2651683
2009-03-03,30.54,30.75,29.6108,29.8,12.0333,3637986
2009-03-04,30.24,31.41,30.05,30.92,12.4857,2610264
2009-03-05,30,30.17,28.16,28.48,11.5003,3579372
2009-03-06,28.72,29.76,28.16,29.42,11.88,4809066
