Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,20.64,21.44,20.02,21.3,20.8528,428078
2009-01-05,21.29,21.45,20.32,20.9,20.4614,481209
2009-01-06,21.27,22.16,20.95,22.05,21.587,975197
2009-01-07,21.71,21.71,20.82,21.37,20.9214,892338
2009-01-08,21.23,21.23,19.29,20.09,19.6687,1086000
2009-01-09,19.27,19.27,18.01,18.65,18.2583,1059313
2009-01-12,18.71,18.71,17.22,17.53,17.1617,1279274
2009-01-13,17.52,18.44,17.5,17.99,17.6121,1490805
2009-01-14,17.69,17.74,17.19,17.28,16.9172,1114046
2009-01-15,17.2,18.69,16.84,18.24,17.8569,2066664
2009-01-16,18.63,19.36,18.12,19.08,18.6797,1043931
2009-01-20,19.03,19.3,17.5,17.56,17.1911,853131
2009-01-21,17.91,18.87,17.271,18.81,18.4147,975436
2009-01-22,17.9,18.68,17.16,18.04,17.6613,1727577
2009-01-23,17.55,18.85,17.11,18.22,17.8374,1130343
2009-01-26,18.2,19.55,17.96,19.01,18.6108,666972
2009-01-27,19.11,19.52,18.59,19.07,18.6698,432767
2009-01-28,19.48,20.725,19.48,20.29,19.8638,687724
2009-01-29,20.33,20.33,19.46,19.58,19.169,508508
2009-01-30,19.69,20.04,18.77,19.02,18.6205,506079
2009-02-02,18.42,18.97,17.99,18.23,17.847,774806
2009-02-03,18.6,19.46,18.11,19.2,18.7967,786835
2009-02-04,19.25,19.31,18.64,18.89,18.4935,843871
2009-02-05,18.82,19.84,18.8,19.64,19.2277,650092
2009-02-06,19.63,20.68,19.63,20.24,19.8151,1257973
2009-02-09,20.17,20.17,19.28,19.43,19.022,707564
2009-02-10,19.2,19.69,18.65,18.79,18.3955,684985
2009-02-11,18.77,19.06,18.27,18.49,18.1015,656511
2009-02-12,17.89,18.88,17.89,18.81,18.4147,791034
2009-02-13,18.75,19,18.07,18.26,17.8765,470779
2009-02-17,17.47,18.26,17.32,17.9,17.5239,423544
2009-02-18,17.99,18.18,17.29,17.75,17.3776,550122
2009-02-19,18.02,18.49,17.61,17.95,17.5733,656778
2009-02-20,17.63,18.32,17.11,17.81,17.4361,632312
2009-02-23,17.92,18.14,16.93,16.98,16.6234,538716
2009-02-24,17.1,17.42,16.52,17.34,16.9756,764659
2009-02-25,17.22,17.39,16.45,16.77,16.4182,897619
2009-02-26,16.98,17.31,15.96,16.09,15.7522,1007544
2009-02-27,15.83,17.15,15.82,16.57,16.2222,753571
2009-03-02,16.47,16.47,15.82,15.96,15.6252,757640
2009-03-03,15.96,16.18,15.43,15.54,15.2138,799792
