Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,29.77,31.13,29.69,31.03,27.8503,108368338
2009-01-05,30.82,31.33,30.59,31.02,27.8409,92197841
2009-01-06,31.28,31.63,31.11,31.33,28.1194,137388092
2009-01-07,30.81,30.9,30.19,30.44,27.3202,134618517
2009-01-08,30.34,30.8,30.08,30.76,27.6075,132473827
2009-01-09,30.79,30.79,29.92,30.07,26.9885,117654821
2009-01-12,30.12,30.15,29.2,29.52,26.4946,103205630
2009-01-13,29.52,29.98,29.18,29.53,26.5033,187161258
2009-01-14,29.17,29.28,28.47,28.63,25.6958,137672522
2009-01-15,28.55,29.34,28.07,29.099,26.1166,193591227
2009-01-16,29.53,29.6,28.7,29.42,26.4048,176219022
2009-01-20,29.29,29.43,27.96,27.96,25.0947,135812558
2009-01-21,28.43,29.19,28.1,29.15,26.163,149862341
2009-01-22,28.52,29.23,28.26,28.76,25.8125,201435552
2009-01-23,28.31,29.35,28.14,28.9,25.9384,170870641
2009-01-26,28.96,29.59,28.75,29.11,26.1267,141064278
2009-01-27,29.14,29.57,29.12,29.32,26.3147,111375348
2009-01-28,29.83,30.65,29.81,30.35,27.2397,140377695
2009-01-29,29.97,30.4008,29.48,29.58,26.5483,131315831
2009-01-30,29.82,29.93,28.94,29.06,26.0819,140937990
2009-02-02,28.77,29.61,28.74,29.41,26.3958,127410236
2009-02-03,29.46,30.4271,29.03,29.87,26.8087,121110106
2009-02-04,29.93,30.8667,29.79,29.91,26.8448,176510685
2009-02-05,29.47,30.77,29.46,30.57,27.4371,218472938
2009-02-06,30.71,31.51,30.58,31.37,28.1549,165192681
2009-02-09,31.39,31.67,31.19,31.5,28.272,99264344
2009-02-10,31.3,31.68,30.1,30.34,27.231,233757121
2009-02-11,30.34,30.53,29.73,30.2,27.1052,169874986
2009-02-12,29.83,30.61,29.64,30.57,27.4371,201986612
2009-02-13,30.46,30.78,30.29,30.43,27.3117,145662903
2009-02-17,29.47,29.67,29.06,29.22,26.2253,158437656
2009-02-18,29.41,29.6699,28.87,29.24,26.2435,161937866
2009-02-19,29.43,29.61,28.72,28.79,25.8395,155967295
2009-02-20,28.46,29.15,28.39,28.87,25.9112,211627477
2009-02-23,29.03,29.05,27.73,27.86,25.005,170173545
2009-02-24,28,28.98,27.96,28.78,25.8304,182088719
2009-02-25,28.62,29.17,28.14,28.59,25.6599,221137386
2009-02-26,28.78,28.95,27.7,27.79,24.9417,212160073
2009-02-27,27.49,27.98,27.39,27.53,24.7088,205341633
2009-03-02,27.12,27.51,26.47,26.64,23.9097,188957273
2009-03-03,26.85,27.16,26.42,26.62,23.8919,159399081
2009-03-04,27.01,27.71,26.92,27.33,24.5287,165590814
2009-03-05,27.03,27.24,26.42,26.51,23.793,200445288
2009-03-06,26.63,26.81,25.71,26.3,23.6049,219328460
2009-03-09,26.05,26.81,25.6301,25.74,23.1021,181906197
2009-03-10,26.26,27.39,26.16,27.33,24.5287,175795044
2009-03-11,27.63,27.99,27.26,27.75,24.9062,173866851
2009-03-12,27.72,28.76,27.44,28.67,25.7315,185277169
2009-03-13,28.68,28.84,28.32,28.74,25.7948,157434489
2009-03-16,28.9,28.98,28.19,28.26,25.3637,191119719
2009-03-17,28.41,29.33,28.3,29.33,26.3242,170557651
2009-03-18,29.23,30.2,29.08,29.7,26.6563,209011142
2009-03-19,30.12,30.13,29.46,29.68,26.6382,147375910
2009-03-20,29.66,30.03,28.98,29.18,26.2327,150057845
2009-03-23,29.86,30.94,29.1984,30.9,27.7791,180388471
2009-03-24,30.65,30.88,30.31,30.331,27.2671,121351242
2009-03-25,30.58,31.05,29.66,30.47,27.3926,191392982
2009-03-26,30.88,31.46,30.417,31.41,28.2376,183217048
2009-03-27,31.07,31.18,30.71,30.82,27.707,156756195
2009-03-30,30.29,30.32,29.62,30.06,27.0239,163596109
2009-03-31,30.31,30.95,30.27,30.32,27.2577,150867628
2009-04-01,29.94,30.88,29.79,30.77,27.6622,138522712
2009-04-02,31.34,32.27,31.23,31.76,28.5522,213153716
2009-04-03,32.05,32.4,31.83,32.35,29.0827,135136032
2009-04-06,31.97,32.33,31.65,32.27,29.0109,161079676
2009-04-07,31.9,31.92,31.21,31.42,28.2466,148143769
2009-04-08,31.72,32.15,31.49,31.95,28.7232,126649666
2009-04-09,32.53,33.01,32.43,32.94,29.6131,132418999
2009-04-13,32.8,33.07,32.53,32.89,29.5685,119805805
2009-04-14,32.69,32.88,32.27,32.49,29.2085,124584105
2009-04-15,32.24,32.43,31.85,32.4,29.1275,125326367
2009-04-16,32.83,33.43,32.51,33.24,29.8828,171878703
2009-04-17,33.16,33.5,32.93,33.31,29.9456,130374493
2009-04-20,32.7,32.82,32.06,32.24,28.9836,123591522
2009-04-21,32.09,32.74,32.08,32.69,29.3882,146094250
2009-04-22,32.5,33.53,32.39,32.79,29.4783,165725751
2009-04-23,33.01,33.14,32.49,33.11,29.7659,182603850
2009-04-24,33.35,33.93,33.07,33.69,30.2876,141756102
2009-04-27,33.42,34.06,33.35,33.73,30.3233,121250456
2009-04-28,33.52,33.91,33.36,33.48,30.0986,109420419
2009-04-29,33.75,34.4,33.64,33.94,30.5124,142000744
2009-04-30,34.37,34.9,34.04,34.28,30.8177,144718765
2009-05-01,34.28,34.54,34.01,34.37,30.8986,100527652
2009-05-04,34.67,35.09,34.52,35.05,31.5097,119812745
2009-05-05,34.99,35.06,34.63,35.02,31.4829,114109958
2009-05-06,35.32,35.34,34.46,35.03,31.4925,179583049
2009-05-07,35.25,35.27,33.88,34.21,30.7548,217383505
2009-05-08,34.35,34.74,33.88,34.23,30.773,184269235
2009-05-11,33.78,34.72,33.68,34.35,30.8806,143368713
2009-05-12,34.42,34.48,33.52,33.93,30.5029,148455982
2009-05-13,33.63,33.65,32.96,33.02,29.685,176277112
2009-05-14,33.1,33.7,33.08,33.39,30.0178,140603010
2009-05-15,33.36,33.82,33.23,33.37,29.9995,121830075
2009-05-18,33.59,34.28,33.3901,34.24,30.7818,114808132
2009-05-19,34.14,34.74,33.95,34.4,30.9258,129622382
2009-05-20,34.54,35.04,34.18,34.28,30.8177,132421237
2009-05-21,34.02,34.26,33.31,33.65,30.2514,139831327
2009-05-22,33.78,33.97,33.32,33.54,30.1524,83867083
2009-05-26,33.19,34.83,33.18,34.79,31.276,145458593
2009-05-27,34.68,35.19,34.43,34.55,31.0609,121897138
2009-05-28,34.77,35.07,34.21,34.95,31.4201,119425072
2009-05-29,34.98,35.5,34.76,35.38,31.8068,111998770
2009-06-01,35.73,36.5,35.61,36.39,32.7147,119687069
2009-06-02,36.19,36.79,36.11,36.44,32.7595,127385292
2009-06-03,36.28,36.37,35.93,36.33,32.6606,93717236
2009-06-04,36.4,36.79,36.34,36.74,33.0293,89651281
2009-06-05,36.96,37.08,36.42,36.78,33.0653,122469455
2009-06-08,36.53,36.95,36.12,36.67,32.9664,89564444
2009-06-09,36.84,37.17,36.67,36.95,33.2181,109641125
2009-06-10,37.17,37.18,36.29,36.82,33.1009,133958521
2009-06-11,36.76,37.23,36.75,36.82,33.1009,148523881
2009-06-12,36.67,36.719,36.2,36.65,32.9483,109906927
2009-06-15,36.28,36.33,35.58,35.9,32.2738,112618575
2009-06-16,36.06,36.19,35.52,35.55,31.9594,111009232
2009-06-17,35.67,36.21,35.45,35.889,32.2643,154058811
2009-06-18,35.83,36.06,35.57,35.82,32.2021,126790975
2009-06-19,36.04,36.36,35.9101,36.16,32.548,122556868
2009-06-22,35.8,35.89,35.02,35.08,31.5758,138286629
2009-06-23,35.2,35.26,34.77,35,31.5034,115380122
2009-06-24,35.3,35.87,35.28,35.59,32.0347,103743540
2009-06-25,35.38,36.36,35.28,36.29,32.6649,113005388
2009-06-26,36.13,36.5,36.05,36.37,32.7367,88041340
2009-06-29,36.44,36.75,36.12,36.45,32.8088,94207131
2009-06-30,36.55,36.73,36.11,36.38,32.7457,98249261
2009-07-01,36.54,36.84,36.39,36.4,32.7641,86332892
2009-07-02,36.09,36.1,35.5,35.6,32.0438,113780245
2009-07-06,35.38,35.54,35.04,35.41,31.8729,108079389
2009-07-07,35.42,35.49,34.51,34.53,31.0804,150394876
2009-07-08,34.73,34.87,34.3,34.71,31.2426,153410711
2009-07-09,34.84,35.01,34.65,34.77,31.2965,98257763
2009-07-10,34.66,35.14,34.5626,34.92,31.4318,108932344
2009-07-13,34.95,35.6,34.48,35.59,32.0347,127668205
2009-07-14,35.52,35.79,35.4,35.72,32.1516,116111748
2009-07-15,36.31,36.93,36.14,36.92,33.2318,161537646
2009-07-16,36.74,37.44,36.72,37.36,33.628,120340040
2009-07-17,37.36,37.57,37.17,37.56,33.8078,105341994
2009-07-20,37.75,38,37.61,37.92,34.1323,97572200
2009-07-21,38.07,38.18,37.64,38.18,34.366,131129822
2009-07-22,38.2,38.69,38.13,38.5,34.654,114281115
2009-07-23,38.45,39.49,38.39,39.35,35.4192,161233117
2009-07-24,38.93,39.37,38.7799,39.05,35.1491,109766116
2009-07-27,39.29,39.41,38.87,39.35,35.4192,95111821
2009-07-28,39.18,39.59,38.93,39.08,35.1758,112027510
2009-07-29,39.32,39.43,39,39.34,35.4101,127063591
2009-07-30,39.74,40.18,39.51,39.57,35.6173,109422298
2009-07-31,39.56,39.8522,39.41,39.45,35.509,78533016
2009-08-03,39.85,40.06,39.64,40.04,36.0404,112186600
2009-08-04,39.86,40.19,39.77,40.04,36.0404,101108810
2009-08-05,40.13,40.14,39.46,39.73,35.7611,118583338
2009-08-06,39.79,39.93,39.24,39.38,35.4463,117422954
2009-08-07,39.91,40.07,39.59,39.88,35.896,107958649
2009-08-10,39.73,39.85,39.34,39.6,35.6442,87525066
2009-08-11,39.42,39.5,39.05,39.26,35.3381,92304372
2009-08-12,39.21,40.22,39.2,39.87,35.8873,147851315
2009-08-13,40.1,40.16,39.64,40.09,36.0851,110564177
2009-08-14,39.89,39.96,39.28,39.63,35.6712,124997013
2009-08-17,38.97,39.01,38.46,38.48,34.6362,132344429
2009-08-18,38.72,39.98,38.61,39.03,35.1309,84959144
2009-08-19,38.59,39.4,38.54,39.3,35.3743,88401782
2009-08-20,39.28,39.84,39.2,39.76,35.7879,81811768
2009-08-21,40.01,40.36,39.74,40.29,36.2654,115136263
2009-08-24,40.36,40.57,40.1,40.25,36.2293,110361217
2009-08-25,40.34,40.76,40.25,40.37,36.3374,93286075
2009-08-26,40.29,40.601,40.08,40.3,36.2741,96807782
2009-08-27,40.32,40.47,39.67,40.4,36.3642,122464162
2009-08-28,40.89,41.08,40.16,40.44,36.4002,114784838
2009-08-31,40.16,40.2,39.79,40.03,36.0312,96815619
