Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,1.58,1.6,1.43,1.57,7.85,841699
2009-01-05,1.54,1.66,1.49,1.61,8.05,1488892
2009-01-06,1.63,1.76,1.56,1.75,8.75,2054411
2009-01-07,1.66,1.75,1.62,1.74,8.7,1183871
2009-01-08,1.69,1.88,1.63,1.88,9.4,1446077
2009-01-09,1.85,1.89,1.65,1.66,8.3,1636105
2009-01-12,1.65,1.68,1.54,1.54,7.7,1133762
2009-01-13,1.55,1.65,1.51,1.54,7.7,1301716
2009-01-14,1.5,1.55,1.4,1.4,7,1920420
2009-01-15,1.4,1.47,1.26,1.28,6.4,2840106
2009-01-16,1.44,1.48,1.24,1.38,6.9,4788097
2009-01-20,1.36,1.85,1.29,1.43,7.15,4591373
2009-01-21,1.45,1.58,1.38,1.58,7.9,2045979
2009-01-22,1.49,1.67,1.4,1.46,7.3,1823397
2009-01-23,1.42,1.68,1.42,1.49,7.45,2195878
2009-01-26,1.5,1.5,1.4199,1.45,7.25,1030019
2009-01-27,1.45,1.49,1.42,1.45,7.25,782346
2009-01-28,1.48,1.49,1.4,1.41,7.05,3219465
2009-01-29,1.44,1.45,1.31,1.35,6.75,2441505
2009-01-30,1.34,1.38,1.29,1.32,6.6,3467432
2009-02-02,1.31,1.35,1.27,1.33,6.65,1135442
2009-02-03,1.34,1.38,1.3,1.37,6.85,1091129
2009-02-04,1.36,1.44,1.32,1.43,7.15,1184981
2009-02-05,1.41,1.44,1.33,1.37,6.85,1798845
2009-02-06,1.37,1.49,1.36,1.44,7.2,1936850
2009-02-09,1.43,1.49,1.4,1.44,7.2,815437
2009-02-10,1.42,1.43,1.32,1.32,6.6,1350800
2009-02-11,1.35,1.38,1.26,1.27,6.35,1446977
2009-02-12,1.3,1.3,1.22,1.24,6.2,1401764
2009-02-13,1.25,1.36,1.23,1.32,6.6,2204257
2009-02-17,1.29,1.36,1.25,1.25,6.25,1566989
2009-02-18,1.27,1.34,1.27,1.28,6.4,1614957
2009-02-19,1.3,1.3088,1.22,1.24,6.2,1321120
2009-02-20,1.22,1.27,1.17,1.18,5.9,1649148
2009-02-23,1.2,1.24,1.11,1.12,5.6,1578600
2009-02-24,1.13,1.23,1.12,1.2,6,2108389
2009-02-25,1.2,1.2,1.14,1.14,5.7,1149485
2009-02-26,1.2,1.32,1.09,1.16,5.8,3260046
2009-02-27,1.13,1.24,1.1199,1.24,6.2,1489234
2009-03-02,1.16,1.39,1.14,1.36,6.8,3354510
2009-03-03,1.34,1.35,1.2199,1.31,6.55,3065236
2009-03-04,1.3,1.35,1.26,1.3,6.5,1016652
2009-03-05,1.26,1.28,1.15,1.18,5.9,1575074
2009-03-06,1.19,1.25,1.18,1.19,5.95,1046026
