Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,13.93,15.18,13.88,14.96,12.7707,1590842
2009-01-05,14.15,15.5,14.07,15.18,12.9587,2532038
2009-01-06,15.08,15.28,14.65,14.8,12.6343,4758863
2009-01-07,14.2,14.49,12.91,13.41,11.4477,4295458
2009-01-08,13.16,13.22,12.01,12.35,10.543,4300982
2009-01-09,12.8,12.91,12.02,12.13,10.3549,2797271
2009-01-12,12.34,12.35,11.22,11.36,9.6977,2133721
2009-01-13,11.38,11.89,11.11,11.81,10.0818,2728446
2009-01-14,11.48,11.48,10.38,10.51,8.9722,4191306
2009-01-15,10.26,10.37,9.09,9.86,8.4173,6804515
2009-01-16,10.27,10.37,9.39,9.85,8.4087,2828669
2009-01-20,9.92,10.05,8.72,8.83,7.5381,3033031
2009-01-21,9.54,9.58,8.87,9.51,8.1184,3318634
2009-01-22,9.47,9.72,9.16,9.34,7.9735,3717807
2009-01-23,8.84,9.74,8.69,9.43,8.0499,3296831
2009-01-26,9.66,10.5,9.65,10.03,8.5624,4750606
2009-01-27,10.38,10.63,10.13,10.4,8.8783,2524845
2009-01-28,10.44,10.45,8.6,9.06,7.7342,14385221
2009-01-29,8.98,9,6.64,7.85,6.7014,21649067
2009-01-30,7.42,7.46,6.35,6.49,5.5406,10817801
2009-02-02,6.45,6.54,6.0775,6.41,5.4722,8260049
2009-02-03,6.71,6.89,6.23,6.74,5.7535,8000632
2009-02-04,6.99,7.28,6.73,6.73,5.7452,5055829
2009-02-05,6.76,6.82,6.45,6.59,5.6256,6210806
2009-02-06,6.82,7.75,6.77,7.34,6.266,7658490
2009-02-09,7.79,7.8,7.15,7.36,6.283,4827374
2009-02-10,7.45,7.89,6.64,6.83,5.8304,6593349
2009-02-11,7.12,7.25,6.5,6.83,5.8304,7354101
2009-02-12,6.64,6.87,6.33,6.85,5.8478,4974022
2009-02-13,6.94,7.06,6.6,6.92,5.9073,3887892
2009-02-17,6.54,6.54,6.14,6.22,5.3097,3512324
2009-02-18,6.4,6.468,6.05,6.4,5.4634,4414472
2009-02-19,6.56,6.62,5.91,5.95,5.0794,6171675
2009-02-20,5.7,6.13,5.53,5.94,5.0707,5179909
2009-02-23,6.02,6.1,5.5,5.64,4.8145,3415373
2009-02-24,6.03,7.35,6,6.84,5.839,9201622
2009-02-25,6.78,7.01,6.44,6.77,5.7794,5296793
2009-02-26,7.01,7.27,6.67,6.7,5.7196,4802120
2009-02-27,6.46,6.64,5.92,6,5.1218,5881163
2009-03-02,5.8,6.08,5.43,5.5,4.695,4544311
2009-03-03,5.78,5.95,5.4,5.69,4.8574,3391980
2009-03-04,6.06,6.43,5.77,6.17,5.2672,4666169
2009-03-05,6,6.38,5.53,5.65,4.8231,3897614
