Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,8.12,8.67,7.99,8.61,7.0098,8916974
2009-01-05,8.48,9.07,8.4,8.72,7.0996,12011741
2009-01-06,8.86,8.9,8.5,8.83,7.1892,7776311
2009-01-07,8.55,8.55,7.8,7.91,6.4399,11288739
2009-01-08,7.85,7.99,7.74,7.79,6.3426,9061433
2009-01-09,7.88,7.9,7.1,7.17,5.838,11123330
2009-01-12,7.21,7.34,6.9,7.02,5.7154,12212152
2009-01-13,6.94,7.26,6.7,7.21,5.8703,13710065
2009-01-14,6.92,7.1,6.74,6.85,5.5771,12120834
2009-01-15,6.86,6.86,5.97,6.1,4.9666,17509261
2009-01-16,6.35,6.5,5.81,6.07,4.9422,16682768
2009-01-20,5.6,5.8,4.6,4.6,3.7454,28076607
2009-01-21,4.79,5.02,4.45,4.95,4.0301,22708246
2009-01-22,4.87,4.95,4.14,4.25,3.4603,18335237
2009-01-23,4.05,4.75,4,4.66,3.7938,15574824
2009-01-26,4.91,4.91,4,4.1,3.3381,12731056
2009-01-27,4.51,4.65,4.01,4.08,3.322,13194205
2009-01-28,4.5,4.73,4.31,4.56,3.7127,20611054
2009-01-29,4.49,4.49,4.06,4.14,3.3709,15148479
2009-01-30,4.07,4.21,3.4,3.46,2.817,19375090
2009-02-02,3.4,3.45,2.67,2.92,2.3776,27037592
2009-02-03,3.13,3.16,2.52,2.61,2.1252,21509362
2009-02-04,2.65,2.79,2.38,2.5,2.0355,15652269
2009-02-05,2.5,3.2,2.35,2.83,2.3042,28919736
2009-02-06,3.03,4.55,3.01,4.2,3.4196,47574099
2009-02-09,4.7,5.04,4.34,4.64,3.7779,32889902
2009-02-10,4.65,4.67,3.17,3.24,2.6378,47192310
2009-02-11,3.53,3.79,3.39,3.68,2.9961,26649215
2009-02-12,3.37,3.61,3.22,3.57,2.9067,21367072
2009-02-13,3.5,3.68,3.35,3.38,2.752,13067692
2009-02-17,2.98,3.23,2.98,3.09,2.5158,21012040
2009-02-18,3.26,3.4,2.93,2.99,2.4342,17067222
2009-02-19,3,3.14,2.63,2.64,2.1494,11358616
2009-02-20,2.44,3.02,2.35,2.84,2.3126,23819556
2009-02-23,3.1,3.15,2.64,2.69,2.1903,16631349
2009-02-24,2.66,3.39,2.54,3.29,2.6787,28278187
2009-02-25,3.2,4.1,2.83,3.76,3.0613,38852792
2009-02-26,4.14,4.47,3.61,3.94,3.2076,38118656
2009-02-27,3.3,3.95,3.1,3.42,2.7846,34590985
2009-03-02,3.18,3.8,3.17,3.57,2.9067,20407365
2009-03-03,3.8,3.9,3.41,3.43,2.7928,13501562
2009-03-04,3.6,3.79,3.38,3.52,2.8656,11996385
2009-03-05,3.39,3.49,2.9,3.1,2.5236,15968981
2009-03-06,3.15,3.35,2.76,2.94,2.3936,16815061
