Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,33,34.19,32.14,34.04,26.4826,698763
2009-01-05,33.9,34.45,33.09,34.06,26.4982,991033
2009-01-06,34.45,35,34.17,34.55,26.8792,1431713
2009-01-07,34.11,34.16,31.77,32.1,24.9734,1653314
2009-01-08,31.6,32.35,31.41,32.02,24.9111,1839492
2009-01-09,32.24,32.31,31.07,31.41,24.4365,763626
2009-01-12,31.6,31.83,30.09,30.26,23.5418,1767769
2009-01-13,30.16,30.61,29.24,29.84,23.215,1645761
2009-01-14,29.46,29.55,27.76,28.3,22.0168,2013928
2009-01-15,28.21,28.66,27.12,28.48,22.1568,1320728
2009-01-16,29.07,29.33,27.44,28.57,22.227,1338886
2009-01-20,28.48,28.57,26.73,27.11,21.091,1983590
2009-01-21,27.13,29.13,27.08,28.99,22.5537,2526522
2009-01-22,28.77,28.79,27.18,28.34,22.0481,2129728
2009-01-23,27.45,28.64,27.13,27.93,21.7291,1260254
2009-01-26,27.95,29.1,27.75,28.03,21.807,1345312
2009-01-27,28.07,28.61,27.86,28.17,21.9156,1667206
2009-01-28,28.52,29.44,28.45,29.19,22.7093,1605640
2009-01-29,28.75,28.84,27.15,27.22,21.1766,1465618
2009-01-30,27.3,27.63,25.63,26.04,20.2585,3808557
2009-02-02,20.47,23.67,20.29,23.16,18.0181,8267620
2009-02-03,23.37,25.25,22.87,24.69,19.2084,5695080
2009-02-04,24.53,25.16,24.29,24.5,19.0606,3216005
2009-02-05,24.31,25.69,24,25.13,19.5505,1912593
2009-02-06,24.9,26.33,24.9,26.12,20.3209,1919525
2009-02-09,26.15,26.56,25.35,25.4,19.7605,2157030
2009-02-10,25.09,25.4,23.92,24.2,18.8271,3043803
2009-02-11,24.27,24.77,23.79,24.37,18.9594,2491659
2009-02-12,24,24.53,23.41,24.37,19.1872,3791964
2009-02-13,24.23,24.99,23.88,24.1,18.9755,1650674
2009-02-17,23.13,23.55,22.7,22.9,18.0303,3850411
2009-02-18,22.86,23.25,22.15,22.95,18.0699,3292159
2009-02-19,23.14,23.28,21.93,22.08,17.3845,2148380
2009-02-20,21.6,22.51,21.04,22.07,17.377,2705067
2009-02-23,22.18,22.48,20.82,20.89,16.4476,2079574
2009-02-24,20.99,21.83,20.65,21.66,17.054,1822021
2009-02-25,21.44,21.75,20.66,21.19,16.684,1955822
2009-02-26,21.44,21.68,20.45,20.72,16.3137,2286215
2009-02-27,20.25,21,20.07,20.1,15.8257,2672333
2009-03-02,19.62,19.77,18.49,18.74,14.7551,2841290
2009-03-03,19.02,19.23,18.55,18.73,14.7472,1844763
2009-03-04,19.21,20.06,18.68,19.72,15.5265,2707786
2009-03-05,18.27,18.91,17.5,17.73,13.9596,2663513
2009-03-06,18.13,18.65,17.77,18.4,14.4871,5068395
2009-03-09,17.91,18.78,17.91,18.34,14.4398,2376136
2009-03-10,18.77,20.23,18.65,19.98,15.7311,2880795
2009-03-11,20.02,20.58,19.79,20.33,16.0068,2539438
