Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,29.77,30.9,29.55,30.81,7.1956,1275865
2009-01-05,30.51,30.72,29.87,30.27,7.0695,1583934
2009-01-06,30.49,30.6,29.6,30.02,7.0111,1837168
2009-01-07,29.53,30.61,29.25,30.42,7.1045,2108872
2009-01-08,31.07,31.93,29.94,31.58,7.3754,3099995
2009-01-09,31.68,31.9,29.75,30,7.0064,2188803
2009-01-12,29.83,30.24,29.27,29.51,6.892,2258499
2009-01-13,29.5,30.17,29.25,29.65,6.9247,2115824
2009-01-14,29.62,29.87,29.03,29.26,6.8336,2798044
2009-01-15,29.13,31.15,29.02,30.49,7.1209,2230092
2009-01-16,30.89,31.13,30.03,30.84,7.2026,2527393
2009-01-20,30.7,30.77,29.42,29.53,6.8967,1983321
2009-01-21,30,31.13,29.61,31.03,7.247,2872905
2009-01-22,30.55,31.81,30.23,31.29,7.3077,2559493
2009-01-23,30.78,31.67,30.66,31.21,7.2889,2143846
2009-01-26,31.27,31.94,31.04,31.64,7.3894,2319997
2009-01-27,31.77,31.92,30.92,30.97,7.233,1918389
2009-01-28,31.46,31.73,30.64,31.01,7.2423,3556079
2009-01-29,30.85,30.99,29.93,30.12,7.0345,2536296
2009-01-30,30.36,30.36,29.02,29.42,6.8709,3365923
2009-02-02,29.44,30.02,28.6,29.23,6.8266,2726743
2009-02-03,29.26,29.79,28.88,29.49,6.8873,2323849
2009-02-04,29.1223,29.704,28.08,28.25,6.5977,2886999
2009-02-05,28.5,30.87,28.5,30.63,7.1535,5307902
2009-02-06,30.55,32.87,30.31,32.58,7.6089,4015217
2009-02-09,32.62,32.77,31.8,32.29,7.5412,2213924
2009-02-10,31.93,32.67,31.33,31.48,7.3521,2566147
2009-02-11,31.71,31.78,30.7,31.21,7.2889,1796955
2009-02-12,30.74,31.74,30.51,31.74,7.4127,1843362
2009-02-13,31.68,32.03,30.7,30.7,7.1698,2130282
2009-02-17,30.12,30.81,29.66,30.3,7.0765,2553918
2009-02-18,30.64,30.69,29.79,30.16,7.0503,1640308
2009-02-19,30.33,31,30.16,30.41,7.1087,1801354
2009-02-20,30.16,31.24,30,30.79,7.1975,2790965
2009-02-23,30.75,31,29.54,29.66,6.9333,2110817
2009-02-24,29.73,30.62,29.73,30.48,7.125,2119041
2009-02-25,30.26,30.94,29.79,30.29,7.0806,2527268
2009-02-26,30.47,30.48,29.02,29.1,6.8024,2271046
2009-02-27,28.64,30.29,28.5,29.52,6.9005,2210048
2009-03-02,29.04,30.38,29.005,29.13,6.8094,3466254
2009-03-03,29.36,29.573,28.66,28.95,6.7673,4347259
2009-03-04,28.85,30.78,28.85,30.34,7.0923,3462727
2009-03-05,30.5,31.58,30.19,30.32,7.0876,4386860
2009-03-06,30.57,30.79,28.75,29.45,6.8842,3358675
2009-03-09,29.21,30.18,29.09,29.31,6.8514,2913465
2009-03-10,30.07,31.52,29.986,31.29,7.3144,3334723
2009-03-11,31.4,32.09,31,31.84,7.4429,3014724
2009-03-12,31.64,33.14,31.42,33.06,7.7281,3130297
2009-03-13,32.98,33.24,32.2602,33.01,7.7164,2444558
2009-03-16,33.02,33.21,32.23,32.23,7.5341,2287290
2009-03-17,32.42,33.5,32.27,33.37,7.8005,2755793
2009-03-18,32.74,34.37,32.74,34.1,7.9711,3132793
