Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,24.99,25.2,24.54,25.07,18.8349,3736203
2009-01-05,24.99,25.64,24.68,25.61,19.2408,3049823
2009-01-06,25.72,26.52,25.44,25.84,19.4131,3716771
2009-01-07,25.39,25.61,25,25.28,18.9923,2928408
2009-01-08,25.26,25.617,25.12,25.6,19.2327,3864200
2009-01-09,25.83,26.04,25.12,25.23,18.9552,2599891
2009-01-12,25.28,25.35,24,24.27,18.2339,3852684
2009-01-13,24.31,24.47,23.49,23.9,17.9557,2932381
2009-01-14,23.71,23.71,22.46,22.85,17.1669,2916223
2009-01-15,22.88,24.63,22.54,24.6,18.4815,4062150
2009-01-16,24.85,25.72,24.56,25.54,19.1878,4530078
2009-01-20,25.46,25.95,25.11,25.14,18.8875,4290001
2009-01-21,25.4,26.12,25.33,25.91,19.4662,4015431
2009-01-22,25.91,26.1,25.02,25.83,19.4062,4424760
2009-01-23,25.35,25.98,25.26,25.46,19.1282,3470177
2009-01-26,25.48,26.2,25.48,25.95,19.4962,2975905
2009-01-27,26.14,26.44,25.99,26.29,19.7515,2625809
2009-01-28,26.48,26.7,26.28,26.6,19.9845,2791730
2009-01-29,26.34,26.81,26.14,26.23,19.7065,2735170
2009-01-30,26.28,26.54,25.76,25.86,19.429,4624923
2009-02-02,25.54,25.79,24.78,25.27,18.9854,3891959
2009-02-03,25.36,25.53,24.91,25.11,18.8649,3616206
2009-02-04,25.12,25.55,24.66,24.82,18.647,3343058
2009-02-05,24.71,24.93,24.22,24.49,18.3992,4047817
2009-02-06,24.56,24.78,24.31,24.44,18.3616,3807190
2009-02-09,24.38,24.61,23.955,24.54,18.4366,2822452
2009-02-10,24,24.55,23.39,23.58,17.7156,4026647
2009-02-11,23.74,24.0688,23.47,23.79,17.8731,3251381
2009-02-12,23.51,24.67,22.86,24.59,18.4742,4787421
2009-02-13,24.58,24.62,23.94,24.1,18.1061,4295273
2009-02-17,23.34,23.95,23.17,23.63,17.7529,2937792
2009-02-18,23.8,24.02,23.25,23.76,17.8507,2854418
2009-02-19,23.89,24.19,23.72,23.84,17.9105,2144110
2009-02-20,23.74,23.99,23,23.81,17.8883,3484165
2009-02-23,23.98,24.3,22.69,22.77,17.1066,3870112
2009-02-24,22.7,23.03,22.25,22.73,17.0766,4299727
2009-02-25,22.5,23.12,22.25,22.71,17.0619,4548582
2009-02-26,22.85,22.88,21.82,21.84,16.4085,3662005
2009-02-27,20.84,21.2,19.36,19.9,14.9507,8189080
2009-03-02,19.56,19.68,18.51,18.74,14.0792,5218875
2009-03-03,18.91,19.53,18.85,18.99,14.2669,6223877
2009-03-04,19.34,19.34,18.45,18.64,14.0041,4942263
2009-03-05,18.52,18.63,17.18,17.31,13.0051,4726048
2009-03-06,17.31,17.93,16.06,16.47,12.3738,6067414
2009-03-09,16.49,17.17,15.99,16.1,12.0956,5029552
2009-03-10,16.32,16.47,15.05,15.95,11.9829,10230144
2009-03-11,16.08,16.11,15.5,15.85,11.9081,6281903
2009-03-12,15.88,16.98,15.88,16.72,12.5617,4498119
2009-03-13,16.75,17.31,16.42,17.19,12.9148,4138712
2009-03-16,17.35,17.68,17.06,17.15,12.8844,3803197
2009-03-17,17.13,17.31,16.83,17.15,12.8844,2753908
2009-03-18,17.1,17.81,16.71,17.52,13.1627,3701105
2009-03-19,17.67,17.84,17.3175,17.55,13.1852,4791397
2009-03-20,17.59,17.86,16.94,16.97,12.7495,3109049
2009-03-23,17.23,17.57,16.75,17.57,13.2001,3284513
2009-03-24,17.37,17.59,16.93,17.33,13.0201,3628518
2009-03-25,17.54,17.9,16.98,17.45,13.11,3937835
2009-03-26,17.62,17.79,17.16,17.6,13.2228,2849135
2009-03-27,17.37,17.71,17.17,17.54,13.1774,2999390
2009-03-30,16.97,17.4,16.69,16.82,12.7812,3519515
2009-03-31,16.92,17.54,16.82,17.15,13.0319,3558541
2009-04-01,16.94,17.1,16.31,16.88,12.8267,3957863
2009-04-02,17.13,18.37,16.68,18.01,13.6855,5340792
2009-04-03,17.91,18.32,17.77,18.18,13.8147,3656724
2009-04-06,18.07,18.78,18.04,18.71,14.2172,4297528
2009-04-07,18.51,18.95,18.24,18.65,14.1717,4631275
2009-04-08,18.69,18.82,18.48,18.71,14.2172,3102828
2009-04-09,18.88,19.59,18.7675,19.44,14.7722,4275456
2009-04-13,19.35,19.95,19.15,19.81,15.0532,3122491
2009-04-14,19.75,19.96,19.24,19.77,15.0227,4065279
2009-04-15,19.76,20.08,19.3,19.6,14.8935,4398947
2009-04-16,19.67,20.06,19.05,19.78,15.0305,5670905
2009-04-17,19.86,20.58,19.78,20.43,15.524,4133909
2009-04-20,20.2,20.24,19.19,19.49,14.8101,4562460
2009-04-21,19.39,19.94,19.321,19.91,15.1292,3238611
2009-04-22,19.73,20,19.5,19.59,14.8861,3763692
2009-04-23,19.67,19.67,19.2,19.5,14.8175,3433337
2009-04-24,19.62,19.8,19.32,19.51,14.8254,2976105
2009-04-27,19.36,19.99,19.31,19.68,14.9544,2430667
2009-04-28,19.47,19.69,19.1,19.53,14.8399,3908204
2009-04-29,19.7,20.94,19.65,20.71,15.737,5061632
2009-04-30,20.71,21.13,20.53,21,15.9573,5317055
2009-05-01,21.65,23.06,21.42,22.68,17.2342,6153173
2009-05-04,22.64,22.88,22.4,22.76,17.2947,4825445
2009-05-05,22.93,23.06,22.5,23.05,17.5151,3707160
2009-05-06,23.05,23.64,22.96,23.16,17.5985,2532179
2009-05-07,23.31,23.42,22.51,22.87,17.3783,2911185
2009-05-08,22.84,23.82,22.84,23.77,18.0622,3695391
2009-05-11,23.76,23.8086,23.36,23.42,17.7964,3068321
2009-05-12,23.5,23.73,22.57,22.99,17.4695,2167329
2009-05-13,22.69,22.69,21.98,22.12,16.8084,2273792
2009-05-14,22.12,22.8,22.03,22.59,17.1652,1692905
2009-05-15,22.5,22.67,21.995,22.17,16.8464,1730028
2009-05-18,22.29,22.68,21.93,22.67,17.2264,3308940
2009-05-19,22.7,22.87,22.03,22.27,16.9221,2762713
2009-05-20,22.38,22.71,22.01,22.07,16.7704,1849128
2009-05-21,21.95,21.95,21.33,21.53,16.3599,1513459
2009-05-22,21.59,21.96,21.45,21.54,16.3678,1192349
2009-05-26,21.45,22.43,21.29,22.32,16.9604,2070225
2009-05-27,22.27,22.48,21.4304,21.5,16.3372,2869504
2009-05-28,21.59,22.49,21.5,22.24,16.8995,3475797
2009-05-29,22.24,22.83,22.1,22.79,17.3175,3481517
2009-06-01,23.11,23.69,23.05,23.61,17.9408,2264313
2009-06-02,23.57,23.71,23.14,23.2,17.6292,2341857
2009-06-03,23.08,23.58,22.54,22.78,17.3099,1760006
2009-06-04,22.79,23.06,22.63,22.7,17.2494,1710035
2009-06-05,23.07,23.25,22.9,23,17.4772,2227395
2009-06-08,22.77,22.81,21.69,22.48,17.0822,3141377
2009-06-09,22.32,22.82,22.32,22.66,17.2188,1825065
2009-06-10,22.85,23,22.26,22.64,17.2035,1712105
2009-06-11,22.84,23.48,22.59,23.29,17.6973,2506264
2009-06-12,23.23,23.52,22.85,23.49,17.8494,1558981
2009-06-15,23.23,23.45,22.69,22.82,17.3404,1815474
2009-06-16,22.93,23.01,22.31,22.45,17.0591,1955751
2009-06-17,22.39,23.155,22.39,23.04,17.5076,1984270
2009-06-18,23.12,23.5298,22.89,23.44,17.8115,1573762
2009-06-19,23.55,23.635,23.155,23.49,17.8494,2644681
2009-06-22,23.16,23.54,22.545,22.81,17.333,2748052
2009-06-23,22.77,22.89,22.45,22.57,17.1503,1876583
2009-06-24,22.62,23.55,22.33,23.19,17.6216,2592899
2009-06-25,23.11,24.14,23.02,24.14,18.3435,2439272
2009-06-26,24.03,24.36,23.45,23.93,18.1839,2853363
2009-06-29,23.94,24.32,23.82,24.29,18.6029,1588322
2009-06-30,24.11,24.45,23.9,24.41,18.6949,2637054
2009-07-01,24.5,24.71,24.11,24.27,18.5872,2463855
2009-07-02,24.01,24.31,23.69,23.69,18.1435,1926858
2009-07-06,23.49,24,23.46,23.94,18.3351,1575065
2009-07-07,23.84,24,23.32,23.41,17.929,1446123
2009-07-08,23.32,23.98,23.32,23.85,18.2661,3647464
2009-07-09,23.87,23.94,23.48,23.7,18.1511,1989212
2009-07-10,23.53,24.06,23.41,23.99,18.3731,2147529
2009-07-13,23.92,24.59,23.92,24.58,18.8248,2774508
2009-07-14,24.43,25.04,24.36,25.02,19.1618,2612951
2009-07-15,25.02,25.78,25.02,25.68,19.6673,4316753
2009-07-16,25.67,26,25.36,25.94,19.8669,2593742
2009-07-17,25.81,26.37,25.2,26.2,20.0658,3082785
2009-07-20,26.26,26.59,26.05,26.4,20.2189,1955997
2009-07-21,26.62,26.95,25.87,26.39,20.2111,2011502
2009-07-22,26.31,26.5,25.84,26.3,20.142,2028484
2009-07-23,26.27,26.54,26.01,26.51,20.303,2469486
2009-07-24,26.34,26.74,25.92,26.49,20.2879,1927596
2009-07-27,26.49,26.55,26.05,26.51,20.303,1874296
2009-07-28,26.39,26.75,26.23,26.59,20.3644,1636914
2009-07-29,26.44,26.57,26.02,26.38,20.2035,3234568
2009-07-30,27.34,27.34,26.14,26.27,20.1192,3939293
2009-07-31,26.23,26.86,26.13,26.6,20.3718,2963026
