Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,51.19,52.21,50.46,52,39.0698,1753491
2009-01-05,51.89,52.7,51.69,52.49,39.4382,2903496
2009-01-06,52.49,52.75,51.52,51.79,38.9122,2400195
2009-01-07,51.53,51.53,50.32,50.9,38.2434,2517234
2009-01-08,50.8,50.83,49.79,50.17,37.6952,3048514
2009-01-09,50.84,51.63,49.86,50.52,37.9581,3067081
2009-01-12,50.62,50.8,49.77,50.54,37.9731,2829822
2009-01-13,51.34,51.34,48.71,49.29,37.0339,3785581
2009-01-14,48.95,52.05,48.34,50.95,38.2809,6340323
2009-01-15,50.99,52.25,50.06,51.97,39.0475,4225364
2009-01-16,52.3,52.99,51.76,52.67,39.573,4206374
2009-01-20,52.56,53,51.32,51.46,38.6643,2877680
2009-01-21,52.04,52.04,50.49,51.71,38.8519,2870859
2009-01-22,51.28,51.91,50.24,51.54,38.7244,4316634
2009-01-23,50.75,51.37,50.02,50.38,37.8526,3937056
2009-01-26,50.3,50.86,49.93,50.37,37.8453,3375636
2009-01-27,50.63,50.63,49.56,49.78,37.4023,3896995
2009-01-28,50.5,51.41,49.33,49.67,37.3194,4802177
2009-01-29,49.62,51.25,49.24,50.3,37.7926,3799958
2009-01-30,50.32,51.6,50.27,50.62,38.0333,3564140
2009-02-02,50.02,50.19,47.85,48.69,36.5832,4269773
2009-02-03,48.92,49.08,46.99,48.32,36.3047,3966245
2009-02-04,48.32,49.19,48,48.6,36.5155,3349778
2009-02-05,48.38,49.38,47.9,49.04,36.8461,3587277
2009-02-06,49.16,49.35,47.72,47.8,35.9141,4366734
2009-02-09,47.87,48.5,47.32,48.41,36.3723,2760409
2009-02-10,47.82,48.41,46.54,46.84,35.1927,3160738
2009-02-11,47.16,47.5,46.27,46.98,35.2981,2675727
2009-02-12,46.22,46.69,45.43,46.64,35.0429,3462154
2009-02-13,46.75,47.34,46.64,46.74,35.1178,2918164
2009-02-17,45.47,46.3,45.09,45.6,34.2612,4085416
2009-02-18,45.26,46.73,45.26,46.13,34.6598,3427433
2009-02-19,46.39,46.76,46.03,46.38,34.847,4127300
2009-02-20,45.8,46.35,44.96,45.56,34.2314,4010308
2009-02-23,45.89,45.89,43.79,43.84,32.939,3948228
2009-02-24,44.09,45.2,43.97,44.86,33.7054,4297606
2009-02-25,44.59,44.86,43.01,43.02,32.3228,4670714
2009-02-26,43.37,43.8,41.93,42.05,31.5943,5243559
2009-02-27,41.64,41.64,39.89,39.97,30.0313,7468517
2009-03-02,38.93,39.27,37.6,37.71,28.3333,7766447
2009-03-03,37.71,38.02,36.43,36.45,27.3868,7825368
2009-03-04,36.86,38.13,35.96,37.4,28.1003,4880700
2009-03-05,36.65,37.1,35.62,35.79,26.8909,5094962
2009-03-06,36.01,36.6,34.31,34.88,26.207,6325176
2009-03-09,34.5,34.62,33.64,33.81,25.4029,5181952
2009-03-10,34.27,34.67,33.56,34.61,26.0043,5267188
2009-03-11,34.75,34.99,33.52,33.57,25.2229,4523939
2009-03-12,33.6,35.33,33.2,34.84,26.1768,6144628
2009-03-13,35.1,35.1,33.5,33.82,25.4107,6029266
2009-03-16,34,35.46,33.71,34.64,26.0265,5441067
2009-03-17,34.83,35.39,34.05,35.39,26.5907,3380871
2009-03-18,35.32,36.63,34.86,36.33,27.2965,4754626
2009-03-19,36.73,36.73,35.85,36.21,27.2065,3990989
2009-03-20,36.38,36.46,35.19,35.35,26.5603,6591884
2009-03-23,35.9,35.9,35.13,35.3,26.5224,7282535
2009-03-24,35.05,36.41,35.03,35.99,27.0411,10691055
