Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,29.55,30.45,29.11,30.34,19.7279,536705
2009-01-05,30.4,31.51,30,31.14,20.2479,902106
2009-01-06,31.62,32.3,31.39,32.09,20.8655,1043237
2009-01-07,31.31,31.63,30.72,30.98,20.144,711570
2009-01-08,31.09,31.87,30.5888,31.76,20.6512,858108
2009-01-09,31.65,31.88,30.82,30.92,20.1051,758801
2009-01-12,30.75,30.9,29.18,29.44,19.1427,871610
2009-01-13,29.47,29.47,28.67,29.27,19.0321,1042822
2009-01-14,28.52,28.52,27.214,27.72,18.0242,1163820
2009-01-15,27.92,28.09,25.99,27.19,17.6797,1802599
2009-01-16,28.21,28.21,26.29,26.9,17.491,1424294
2009-01-20,26.5,26.5,24.07,24.25,15.768,2013368
2009-01-21,25.4,25.75,23.83,25.75,16.7435,1603208
2009-01-22,24.58,24.66,23.79,23.86,15.7565,1907837
2009-01-23,23.29,23.58,22.73,22.79,15.0498,2019855
2009-01-26,23.61,24.5,23.26,24.07,15.8953,1701255
2009-01-27,24.35,25.17,24.29,25.04,16.5359,1596149
2009-01-28,26,26.78,25.76,26.07,17.2161,1548941
2009-01-29,25.66,26.03,24.67,24.81,16.384,1264382
2009-01-30,25.23,25.23,24.05,24.58,16.232,1532979
2009-02-02,24.02,24.5,23.41,24.24,16.0077,1110826
2009-02-03,24.78,25.09,24.08,25.01,16.5164,1120074
2009-02-04,25.29,25.71,24.55,24.83,16.3972,1157071
2009-02-05,24.66,25.56,24.33,25.41,16.78,1238802
2009-02-06,24.93,26.14,24.77,25.81,17.0446,2037287
2009-02-09,26.23,26.42,25.58,26.18,17.2889,1321027
2009-02-10,25.96,26.13,24.36,24.65,16.2786,2479429
2009-02-11,24.74,25.02,24.25,24.62,16.2586,2293368
2009-02-12,24.18,24.67,23.52,24.65,16.2786,2921632
2009-02-13,24.74,25.13,24.14,24.22,15.9945,2566336
2009-02-17,24.36,24.36,22.22,22.22,14.6738,3255696
2009-02-18,22.59,22.59,21.23,21.51,14.2045,3486429
2009-02-19,21.93,22.39,21.63,22.03,14.5481,2720320
2009-02-20,21.5,22.15,20.78,21.65,14.2973,4343445
2009-02-23,22.33,22.33,20.61,20.62,13.6169,3120888
2009-02-24,20.85,22.88,20.51,22.77,15.037,3768526
2009-02-25,22.82,24.28,21.62,23.91,15.7898,4212156
2009-02-26,25.29,26.15,24.3999,25.3,16.7077,4237053
2009-02-27,24.19,24.82,24.08,24.27,16.0275,4081782
2009-03-02,23.52,23.52,22.56,23.13,15.2749,2895957
2009-03-03,23.59,23.74,22.22,22.95,15.1559,2601521
2009-03-04,23.77,24.34,22.59,24.02,15.8624,2456937
2009-03-05,23.36,23.68,22.35,22.63,14.9444,2675427
2009-03-06,22.97,23.2,22.5,22.99,15.1821,3018810
2009-03-09,22.5,22.725,22.02,22.17,14.6406,2430760
2009-03-10,23.06,25.66,22.77,25.61,16.9124,3553271
2009-03-11,25.93,26.7401,25.42,26.11,17.2428,3049688
2009-03-12,25.85,27.66,25.5301,27.51,18.1669,2920669
2009-03-13,27.76,28.01,26.96,27.75,18.3253,2237946
2009-03-16,28.52,29.1997,27.89,27.91,18.4313,2579664
2009-03-17,28.1,28.68,27.54,28.64,18.9133,2409648
2009-03-18,28.59,29.49,27.7,29.27,19.3292,3709265
2009-03-19,30.11,30.16,28.5,28.66,18.9264,3013330
2009-03-20,28.8,28.95,27.77,28.37,18.7349,2399248
2009-03-23,29.46,31,29.36,31,20.4719,3724401
2009-03-24,30.67,30.95,29.85,29.87,19.7256,3527174
2009-03-25,30.09,30.98,29.21,30.06,19.8512,3928463
2009-03-26,30.6,30.7,29.66,30.65,20.2409,2758102
2009-03-27,29.88,30.37,29.6,29.79,19.6728,2403317
2009-03-30,28.66,28.67,27.73,27.91,18.4313,2751917
2009-03-31,28.71,29.48,28.48,28.92,19.0983,2421291
2009-04-01,28.62,29.83,27.96,29.7,19.6134,2821453
2009-04-02,31.21,31.21,30.48,30.6,20.2074,3082227
2009-04-03,30.6,31.49,30.45,31.35,20.7027,3004131
2009-04-06,30.99,31.15,30.28,31.09,20.5314,2138896
2009-04-07,30.1,30.48,29.73,30.18,19.9302,2432508
2009-04-08,30.34,30.7,29.98,30.53,20.1615,1701870
2009-04-09,31.69,32.35,31.61,32.35,21.3632,2422319
2009-04-13,31.63,33.54,31.63,33.18,21.9114,1984621
2009-04-14,33.4,34.4,33.21,33.28,21.9775,2917075
2009-04-15,32.92,34.24,32.92,34.18,22.5721,1708431
2009-04-16,34.64,35.14,33.96,35,23.1134,1960951
2009-04-17,34.76,36.04,34.52,35.51,23.45,2165759
2009-04-20,34.75,34.75,33.48,33.56,22.1622,2501268
2009-04-21,31.98,33.92,31.45,33.46,22.3677,2652096
2009-04-22,32.94,34.02,32.87,33.24,22.2202,2251889
2009-04-23,33.39,34.17,33.2899,34.16,22.8357,1923776
2009-04-24,34.5,35.23,34.33,34.8,23.2634,2167723
2009-04-27,33.83,34.96,33.83,34.19,22.8555,1577852
2009-04-28,33.35,34.39,33.35,33.99,22.7221,1319248
2009-04-29,34.55,35.37,34.55,35.06,23.4373,1700090
2009-04-30,35.72,36.23,35.1,35.34,23.6241,1766272
2009-05-01,35.35,35.62,35.13,35.42,23.6779,997965
2009-05-04,36.02,37.06,35.76,37.03,24.7542,1518418
2009-05-05,36.62,37.62,36.62,37.31,24.9413,1747654
2009-05-06,37.72,38.56,37.36,38.49,25.7302,1698208
2009-05-07,39,39.15,37.17,37.5,25.0685,1726196
2009-05-08,38.67,38.97,37.67,38.92,26.0172,1401484
2009-05-11,37.99,38.22,37.62,37.81,25.2757,1047888
2009-05-12,38.39,38.39,36.63,37.28,24.9212,1235568
2009-05-13,36.57,36.74,34.98,35.14,23.4906,1917052
2009-05-14,35,36.5,35,36.23,24.2191,1681831
2009-05-15,36.2,36.625,35.38,35.43,23.6845,1545187
