Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,31.5,31.5,30.24,30.26,9.7122,1296441
2009-01-05,30.2,31.12,29.7397,30,9.6286,1447724
2009-01-06,30.22,31.25,29.33,31.07,9.9721,1670753
2009-01-07,30.82,30.93,29.68,29.86,9.5836,1319344
2009-01-08,29.77,30.77,29.5,30.38,9.7506,1046192
2009-01-09,30.36,30.36,28.94,28.99,9.3045,1124589
2009-01-12,28.98,29.26,27.77,28.12,9.0253,1184208
2009-01-13,27.89,29.05,27.6,28.78,9.2371,1041282
2009-01-14,28.36,28.42,27.06,27.21,8.7333,1772711
2009-01-15,27.15,28.96,26.25,28.73,9.2211,1968298
2009-01-16,29.97,30.31,28.35,30.24,9.7057,1951726
2009-01-20,29.89,30.1799,27.59,27.84,8.9353,2425923
2009-01-21,28.49,30.32,27.37,29.76,9.5515,2101393
2009-01-22,29.46,29.91,28.02,28.59,9.176,1976670
2009-01-23,27.75,29.4,27.25,29.25,9.3879,1577256
2009-01-26,29.32,29.91,28.36,28.89,9.2724,1173376
2009-01-27,29.98,30.24,29.32,30.02,9.6351,1219515
2009-01-28,30.82,32.4,30.42,32.18,10.3283,1892982
2009-01-29,31.82,32.1,30.06,30.2,9.693,2242317
2009-01-30,30.61,30.75,29.04,29.44,9.4488,2039883
2009-02-02,28.76,30.29,28.46,30.12,9.6671,1555798
2009-02-03,30.07,30.29,29.26,29.97,9.619,1249816
2009-02-04,29.96,30.5,29.34,29.41,9.4392,1071706
2009-02-05,29.23,30.13,28.56,29.31,9.4071,1489820
2009-02-06,29.55,31.87,29.32,31.78,10.1998,1816724
2009-02-09,31.32,32.21,31.15,32.08,10.2964,884120
2009-02-10,31.52,31.88,29.83,29.93,9.606,2562575
2009-02-11,30.39,30.89,29.49,30.81,9.8887,1779957
2009-02-12,29.88,30.97,28.99,30.56,9.8084,2292150
2009-02-13,30.5,30.69,29.31,29.35,9.4202,1803497
2009-02-17,28.87,28.94,28.18,28.42,9.1215,2807747
2009-02-18,28.74,28.89,27.72,28.41,9.1184,1604310
2009-02-19,28.91,29.02,27.19,27.38,8.7878,1710323
2009-02-20,26.9,28.89,26.25,28.74,9.2242,2762116
2009-02-23,29.11,29.11,27.27,27.45,8.8102,2508675
2009-02-24,27.87,29.14,27.2,29.08,9.3335,2833366
2009-02-25,28.75,28.78,27.17,27.79,8.9193,2448353
2009-02-26,27.99,28.44,26.82,26.96,8.6529,2417516
2009-02-27,26.39,27.4,26.14,26.6,8.5375,2254024
2009-03-02,25.97,26.48,24.84,25.05,8.04,2901274
2009-03-03,25.65,25.91,24.76,25.4,8.1524,2360876
2009-03-04,25.98,26.32,24.75,25.47,8.1747,2445960
2009-03-05,25.01,25.23,23.27,23.54,7.5553,2798499
2009-03-06,23.77,24.17,22.28,23.38,7.6667,2940507
2009-03-09,23.01,23.57,22.42,23.02,7.5487,2362143
2009-03-10,23.67,25.3,23.15,25.27,8.2867,3738869
2009-03-11,25.46,26.05,24.53,25.53,8.3718,2560921
2009-03-12,25.56,26.92,25.25,26.84,8.8013,2232523
2009-03-13,26.82,27.2,25.91,26.76,8.775,1825051
2009-03-16,27.02,27.64,25.74,25.81,8.4636,2771812
2009-03-17,25.86,27.75,25.73,27.7,9.0836,2301054
2009-03-18,27.48,29.27,26.91,29.19,9.572,2824020
2009-03-19,29.26,29.45,27.96,28.1,9.2147,2431043
2009-03-20,28.24,28.57,27.07,27.13,8.8965,2290200
2009-03-23,28,30.75,27.55,30.72,10.0738,3229002
2009-03-24,30.41,31.48,29.06,29.22,9.582,3134545
2009-03-25,29.94,30.37,28.07,30.03,9.8475,2652797
2009-03-26,30.39,30.9,29.15,30.83,10.1098,2587706
2009-03-27,29.84,30.58,29.52,29.54,9.6869,1625006
2009-03-30,28.67,29.25,28.3,28.49,9.3425,2254043
2009-03-31,28.93,30.63,28.85,30.22,9.9098,3161883
2009-04-01,29.54,30.43,29.35,30.21,9.9065,2138359
2009-04-02,31.05,31.73,30.25,31.49,10.3263,3226312
2009-04-03,31.35,32.59,30.52,32.39,10.6213,2974127
2009-04-06,31.96,34.06,31.04,33.74,11.0639,2751799
2009-04-07,33.44,33.44,31.47,31.48,10.3229,2557280
2009-04-08,32.03,32.7,31.69,32.41,10.6279,2050405
2009-04-09,33.25,36.04,32.87,35.99,11.8019,3160479
2009-04-13,35.39,36.75,34.9,36.32,11.91,2041734
2009-04-14,35.99,36,33.61,33.69,11.0476,3207951
