Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,9.41,9.86,9.33,9.84,4.3783,7442783
2009-01-05,9.88,10.06,9.6,9.92,4.4139,8035319
2009-01-06,10.05,10.36,9.95,10.22,4.5474,8804899
2009-01-07,10.04,10.09,9.8,9.99,4.4452,12108268
2009-01-08,9.85,10.19,9.67,10.14,4.5118,10796167
2009-01-09,10.12,10.15,9.61,9.77,4.3472,11192241
2009-01-12,9.81,9.95,9.49,9.59,4.2672,11960554
2009-01-13,9.51,9.78,9.24,9.37,4.1693,10018291
2009-01-14,9.23,9.26,8.83,9.04,4.0223,11060577
2009-01-15,9.06,9.4518,8.88,9.28,4.1292,8874416
2009-01-16,9.485,9.55,9.11,9.46,4.2093,9014143
2009-01-20,9.46,9.52,8.85,8.89,3.9557,7977314
2009-01-21,8.565,9.05,8.5,9.05,4.027,12009326
2009-01-22,8.98,9.33,8.78,9.12,4.058,10665274
2009-01-23,8.88,9.22,8.85,9.08,4.0404,10505439
2009-01-26,9.01,9.28,8.79,9,4.0044,13118195
2009-01-27,8.98,9.24,8.88,9.15,4.0713,12038588
2009-01-28,9.37,9.8,9.23,9.65,4.2939,19169108
2009-01-29,9.25,9.9,9.25,9.65,4.2939,18621831
2009-01-30,9.74,9.76,9.41,9.44,4.2005,16580981
2009-02-02,9.26,9.65,9.24,9.44,4.2005,9953383
2009-02-03,9.36,9.89,9.24,9.83,4.374,13583042
2009-02-04,9.8,10.08,9.72,9.77,4.3472,14176393
2009-02-05,9.63,10.18,9.56,10.13,4.5075,18076906
2009-02-06,10.07,10.63,9.95,10.54,4.6897,12395543
2009-02-09,10.39,10.77,10.21,10.72,4.7699,10061715
2009-02-10,10.49,10.72,9.89,9.9,4.4051,18193804
2009-02-11,10.05,10.1,9.71,9.99,4.4452,11392909
2009-02-12,9.875,10.18,9.74,10.18,4.5296,11962862
2009-02-13,10.18,10.3,9.95,10.13,4.5075,8855539
2009-02-17,9.705,9.78,9.34,9.65,4.2939,16365371
2009-02-18,9.63,9.76,9.44,9.65,4.2939,10152255
2009-02-19,9.67,9.95,9.49,9.52,4.2359,10505644
2009-02-20,9.4,9.715,9.25,9.58,4.2627,12500237
2009-02-23,9.62,9.74,9.11,9.16,4.0758,13521473
2009-02-24,9.12,9.58,9.095,9.53,4.2405,15660731
2009-02-25,9.49,9.62,9.27,9.42,4.1915,10321243
2009-02-26,9.31,9.55,8.99,9.02,4.0136,12265766
2009-02-27,8.915,9.24,8.9,9.15,4.0713,13789910
2009-03-02,8.98,9.14,8.76,8.77,3.9023,9073936
2009-03-03,9.01,9.01,8.53,8.58,3.8177,11104538
2009-03-04,8.64,8.952,8.63,8.83,3.9289,10076205
2009-03-05,8.66,8.89,8.54,8.56,3.8087,11089866
2009-03-06,8.66,8.69,8.12,8.36,3.7197,13512701
2009-03-09,8.33,8.62,8.21,8.27,3.6799,9523469
2009-03-10,8.47,9.19,8.33,9.13,4.0626,15738415
2009-03-11,9.2,9.4,8.95,9.22,4.1025,8197238
2009-03-12,9.19,10.1,9.13,10.07,4.4806,16264843
2009-03-13,10.07,10.65,10.02,10.56,4.6989,15060299
2009-03-16,10.63,11,10.56,10.78,4.7966,17622304
2009-03-17,10.67,11.15,10.66,11.14,4.9569,14880183
2009-03-18,11.07,11.63,10.96,11.5,5.1169,12418088
2009-03-19,11.63,11.68,11.38,11.59,5.1572,10918530
2009-03-20,11.61,11.88,11.05,11.16,4.9658,16751595
2009-03-23,11.46,12.12,11.2,12.06,5.3662,12286811
2009-03-24,11.93,12.06,11.32,11.32,5.0369,12187355
2009-03-25,11.46,11.61,10.74,11.16,4.9658,18616986
2009-03-26,11.31,12.43,11.2,12.39,5.5131,20598198
2009-03-27,12.01,12.16,11.72,11.77,5.2373,10356842
2009-03-30,11.48,11.635,11.12,11.26,5.0102,8896926
2009-03-31,11.45,11.45,11.05,11.11,4.9436,12226269
2009-04-01,10.99,11.25,10.81,11.17,4.9702,9945189
2009-04-02,11.45,12,11.31,11.82,5.2594,19706146
2009-04-03,11.78,11.93,11.46,11.69,5.2015,11368083
2009-04-06,11.49,11.66,11.24,11.42,5.0816,8869097
2009-04-07,11.15,11.31,10.95,11.19,4.9792,9904004
2009-04-08,11.32,11.61,11.25,11.49,5.1126,8986355
2009-04-09,11.86,12.15,11.66,12,5.3394,11980556
2009-04-13,11.86,12.11,11.72,12.01,5.3439,7923373
2009-04-14,11.9,11.96,11.74,11.87,5.2817,14643588
2009-04-15,11.16,11.72,11.13,11.66,5.1883,18199904
2009-04-16,11.43,11.7,11.41,11.61,5.166,18334458
2009-04-17,11.52,12.22,11.51,12.06,5.3662,18097407
2009-04-20,11.63,11.72,11.25,11.37,5.0592,12591875
2009-04-21,11.21,11.84,11.2,11.81,5.2551,13792559
2009-04-22,11.69,12.7,11.54,12.57,5.5933,22396268
2009-04-23,12.5,13.4,12.47,13.36,5.9447,24049710
2009-04-24,13.23,13.65,13.12,13.51,6.0114,18052521
2009-04-27,13.21,13.63,12.95,13.2,5.8736,14326653
2009-04-28,12.96,13.98,12.96,13.5,6.0071,16529740
2009-04-29,13.67,13.962,13.45,13.69,6.0916,15067001
2009-04-30,13.76,15.44,13.7,14.46,6.434,33587580
2009-05-01,14.42,14.5,13.72,13.8,6.1406,19302821
2009-05-04,14,14.47,13.9,14.24,6.3363,16279321
2009-05-05,14.28,14.42,14,14.22,6.3273,11808004
2009-05-06,14.32,14.39,13.75,14.02,6.2383,13216646
2009-05-07,14.12,14.49,13.79,14.01,6.2338,16103686
2009-05-08,14.12,14.24,13.53,13.66,6.0782,18235423
2009-05-11,13.37,13.75,13.02,13.45,5.9849,11759761
2009-05-12,13.39,13.6,12.92,13.18,5.8647,9964046
2009-05-13,13.15,13.16,12.74,12.75,5.6733,11518724
2009-05-14,12.7,13.08,12.65,12.73,5.6643,9191764
2009-05-15,12.79,13.25,12.52,12.94,5.7578,11453436
2009-05-18,13.13,13.42,12.94,13.39,5.9581,9096071
2009-05-19,13.35,13.67,13.22,13.42,5.9714,6794033
2009-05-20,13.52,14.01,13.42,13.55,6.0292,17025915
2009-05-21,13.39,13.5925,13.3,13.43,5.9758,21563101
2009-05-22,13.52,13.5806,12.96,13,5.7845,16848581
2009-05-26,12.55,13.61,12.55,13.5,6.0071,15847744
2009-05-27,13.48,13.89,13.3,13.4,5.9626,10879040
2009-05-28,13.525,13.78,13.23,13.71,6.1003,13410468
2009-05-29,13.79,14.3929,13.72,14.39,6.4029,17483582
2009-06-01,14.57,14.99,14.41,14.92,6.6387,11623080
2009-06-02,14.75,15.08,14.67,14.82,6.5943,8498476
2009-06-03,14.71,15.3,14.68,15.3,6.808,13570982
2009-06-04,15.28,15.38,15.02,15.17,6.75,13720303
2009-06-05,15.39,15.4,15.02,15.09,6.7145,8627353
2009-06-08,14.69,15.12,14.65,14.97,6.6612,11981891
2009-06-09,14.96,15.34,14.9,15.2,6.7635,9469224
2009-06-10,15.18,15.4,14.64,14.9,6.6298,12264477
2009-06-11,14.85,15.04,14.22,14.26,6.3452,14525579
2009-06-12,14.17,14.56,14.02,14.55,6.4741,10849644
2009-06-15,14.36,14.44,13.92,14.12,6.2828,8859085
2009-06-16,14.14,14.26,13.88,14,6.2294,9079710
2009-06-17,13.94,14.61,13.88,14.3,6.363,15168832
2009-06-18,14.24,14.53,14.1,14.11,6.2782,8661219
2009-06-19,14.1,14.56,14.07,14.24,6.3363,12846510
2009-06-22,14,14.1,13.54,13.71,6.1003,10290813
2009-06-23,13.89,14.38,13.79,14.16,6.3006,15469169
2009-06-24,14.28,14.56,14.08,14.21,6.3229,9975353
2009-06-25,14.15,14.875,14.1,14.84,6.6032,12042869
2009-06-26,14.74,14.96,14.5041,14.53,6.4653,14921084
2009-06-29,14.74,14.8676,14.415,14.64,6.5142,6652838
2009-06-30,14.41,14.57,13.79,13.89,6.1804,21566522
2009-07-01,13.98,14.295,13.95,14,6.2294,14710148
2009-07-02,13.87,13.98,13.36,13.39,5.9581,13383680
2009-07-06,13.26,13.6,13.16,13.4,5.9626,9209039
2009-07-07,13.45,13.5,12.95,12.97,5.7711,9431148
2009-07-08,13.04,13.1799,12.76,13.04,5.8023,13017652
2009-07-09,13.06,13.8,12.98,13.64,6.0692,19771016
2009-07-10,13.53,13.91,13.33,13.45,5.9849,10428300
2009-07-13,13.45,14.075,13.3,14.05,6.2517,14897959
2009-07-14,13.9,14.19,13.68,14.11,6.2782,12585397
2009-07-15,14.18,14.43,14.06,14.42,6.4165,11760803
2009-07-16,14.34,14.57,14.23,14.41,6.4118,7819115
2009-07-17,14.53,14.56,14.26,14.44,6.4252,8677098
2009-07-20,14.45,14.95,14.44,14.92,6.6387,10519390
2009-07-21,15.03,15.05,14.41,14.69,6.5364,16794116
2009-07-22,16,17.59,15.95,17.39,7.7379,76003826
2009-07-23,17.2,17.32,16.86,17.26,7.6801,23898949
2009-07-24,17.23,17.46,16.9,17.22,7.6622,10507058
2009-07-27,17.35,17.5,16.95,17.3,7.6978,12886363
2009-07-28,17.12,17.49,17.08,17.36,7.7245,8616416
2009-07-29,17.26,17.44,17.01,17.16,7.6355,8460554
2009-07-30,17.44,17.84,17.26,17.63,7.8446,13892891
2009-07-31,17.49,17.9,17.45,17.7,7.8758,9436753
2009-08-03,17.98,18.332,17.67,18.27,8.1293,14490495
2009-08-04,18.1,18.7,18.08,18.7,8.3206,14968616
2009-08-05,18.75,18.98,18.37,18.5,8.2317,17782915
2009-08-06,18.44,18.63,18.19,18.3,8.1429,13569893
2009-08-07,18.63,19.15,18.43,19.03,8.4675,14511319
2009-08-10,18.81,19.38,18.73,19.2,8.5432,16351511
2009-08-11,19.16,19.16,18.6,18.86,8.3921,13863553
2009-08-12,18.88,19.44,18.79,19.23,8.5566,12444122
2009-08-13,19.3,19.69,19.01,19.64,8.7391,14953128
2009-08-14,19.46,19.55,18.84,19.12,8.5077,11645609
2009-08-17,18.72,18.7673,18.3899,18.62,8.2852,11296730
2009-08-18,18.65,19.05,18.62,19.01,8.4586,8941099
2009-08-19,18.77,19.18,18.74,19.12,8.5077,8900778
2009-08-20,19.05,19.35,19.02,19.22,8.5522,9076867
2009-08-21,19.37,19.79,19.24,19.71,8.7702,9435377
2009-08-24,19.74,19.85,19.11,19.24,8.561,10992748
2009-08-25,19.24,19.74,19.21,19.5,8.6767,9932334
2009-08-26,19.45,19.68,19.21,19.35,8.61,8390897
2009-08-27,19.33,19.56,18.91,19.44,8.65,8092446
2009-08-28,19.61,19.7,19.1575,19.33,8.6011,6648141
2009-08-31,19.23,19.28,18.85,18.99,8.4497,10591620
2009-09-01,18.98,19.35,18.42,18.56,8.2585,14669245
2009-09-02,18.48,18.75,18.38,18.56,8.2585,8550013
2009-09-03,18.6,18.69,18.21,18.69,8.3163,11313508
2009-09-04,18.71,19.15,18.46,19.02,8.4632,7856560
2009-09-08,19.07,19.25,18.95,19.2,8.5432,7430808
2009-09-09,19.2,20.21,19.13,20.09,8.9394,20608082
2009-09-10,20.12,20.24,19.67,19.97,8.8858,16375231
2009-09-11,19.99,20.02,19.66,19.89,8.8502,9638116
2009-09-14,19.67,20.19,19.58,20.08,8.9348,9215417
2009-09-15,20,20.16,19.72,19.79,8.8057,10759954
2009-09-16,19.83,19.8505,19.55,19.85,8.8325,9997072
2009-09-17,19.81,20.48,19.74,20.08,8.9348,9714321
2009-09-18,20.46,20.94,20.34,20.76,9.2375,14498515
2009-09-21,20.63,20.88,20.34,20.67,9.1972,9089955
2009-09-22,20.66,20.77,20.38,20.47,9.1084,7151612
2009-09-23,20.4,20.4599,19.66,19.69,8.7612,11827042
2009-09-24,19.8,19.92,19.01,19.17,8.5298,16467884
2009-09-25,19.13,20.11,19.02,19.83,8.8236,17940080
2009-09-28,19.94,20.77,19.88,20.62,9.1749,12924129
2009-09-29,20.68,20.76,20.17,20.38,9.0682,9307912
2009-09-30,20.37,20.73,19.72,20.65,9.1885,14158485
2009-10-01,20.54,20.6,19.8,19.97,8.8858,11801564
2009-10-02,19.73,20.0701,19.59,19.74,8.7834,8507573
2009-10-05,19.81,20.14,19.6,20.06,8.9258,7283983
2009-10-06,20.05,20.73,19.95,20.53,9.1352,10892305
2009-10-07,20.47,20.6,20.18,20.4,9.0773,6997092
2009-10-08,20.46,20.99,20.37,20.47,9.1084,10437606
2009-10-09,20.37,20.62,20.1,20.24,9.006,8891637
2009-10-12,20.16,20.54,20.08,20.36,9.0592,10019400
2009-10-13,20.43,20.43,20.03,20.19,8.9838,6760137
2009-10-14,20.43,20.72,20.32,20.54,9.1396,7439051
2009-10-15,20.35,20.725,20.29,20.72,9.2194,10143248
