Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,38.77,41.75,38.29,41.49,23.4852,832009
2009-01-05,41.3,42.54,39.88,41.32,23.3891,984191
2009-01-06,41.77,42.87,41.02,42.54,24.0797,1190866
2009-01-07,41.85,42.57,39.5,40.55,22.9532,1685063
2009-01-08,44.875,50.36,44.67,49.98,28.2911,6907384
2009-01-09,49.1,50.33,45.8,46.73,26.4514,3471147
2009-01-12,46.92,47.27,45.23,46.52,26.3326,1649136
2009-01-13,46.34,46.81,45.01,45.95,26.0099,1222381
2009-01-14,44.84,45.38,43.36,44.36,25.1099,1490143
2009-01-15,44.48,47.95,43.91,47.23,26.7344,1807568
2009-01-16,47.92,49.28,46.37,49.21,27.8552,1703873
2009-01-20,47.51,48.89,43.02,43.49,24.6174,1762815
2009-01-21,43.97,45.24,43.17,45.15,25.557,1164050
2009-01-22,43.75,45.14,42.78,43.79,24.7871,1085874
2009-01-23,42.71,44.9,42.37,44.13,24.9797,757215
2009-01-26,43.84,46.45,43.514,45.13,25.5458,856012
2009-01-27,45.2,45.35,43.67,44.53,25.206,646758
2009-01-28,45,47.42,44.96,46.11,26.1005,804299
2009-01-29,45.01,45.82,43.46,43.69,24.7306,826985
2009-01-30,43.75,44.1,40.5,40.92,23.1626,1101852
2009-02-02,40.35,41.25,38.92,39.91,22.591,1188829
2009-02-03,39.2,40.6,38.45,39.8,22.5287,1400799
2009-02-04,39.64,40.44,38.13,38.8,21.9626,1268158
2009-02-05,37.615,40.95,37.6,40.03,22.6589,1643218
2009-02-06,40.36,41.74,40.12,41.42,23.4457,1536648
2009-02-09,41.48,41.74,40.42,40.84,23.1173,1017023
2009-02-10,39.99,41.4,39.04,39.45,22.3305,1404925
2009-02-11,40.65,40.65,38.67,39.46,22.3363,1238823
2009-02-12,39.08,40.11,37.73,40,22.6419,1179140
2009-02-13,39.48,39.95,38.41,38.99,22.0702,709206
2009-02-17,37.81,38.34,37.34,37.46,21.2041,1406234
2009-02-18,38.36,38.5,37.2392,37.69,21.3343,1151267
2009-02-19,37.93,39.07,37.2,37.47,21.2097,1114842
2009-02-20,37.49,38.09,36.43,38.03,21.5267,1314146
2009-02-23,38.09,38.35,34.74,34.85,19.7267,1405674
2009-02-24,34.48,37.95,34.48,37.37,21.1532,1555163
2009-02-25,37,37.4,34.67,35.83,20.2815,1712885
2009-02-26,39.36,39.5,35.54,35.54,20.1173,2144148
2009-02-27,35.17,39,35.17,36.76,20.8079,1787826
2009-03-02,36.41,37.1044,34.85,35.25,19.9531,1324263
2009-03-03,35.99,36.78,34.61,34.95,19.7833,1732904
2009-03-04,35.53,36.8872,35.12,36.36,20.5815,1206670
2009-03-05,35.79,37.08,34.63,35.47,20.0778,1193244
2009-03-06,35.67,36.49,34.27,35.53,20.1117,1340575
2009-03-09,35.51,36.87,34.57,35.01,19.8173,1546557
2009-03-10,35.61,37.75,35.11,37.03,20.9607,1109572
2009-03-11,35.81,40.19,35.81,37.59,21.2777,1160577
2009-03-12,37.67,39.29,36.97,39.29,22.24,910707
2009-03-13,39.18,40.15,38.52,40,22.6419,1207584
2009-03-16,40,40.01,38.07,38.18,21.6117,793830
2009-03-17,38.42,39.51,38.03,39.5,22.3589,1454059
