Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,43,43.6,42.7,43.48,33.1114,1103697
2009-01-05,43.6,44.05,43.42,43.84,33.3857,1219940
2009-01-06,43.91,44.35,43.1,43.76,33.3246,1279875
2009-01-07,43.23,43.61,42.83,43.13,32.845,864076
2009-01-08,42.91,43.58,42.75,43.2,32.8984,851277
2009-01-09,43.02,43.32,41.73,42.83,32.6163,1506579
2009-01-12,42.91,43.58,42.75,43.51,33.1343,1218850
2009-01-13,43.41,44.56,43.41,44.18,33.6443,1444593
2009-01-14,43.2,43.54,42.49,43.51,33.1343,1370356
2009-01-15,43.51,44.03,42.73,43.33,32.9971,1528528
2009-01-16,43.77,44.395,43.5,44.19,33.6521,1399500
2009-01-20,44.4,44.7,42.57,42.7,32.5175,1666572
2009-01-21,43.17,43.45,42.3,43.38,33.0355,1393902
2009-01-22,43.11,43.98,42.38,43.44,33.0808,1577902
2009-01-23,42.81,44.27,42.51,44.17,33.6371,1735080
2009-01-26,44.35,44.75,43.91,44.35,33.7741,1523556
2009-01-27,44.76,45.47,44.42,45.3,34.4975,1111642
2009-01-28,45.56,45.67,44.37,44.59,33.9565,1753026
2009-01-29,44.5,45.81,44.29,45.12,34.3603,1323676
2009-01-30,45.5,45.6,44.63,45.15,34.3831,2016524
2009-02-02,44.57,45.99,44.5,45.61,34.7336,1485413
2009-02-03,45.63,46.38,45.05,46.17,35.1599,1115718
2009-02-04,46.18,46.49,44.56,44.96,34.2383,1549946
2009-02-05,44.74,44.89,44.1,44.52,33.9035,1473905
2009-02-06,44.63,44.74,44.22,44.54,33.9187,1627565
2009-02-09,44.53,44.64,42.59,43.14,32.8522,1525244
2009-02-10,42.97,43.48,41.91,42.18,32.1216,1920220
2009-02-11,42.25,42.5,41.7,42.35,32.4977,1890452
2009-02-12,42.67,43.78,41.86,43.73,33.5566,1953978
2009-02-13,43.54,43.94,43.25,43.41,33.3109,980938
2009-02-17,42.7,42.75,41.99,41.99,32.221,1683086
2009-02-18,42.12,42.25,41.15,41.39,31.761,1137459
2009-02-19,41.39,41.86,41.2328,41.4,31.7681,1005356
2009-02-20,41.02,41.96,40.93,41.54,31.8759,1244659
2009-02-23,41.92,41.92,40.32,40.42,31.0166,986719
2009-02-24,40.59,41.24,40.19,41.14,31.5691,1163713
2009-02-25,39.86,39.86,37.86,38.69,29.6889,4257057
2009-02-26,38.77,38.8,37.21,37.22,28.5608,1715454
2009-02-27,36.89,37.48,36.44,37.12,28.4842,2478975
2009-03-02,36.58,36.99,35.77,36.02,27.6401,2858936
2009-03-03,36.49,36.52,35.16,35.16,26.9803,2054847
2009-03-04,35.67,36.03,34.4803,35.53,27.2639,2641455
2009-03-05,34.98,35.62,34.09,34.55,26.5123,2029546
2009-03-06,34.66,35.1,34.1,35.01,26.8649,2099768
2009-03-09,34.74,35.17,34.39,34.67,26.6043,1359088
2009-03-10,35.05,35.05,34.33,34.58,26.5352,2647055
2009-03-11,34.91,34.91,34.12,34.22,26.2588,1048466
2009-03-12,34.41,35.73,34.22,35.62,27.3334,1572611
2009-03-13,35.99,36.57,35.44,36.5,28.0084,1228759
2009-03-16,36.6,37.02,36.38,36.45,27.9699,1239999
2009-03-17,36.4,37.18,36.4,37.18,28.5297,702840
2009-03-18,36.89,37.11,36.25,36.63,28.108,1119173
2009-03-19,36.78,36.83,35.77,36.28,27.8397,980793
2009-03-20,36.28,36.86,35.97,36.3,27.8548,1447657
2009-03-23,36.9,37.79,36.36,37.79,28.9981,1022766
2009-03-24,37.55,37.76,36.83,36.83,28.2616,1144438
2009-03-25,37.27,37.27,35.84,36.44,27.9625,1153026
2009-03-26,36.42,36.72,35.9,36.58,28.0697,995838
2009-03-27,36.22,36.83,36.04,36.66,28.1311,865969
2009-03-30,36.22,36.64,35.91,36.26,27.8244,625347
2009-03-31,36.6,37.77,36.6,37.27,28.5996,1476834
2009-04-01,37,38.0899,36.83,37.48,28.7607,1382177
2009-04-02,37.93,38.3,37.5,37.72,28.9445,1724716
2009-04-03,37.67,38.11,37.65,37.99,29.1514,890786
2009-04-06,37.81,38.23,37.36,37.7,28.9292,871844
2009-04-07,37.27,37.73,37.16,37.46,28.7452,671703
2009-04-08,37.77,38.94,37.56,38.72,29.7118,1282263
2009-04-09,39.25,39.8,38.53,38.81,29.7809,960570
2009-04-13,38.67,38.938,38.46,38.61,29.627,529229
2009-04-14,38.43,38.61,37.87,38.19,29.3052,749983
2009-04-15,38.01,38.93,37.98,38.86,29.8193,463114
2009-04-16,38.9,39.21,38.14,39.08,29.988,857891
2009-04-17,39.15,39.46,38.4,38.72,29.7118,1089798
2009-04-20,38.47,38.71,37.9,38.52,29.5583,1149286
2009-04-21,38.56,39.1,38.5,38.95,29.8884,1076501
2009-04-22,38.84,39.05,38.33,38.4,29.4664,1362938
2009-04-23,38.34,38.92,38.04,38.6,29.6203,1377675
2009-04-24,38.73,38.96,38,38.28,29.3745,1263730
2009-04-27,38.25,38.66,37.89,37.95,29.1211,1077114
2009-04-28,38,38.325,37.57,37.96,29.1286,1047762
2009-04-29,38.15,39.24,38.13,38.91,29.8575,1158675
2009-04-30,39.17,39.8,39.06,39.4,30.2335,1299611
2009-05-01,39.4,39.7,39.19,39.53,30.3335,898776
2009-05-04,39.43,41.22,39.27,41.22,31.6303,1544381
2009-05-05,40.96,41.43,40.72,40.91,31.3922,899258
2009-05-06,41.25,41.46,40.26,40.56,31.1241,874582
2009-05-07,40.86,40.9,40,40.23,30.8707,1162088
2009-05-08,40.27,40.8925,40.27,40.7,31.2313,743011
2009-05-11,40.32,40.54,40.02,40.25,30.8861,957240
2009-05-12,40.51,41.22,40.21,41.08,31.5231,1088098
2009-05-13,40.58,40.755,40.04,40.1,31.035,938644
2009-05-14,40.23,40.51,39.81,40.2,31.1126,814762
2009-05-15,40.26,40.47,39.54,39.75,30.7643,1324873
2009-05-18,39.86,40.11,39.37,39.75,30.7643,1164263
2009-05-19,39.75,41.135,39.75,40.67,31.4763,1108357
2009-05-20,40.88,40.96,40,40.01,30.9656,1007921
2009-05-21,39.91,39.95,39.3,39.69,30.7181,1120794
2009-05-22,39.68,39.87,39.45,39.52,30.5863,786551
2009-05-26,39.4,40.41,39.24,40.35,31.2291,981972
2009-05-27,40.44,40.59,39.77,39.8,30.803,758002
2009-05-28,40,40.14,39.53,40,30.9578,846557
2009-05-29,40.05,40.26,39.73,40.26,31.1589,651770
2009-06-01,40.68,41.55,40.51,41.3,31.9637,813050
2009-06-02,41.39,42.65,41.31,42.38,32.7998,1068512
2009-06-03,42.23,43.43,42.18,43.04,33.3108,1198034
2009-06-04,42.98,43.27,42.73,43,33.2798,751339
2009-06-05,43.49,43.84,43.08,43.46,33.6358,1393107
2009-06-08,43.39,44.03,43.185,43.78,33.8835,1036561
2009-06-09,43.97,44.08,43.51,43.75,33.8604,770673
2009-06-10,44.06,44.06,42.71,43.26,33.4808,682421
2009-06-11,43.26,44.35,43.06,43.78,33.8835,801332
2009-06-12,43.77,44.21,43.56,44.1,34.1314,987963
2009-06-15,43.9,43.9,43.26,43.47,33.6436,1055040
2009-06-16,43.84,43.84,43.04,43.09,33.3495,897977
2009-06-17,43.1,43.97,43.1,43.64,33.775,1179465
2009-06-18,47.79,48.68,46.78,47.86,37.0412,5550150
2009-06-19,47.84,47.9,47.18,47.47,36.7394,1927976
2009-06-22,47.25,47.75,47,47.6,36.8398,1327279
2009-06-23,47.69,48.11,47.5,47.94,37.1031,1440372
2009-06-24,48.12,48.7,47.97,48.42,37.4742,1287450
2009-06-25,48.15,48.67,47.75,48.62,37.6291,967958
2009-06-26,48.61,48.7,48,48.38,37.4435,1292371
2009-06-29,48.19,48.93,48.14,48.85,37.8076,639815
2009-06-30,48.9,48.9,48.1,48.66,37.6604,1486924
2009-07-01,48.75,49.37,48.41,48.98,37.9082,1364678
2009-07-02,48.65,48.65,47.93,48.21,37.3119,1090291
2009-07-06,48.01,48.87,47.72,48.87,37.8229,870450
2009-07-07,48.76,49.05,48.14,48.23,37.3274,1099105
2009-07-08,48.56,48.69,48.06,48.46,37.5055,1094765
2009-07-09,48.5,48.71,47.74,47.87,37.0487,1064290
2009-07-10,47.7,48.36,47.7,48.05,37.1885,802961
2009-07-13,48.23,48.62,47.63,48.58,37.5981,767125
2009-07-14,48.72,48.87,48.25,48.87,37.8229,742887
2009-07-15,49.16,49.87,48.91,49.85,38.5812,1444113
2009-07-16,49.82,50,49.38,49.73,38.4884,679146
2009-07-17,49.55,49.55,48.73,49.22,38.0937,1059615
2009-07-20,49.48,49.7,48.82,49.58,38.3724,673107
2009-07-21,49.83,50,49.36,49.91,38.6275,661072
2009-07-22,49.63,49.98,49.52,49.78,38.527,822018
2009-07-23,49.79,50.34,49.79,50.2,38.8519,1692715
2009-07-24,50.1,50.66,50.06,50.59,39.154,889154
2009-07-27,50.65,50.89,50,50.42,39.0226,437030
2009-07-28,50.28,50.67,50.08,50.61,39.1695,800931
2009-07-29,50.41,50.67,50.15,50.55,39.1232,712381
2009-07-30,50.85,51.06,50.13,50.25,38.8907,1094509
2009-07-31,50.31,50.85,50,50.03,38.7205,861546
2009-08-03,50.42,50.42,49.43,50.11,38.7829,1632516
2009-08-04,50,50.56,49.51,49.63,38.411,1009838
2009-08-05,49.74,49.9,49.08,49.47,38.287,617230
2009-08-06,49.47,49.96,49.47,49.55,38.3489,563665
2009-08-07,49.75,50.76,49.72,50.66,39.2082,1039432
2009-08-10,50.57,51.5,50.3,51.49,39.8508,724799
2009-08-11,51.7,52,51.35,51.76,40.0597,926144
2009-08-12,51.4,51.9,51.15,51.53,40.153,643026
2009-08-13,51.44,52.09,51.24,52.08,40.5814,693308
2009-08-14,52.2,52.5,51.68,51.94,40.4726,1402120
2009-08-17,51.77,52,50.64,50.85,39.6232,954210
2009-08-18,50.82,51.02,50.1,50.34,39.2258,1368122
2009-08-19,50.12,50.92,50.05,50.86,39.6308,960611
2009-08-20,50.99,51.94,50.99,51.88,40.4257,1383804
2009-08-21,53.95,55.36,53.56,54.1,42.1558,2555872
2009-08-24,54.3,54.58,52.84,53.16,41.423,1023976
2009-08-25,53.27,53.47,52.33,52.47,40.8856,1064067
2009-08-26,52.63,52.7,51.73,51.9,40.4413,985996
2009-08-27,51.69,52.04,51.33,51.92,40.4569,672193
2009-08-28,51.88,52.45,51.69,51.9,40.4413,801300
2009-08-31,51.85,52.28,51.7,52.27,40.7297,737891
2009-09-01,52.24,52.28,51.11,51.33,39.9972,849571
2009-09-02,51.31,51.75,51.12,51.46,40.0985,602333
2009-09-03,51.57,51.69,50.9,51.59,40.1997,1310303
2009-09-04,51.27,51.75,51,51.73,40.3089,604709
2009-09-08,51.96,53.05,51.9,53.01,41.306,962665
2009-09-09,53.06,53.86,52.82,53.12,41.3918,1172170
2009-09-10,53.2,53.44,52.49,53.44,41.6411,998902
2009-09-11,53.61,54,53.32,53.84,41.9528,728016
2009-09-14,53.62,53.62,53.14,53.34,41.5635,651817
2009-09-15,53.24,53.25,52.51,52.77,41.1192,665294
2009-09-16,52.7,52.78,52.27,52.53,40.9323,997281
2009-09-17,52.55,52.66,51.84,52.1,40.5974,987277
2009-09-18,52.19,53.23,51.34,53.13,41.4001,1365414
2009-09-21,53.09,53.84,52.6,53.53,41.7116,863922
2009-09-22,53.73,53.73,52.94,53.26,41.5008,955926
2009-09-23,53.5,54.25,53.1,53.78,41.906,1128059
2009-09-24,53.87,54.11,53.2,53.47,41.6645,632309
2009-09-25,53.34,53.7907,52.76,53.5,41.6882,915551
2009-09-28,53.74,54.38,53.38,54.28,42.296,644118
2009-09-29,54.27,54.55,53.79,53.98,42.0621,1610404
2009-09-30,54.02,54.27,52.54,53.01,41.306,1702405
2009-10-01,52.98,53.31,52.82,53.19,41.4464,1077681
2009-10-02,53.02,53.84,52.77,53.64,41.7971,1081647
2009-10-05,53.58,53.819,53.08,53.8,41.9215,652973
2009-10-06,53.75,54.25,53.56,54.21,42.2412,805712
2009-10-07,54.12,54.2,53.9375,54.12,42.1713,415957
2009-10-08,54.22,54.41,54.01,54.28,42.296,638491
2009-10-09,54.38,54.58,52.86,54.4,42.3894,1458538
2009-10-12,54.22,54.58,53.99,54.17,42.2103,743739
2009-10-13,53.92,54.07,52.7,53.73,41.8675,962911
2009-10-14,53.89,53.96,53.56,53.9,41.9997,536434
2009-10-15,53.65,54.18,53.5,54.17,42.2103,582970
2009-10-16,54.12,54.54,53.56,54.32,42.327,989699
2009-10-19,54.48,55,54.24,54.69,42.6153,548471
2009-10-20,54.53,54.92,54.35,54.42,42.4047,760133
2009-10-21,54.42,54.98,53.83,53.88,41.9843,876316
2009-10-22,53.88,53.88,52.9,53.43,41.6337,855805
2009-10-23,53.54,53.54,52.65,52.84,41.1738,704570
2009-10-26,52.96,53.03,51.94,52.4,40.8309,727916
2009-10-27,52.55,53.25,52.41,52.82,41.1581,499220
2009-10-28,52.84,52.89,52.05,52.08,40.5814,713452
