Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,42.75,46.2,42.35,45.62,35.7702,10122846
2009-01-05,45.12,48.99,44.81,46.82,36.7106,13668195
2009-01-06,47.9,49.25,47.22,47.6,37.3223,13246179
2009-01-07,46.45,46.78,44.53,45.61,35.7621,10124082
2009-01-08,45.25,46.13,44.18,45.83,35.9347,11151050
2009-01-09,45.66,45.66,42.64,43,33.7157,11239925
2009-01-12,42.34,43.24,40.85,41.35,32.4218,11937509
2009-01-13,41.4,42.98,40.73,42.82,33.5746,12121664
2009-01-14,42.09,42.38,40,40.43,31.7006,11524077
2009-01-15,40.47,40.76,37.84,40.18,31.5045,15270412
2009-01-16,40.84,41,38.63,39.9,31.2851,14240735
2009-01-20,38.62,40.98,36.68,36.83,28.8779,12995319
2009-01-21,37.55,39.21,36.38,38.99,30.5713,14437189
2009-01-22,37.79,39.34,36.35,37.27,29.2224,14398177
2009-01-23,36.11,41.87,36.11,41.09,32.2176,21971143
2009-01-26,41.15,43.35,40.61,42,32.9316,12284697
2009-01-27,41.96,42.65,40.75,41.97,32.9083,10242461
2009-01-28,42.62,44.54,42.12,44.16,34.625,11838948
2009-01-29,43.1,43.3,41.59,41.93,32.8766,9057048
2009-01-30,42.99,43,40.44,40.81,31.9983,10075392
2009-02-02,40.01,41.31,39.4,40.79,31.9827,11262018
2009-02-03,41.19,41.33,40,40.99,32.1397,10255235
2009-02-04,41.5,43.29,41.4,42.28,33.1511,9644546
2009-02-05,42.1,44.81,41.19,44.55,34.931,12637177
2009-02-06,43.9,45.74,43.36,45.29,35.5111,9513994
2009-02-09,46.61,47.88,45.31,46.12,36.1621,13357583
2009-02-10,46.38,47.1,42.87,43.36,33.9978,13235952
2009-02-11,43.78,44.18,41.36,42.55,33.363,12744362
2009-02-12,41.89,42.05,40.77,41.97,32.9083,15066310
2009-02-13,41.69,42.95,41.14,41.52,32.7186,10693593
2009-02-17,40.04,40.33,38.13,38.2,30.1026,14973628
2009-02-18,38.64,38.96,37.42,38.2,30.1026,11307406
2009-02-19,38.96,39.76,38.2901,38.54,30.3708,10700691
2009-02-20,37.77,38.42,36.14,36.88,29.0625,18952736
2009-02-23,37.47,37.68,35.05,35.19,27.7309,14469106
2009-02-24,35.72,38.24,35.26,38.05,29.9846,15211363
2009-02-25,38.01,38.61,36.66,37.23,29.3381,18585233
2009-02-26,37.99,39.84,37.93,38.17,30.0791,13526342
2009-02-27,37.11,39.44,36.68,38.06,29.9924,14400269
2009-03-02,37,37.55,35.52,35.84,28.2431,17389716
2009-03-03,36.46,37.04,35.3,35.66,28.1009,13935241
2009-03-04,37.05,39.96,36.84,38.83,30.599,15510196
2009-03-05,37.56,37.98,35.52,36.16,28.4951,16269813
2009-03-06,36.57,37.42,35.33,36.73,28.9442,14845825
2009-03-09,36.18,38.6,35.92,36.67,28.8971,13395373
2009-03-10,37.5,40.61,37.49,39.52,31.1427,22235484
2009-03-11,39.27,39.55,38.01,38.8,30.5752,12061154
2009-03-12,38.67,40.01,37.33,39.96,31.4896,16605151
2009-03-13,40.35,40.35,38.55,39.3,30.9694,12218236
2009-03-16,39.13,42.68,39.13,41.44,32.6558,16530798
2009-03-17,41.44,42.52,40.58,42.11,33.1837,11776100
2009-03-18,41.78,43.53,40.19,42.91,33.8142,14788515
2009-03-19,44.25,46.2,44.16,44.31,34.9173,19428905
2009-03-20,44.59,44.77,41.24,41.52,32.7186,17383169
2009-03-23,42.96,46.8,42.3,46.75,36.8402,18919506
2009-03-24,45.41,47.26,45.12,46.01,36.2571,15497500
2009-03-25,45.94,46.64,43.71,45.34,35.7288,15614177
2009-03-26,46.35,46.97,44.97,45.54,35.8867,13728641
2009-03-27,44.58,44.87,43.16,43.52,34.2951,11021351
2009-03-30,42.2,42.57,40.48,41.12,32.4037,12934722
2009-03-31,42.11,42.11,40.16,40.62,32.0095,15212823
2009-04-01,39.82,41.2825,39.11,41.1,32.3879,17581861
2009-04-02,42.84,44.88,42.7,43.79,34.5079,16865872
2009-04-03,43.74,45.48,43.56,45.07,35.5164,13504322
2009-04-06,44.04,44.355,43.05,43.95,34.6337,10581838
2009-04-07,43.11,43.51,42.25,42.99,33.8772,8334462
2009-04-08,42.71,44.07,41.98,43.54,34.3109,10649265
2009-04-09,45,45.29,43.6,44.16,34.7993,12769061
2009-04-13,42.82,44.89,42.3,44.25,34.8702,10236566
2009-04-14,43.7,45.5,43.23,44.11,34.7598,9373700
2009-04-15,43.91,45.75,43.91,45.53,35.8788,10565235
2009-04-16,46.22,46.66,44.81,46,36.2492,11040278
2009-04-17,46.11,46.77,45.17,46.57,36.6984,14281427
2009-04-20,45.01,45.57,43.97,44.1,34.7518,10773971
2009-04-21,43.19,46.83,42.84,46.63,36.7455,12674623
2009-04-22,45.65,48.24,45.24,46.23,36.4306,16060359
2009-04-23,46.74,46.85,44.91,46.61,36.7301,12247069
2009-04-24,49.82,50.92,48.55,49.73,39.1886,20509595
2009-04-27,47.94,48.99,47.5,48.38,38.1249,10676120
2009-04-28,47.41,48.94,47.41,48.04,37.8566,7835047
2009-04-29,48.2,50.46,48.2,50.03,39.425,9555840
2009-04-30,50.79,50.79,47.91,48.99,38.6052,13092984
2009-05-01,49.22,51.14,48.64,50.67,39.9291,10088393
2009-05-04,52.19,54.21,51.91,54.08,42.6166,13270683
2009-05-05,53.92,54.42,52.51,54.2,42.711,10112235
2009-05-06,55.03,56.4,54.35,56.05,44.1688,14222324
2009-05-07,58.64,58.64,52.97,54.1,42.632,16014217
2009-05-08,55.04,56.99,54.36,56.53,44.5473,13007443
2009-05-11,55.41,55.68,54.32,54.77,43.1603,8935103
2009-05-12,55.01,56.2,54.46,55.75,43.9325,11501215
2009-05-13,54.78,55.04,52.73,53.54,42.1908,12673307
2009-05-14,53.07,54.3,52.63,53.93,42.4982,8997060
2009-05-15,53.76,54.34,51.56,52.05,41.0169,10421592
2009-05-18,52.76,54.25,52.75,54.15,42.6717,10750141
2009-05-19,54.01,54.7,52.65,54.01,42.5614,8589787
2009-05-20,55.08,57.1,54.82,55.04,43.373,10317917
2009-05-21,53.6,53.71,51.5,51.94,40.9301,11097752
2009-05-22,52.84,53.33,51.65,51.75,40.7804,8624012
2009-05-26,51.25,54.08,50.64,53.92,42.4902,9911942
2009-05-27,54.07,54.91,53.27,53.41,42.0883,8407651
2009-05-28,54.05,56.88,53.22,56.35,44.4051,13389104
2009-05-29,57.62,57.68,56.35,57.23,45.0988,11173797
2009-06-01,58.63,59.49,57.96,59.17,46.7938,11568605
2009-06-02,58.81,59.66,58.12,59.18,46.8013,9629949
2009-06-03,58.06,58.4,55.88,56.89,44.9906,11786487
2009-06-04,57.63,58.775,56.86,58.31,46.1134,9229051
2009-06-05,59,59.28,56.64,57.27,45.2909,8592212
2009-06-08,56.82,57.74,55.67,57.33,45.3385,8119316
2009-06-09,58.07,59.39,57.71,58.85,46.5405,9076765
2009-06-10,59.86,60.15,57.83,59.27,46.8727,10642084
2009-06-11,59.8,63.78,59.16,62.18,49.174,17140346
2009-06-12,60.96,61.19,59.21,60.27,47.6635,11039292
2009-06-15,59.25,59.36,57.3,58.59,46.335,8322752
2009-06-16,59.51,59.79,56.79,56.97,45.0537,9051063
2009-06-17,56.44,56.66,55.34,55.98,44.2706,11633355
2009-06-18,55.85,56.67,55.25,55.75,44.089,6662483
2009-06-19,56.37,56.5,54.73,55.35,43.7725,11275396
2009-06-22,54.34,54.34,51.78,52.32,41.3763,11026698
2009-06-23,52.85,53.72,51.96,53.3,42.1515,9143295
2009-06-24,53.63,54.4,52.89,53.46,42.278,8024776
2009-06-25,53.24,55.57,53.2,55.35,43.7725,9772865
2009-06-26,54.9,55.35,54.26,54.48,43.0847,15786379
2009-06-29,55.21,55.48,54.23,54.97,43.4721,8461329
2009-06-30,55,55.63,53.05,54.11,42.7919,10819141
2009-07-01,55.09,55.73,54.17,54.28,42.9266,7943989
2009-07-02,52.96,52.98,51.18,52.55,41.5581,9217288
