Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,47.87,48.1,47.1,47.79,11.0003,200560
2009-01-05,47.51,48.09,46.36,47.11,10.8437,183318
2009-01-06,47.6,48.2,46.36,46.66,10.7402,250978
2009-01-07,46.26,46.92,45.23,46.03,10.5951,228589
2009-01-08,45.74,46.94,45.46,46.85,10.7838,132648
2009-01-09,46.71,46.71,45.55,45.82,10.5467,172523
2009-01-12,45.67,46.34,45.02,45.77,10.5353,239259
2009-01-13,45.43,46.3,45.24,45.92,10.5698,178110
2009-01-14,45.35,46.57,44.53,44.85,10.3235,191429
2009-01-15,44.79,46.49,44.15,46.47,10.6964,224109
2009-01-16,46.35,46.94,45.61,46.15,10.6227,236234
2009-01-20,45.66,45.89,44.58,44.64,10.2751,254032
2009-01-21,45.03,46.14,44.33,46.1,10.6113,193600
2009-01-22,45.52,46.7,44.65,45.89,10.5629,184874
2009-01-23,45.51,46.82,45.17,45.71,10.5215,117629
2009-01-26,45.92,47.2,45.655,45.86,10.556,238479
2009-01-27,46.16,46.94,45.76,45.99,10.5859,218196
2009-01-28,46.71,47.56,46.64,47.13,10.8483,137301
2009-01-29,46.72,47.35,46.56,46.64,10.7356,154103
2009-01-30,47.04,47.46,45.59,45.84,10.5514,230783
2009-02-02,45.28,46.66,45.19,46.5,10.7033,275438
2009-02-03,46.84,48.29,46.76,48.21,11.0969,627558
2009-02-04,51.8,51.89,49.32,49.71,11.4422,697070
2009-02-05,49.5,51.76,49.5,51.26,11.7989,451505
2009-02-06,50.95,52.45,50.88,52.24,12.0246,457726
2009-02-09,52.54,54.37,52.3,52.68,12.1259,588215
2009-02-10,51.4,52.5,49.71,50.09,11.5297,651139
2009-02-11,50.2,51.58,50.1709,51.12,11.7667,388148
2009-02-12,50.06,51.28,49.8,50.84,11.7023,626848
2009-02-13,51.04,51.41,50.02,50.41,11.6033,264109
2009-02-17,50.02,50.06,48.7,48.89,11.2535,294276
2009-02-18,49.41,50.45,48.95,49.31,11.3501,416182
2009-02-19,49.84,49.84,48.71,48.91,11.258,256535
2009-02-20,48.25,49.86,48.09,49.3,11.3478,309844
2009-02-23,49.47,49.58,47.77,47.93,11.0325,233125
2009-02-24,48.4,49.83,48.04,49.47,11.3869,375318
2009-02-25,49.34,49.56,48.28,48.47,11.1567,327043
2009-02-26,49.05,49.25,47.25,47.47,10.9265,477557
2009-02-27,47.48,49.94,47.23,49.06,11.2926,566661
2009-03-02,47.21,48.32,47.21,47.51,10.9358,326497
2009-03-03,48.05,49.18,47.06,47.13,10.8483,378822
2009-03-04,47.78,48.72,47.39,48.46,11.1544,259155
2009-03-05,47.61,48.54,47.42,48.21,11.0969,254425
2009-03-06,48.63,48.97,46.67,47.69,10.9772,371908
2009-03-09,47.15,47.93,46.25,46.43,10.6981,325359
2009-03-10,47.28,48.18,45.84,47.4,10.9216,265705
2009-03-11,47.4,48.03,46.93,47.41,10.9239,221983
2009-03-12,47.11,48.45,46.78,48.27,11.1222,387356
2009-03-13,48.4,48.62,47.59,47.84,11.023,258823
2009-03-16,48.15,48.42,47.31,47.51,10.947,383097
2009-03-17,47.42,49.65,47.42,49.48,11.4008,423335
2009-03-18,49.4,50.2835,48.0501,50.28,11.5851,273614
2009-03-19,50.35,50.98,49.97,50.18,11.5622,216480
2009-03-20,50.4,50.82,48.92,49.24,11.3456,369717
2009-03-23,50.52,50.99,49.64,50.72,11.6866,440534
2009-03-24,50.72,51.12,50.15,50.21,11.5691,198239
2009-03-25,50.67,51.11,49.32,50.77,11.6981,387173
2009-03-26,50.77,51.6,50.26,51.59,11.8871,444600
2009-03-27,50.64,51.85,50.64,50.85,11.7165,148517
2009-03-30,50.7,51.87,50.03,51.78,11.9309,357217
2009-03-31,51.5,53.28,51.5,52.54,12.106,614631
2009-04-01,51.81,53.41,51.39,52.29,12.0483,594725
2009-04-02,53.35,53.46,51.64,52,11.9815,573410
2009-04-03,51.89,52.12,50.87,51.22,11.8018,316369
2009-04-06,50.7,51.24,50.39,50.97,11.7442,222747
2009-04-07,50.6,51.21,50.19,50.34,11.5991,234073
2009-04-08,50.75,51.09,49.95,50.98,11.7466,208504
2009-04-09,51.85,52.38,50.46,50.77,11.6981,293870
2009-04-13,51.48,51.64,50.35,50.72,11.6866,302859
2009-04-14,50.62,51.19,50.14,50.68,11.6774,406766
2009-04-15,50.36,51.64,50.36,51.4,11.8434,358694
2009-04-16,51.94,52.64,51.73,52.5,12.0967,481208
2009-04-17,52.67,52.68,51.03,51.2,11.7972,384962
2009-04-20,50.22,51.2,49.77,50.05,11.5322,238848
2009-04-21,50.1,50.95,49.6297,50.36,11.6037,227689
2009-04-22,49.81,50.49,49.53,49.67,11.4447,453847
2009-04-23,50.02,50.65,49.39,50.32,11.5945,349405
2009-04-24,50.69,51.22,50.22,50.61,11.6612,209877
2009-04-27,49.53,50.92,49.53,50.1,11.5437,168612
2009-04-28,49.47,50.85,49.31,50.15,11.5553,213856
2009-04-29,50.46,51.5,50.12,50.61,11.6612,257468
2009-04-30,49.38,49.44,46,46.49,10.712,1486521
2009-05-01,46.51,47.97,46.18,46.888,10.8036,694629
2009-05-04,45.42,47.55,45.2,46.7,10.7604,604458
2009-05-05,47.93,48.13,45,45.52,10.4884,589156
2009-05-06,46,46.55,44.8745,45.21,10.4169,698681
2009-05-07,46.98,47.9,45.26,45.81,10.5553,696278
2009-05-08,46.19,47.22,46.16,46.61,10.7397,541065
2009-05-11,46.09,46.28,44.85,45.35,10.4493,483763
2009-05-12,45.75,46.28,45.28,45.95,10.5875,323095
2009-05-13,47.54,47.54,44.96,45.78,10.5483,608535
2009-05-14,45.83,46.43,45.112,45.98,10.5945,228664
2009-05-15,45.87,46.41,45.51,46.05,10.6106,346463
2009-05-18,46.37,46.43,45.44,46.39,10.6889,336701
2009-05-19,46.15,46.66,45.43,45.54,10.4931,372176
2009-05-20,45.98,46.66,45.81,46,10.5991,560690
2009-05-21,45.35,46.15,44.3601,44.89,10.3432,363020
2009-05-22,45.01,45.32,44.07,44.16,10.175,451040
2009-05-26,43.75,46,43.18,46,10.5991,658687
2009-05-27,45.16,45.33,44.14,44.24,10.1935,651212
2009-05-28,45.06,45.31,43.52,43.87,10.1192,598778
2009-05-29,44.22,44.41,43.54,44.26,10.2091,463572
2009-06-01,44.92,45.98,44.45,45.4,10.472,649387
2009-06-02,45.06,45.7925,45.06,45.31,10.4512,685662
2009-06-03,44.86,45.56,44.68,45.55,10.5067,668648
2009-06-04,45.89,46.54,45.13,46.52,10.7304,576746
2009-06-05,47.04,47.69,46.29,47.2,10.8873,650722
2009-06-08,46.61,47.58,46.44,47.25,10.8988,573559
2009-06-09,47.42,47.72,47.02,47.28,10.9056,478379
2009-06-10,47.68,47.87,46.96,47.49,10.9541,372654
2009-06-11,47.49,49.34,46.89,48.73,11.2402,566786
2009-06-12,48.51,48.99,48.05,48.65,11.2217,315255
2009-06-15,48.1,48.36,46.9,47,10.8411,359095
2009-06-16,47.3,47.3,45.56,45.88,10.5828,286558
2009-06-17,45.88,46.04,45.28,45.63,10.5251,161094
2009-06-18,45.47,46.47,45.1,46.09,10.6313,198809
2009-06-19,46.59,46.8,45.9,46.03,10.6174,233236
2009-06-22,45.84,45.84,44.67,44.75,10.3221,217501
2009-06-23,44.94,45.54,44.71,45.45,10.4836,339095
2009-06-24,45.92,47.64,45.36,46.86,10.8088,495655
2009-06-25,46.76,48.54,46.62,48.38,11.1594,309034
2009-06-26,48.27,49.16,47.89,48.96,11.2933,687642
2009-06-29,48.76,48.99,48.37,48.62,11.2148,304725
2009-06-30,48.69,49.4,48.35,49.03,11.3093,282202
2009-07-01,49.49,49.93,49.02,49.34,11.3809,388735
2009-07-02,48.79,49.38,48.07,48.36,11.1548,543729
2009-07-06,48.33,49.3938,48.31,49.03,11.3093,413997
2009-07-07,49.2,49.356,47.87,47.91,11.0509,323239
2009-07-08,48.24,48.71,47.68,48.6,11.2101,389693
2009-07-09,48.93,49.55,48.07,48.23,11.1248,361662
2009-07-10,48.12,48.77,47.78,48.07,11.0879,398677
2009-07-13,48.4,49.02,47.51,49.02,11.307,424416
2009-07-14,49.12,49.41,48.56,49.04,11.3117,353462
2009-07-15,49.39,50.08,49.05,49.78,11.4824,421916
2009-07-16,49.4,50.57,49.4,50.39,11.623,338742
2009-07-17,50.53,50.53,49.66,50.22,11.5839,391322
2009-07-20,50.42,50.98,49.74,50.53,11.6553,472582
2009-07-21,50.84,51.57,49.85,50,11.5331,587654
2009-07-22,50,51.52,49.5,50.79,11.7153,519586
2009-07-23,51.58,52.21,50.62,51.25,11.8214,694521
2009-07-24,50.91,51.81,50.7001,50.95,11.7522,339639
2009-07-27,51.13,51.74,51.13,51.47,11.8722,349292
2009-07-28,51.05,51.76,50.63,50.94,11.7499,287985
2009-07-29,50.59,50.95,49.86,50.49,11.6461,389615
2009-07-30,50.91,51.48,50.01,50.38,11.6207,284674
2009-07-31,50.06,51.12,50.03,50.26,11.593,249943
2009-08-03,50.49,51.14,49.56,50.07,11.5492,388980
2009-08-04,49.15,50.41,49.15,50.32,11.607,314541
2009-08-05,50.5,50.61,49.62,50.49,11.6461,332934
2009-08-06,50.54,50.58,49.92,50.01,11.5354,230056
2009-08-07,50.71,50.71,49.59,50.28,11.5977,225448
2009-08-10,49.85,50.68,49.14,50.42,11.63,266557
2009-08-11,50.03,50.61,49.44,50.44,11.6346,144567
2009-08-12,50.64,51.32,50.4,50.96,11.7545,175862
2009-08-13,51.37,51.37,50.17,51.17,11.803,133176
2009-08-14,51,51,49.92,50.55,11.66,150108
2009-08-17,49.88,50.15,49.44,49.63,11.4478,146257
2009-08-18,49.73,49.88,49.1,49.44,11.4039,117048
2009-08-19,49.46,50.34,49.46,50.07,11.5492,140583
2009-08-20,49.87,50.4,49.64,50.03,11.5401,121843
2009-08-21,50.47,51.49,49.96,51.35,11.8445,284813
2009-08-24,51.31,51.42,50.6,50.77,11.7108,127726
2009-08-25,50.85,51.38,50.37,50.54,11.6577,137197
2009-08-26,50.6,50.94,49.98,50.67,11.6876,236120
2009-08-27,50.76,50.81,49.62,50.73,11.7015,112644
2009-08-28,50.72,50.72,47.82,49.35,11.3939,149251
2009-08-31,49.1,49.27,48.47,48.62,11.2253,128693
2009-09-01,48.5,49.22,47.71,48.05,11.0937,135866
2009-09-02,47.93,48.34,47.93,48.09,11.103,203431
2009-09-03,48.54,49.64,47.99,49.64,11.4608,229353
2009-09-04,49.66,49.7,49.04,49.52,11.433,128216
2009-09-08,49.73,49.73,48.99,49.29,11.3801,115404
2009-09-09,49.42,50.13,49.09,50.04,11.5532,178401
2009-09-10,49.85,50.19,49.19,49.92,11.5255,223911
2009-09-11,50.23,50.23,48.58,49,11.3131,378420
2009-09-14,48.86,50.16,48.41,49.91,11.5231,256894
2009-09-15,49.68,50.38,49.65,50.38,11.6317,114063
2009-09-16,50.37,50.98,50.06,50.8,11.7287,162406
2009-09-17,50.76,51.13,49.77,49.93,11.5277,197182
2009-09-18,49.91,50.93,49.5,50.58,11.6778,825376
2009-09-21,50.19,50.94,49.91,50.9,11.7516,116192
2009-09-22,51.38,51.705,50.9,51.56,11.9041,160423
2009-09-23,51.5,52.51,51.43,51.99,12.0034,357930
2009-09-24,52.03,52.36,51.01,51.26,11.8348,226956
2009-09-25,51.05,52.47,50.88,51.31,11.8463,101157
2009-09-28,51.53,52.72,51.1,52.39,12.0957,170496
2009-09-29,52.59,53.15,52.27,52.95,12.225,278789
2009-09-30,53.03,53.105,52.06,52.73,12.1743,210826
2009-10-01,52.65,52.97,51.5,51.99,12.0034,287404
2009-10-02,50.5,51.84,49.97,51.6,11.9133,237284
2009-10-05,51.96,52.45,51.38,52.02,12.0104,177513
2009-10-06,52.46,53.29,51.84,53.05,12.2481,145349
2009-10-07,52.71,53.755,52.71,53.48,12.3474,140702
2009-10-08,53.87,54.13,53.22,53.53,12.3589,253769
2009-10-09,53.45,54.5,53.45,54.48,12.5783,149805
