Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,37,37.62,36.81,37.47,22.4435,3341306
2009-01-05,37.43,37.45,36.29,36.67,21.9644,4727228
2009-01-06,36.83,36.96,35.7,35.79,21.4375,5090672
2009-01-07,35.7,35.99,35.53,35.73,21.4013,4825915
2009-01-08,35.75,35.78,35.16,35.59,21.3175,4707988
2009-01-09,35.53,35.9,35.21,35.53,21.2813,4356618
2009-01-12,35.62,35.96,35.53,35.79,21.4375,3654065
2009-01-13,35.68,35.7,34.58,34.86,20.8801,6294517
2009-01-14,35.03,35.03,34.01,34.34,20.5687,6467180
2009-01-15,34.24,34.69,33.92,34.69,20.7782,5683053
2009-01-16,35.02,35.26,34.67,35.03,20.9817,4523093
2009-01-20,35,35.54,34.65,34.73,20.8023,5014373
2009-01-21,35.15,35.2,34.24,34.94,20.9283,5179612
2009-01-22,34.68,35.28,34.55,34.95,20.9342,4284221
2009-01-23,34.6,34.87,34.31,34.65,20.7544,4519658
2009-01-26,34.77,35.35,34.57,34.94,20.9283,5862458
2009-01-27,35.03,35.19,34.5,34.94,20.9283,5482359
2009-01-28,35.3,35.3,33.98,34.37,20.5867,6549261
2009-01-29,34,34.16,33.73,33.86,20.532,4402721
2009-01-30,33.73,34.1,33.25,33.45,20.2833,5811389
2009-02-02,33.35,33.53,32.9,33.29,20.1868,4567226
2009-02-03,33.3,33.56,33.07,33.47,20.2958,3567795
2009-02-04,33.64,33.8,33.2,33.55,20.3442,3515865
2009-02-05,33.51,33.79,33.19,33.34,20.2166,4612521
2009-02-06,33.3,33.75,33.15,33.59,20.3685,3304335
2009-02-09,33.57,33.61,32.75,33.06,20.0471,4876497
2009-02-10,33.01,33.07,32.02,32.12,19.4771,6495550
2009-02-11,32.24,32.34,31.9,32.15,19.4954,4710865
2009-02-12,32.1,32.13,30.94,31.62,19.1738,6894746
2009-02-13,31.57,31.75,31.35,31.39,19.0344,4016355
2009-02-17,31,31,30.21,30.41,18.4399,5035959
2009-02-18,30.54,30.82,30.28,30.72,18.6281,5703743
2009-02-19,30.91,31.09,30.52,30.87,18.7191,4532191
2009-02-20,30.48,30.87,29.91,30.17,18.2944,6003669
2009-02-23,30.4,30.5,29.65,29.71,18.0159,4261663
2009-02-24,30,31.11,29.84,30.97,18.7798,7564927
2009-02-25,31.05,31.6,30.88,31.21,18.9254,7086900
2009-02-26,31.44,31.51,30.63,30.65,18.5859,5295606
2009-02-27,30.32,30.805,30,30.31,18.3794,5289500
2009-03-02,30,30.65,29.76,29.78,18.058,5927182
2009-03-03,29.94,30.1,28.42,28.47,17.2637,7589430
2009-03-04,28.81,29.28,28.285,28.75,17.4333,5880323
2009-03-05,28.55,28.65,27.48,27.81,16.8632,5945594
2009-03-06,28.01,28.69,27.48,28.05,17.0089,5929268
2009-03-09,27.47,28.06,26.71,26.82,16.2633,5907707
2009-03-10,27.08,27.475,26.85,27.25,16.5242,5748171
2009-03-11,27.35,27.71,27.03,27.14,16.4572,5124652
2009-03-12,27.14,27.28,26.48,26.81,16.2569,7469012
2009-03-13,27.04,27.25,26.88,27.14,16.4572,4769065
2009-03-16,27.32,28.46,27.32,28.16,17.0757,7131607
2009-03-17,28.24,28.82,28.06,28.82,17.4761,5784535
2009-03-18,28.77,29.77,28.53,29.73,18.0281,7524112
2009-03-19,30.08,30.34,29.75,30.3,18.3733,6157549
2009-03-20,30.3,31.24,30.3,30.58,18.5431,9222745
2009-03-23,31.08,31.86,30.75,31.82,19.295,6769161
2009-03-24,31.55,31.55,30.69,30.7,18.616,4524611
2009-03-25,30.88,31.04,30.02,30.45,18.4645,4952248
2009-03-26,30.5,30.74,29.83,30.71,18.6221,6336914
2009-03-27,30.34,30.73,30.18,30.57,18.5373,3840655
2009-03-30,30.09,30.57,30,30.34,18.3977,3658281
2009-03-31,30.52,30.96,30.17,30.62,18.5674,4689340
2009-04-01,30.31,30.92,30.31,30.81,18.6826,5387809
2009-04-02,31.29,31.29,30.3,31.07,18.8404,7293500
2009-04-03,31.21,31.32,30.71,31.08,18.8464,3853445
2009-04-06,30.89,31.27,30.8,30.98,18.7858,3570306
2009-04-07,30.64,31.18,30.5,30.94,18.7615,4016849
2009-04-08,31.1,31.44,30.82,31.38,19.0282,3332603
2009-04-09,31.49,31.78,30.52,30.89,18.731,5233722
2009-04-13,30.87,31.03,30.28,30.53,18.5129,3469616
2009-04-14,30.33,30.4,29.75,29.85,18.1007,4499522
2009-04-15,29.81,30.16,29.58,30.05,18.2216,4005706
2009-04-16,30.16,30.2,29.58,29.86,18.1068,5249504
2009-04-17,29.98,30.1,29.44,29.64,17.9734,5048687
2009-04-20,29.53,30.17,29.51,29.85,18.1007,4494093
2009-04-21,29.85,30.43,29.85,30.04,18.2159,4133628
2009-04-22,30.06,30.06,29.45,29.48,17.8761,3988258
2009-04-23,29.61,29.69,29.31,29.51,17.8945,4114404
2009-04-24,29.51,29.64,29.25,29.46,17.8641,5184639
2009-04-27,29.4,30.16,29.4,29.75,18.0396,3888389
2009-04-28,29.71,30.26,29.66,30.03,18.2097,4016383
2009-04-29,30.17,30.3,29.83,30.03,18.2097,4720426
2009-04-30,29.84,29.87,28.1,28.88,17.7713,10735466
2009-05-01,28.97,28.97,28.55,28.82,17.7343,6120907
2009-05-04,29.35,29.35,28.56,29,17.8448,4916336
2009-05-05,29.07,29.11,28.71,28.91,17.7896,4149245
2009-05-06,29.12,29.2,28.74,29.17,17.9496,4322194
2009-05-07,29.34,29.495,28.85,29.27,18.0112,4610034
2009-05-08,29.48,29.81,28.6,28.76,17.6973,7652706
2009-05-11,28.51,29.2,28.51,28.99,17.839,6690685
2009-05-12,29.14,29.3,28.7,28.87,17.7652,4938022
2009-05-13,28.66,28.938,28.48,28.64,17.6236,5325032
2009-05-14,28.58,28.87,28.3,28.48,17.5251,5780698
2009-05-15,28.38,28.52,28,28.12,17.3036,4196446
2009-05-18,28.28,28.34,27.9,28.12,17.3036,4100506
2009-05-19,28.1,28.175,27.92,27.98,17.2178,5803092
2009-05-20,27.99,28.15,27.44,27.45,16.8914,5391128
2009-05-21,27.36,27.54,27.19,27.36,16.8359,4781979
2009-05-22,27.28,27.95,27.2,27.7,17.0452,5222891
2009-05-26,27.71,28.33,27.58,28.31,17.4204,5987353
2009-05-27,28.36,28.47,27.9,28.09,17.2853,7007172
2009-05-28,28.28,28.49,28.05,28.29,17.4084,5090974
2009-05-29,28.34,28.53,28.06,28.41,17.4823,5533718
2009-06-01,28.52,29.04,28.43,28.93,17.8022,5579364
2009-06-02,28.93,29.28,28.93,29.03,17.8635,5498370
2009-06-03,29.06,29.24,28.41,28.73,17.679,4060178
2009-06-04,28.89,28.89,28.52,28.73,17.679,4266809
2009-06-05,28.83,29.14,28.72,28.91,17.7896,6407139
2009-06-08,29.18,29.18,28.55,28.82,17.7343,4372560
2009-06-09,28.85,29.14,28.6,28.63,17.6174,3962649
2009-06-10,28.76,29.22,28.73,29.05,17.8761,5563738
2009-06-11,29.14,30.4,29.1,29.91,18.4049,6957028
2009-06-12,29.94,30.8,29.61,30.55,18.7989,5345735
2009-06-15,30.31,30.53,29.94,30.14,18.5467,5259054
2009-06-16,30.22,30.35,29.96,30.12,18.5342,3860340
2009-06-17,30.13,30.69,30.13,30.37,18.6883,4395321
2009-06-18,30.46,31.17,30.34,31.09,19.1311,4414590
2009-06-19,31.29,31.4,30.55,30.61,18.8359,5440370
