Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,53.36,53.39,51.07,51.49,32.3973,3289648
2009-01-05,50.85,52.2694,50,50.66,31.8753,4096581
2009-01-06,51.98,54.24,48.82,53.43,33.618,7653002
2009-01-07,52.5,53.87,50.87,51.17,32.1959,4661621
2009-01-08,50,50.82,48.87,50.35,31.6802,4202734
2009-01-09,50.04,50.85,46.63,46.93,29.5283,5879208
2009-01-12,46.43,47,42.86,43.73,27.5146,6587323
2009-01-13,42.74,45.85,42.72,45.46,28.6033,5197329
2009-01-14,43.23,43.92,41.9,42.59,26.7974,6845297
2009-01-15,42.48,45.71,39.74,44.6,28.0623,8022718
2009-01-16,45.4,46.29,43.02,45.62,28.704,6384292
2009-01-20,44.93,45.15,40.92,41.13,25.8788,9482246
2009-01-21,42.81,46.58,40.93,46.4,29.1946,8930796
2009-01-22,44.61,45.39,42.39,43.17,27.1625,7411590
2009-01-23,40.64,45.06,40.63,44.74,28.1501,5897593
2009-01-26,45.55,46.12,43.01,43.99,27.6784,4751341
2009-01-27,44.27,45.4212,42.96,43.8,27.5589,3964539
2009-01-28,45.45,49.4,44.7,48.97,30.8119,8554181
2009-01-29,47.35,48.79,44.25,44.44,27.9612,8266503
2009-01-30,45.86,46,40.76,42.98,27.0425,14959332
2009-02-02,41.84,44.08,41.39,43.82,27.5716,7126435
2009-02-03,43.93,43.99,42.01,42.97,27.0367,5771544
2009-02-04,43.02,45.18,42.54,42.99,27.0492,6162338
2009-02-05,42.15,44.82,40.96,43.23,27.2004,7761340
2009-02-06,43.57,46.22,43.27,45.86,28.8547,7322590
2009-02-09,45.19,47.19,44.58,46.86,29.4841,4696033
2009-02-10,45.68,46.2,41.65,41.9,26.8799,9396098
2009-02-11,41.96,43.16,40.41,42.98,27.5724,7928802
2009-02-12,41.58,41.89,38,41.24,26.4561,9261312
2009-02-13,40.69,41.11,37.78,38.05,24.4098,8782099
2009-02-17,36.27,36.52,34.65,35.15,22.5492,9758298
2009-02-18,36.44,36.55,33.94,35.94,23.0562,7200827
2009-02-19,36.41,37.5,34.03,34.48,22.1195,7257694
2009-02-20,32.74,36.52,32.28,36.22,23.2356,10975777
2009-02-23,36.81,36.9,32.63,32.75,21.0096,10119248
2009-02-24,32.69,35.53,32.21,35.34,22.6712,14911295
2009-02-25,34.34,36.52,32.8,34.58,22.1835,10671516
2009-02-26,35.4,36.56,33.31,33.42,21.4396,8707715
2009-02-27,32.2,34.02,32.2,33.1,21.2343,10250411
2009-03-02,32,32.66,29.64,29.96,19.2199,12591404
2009-03-03,30.61,31.34,28.23,29.89,19.175,13043000
2009-03-04,31.37,31.57,28.39,29.36,18.835,13176779
2009-03-05,28.3,29.1,27.38,27.76,17.8086,12059358
2009-03-06,28.1,28.1,24.27,26.19,16.8013,19305270
2009-03-09,25.07,28.79,25.07,28.7,18.4116,13994523
2009-03-10,29.3,33.59,28.35,33.55,21.5229,17607235
2009-03-11,34.28,34.28,31.65,32.4,20.7853,12092294
2009-03-12,31.61,35.82,31.61,35.65,22.87,11485297
2009-03-13,35.9,36.4,33.5,34.73,22.2802,10317195
2009-03-16,35.06,35.86,31.16,31.5,20.2077,9510821
2009-03-17,31.98,33.9,30.05,33.83,21.7026,12217552
2009-03-18,33.51,35.71,32,35.38,22.697,13723634
2009-03-19,35.95,36.85,34,34.38,22.0557,11655035
2009-03-20,32.1,34.13,31.79,32.8,21.0419,24886926
2009-03-23,34.08,39.53,33.32,39.1,25.0834,17750236
2009-03-24,38.12,38.72,34.85,35,22.4532,14590621
2009-03-25,35.97,36.54,31.95,34.95,22.4209,14440275
2009-03-26,35.57,37,33.73,36.78,23.5949,14173151
2009-03-27,35.46,35.79,33.43,33.65,21.587,9330647
2009-03-30,32.45,32.8,30.45,30.86,19.7974,11338722
2009-03-31,31.31,35.12,31.26,34.64,22.2221,16114343
2009-04-01,33.71,34.01,32.56,33.25,21.3304,10227186
2009-04-02,34.5,37.56,33.73,36.97,23.7166,15001660
2009-04-03,36.28,41.3,36.16,41.3,26.4949,15845200
2009-04-06,39.95,41.43,38.99,40.32,25.866,11275772
2009-04-07,39.01,39.39,35.81,35.9,23.0307,12140067
2009-04-08,36.53,37.25,35.5,36.93,23.6912,10429359
2009-04-09,38.56,43.25,38.41,42.99,27.579,14943769
2009-04-13,42.1,43.63,40.55,42.65,27.3607,10737523
2009-04-14,41.04,42.17,38,38.57,24.7433,12191059
2009-04-15,39.18,44.21,38.66,44,28.2267,15531990
2009-04-16,43.85,49.66,42.47,47.25,30.3118,17988344
2009-04-17,47.25,50.83,46.27,49.34,31.6526,16609060
2009-04-20,47.74,48,43.19,43.42,27.8546,13297968
2009-04-21,42.14,49,41.53,49,31.4345,15737601
2009-04-22,47.79,49.2,45.86,45.86,29.4198,16547463
2009-04-23,46.53,48.94,45.74,48.41,31.0557,9346170
2009-04-24,47.75,52.52,46.81,50.65,32.4928,11761330
2009-04-27,48.66,49,44.25,45.74,29.3432,11778533
2009-04-28,44.67,48.48,44.65,47.17,30.2603,8805251
2009-04-29,47.89,50.7,47.33,49.69,31.8767,9751964
2009-04-30,50.35,52.91,50.03,51.6,33.1023,11110064
2009-05-01,50.02,51,47,47.46,30.4464,10019611
2009-05-04,48.37,51.94,48.37,51.88,33.2818,13060847
2009-05-05,51.24,51.63,49.63,50.12,32.1529,8132907
2009-05-06,51.38,54.99,50.54,54.84,35.1806,10342166
2009-05-07,52.75,53.2,50.43,52.05,33.3913,27288844
2009-05-08,53.35,54.09,51.19,53.93,34.5972,14657674
2009-05-11,52.29,53.88,51.98,51.98,33.3461,10098990
2009-05-12,52.71,52.9,49.11,51.41,33.3657,7926496
2009-05-13,49.62,49.98,47.41,48.08,31.2043,10004735
2009-05-14,48.07,50.76,46.5,50.05,32.483,9709212
2009-05-15,49.11,49.83,46.44,46.92,30.4514,8372680
2009-05-18,47.57,51.75,47.57,51.49,33.4175,10260114
2009-05-19,51.03,52.11,49.76,50.49,32.7686,7211887
2009-05-20,51.52,53.16,49.4,49.96,32.4246,8518368
2009-05-21,48.95,50.22,48.27,49.6,32.1913,6043493
2009-05-22,49.56,50.4191,48.39,48.45,31.4447,4615258
2009-05-26,48.44,51.79,47.55,51.32,33.3072,8826349
2009-05-27,51.44,51.5695,49.75,49.97,32.431,8557693
2009-05-28,50.28,51.94,49.41,51.79,33.6124,6219973
2009-05-29,52.01,53.47,50.75,53.47,34.7027,7326905
2009-06-01,54.26,57.45,53.75,56.39,36.5974,10194175
2009-06-02,56.1,56.93,54.09,54.24,35.2024,6862316
2009-06-03,54.02,54.74,53.43,53.99,35.0401,5641145
2009-06-04,54.31,55.8,53.57,54.59,35.4294,9465336
2009-06-05,55.49,56.05,53.36,53.51,34.7281,6149544
2009-06-08,53.1,54.58,52.77,53.87,34.962,5376700
2009-06-09,54.27,54.27,53.04,53.37,34.6377,5657338
2009-06-10,53.84,54.21,51.08,52.6,34.1377,6587060
2009-06-11,52.87,53.51,52,52.14,33.8393,5186585
2009-06-12,52.7,54.42,52.42,54.13,35.1308,6533378
2009-06-15,53.53,53.78,51.52,51.92,33.6965,6818055
2009-06-16,52.33,53.03,50.66,51.35,33.3263,6290420
2009-06-17,51.12,51.48,49.53,50.34,32.6715,6668180
2009-06-18,50.37,51.47,49.8,51.22,33.2422,4791187
2009-06-19,52.26,53.07,51.52,52.92,34.3458,8726077
2009-06-22,51.68,51.88,49.05,49.12,31.8793,7041166
2009-06-23,49.67,50.67,49.05,49.95,32.4179,5494213
2009-06-24,50.39,51.59,49.98,50.58,32.827,5145903
2009-06-25,50.15,51.54,49.58,51.53,33.4435,6011995
2009-06-26,51.28,52.35,50.29,51.92,33.6965,7633543
2009-06-29,51.93,52.85,50.94,51.42,33.372,5583770
2009-06-30,51.4,52.3,51.32,51.43,33.3783,4363163
2009-07-01,51.72,52.59,51.27,51.35,33.3263,3858224
2009-07-02,50.54,50.885,48.15,48.32,31.3603,6191356
2009-07-06,48.25,50.16,47.59,50.05,32.483,5919429
2009-07-07,49.84,49.84,47.4,47.56,30.867,5287241
2009-07-08,48,48.31,46.09,47.57,30.8735,6185610
2009-07-09,48,48.33,46.41,46.41,30.1204,5625919
2009-07-10,46.01,46.63,45,46.24,30.0101,4277582
2009-07-13,46.77,48.74,45.83,48.69,31.6003,6371727
2009-07-14,48.55,50.33,47.75,49.72,32.2688,5191328
2009-07-15,50.41,51.3,49.62,50.7,32.9048,6154638
2009-07-16,50.49,52,49.7,51.58,33.4757,4330912
2009-07-17,51.19,51.19,49.46,49.96,32.4246,5140939
2009-07-20,50.25,52.11,50.11,51.94,33.7097,4306950
2009-07-21,52.55,52.63,50.49,51.81,33.6251,3270090
2009-07-22,51.24,52.93,50.89,52.21,33.8847,3188662
2009-07-23,52.24,54.94,51.93,53.98,35.0334,5629077
2009-07-24,53.43,54.07,52.26,53.67,34.8323,2663213
2009-07-27,53.59,55.14,53.14,55.05,35.7281,2834167
2009-07-28,54.63,55.02,53.6,54.57,35.4165,3479837
2009-07-29,54.11,54.714,53.31,54.09,35.105,3405645
2009-07-30,54.76,57.56,54.6,56.13,36.429,4830774
2009-07-31,55.25,55.99,54.19,55.72,36.1628,3898253
2009-08-03,56.83,57.27,55.89,57,36.9934,3900983
2009-08-04,56.36,61.18,55.62,60.91,39.5309,8651773
2009-08-05,60.15,63.34,59.59,62.99,40.8812,7946184
2009-08-06,63.4,66.32,62.72,62.9,40.8227,6831363
2009-08-07,63.82,67.38,62.77,66.67,43.2695,6339253
2009-08-10,66.41,66.59,63.71,64.5,41.8613,4463580
2009-08-11,63.85,64.13,62.01,62.44,40.5242,4038113
2009-08-12,62.1,64.7,62.1,63.1,40.9527,4034140
2009-08-13,63.24,64.12,61.96,63.23,41.7299,3119107
