Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,29.95,30.18,29.09,29.92,24.9176,3419125
2009-01-05,29.47,29.48,27.67,27.88,23.2185,5573508
2009-01-06,28.15,28.46,27.5,28.3,23.5681,5091282
2009-01-07,27.65,28.41,26.59,26.68,22.2192,4000004
2009-01-08,27,27.49,26.59,27.16,22.6192,4407244
2009-01-09,26.78,27.37,25.37,25.56,21.2867,6088314
2009-01-12,25.24,25.61,23.38,23.67,19.7123,6960690
2009-01-13,23.44,24.65,23,24.07,20.0455,5860533
2009-01-14,23.21,23.9,22.57,23.12,19.2543,5485028
2009-01-15,22.73,23,20.02,20.89,17.397,11137853
2009-01-16,21.39,21.58,19.15,19.94,16.6061,13364890
2009-01-20,18,19.22,14.96,15.07,12.5505,17027954
2009-01-21,16.4,16.65,14.715,15.21,12.6669,20011873
2009-01-22,14.23,15.11,13.32,13.55,11.285,16907448
2009-01-23,12.89,15.08,12.44,14.97,12.467,10819288
2009-01-26,14.82,15.83,13.22,13.5,11.2427,14718727
2009-01-27,13.78,14.08,12.97,13.05,10.8682,10713387
2009-01-28,15.1,15.33,14.33,15.15,12.6168,14774365
2009-01-29,14.21,14.59,13.26,13.35,11.1179,10717346
2009-01-30,13.53,14.01,12.1,12.26,10.2102,10281359
2009-02-02,12.22,12.41,11.49,11.95,9.9521,8641259
2009-02-03,12.16,12.17,8.84,10.02,8.3445,29618266
2009-02-04,10.22,11.05,9.77,9.97,8.3028,15998721
2009-02-05,9.91,10.92,9.27,10.39,8.6529,19652183
2009-02-06,10.74,12.55,10.67,12.09,10.0683,23061918
2009-02-09,12.41,13.65,11.82,12.44,10.3601,15306363
2009-02-10,12.86,13,8.78,9.06,7.545,38227996
2009-02-11,9.67,10.58,9.3,10.08,8.3949,25468710
2009-02-12,9.88,9.99,8.59,9.25,7.7034,24813673
2009-02-13,9.1,9.3,8.7,8.72,7.2619,11870909
2009-02-17,8.03,8.14,6.92,7.11,5.9217,22774038
2009-02-18,7.32,7.8,6.87,7.46,6.2126,17719931
2009-02-19,7.81,7.96,6.69,6.7,5.5795,15409885
2009-02-20,6.3,7.67,6,7.35,6.1212,27495136
2009-02-23,7.78,8.43,7.51,7.88,6.5625,25251077
2009-02-24,7.95,9.54,7.76,9.34,7.7781,27444973
2009-02-25,9.25,11.99,8.59,11,9.1608,36117405
2009-02-26,12.03,14.1,11.77,12.95,10.8839,50961658
2009-02-27,11.38,12.25,11,12.03,10.1108,25107666
2009-03-02,11.45,12.43,10.77,11.07,9.3037,18211722
2009-03-03,11.6,11.85,10.57,10.85,9.1189,14133965
2009-03-04,11.25,11.58,10.21,10.92,9.1774,14303545
2009-03-05,10.52,10.81,9.56,9.81,8.2446,14281328
2009-03-06,10.03,10.59,8.76,9.36,7.8668,15900942
2009-03-09,9.01,10.75,8.95,10.09,8.4801,16092372
2009-03-10,11.03,11.33,10.56,11.32,9.5137,18979726
2009-03-11,11.72,12.23,10.92,11.22,9.4295,15087793
2009-03-12,11.2,13.53,10.83,13.06,10.9765,18827372
2009-03-13,13.02,13.17,11.6,12.21,10.2618,15776927
2009-03-16,12.69,12.96,11.41,11.48,9.6483,17003431
2009-03-17,11.47,12.21,11,12.15,10.2116,13446626
2009-03-18,11.76,14.49,11.66,14.18,11.9176,23225490
2009-03-19,14.35,14.88,12.51,12.66,10.64,14176751
2009-03-20,12.74,12.92,11.74,12.05,10.1276,11562780
2009-03-23,13.16,14.15,12.7,14.11,11.8585,15757881
2009-03-24,13.39,13.99,12.69,12.72,10.6903,12970123
2009-03-25,13.45,13.75,12.04,12.98,10.9089,13419068
2009-03-26,13.46,13.57,12.32,13.47,11.3207,12925713
2009-03-27,13.05,13.32,12.48,12.58,10.5729,11464824
2009-03-30,11.92,12.08,10.69,10.85,9.1189,13275199
2009-03-31,11.21,12.01,10.87,11.74,9.8666,12103032
2009-04-01,11.48,12.19,11.01,12.02,10.102,15594824
2009-04-02,13.2,13.69,12.31,12.82,10.7748,17116710
2009-04-03,12.78,13.93,12.52,13.82,11.6148,11482806
2009-04-06,13.22,13.27,12.52,12.7,10.6739,11650387
2009-04-07,12.25,12.46,11.75,11.83,9.9427,10634458
2009-04-08,11.96,12.1,10.5,10.83,9.1022,13421057
2009-04-09,12.51,14.21,12.45,14.14,11.8839,25205019
2009-04-13,13.57,17.13,13.27,16.06,13.4973,26481569
2009-04-14,16,16.69,14.21,14.43,12.1275,20422825
2009-04-15,14.34,15.82,13.85,15.68,13.1781,13239943
2009-04-16,15.92,16.65,14.69,16.36,13.7498,21924148
2009-04-17,16.48,18.73,16,18.04,15.1617,26688329
2009-04-20,16.95,17.05,14.07,14.71,12.3628,23952008
2009-04-21,13.55,16.22,13.43,16.06,13.4973,21645117
2009-04-22,15.31,16.27,14.97,15.4,12.9428,21759741
2009-04-23,15.91,16.49,13.62,14.89,12.5141,27091358
2009-04-24,14.88,16.45,13.85,15.96,13.4131,30664278
2009-04-27,15.18,15.79,14.48,14.6,12.2708,13029648
2009-04-28,14.14,14.92,13.71,13.71,11.5223,15444595
2009-04-29,14.16,15.17,14.04,14.82,12.4555,15656444
2009-04-30,15.31,15.34,14.34,14.44,12.1361,13070718
2009-05-01,14.52,15.1,13.69,13.81,11.6063,11083247
2009-05-04,14.16,17.56,14.14,17.27,14.5145,23460906
2009-05-05,17.02,17.7,16.42,16.95,14.2456,15994688
2009-05-06,17.61,20.23,17.45,19.49,16.3802,29843642
2009-05-07,20.17,20.86,18.09,18.52,15.5652,22767466
2009-05-08,19.06,20.86,18,20.77,17.4559,23854225
2009-05-11,19.98,20.3,18.39,18.51,15.5566,19448084
2009-05-12,18.88,19.02,16.05,16.21,13.6237,22436333
2009-05-13,16.03,16.4,14.85,15.1,12.6908,20856920
2009-05-14,14.98,15.925,14.8,15.03,12.6314,16704150
2009-05-15,15.16,16.44,14.73,15.05,12.6488,26051706
2009-05-18,15.43,16.17,15.05,16,13.4469,18247106
2009-05-19,16.05,16.18,15.22,15.28,12.8419,18124438
2009-05-20,15.67,16.21,14.86,15.12,12.7076,18620703
2009-05-21,14.92,15.02,14.23,14.58,12.2538,13708343
2009-05-22,14.38,14.58,13.41,13.71,11.5223,16766123
