Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,39.52,41.44,38.24,41.1,34.3516,3261748
2009-01-05,40.99,42.76,40.51,41.53,34.7112,4811964
2009-01-06,42.72,44.75,41.65,44.27,37.0011,4518877
2009-01-07,42.99,46.09,41.4,42.22,35.2878,7478462
2009-01-08,41.83,43.46,41.45,43.22,36.1239,5657612
2009-01-09,43.22,44,41.12,41.56,34.7363,3344107
2009-01-12,41.5,41.54,38.38,39,32.5964,3951293
2009-01-13,38.5,39.5,37.33,38.86,32.4795,5781639
2009-01-14,37.29,37.85,36.63,37.09,31.0002,4550336
2009-01-15,37.01,39.35,35.45,38,31.7609,5707095
2009-01-16,39.02,39.17,34.88,36.35,30.3815,8907628
2009-01-20,19.89,20.19,14.43,14.89,12.4451,76711862
2009-01-21,15.87,18,15.25,17.07,14.267,47170603
2009-01-22,17.06,21.95,16.84,20.97,17.5271,33553924
2009-01-23,19.96,20.17,17.6,19.4,16.2147,22246445
2009-01-26,19.72,21.49,19.08,20.48,17.1172,13949067
2009-01-27,20.94,21.5,18.73,19.62,16.3986,14403178
2009-01-28,22.79,26.2,22.65,25.77,21.539,33947652
2009-01-29,24.51,25.8,23.7,24.07,20.1179,12583679
2009-01-30,24.27,24.93,22.82,23.27,19.4494,14124123
2009-02-02,22.89,23.94,22.34,23.51,19.6496,10528368
2009-02-03,23.87,24.51,22.61,24.18,20.2099,11235752
2009-02-04,24.66,25.25,23.03,24.13,20.1679,7794738
2009-02-05,23.82,27.95,23.25,27.54,23.0179,23100154
2009-02-06,28.4,32.48,27.53,30.49,25.4837,23866564
2009-02-09,30.92,31.29,29.39,30.53,25.5172,6944638
2009-02-10,29.86,30.53,26.27,26.61,22.2413,13519791
2009-02-11,27.07,29.05,27.07,28.48,23.804,9768418
2009-02-12,27.33,27.89,25.71,27.6,23.0683,9753778
2009-02-13,27.3,27.85,26.61,27,22.5669,6707258
2009-02-17,25.54,25.69,23.19,23.21,19.3991,11486095
2009-02-18,24,24.12,22.16,23.68,19.7916,9140400
2009-02-19,24.01,24.76,22.38,22.46,18.7722,6428125
2009-02-20,21.64,23.06,20.8,22.72,18.9895,12558871
2009-02-23,24.08,24.32,22.13,22.3,18.6383,8869788
2009-02-24,22.45,27.17,21.54,26.49,22.1404,13822062
2009-02-25,26.34,27.16,24.86,25.77,21.539,12341586
2009-02-26,27.25,29.6,26.52,27.17,22.7089,14861744
2009-02-27,25.28,27,24,25.27,21.1209,9955312
2009-03-02,22.74,24.41,21.55,21.85,18.2624,12966169
2009-03-03,22.93,22.98,20.64,21.81,18.229,13328912
2009-03-04,22.49,23.29,21.03,22.29,18.63,11976047
2009-03-05,21.31,21.45,18.41,19.31,16.1393,14793729
2009-03-06,19.43,20.43,17.34,17.98,15.0278,12684561
2009-03-09,17.5,18.93,16.96,17.61,14.7184,11114807
2009-03-10,19.135,20.84,18.43,20.81,17.3932,12854214
2009-03-11,20.91,22.7,20.11,21.96,18.3544,11548342
2009-03-12,21.92,23.93,20.7,23.85,19.9341,13164858
2009-03-13,24.09,24.09,21.64,22.66,18.9395,12513486
2009-03-16,23.2,25.42,23.09,23.12,19.3237,11601387
2009-03-17,22.75,25.68,22.54,25.59,21.3883,11023587
2009-03-18,25.17,29.19,24.82,29.05,24.2801,17068547
2009-03-19,29.4,29.55,26.77,27.05,22.6085,12784518
2009-03-20,27.16,27.43,24.66,24.69,20.6358,12308574
2009-03-23,26.49,30.21,26.07,29.97,25.0493,14152564
2009-03-24,29.26,32.08,28.75,28.8,24.0716,15728959
2009-03-25,30,31.53,27.59,29.83,24.9322,12927135
2009-03-26,30.41,30.65,28.94,30.12,25.1746,11318114
2009-03-27,29.94,31.65,29.51,30.61,25.5843,12000246
2009-03-30,29.29,30.05,27.91,27.98,23.394,13299872
2009-03-31,29.18,31.71,28.9,30.78,25.7354,14138997
2009-04-01,30.2,31.97,29.42,30.53,25.5266,13342106
2009-04-02,32.75,32.8,30.11,31.66,26.4713,18243161
2009-04-03,31.87,33.21,31.2,33.18,27.7419,10362460
2009-04-06,32.39,33.78,31.26,33.17,27.7336,11802778
2009-04-07,31.95,33.5,31.56,32.28,26.9896,11402312
2009-04-08,31.2,31.9,30.2,31.09,25.9944,12029718
2009-04-09,33.05,36.85,32,36.32,30.3674,19326644
2009-04-13,35.23,39.38,34.57,39.03,32.6334,11281284
2009-04-14,38,38.19,34.33,34.53,28.8706,14949480
2009-04-15,33.91,35.85,33,35.69,29.8406,10505295
2009-04-16,35.95,35.98,31.89,34.29,28.6701,18009127
2009-04-17,34.71,35.5,32.95,34.11,28.5196,12843331
2009-04-20,33.01,33.3,30.47,30.65,25.6267,13205365
2009-04-21,28.29,36.2,28.01,36.15,30.2252,21377210
2009-04-22,34.62,36.9,33.77,33.99,28.4197,17055720
