Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,4.55,5.14,4.51,5.08,3.2727,9356464
2009-01-05,5.11,5.39,4.9573,5.14,3.3114,8916474
2009-01-06,5.31,5.9,5.2901,5.78,3.7236,13248910
2009-01-07,5.39,5.6,5.33,5.37,3.4597,10925748
2009-01-08,5.16,5.6,5.11,5.6,3.6076,5103755
2009-01-09,5.65,5.76,5.3,5.64,3.6335,8477346
2009-01-12,5.55,5.55,4.59,4.76,3.0666,21758980
2009-01-13,4.61,4.81,4.39,4.58,2.9506,10441423
2009-01-14,4.61,4.61,4.22,4.29,2.7639,12514807
2009-01-15,4.32,4.44,4.01,4.33,2.7893,12271923
2009-01-16,4.48,4.5,4.18,4.39,2.8279,10175326
2009-01-20,4.48,4.48,3.85,3.88,2.4998,10053372
2009-01-21,4,4.25,3.99,4.25,2.7378,6391492
2009-01-22,3.89,3.94,3.1301,3.23,2.0809,30642523
2009-01-23,3.13,3.26,2.98,3.11,2.0036,34796559
2009-01-26,3.14,3.49,3.12,3.42,2.2034,27431179
2009-01-27,3.5,3.7,3.37,3.62,2.332,22355238
2009-01-28,3.85,4.12,3.73,3.95,2.5445,12290162
2009-01-29,3.9,4.47,3.82,4.04,2.6027,20365583
2009-01-30,4.25,4.32,3.77,3.79,2.4417,10775771
2009-02-02,3.65,4.02,3.57,3.97,2.5576,10416563
2009-02-03,3.84,3.96,3.65,3.83,2.4673,9608029
2009-02-04,3.9,4.47,3.88,4.28,2.779,17445464
2009-02-05,4.24,4.55,4.09,4.39,2.8504,16164127
2009-02-06,4.45,4.68,4.22,4.51,2.9284,16722680
2009-02-09,4.5,4.55,4.3,4.36,2.8312,8861565
2009-02-10,4.58,4.75,4.0475,4.1,2.6624,19207051
2009-02-11,4.3,4.33,4.06,4.2,2.727,7614729
2009-02-12,4.1,4.55,4.04,4.48,2.9089,10387008
2009-02-13,4.41,4.48,4.29,4.37,2.8375,6433457
2009-02-17,4.28,4.615,4.21,4.29,2.7857,12870508
2009-02-18,4.46,4.68,4.26,4.45,2.8896,10625962
2009-02-19,4.55,4.62,4.131,4.26,2.766,13103793
2009-02-20,4.14,4.2401,3.7,4.19,2.7206,18867276
2009-02-23,4.22,4.22,3.911,4.01,2.604,9720802
2009-02-24,4.05,4.05,3.81,3.96,2.5713,19505833
2009-02-25,4.1,4.39,4.04,4.31,2.7985,12892323
2009-02-26,4.26,4.38,4.1,4.1,2.6624,7637391
2009-02-27,4.11,4.34,4,4.3,2.7924,15050351
2009-03-02,4.1,4.32,3.63,3.68,2.3893,16257022
2009-03-03,3.81,4.05,3.64,3.76,2.4414,10057258
2009-03-04,3.8,4,3.67,3.76,2.4414,12728747
2009-03-05,3.67,3.84,3.38,3.42,2.2206,11936013
2009-03-06,3.51,3.65,3.04,3.11,2.0192,14962801
2009-03-09,3.15,3.35,3.09,3.14,2.0389,8075793
2009-03-10,3.25,3.74,3.25,3.61,2.3442,10464853
2009-03-11,3.67,3.78,3.43,3.72,2.4154,11093913
2009-03-12,3.79,3.96,3.7,3.88,2.5192,7195031
2009-03-13,3.89,4.3,3.85,4.26,2.766,14125693
2009-03-16,4.27,4.5,4.21,4.3,2.7924,12287961
2009-03-17,4.21,4.51,4.17,4.46,2.8959,5783369
2009-03-18,4.5,4.81,4.4,4.7,3.0518,9076951
2009-03-19,4.66,4.82,4.58,4.65,3.0194,6882190
2009-03-20,4.76,4.78,4.39,4.6,2.9868,8326723
2009-03-23,4.79,5.17,4.73,5.16,3.3503,12508400
2009-03-24,5,5.79,4.87,5.68,3.6881,28226261
2009-03-25,5.85,6.12,5.67,5.96,3.8701,29225459
2009-03-26,6.24,6.56,5.73,6.56,4.2592,23252582
2009-03-27,6.18,6.54,6.05,6.09,3.9544,12375773
2009-03-30,5.82,6.01,5.58,5.91,3.8375,13426301
2009-03-31,6.11,6.2,5.92,6.01,3.9024,8938641
2009-04-01,5.56,6.02,5.51,5.98,3.8829,13736041
2009-04-02,6.1,6.44,6.05,6.2,4.0257,12028536
2009-04-03,6.09,6.8,5.97,6.73,4.3698,14187504
2009-04-06,6.76,6.8,6.31,6.4,4.1556,13135560
2009-04-07,6.2,6.35,6.1,6.15,3.9937,6672897
2009-04-08,5.96,6.39,5.94,6.35,4.1234,8796450
2009-04-09,6.6,6.79,6.41,6.65,4.318,10464906
2009-04-13,6.3,6.485,5.87,6.34,4.1167,16274097
