Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,15.82,16.55,15.18,16.45,15.6087,1137825
2009-01-05,16.35,17.16,16.27,16.5,15.6559,2365496
2009-01-06,16.58,17.07,16.38,16.87,16.0071,2203063
2009-01-07,16.69,16.69,14.2,15.48,14.6881,4219748
2009-01-08,15.46,15.99,14.15,15.05,14.2802,3701183
2009-01-09,15.04,15.32,14.61,14.89,14.1282,1578933
2009-01-12,14.77,16.04,14.65,15.14,14.3655,3619416
2009-01-13,15.1,15.28,14.82,15.06,14.2897,2267300
2009-01-14,14.63,15.19,14.62,14.9,14.138,3544025
2009-01-15,14.82,15.1201,14.53,14.95,14.1854,3175086
2009-01-16,15.1,15.39,14.95,15.21,14.432,2223658
2009-01-20,14.99,15.29,14.49,14.6,13.8533,2923731
2009-01-21,14.89,15.0398,14.3,14.62,13.8723,2356118
2009-01-22,14.45,14.58,13.94,14.45,13.711,2868954
2009-01-23,14.19,14.2101,13.76,13.95,13.2364,3041070
2009-01-26,14.04,14.67,13.97,14.44,13.7015,2207718
2009-01-27,14.53,14.81,14.51,14.72,13.9672,1758487
2009-01-28,15.34,15.42,14.79,15.25,14.47,2465090
2009-01-29,15.19,15.31,14.98,15.1,14.3274,2720907
2009-01-30,15.04,15.14,14.46,14.52,13.7773,2764487
2009-02-02,14.35,14.38,13.83,14.03,13.3123,2592835
2009-02-03,14.05,14.81,13.81,14.76,14.005,2494273
2009-02-04,14.76,14.94,14.59,14.66,13.9103,2152698
2009-02-05,14.59,15.4,14.47,15.26,14.4793,2687434
2009-02-06,15.25,15.76,15.19,15.7,14.8969,1802682
2009-02-09,15.64,15.83,15.5,15.61,14.8116,1527203
2009-02-10,15.53,15.61,14.95,15.06,14.2897,2507208
2009-02-11,15.16,15.57,15.07,15.51,14.7168,2386261
2009-02-12,15.34,15.45,14.93,15.41,14.6216,1683138
2009-02-13,15.35,15.54,14.97,15.01,14.2423,1992591
2009-02-17,14.51,14.64,14.11,14.23,13.5023,2229429
2009-02-18,14.51,14.51,13.83,14.08,13.3598,2231174
2009-02-19,14.23,14.37,13.92,13.92,13.2081,1950394
2009-02-20,13.83,14.0325,13.53,13.84,13.1321,2764937
2009-02-23,13.93,14.04,13.36,13.37,12.686,1797076
2009-02-24,13.39,13.83,13.23,13.73,13.0277,2589789
2009-02-25,13.65,14.29,13.52,13.9,13.189,3251286
2009-02-26,14.13,14.13,13.38,13.4,12.7146,2641060
2009-02-27,13.15,13.48,13.03,13.05,12.3823,3184403
2009-03-02,12.73,13.19,12.73,12.98,12.316,2649328
2009-03-03,13.09,13.25,12.82,12.9,12.2403,2632202
2009-03-04,13.09,13.31,12.78,13.06,12.3921,2532602
2009-03-05,12.85,13.06,12.31,12.41,11.7752,4245320
2009-03-06,12.66,12.81,12.16,12.46,11.8227,3639261
2009-03-09,12.33,12.83,12.08,12.77,12.1168,3481063
2009-03-10,12.94,13.32,12.79,13.08,12.4109,2267827
2009-03-11,13.17,13.26,12.74,12.8,12.1452,3414958
2009-03-12,12.81,13.13,12.69,13.11,12.4394,3013824
2009-03-13,13.13,13.21,12.94,13.05,12.3823,2268438
2009-03-16,13.16,13.49,13.11,13.29,12.6101,1901038
2009-03-17,13.27,13.38,13,13.33,12.6481,1688316
2009-03-18,13.16,13.5,12.94,13.35,12.6671,2854610
2009-03-19,13.24,13.37,12.98,13.1,12.43,2529029
2009-03-20,13.1,13.26,12.68,12.69,12.0408,3021320
2009-03-23,12.92,13.15,12.72,13.1,12.43,3428957
2009-03-24,13.02,13.48,12.97,13.26,12.5816,3003580
2009-03-25,12.8,13.09,12.2,12.55,11.9083,5079220
2009-03-26,12.79,12.79,12.155,12.37,11.7372,4314253
2009-03-27,12.27,12.29,11.9,12.05,11.4336,3628498
2009-03-30,11.86,12.03,11.73,11.83,11.225,2717135
2009-03-31,11.9,12.09,11.75,11.9,11.2914,2789988
2009-04-01,11.75,11.96,11.67,11.8,11.1963,3869658
2009-04-02,12.07,12.33,11.88,12.18,11.5568,5631465
2009-04-03,12.16,12.27,12.01,12.2,11.5762,3457540
2009-04-06,12.09,12.19,11.72,11.85,11.2439,3053454
2009-04-07,11.69,12.07,11.57,11.64,11.0445,4562058
2009-04-08,11.57,11.63,10.72,11.05,10.485,6617915
2009-04-09,11.245,11.38,11.04,11.18,10.6081,4305653
2009-04-13,11.15,11.15,10.89,11.04,10.4752,3396789
2009-04-14,10.98,11.26,10.82,11.15,10.5796,4369437
2009-04-15,11.17,11.43,11.13,11.39,10.8074,2677592
2009-04-16,11.47,11.61,11.27,11.55,10.9594,3091785
2009-04-17,11.6,11.74,11.55,11.66,11.0637,2520300
2009-04-20,11.6,11.66,11.31,11.38,10.7981,1340373
2009-04-21,11.24,11.58,11.24,11.47,10.8834,2091403
2009-04-22,11.32,11.48,11.13,11.13,10.5609,2170758
2009-04-23,11.09,11.18,10.95,11.12,10.5511,1709085
2009-04-24,11.18,11.18,10.96,11.05,10.485,1935076
2009-04-27,10.95,11.14,10.89,10.97,10.4087,1552603
2009-04-28,10.97,11.0301,10.85,10.95,10.3899,1731135
2009-04-29,11.01,11.34,10.89,11.23,10.6554,3109234
2009-04-30,11.33,11.83,11.3,11.59,10.9971,3110411
2009-05-01,11.61,11.68,11.5,11.61,11.0162,2432938
2009-05-04,11.73,11.89,11.56,11.83,11.225,1903108
2009-05-05,11.9,12.32,11.87,12.08,11.4621,3614148
2009-05-06,12.18,12.31,11.9,12.24,11.6139,3744768
2009-05-07,12.3,12.43,12.1,12.17,11.5475,2288756
2009-05-08,12.31,12.57,12,12.5,11.8606,2324099
2009-05-11,12.49,12.55,12.23,12.25,11.6234,1520109
2009-05-12,12.29,12.39,12.01,12.12,11.5,1531318
2009-05-13,11.96,11.98,11.61,11.64,11.0445,2131405
2009-05-14,11.64,11.86,11.53,11.74,11.1396,1566738
2009-05-15,11.75,12.02,11.72,11.9,11.2914,1676740
2009-05-18,11.96,12.05,11.79,12.01,11.3957,1393042
2009-05-19,12.04,12.48,12,12.32,11.69,1860109
2009-05-20,12.43,12.46,11.8,11.82,11.2156,3012519
2009-05-21,11.8,11.8,11.245,11.34,10.76,3577169
2009-05-22,11.33,11.38,11.14,11.26,10.6838,1685270
2009-05-26,11.15,11.58,11.15,11.52,10.9308,2570384
2009-05-27,11.51,11.81,11.46,11.47,10.8834,1849779
2009-05-28,11.55,11.58,11.15,11.42,10.836,2239130
2009-05-29,11.41,11.66,11.31,11.56,10.9685,2581209
2009-06-01,11.73,12.16,11.62,12.05,11.4336,3587523
2009-06-02,12.05,12.4,12,12.16,11.538,3414436
2009-06-03,12.14,12.14,11.92,11.96,11.348,2167248
2009-06-04,12.04,12.49,11.97,12.42,11.7845,3402641
2009-06-05,12.53,12.72,12.19,12.21,11.5852,3308503
2009-06-08,12.59,12.85,12.37,12.43,11.7943,3191986
2009-06-09,12.4,12.57,12.39,12.46,11.8227,2432163
2009-06-10,12.52,12.93,12.41,12.91,12.2495,4194391
2009-06-11,12.98,13.69,12.96,13.35,12.6671,5215573
2009-06-12,13.3,13.5,13.21,13.43,12.7432,2293729
2009-06-15,13.36,13.38,12.84,13.01,12.3447,2482109
2009-06-16,13.1,13.1,12.88,13,12.3351,2374603
2009-06-17,13,13.04,12.77,12.84,12.1832,2218263
2009-06-18,12.84,13.07,12.75,13.02,12.354,2146520
