Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,34.79,35.65,33.87,35.47,27.6114,489228
2009-01-05,35.04,35.8,34.75,35.49,27.627,899828
2009-01-06,35.89,36.68,35.33,36.38,28.3197,775015
2009-01-07,35.7,35.94,35.12,35.42,27.5723,1052071
2009-01-08,35.4,35.76,35.09,35.64,27.7437,1316747
2009-01-09,35.52,35.76,34.81,35.04,27.2767,754074
2009-01-12,34.89,35.17,33.82,34.02,26.4824,1322365
2009-01-13,34,34.25,33.36,33.8,26.3113,1193062
2009-01-14,33.16,33.22,32.32,32.56,25.346,904343
2009-01-15,32.59,33.27,31.73,32.81,25.541,1104975
2009-01-16,33.13,33.58,32.24,33.4,26.0002,876613
2009-01-20,33.22,33.49,31.16,31.31,24.373,995734
2009-01-21,31.92,32.29,30.76,32.23,25.0889,1025909
2009-01-22,31.49,31.86,29.84,30.49,23.7346,1165919
2009-01-23,29.66,30.5,29.38,30.06,23.3998,997646
2009-01-26,30.15,31.24,30.07,30.52,23.7579,1441616
2009-01-27,30.82,31.43,30.5,30.96,24.1008,980301
2009-01-28,32.27,35.02,32.07,34.85,27.129,2389798
2009-01-29,33.73,33.73,32.72,32.9,25.6108,1557959
2009-01-30,33.06,33.16,31.02,31.26,24.3344,1002021
2009-02-02,31.03,31.72,30.67,31.12,24.2253,734173
2009-02-03,31.25,32.94,30.95,32.72,25.4705,1046756
2009-02-04,32.64,33.05,32.1,32.29,25.1359,911789
2009-02-05,32.23,33.55,31.79,33.27,25.8989,964770
2009-02-06,33.28,34.82,33.26,34.65,26.9731,1052178
2009-02-09,34.57,34.62,33.78,34.48,26.8408,679538
2009-02-10,33.82,34.48,32.59,32.88,25.595,938076
2009-02-11,33.13,33.66,32.84,33.35,25.9612,742079
2009-02-12,32.76,33.08,31.61,32.86,25.5797,1770206
2009-02-13,32.84,32.84,31.51,31.54,24.5524,1150521
2009-02-17,29.13,31.3,29.13,30.71,23.9061,1117965
2009-02-18,30.88,30.91,30.05,30.28,23.5711,1049776
2009-02-19,30.51,31.11,29.63,29.81,23.2057,1175464
2009-02-20,29.24,29.73,28.23,28.76,22.3882,1506294
2009-02-23,29.17,29.23,27.1,27.39,21.3216,1089228
2009-02-24,27.55,28.63,26.79,28.28,22.0143,1490472
2009-02-25,28.13,28.28,27.07,27.58,21.4694,794571
2009-02-26,28.02,28.31,26.68,26.85,20.9009,998360
2009-02-27,26.22,27.31,26,26.76,20.8314,1723838
2009-03-02,26.08,26.34,24.8,24.89,19.6281,1319214
2009-03-03,25.21,25.61,24.4,24.46,19.2887,1442260
2009-03-04,24.6,25.27,24.48,24.87,19.6118,1104483
2009-03-05,24.18,24.4,23.06,23.34,18.4053,1148148
2009-03-06,23.83,24.12,23.01,23.56,18.5791,1759478
2009-03-09,23.24,23.82,22.61,22.75,17.9402,928830
2009-03-10,23.32,25.32,23.2,25.3,19.9511,1522276
2009-03-11,25.38,26.09,24.64,25.06,19.762,1208781
2009-03-12,25.06,26.51,24.5,26.46,20.8658,1321698
2009-03-13,26.7,27.46,26.38,26.92,21.2285,1047696
2009-03-16,27.14,28.1,26.92,27.31,21.5361,1155838
2009-03-17,27.28,28.43,27.22,28.43,22.4191,950795
2009-03-18,28.22,29.86,27.49,29.47,23.2396,1175024
2009-03-19,29.9,29.93,28.47,28.74,22.6638,1336799
2009-03-20,28.79,28.82,26.9,27.35,21.568,1085411
2009-03-23,27.95,29.95,27.72,29.88,23.563,1238300
2009-03-24,29.41,30.11,28.96,29.54,23.2947,1427229
2009-03-25,29.6,31.29,29.23,30.2,23.8151,1959439
2009-03-26,30.57,32.02,30.57,31.92,25.1715,1184521
2009-03-27,31.4,31.44,30.42,30.96,24.4146,1170811
2009-03-30,30.14,30.15,28.52,29.02,22.8846,1169427
2009-03-31,29.34,29.57,28.55,29.12,22.9637,1401288
2009-04-01,28.6,30.07,28.32,29.91,23.5867,949541
2009-04-02,30.43,32.36,30.43,31.85,25.1163,1305092
2009-04-03,31.54,32.45,31.5,32.34,25.5029,899788
2009-04-06,32,32.35,30.8,31.28,24.6671,1743095
