Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,40.47,41.66,39.83,41.31,35.9541,2331068
2009-01-05,41.19,41.25,40.4,40.78,35.493,2131592
2009-01-06,40.26,40.47,38.3718,38.77,33.7436,5170609
2009-01-07,38.31,38.9,38,38.38,33.4043,2590120
2009-01-08,38.18,38.66,36.96,38.58,33.5783,2972150
2009-01-09,40.39,42.29,40.05,40.96,35.6494,7374257
2009-01-12,41.27,41.3,39.73,39.99,34.8055,2806812
2009-01-13,39.97,40.9,39.97,40.46,35.2147,2069906
2009-01-14,40.43,41.83,40,41.4,36.0328,4423764
2009-01-15,41.34,41.57,40,40.92,35.6152,3119583
2009-01-16,41.36,41.95,40.18,41.02,35.7022,2794459
2009-01-20,41.24,41.55,39.46,39.7,34.5533,2477185
2009-01-21,40.33,40.8,39.35,40.75,35.467,2258808
2009-01-22,40.18,40.74,39.8,40.57,35.3101,2385650
2009-01-23,40.15,40.31,39.07,39.44,34.3266,2394444
2009-01-26,39.18,40.56,38.72,39.56,34.4311,3495929
2009-01-27,39.96,41.53,39.54,41.05,35.7279,3896970
2009-01-28,42.53,44.47,42.08,43.24,37.6342,5117496
2009-01-29,41.94,42.48,41.33,41.82,36.3983,4008017
2009-01-30,41.8,42.67,41.8,42.24,36.7641,3084393
2009-02-02,42.01,42.18,41.47,41.8,36.3808,1591652
2009-02-03,41.78,42.3,40.9,42.04,36.5898,2149272
2009-02-04,42.24,43,41.9401,42.12,36.6593,2022371
2009-02-05,41.92,42.16,41.3,42,36.5549,3365820
2009-02-06,42.1,43.3,42,42.98,37.408,2008683
2009-02-09,43.02,43.02,41.7,42,36.5549,2076083
2009-02-10,41.76,42,40.8,41.33,35.9717,2573775
2009-02-11,41.61,42.33,41.28,42.17,36.7029,2247183
2009-02-12,41.38,43.12,41.24,43.12,37.5297,3106906
2009-02-13,42.98,43.53,42.78,43.19,37.5906,2377937
2009-02-17,42.29,42.99,41.46,41.72,36.3112,3478875
2009-02-18,42.05,42.2,41.48,41.87,36.4417,1943467
2009-02-19,41.75,42.1,40.84,40.96,35.6494,2868237
2009-02-20,40.45,40.58,39.54,40.03,34.8404,4294651
2009-02-23,40.33,40.58,39.14,39.21,34.1268,3259874
2009-02-24,39.38,39.81,38.4,39.14,34.0657,3499895
2009-02-25,38.15,39.66,38.15,39.11,34.0397,4252311
2009-02-26,39.56,40,36.27,36.32,31.6114,7827030
