Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,23.01,24.05,22.95,23.95,17.0894,3067100
2009-01-05,23.86,24.39,23.79,24.33,17.3605,4295200
2009-01-06,24.42,24.81,24.09,24.57,17.5318,4399200
2009-01-07,24.29,24.69,24.05,24.43,17.4319,3532200
2009-01-08,24.38,24.38,23.8,24.17,17.2464,3191400
2009-01-09,24.33,24.39,23.61,23.78,16.9681,2713100
2009-01-12,23.69,23.99,23.53,23.7,16.911,3420500
2009-01-13,23.7,23.87,23.5,23.7,16.911,3700100
2009-01-14,23.53,23.66,22.88,23.53,16.7897,3904300
2009-01-15,23.49,23.74,23.24,23.63,16.8611,4275000
2009-01-16,23.9,24.21,23.55,23.74,16.9395,4899300
2009-01-20,23.76,24.35,22.95,23.1,16.4829,5283900
2009-01-21,23.49,23.7,22.81,23.6,16.8397,4202400
2009-01-22,23.34,24.13,23.34,24.02,17.1393,4233400
2009-01-23,23.71,23.71,23.08,23.32,16.6399,4730600
2009-01-26,23.47,23.98,23.29,23.49,16.7612,3475100
2009-01-27,23.68,23.78,22.86,23.46,16.7398,5199500
2009-01-28,23.81,23.97,23.54,23.82,16.9966,2658500
2009-01-29,23.75,23.97,23.12,23.24,16.5828,2831800
2009-01-30,23.39,23.39,22.08,22.29,15.9049,4374700
2009-02-02,22.5,23.79,22.4,23.54,16.7968,5458800
2009-02-03,23.58,24.4,23.4,24.29,17.332,3356200
2009-02-04,24.37,24.56,23.85,23.97,17.1037,3119100
2009-02-05,23.77,24.41,23.53,24.06,17.1679,3986000
2009-02-06,24.2,24.75,24.06,24.67,17.6032,3151400
2009-02-09,24.62,24.68,24.12,24.44,17.439,2531900
2009-02-10,24.2,24.44,23.21,23.36,16.6684,3442600
2009-02-11,23.53,23.63,23.23,23.52,16.7826,2324000
2009-02-12,23.22,23.74,23.05,23.69,16.9039,3268500
2009-02-13,23.65,23.84,23.43,23.62,16.8539,2692500
2009-02-17,22.92,23.36,22,23.01,16.4187,3674600
2009-02-18,23.19,23.5,22.74,23.25,16.5899,4521800
2009-02-19,23.43,23.67,23.13,23.2,16.5542,4190300
2009-02-20,22.82,23.44,22.6,22.72,16.2117,6712600
2009-02-23,22.89,22.92,21.96,22.04,15.7265,4027700
2009-02-24,22.18,22.48,22.02,22.41,15.9905,4540500
2009-02-25,22.3,22.7,22.14,22.26,15.8835,4440400
2009-02-26,22.27,22.64,21.67,21.67,15.4625,3983400
2009-02-27,21.39,21.91,21.39,21.5,15.3412,4745000
2009-03-02,21.19,21.24,20.68,20.83,14.8631,6516700
2009-03-03,21.04,21.08,20.3,20.36,14.5278,5199500
2009-03-04,20.61,21.48,20.32,21.17,15.1057,4783900
2009-03-05,20.8,20.88,20.06,20.31,14.4921,5431400
2009-03-06,20.53,20.8,19.82,20.23,14.435,6989200
2009-03-09,20.02,20.22,19.39,19.45,13.8784,6077000
2009-03-10,19.74,20.35,19.56,20.35,14.5206,5256500
2009-03-11,20.31,20.45,19.76,19.82,14.1425,4131200
2009-03-12,19.78,20.6,19.67,20.55,14.6633,3778200
2009-03-13,20.67,21.78,20.63,21.65,15.4482,5269300
2009-03-16,21.85,22.44,21.55,21.94,15.6552,4736100
2009-03-17,21.9,22.63,21.88,22.63,16.1475,4156900
2009-03-18,22.53,23.08,22.28,22.9,16.3402,5362500
2009-03-19,23.12,23.2,22.82,22.95,16.3759,5848300
2009-03-20,23.06,23.39,22.5,22.6,16.1261,5017700
2009-03-23,22.77,23.35,22.77,23.28,16.6113,4908200
2009-03-24,23.35,23.49,23.01,23.17,16.5328,3681400
2009-03-25,23.28,23.81,23.09,23.64,16.8682,4084800
2009-03-26,23.79,23.89,23.31,23.89,17.0466,3127000
2009-03-27,23.56,23.96,23.41,23.58,16.8254,2427900
2009-03-30,23.24,23.4,22.51,22.79,16.2617,3556400
2009-03-31,23.03,23.2,22.36,22.8,16.2688,4208800
2009-04-01,22.5,22.84,22.11,22.65,16.3337,4334200
2009-04-02,23.09,23.64,23,23.36,16.8457,4297800
2009-04-03,23.53,23.53,22.57,22.93,16.5356,3476200
2009-04-06,22.78,23.15,22.45,22.79,16.4347,2800200
2009-04-07,22.68,22.75,22.26,22.31,16.0885,2832500
2009-04-08,22.36,22.94,22.36,22.58,16.2832,2953000
2009-04-09,22.99,23.14,22.52,23.02,16.6005,2994200
2009-04-13,23.03,23.61,22.88,23.37,16.8529,3403600
2009-04-14,23.12,23.39,22.93,23.2,16.7303,2963000
2009-04-15,22.51,22.9,21.9,22.16,15.9804,5661000
2009-04-16,22.32,22.55,21.6,22.47,16.2039,4412100
2009-04-17,22.58,23.01,22.26,22.92,16.5284,4691100
2009-04-20,22.64,23.08,21.97,22.01,15.8722,4752700
2009-04-21,21.53,22.12,21.26,22.07,15.9155,6149800
2009-04-22,21.96,22.49,21.83,22.13,15.9587,2962900
2009-04-23,22.26,22.46,21.99,22.21,16.0164,4358300
2009-04-24,22.34,22.95,22.19,22.8,16.4419,5429600
2009-04-27,22.59,23.1,22.46,22.59,16.2905,3375200
2009-04-28,22.4,22.7,22.01,22.42,16.1679,3480900
2009-04-29,22.69,23.2,22.42,22.98,16.5717,3375100
2009-04-30,23.35,23.45,23.01,23.33,16.8241,5433000
2009-05-01,23.37,24.5,23.25,24.35,17.5597,6443100
2009-05-04,24.5,24.69,22.91,23.41,16.8818,8591500
2009-05-05,23.34,23.72,23.16,23.28,16.788,5559700
2009-05-06,23.54,23.88,23.35,23.84,17.1919,4756400
2009-05-07,23.86,24.19,23.44,23.57,16.9972,3591000
2009-05-08,23.85,23.85,23.43,23.6,17.0188,3945800
2009-05-11,23.36,23.77,22.99,23.49,16.9395,3844800
2009-05-12,23.51,23.67,23.25,23.4,16.8746,4582500
2009-05-13,23.04,23.5,23,23.08,16.6438,3607000
2009-05-14,23.2,23.26,22.76,22.87,16.4924,3981800
2009-05-15,22.87,23.16,22.7,22.82,16.4563,3076100
2009-05-18,23.02,23.29,22.65,23.28,16.788,4889500
2009-05-19,23.36,23.42,23.2,23.37,16.8529,4473300
2009-05-20,23.44,23.86,23.44,23.57,16.9972,3326600
2009-05-21,23.34,23.34,22.89,23.11,16.6654,3073800
2009-05-22,23.2,23.49,23.02,23.28,16.788,1940100
2009-05-26,23.26,23.83,22.95,23.61,17.026,3746700
2009-05-27,23.67,24.15,23.67,23.77,17.1414,3801100
2009-05-28,23.95,24.04,23.39,23.74,17.1198,3684100
2009-05-29,23.85,24,23.56,23.96,17.2784,3346200
2009-06-01,24.21,24.63,23.97,24.55,17.7039,4160700
2009-06-02,24.55,24.84,24.29,24.43,17.6173,5593300
2009-06-03,24.3,24.5,24.2,24.35,17.5597,2441200
2009-06-04,24.23,24.38,23.99,24.14,17.4082,2976100
2009-06-05,24.36,24.49,23.86,23.92,17.2496,3464800
2009-06-08,23.92,23.95,23.42,23.71,17.0981,4629300
2009-06-09,23.73,23.92,23.57,23.82,17.1774,2904400
2009-06-10,23.9,24.11,23.28,23.47,16.9251,4807700
2009-06-11,23.44,23.97,23.44,23.7,17.0909,4331100
2009-06-12,23.63,23.94,23.42,23.94,17.264,2737000
2009-06-15,23.74,23.74,22.77,22.82,16.4563,5050200
2009-06-16,22.94,22.99,22.6,22.81,16.4491,4169100
2009-06-17,22.84,23.45,22.8,23.29,16.7952,3721900
2009-06-18,23.33,23.8,23.23,23.66,17.0621,2798200
2009-06-19,23.84,23.9,23.59,23.68,17.0765,3803200
2009-06-22,23.53,23.66,23.34,23.42,16.889,3021900
2009-06-23,23.44,23.62,22.69,22.76,16.413,5192000
2009-06-24,22.87,23.11,22.61,22.95,16.5501,3932900
2009-06-25,22.82,23.19,22.67,23.13,16.6799,3373200
2009-06-26,23.12,23.16,22.69,22.98,16.5717,2918500
2009-06-29,23.06,23.06,22.58,22.71,16.377,3228500
2009-06-30,22.61,22.74,22.28,22.48,16.3843,3297000
2009-07-01,22.54,22.75,22.3,22.6,16.4717,3899700
2009-07-02,22.39,22.55,21.8,21.8,15.8887,3453000
2009-07-06,21.87,22.26,21.85,22.19,16.1729,3609300
2009-07-07,22.15,22.28,21.67,21.67,15.7939,4045200
2009-07-08,21.79,21.87,21.54,21.72,15.8304,6138500
2009-07-09,21.84,21.95,21.59,21.82,15.9032,3799500
2009-07-10,21.75,21.88,21.4,21.51,15.6773,3479000
2009-07-13,21.43,22,21.38,21.98,16.0199,3264600
2009-07-14,21.99,21.99,21.62,21.95,15.998,3544400
2009-07-15,22.12,22.88,21.98,22.86,16.6612,5913300
2009-07-16,22.74,22.95,22.67,22.9,16.6904,3842200
2009-07-17,22.91,22.96,22.68,22.91,16.6977,4861800
2009-07-20,23.05,23.05,22.7,23.04,16.7924,3633000
2009-07-21,23.15,23.2,22.78,23.01,16.7706,4519800
