Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,48.71,49.82,48.25,49.52,38.1834,792095
2009-01-05,49.28,49.88,47.94,48.44,37.3508,1763949
2009-01-06,48.37,49.35,44.91,45.73,35.2611,2547799
2009-01-07,45.16,46.09,44.67,45.04,34.7288,1501049
2009-01-08,44.81,45.44,42.63,44.14,34.0348,2232585
2009-01-09,44.05,44.28,43.2201,43.83,33.7963,1143072
2009-01-12,43.86,44.3,43,43.85,33.8116,1068521
2009-01-13,43.84,44.05,42.83,43.55,33.5803,1446229
2009-01-14,42.9,42.9,41.525,42.04,32.416,1062677
2009-01-15,41.8,42.06,40.93,42,32.3849,2957844
2009-01-16,42.45,42.9,41.91,42.19,32.5316,2012585
2009-01-20,42.46,42.7,41.53,41.83,32.2539,1715132
2009-01-21,41.83,43.07,41.75,42.93,33.1023,1828603
2009-01-22,42.23,43.12,41.78,42.98,33.1406,2169456
2009-01-23,42.09,42.96,41.43,42.49,32.7627,1141135
2009-01-26,42.91,43.56,41.93,42.07,32.4391,1862373
2009-01-27,42.56,42.56,41.09,41.66,32.1228,1482207
2009-01-28,42.08,42.29,41.2101,41.72,32.1693,1479855
2009-01-29,41.74,41.74,40.6,40.92,31.5522,1064170
2009-01-30,40.85,41.2,40.11,40.27,31.051,2119341
2009-02-02,40.27,40.68,38.81,39.95,30.8043,2873651
2009-02-03,40.03,41.63,39.79,41.34,31.8762,1244416
2009-02-04,41.24,41.61,39.78,39.98,30.8275,1336738
2009-02-05,39.92,40.4299,39.55,39.93,30.7887,1637332
2009-02-06,40.03,41.32,39.72,41.17,31.745,2189431
2009-02-09,41.42,41.43,40.2,40.5,31.2282,2221181
2009-02-10,39.67,39.76,36.69,37.3,28.761,5294563
2009-02-11,38.51,39.45,38.01,39.13,30.1722,2691520
2009-02-12,38.08,39.84,37.9,39.62,30.5497,2614708
2009-02-13,39.69,39.69,38.815,38.84,29.9484,1941201
2009-02-17,37.73,38.44,37.5,37.68,29.0541,2195405
2009-02-18,37.71,37.85,37.39,37.66,29.0387,1972581
2009-02-19,37.49,37.95,36.77,36.91,28.4604,1991839
2009-02-20,36.13,36.7,35.6948,36.1,27.8357,2021736
2009-02-23,36.33,36.8,35.47,35.51,27.3809,1252060
2009-02-24,35.4,36.1999,35.29,36.04,27.7893,2036176
2009-02-25,35.74,36.04,35.24,35.54,27.5568,1473383
2009-02-26,35.95,36.13,35.29,35.44,27.4794,2178119
2009-02-27,35.17,35.84,34.82,35.23,27.3164,3099662
2009-03-02,35.28,36.28,35.17,35.33,27.3941,2088359
2009-03-03,36.03,36.5,35.26,35.52,27.5412,2458299
2009-03-04,36.12,36.17,34.89,35.05,27.1768,2342945
2009-03-05,34.34,34.78,33.05,33.61,26.0605,3426842
2009-03-06,34.34,34.65,33.36,34.1,26.4402,1477801
2009-03-09,33.91,34.07,32.76,32.95,25.5487,1496225
2009-03-10,33.02,33.57,32.68,32.8,25.4323,2420117
2009-03-11,32.54,33.2,32.21,32.91,25.5175,3885391
2009-03-12,32.86,33.19,31.96,32.1,24.8895,2873977
2009-03-13,32.14,32.64,31.13,31.68,24.5638,4418893
2009-03-16,31.93,32.29,31.22,31.44,24.3776,2678090
2009-03-17,31.37,31.69,30.76,31.49,24.4166,2282900
2009-03-18,31.65,33.73,31.37,33.14,25.6958,4122866
2009-03-19,33.32,33.36,32.8,33,25.5873,2275180
2009-03-20,33,33.5,32.35,33.08,25.6496,2114318
2009-03-23,33.33,34.97,33.28,34.97,27.1147,2839564
2009-03-24,34.62,35.5,34.41,35.18,27.2777,2216659
2009-03-25,35.62,35.64,34.41,35.12,27.2311,1508954
2009-03-26,35.27,35.58,34.58,35.46,27.4948,1577774
2009-03-27,35.22,35.49,34.6,35.37,27.4249,1419112
2009-03-30,34.81,34.99,33.56,34.25,26.5568,1271494
2009-03-31,34.32,34.87,34.11,34.28,26.5797,1402895
2009-04-01,34.05,34.87,33.42,34.7,26.9056,1708870
2009-04-02,35.11,36.62,34.8,36.06,27.9599,1720809
2009-04-03,36.13,36.72,35.97,36.23,28.0918,1409940
2009-04-06,36.07,36.11,35.18,35.37,27.4249,1350453
2009-04-07,35.12,35.75,34.83,35.04,27.1692,927080
2009-04-08,35.08,35.15,34.18,34.51,26.7584,1268985
