Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,33.62,33.97,32.44,33.45,15.4591,370314
2009-01-05,33.59,35.07,33.39,35,16.1754,534346
2009-01-06,35.23,35.5,34.5,35.25,16.2909,662235
2009-01-07,34.62,35,33.75,34.14,15.778,320165
2009-01-08,34.1,34.69,33.85,34.67,16.0229,222644
2009-01-09,34.57,34.57,32.89,33.04,15.2696,279641
2009-01-12,32.89,33.04,32.23,32.45,14.997,296080
2009-01-13,32.21,33.84,31.89,33.52,15.4915,420774
2009-01-14,33.01,33.01,31.59,32.54,15.0385,455049
2009-01-15,32.45,32.99,30.95,32.42,14.9831,336796
2009-01-16,32.68,33.44,32,32.97,15.2373,217726
2009-01-20,32.61,32.76,30.76,30.78,14.2252,385746
2009-01-21,31.13,32.35,30.86,32.05,14.8121,404747
2009-01-22,31.35,32.84,31,32.28,14.9184,404139
2009-01-23,31.75,33.43,31.22,32.95,15.228,332834
2009-01-26,32.95,34.37,32.76,33.68,15.5654,559172
2009-01-27,33.9,34.765,33.64,34.5,15.9443,330216
2009-01-28,35.5,35.5,34.6,35.08,16.2124,420822
2009-01-29,34.93,35.13,34.11,34.26,15.8335,168681
2009-01-30,34.69,34.75,34.02,34.08,15.7503,295056
2009-02-02,33.9,34.87,33.75,34.52,15.9537,556963
2009-02-03,36.33,40,36.25,36.78,16.9982,2064066
2009-02-04,36.89,38.34,36.89,38,17.562,972998
2009-02-05,37.5,38.53,37.19,38.28,17.6913,687255
2009-02-06,38.27,40,38.27,39.54,18.2737,686984
2009-02-09,39.5,40,39.24,39.37,18.195,644064
2009-02-10,39.65,40.01,37.85,38.22,17.6635,486025
2009-02-11,38.54,38.9,37.77,38.41,17.7514,342336
2009-02-12,37.79,39.2,37.5,39.19,18.1119,413057
2009-02-13,39.35,40.56,39.03,39.75,18.3707,664858
2009-02-17,38.59,39.08,37.87,38.13,17.6221,671239
2009-02-18,38.42,38.61,37.35,38,17.562,509767
2009-02-19,38.53,38.96,37.76,37.96,17.5434,369877
2009-02-20,35.31,37.07,35.2,36.18,16.7209,1738806
2009-02-23,36.72,36.72,35.33,35.4,16.3603,584240
2009-02-24,35.9,36.73,35.22,36.42,16.8317,651989
2009-02-25,36.24,36.24,34.92,35.43,16.3741,481028
2009-02-26,35.85,36.14,34.7,34.86,16.1107,422940
2009-02-27,34.66,36.11,34.06,35.34,16.3327,854878
2009-03-02,34.86,35.57,33.42,33.51,15.4868,666992
2009-03-03,34,34.16,32.94,32.95,15.228,419814
2009-03-04,33.16,34.99,33.16,34.59,15.986,499452
