Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,16.49,17.31,16.04,17.23,13.4929,2300700
2009-01-05,17.03,17.55,16.9,16.96,13.2815,3216900
2009-01-06,17.16,17.74,17.11,17.55,13.7435,3423800
2009-01-07,17.21,17.86,17.19,17.5,13.7044,2437000
2009-01-08,17.34,17.34,16.76,17.05,13.352,3111300
2009-01-09,16.98,17.09,16.45,16.92,13.3757,2862900
2009-01-12,16.89,17.11,16.81,16.99,13.431,3658800
2009-01-13,16.21,16.28,15.7,16.02,12.6642,5124900
2009-01-14,15.79,15.79,14.89,15.19,12.0081,4745100
2009-01-15,15.19,16.02,14.6,15.86,12.5377,5578100
2009-01-16,16.28,16.39,15.55,15.82,12.5061,4244400
2009-01-20,15.82,16.02,14.92,15.07,11.9132,4520100
2009-01-21,15.41,15.66,15.01,15.58,12.3164,3809900
2009-01-22,15.25,15.66,14.95,15.57,12.3085,3898700
2009-01-23,15.28,16.02,14.9,15.64,12.3638,3569400
2009-01-26,15.6,16.01,15.35,15.45,12.2136,4061700
2009-01-27,15.59,15.9,15.38,15.74,12.4429,4137800
2009-01-28,14.26,15.19,13.8,15.05,11.8974,10135000
2009-01-29,14.87,15.08,14.6,14.76,11.6681,4087200
2009-01-30,14.5,14.93,14.03,14.16,11.1938,4963500
2009-02-02,13.96,14.04,13.45,13.73,10.8539,4529800
2009-02-03,13.95,13.95,13.23,13.78,10.8934,4822100
2009-02-04,13.82,14.34,13.82,13.97,11.0436,4561000
2009-02-05,13.79,14.45,13.71,14.33,11.3282,3900700
2009-02-06,14.17,14.94,14.16,14.77,11.676,2506000
2009-02-09,14.59,14.82,14.5,14.63,11.5654,2525400
2009-02-10,14.46,14.63,13.58,13.78,10.8934,7087500
2009-02-11,13.84,14.03,13.66,13.9,10.9883,3373300
2009-02-12,13.5,13.71,13.25,13.71,10.8381,4525600
2009-02-13,13.69,14,13.58,13.85,10.9488,3369900
2009-02-17,13.33,13.42,12.75,12.8,10.1187,5885600
2009-02-18,12.86,12.9,12.18,12.28,9.7076,7526500
2009-02-19,12.56,12.56,11.55,11.57,9.1464,4968700
2009-02-20,11.31,11.5,10.77,11.01,8.7037,7413900
2009-02-23,11.15,11.15,10.11,10.15,8.0238,4135600
2009-02-24,10.27,10.72,10.09,10.63,8.4033,4079300
2009-02-25,10.61,10.64,10.1,10.34,8.174,4739400
