Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,50.33,50.77,49.12,50.48,42.9285,425668
2009-01-05,50.9,51.05,49.51,50.03,42.5458,381832
2009-01-06,50.38,50.47,48.08,48.64,41.3636,511327
2009-01-07,48.05,48.42,47.11,48.24,41.0236,437382
2009-01-08,48.08,50.56,48.08,50.42,42.8772,580864
2009-01-09,50.42,50.77,48.89,50.02,42.5371,234858
2009-01-12,49.85,50.31,49.1,50,42.5199,290699
2009-01-13,49.94,51.21,49.94,50.62,43.0471,349198
2009-01-14,50.55,50.87,49.72,49.97,42.4946,343903
2009-01-15,50.09,51.85,49.71,51.54,43.8298,406036
2009-01-16,52.18,52.46,50.49,51.25,43.5833,359405
2009-01-20,51.03,51.86,50.15,50.35,42.8176,421932
2009-01-21,50.54,51.77,49.95,51.64,43.915,547047
2009-01-22,50.66,51.73,50.07,51.16,43.5067,344991
2009-01-23,50.21,51.45,49.99,50.96,43.3366,457379
2009-01-26,51.06,51.3,49.89,50.42,42.8772,369022
2009-01-27,50.6,51.96,50.3,51.81,44.0595,338230
2009-01-28,52.18,53.59,52.18,53.36,45.3776,272666
2009-01-29,52.51,53.21,52.0725,52.36,44.5271,216134
2009-01-30,52.49,54.2,52.45,53.18,45.2246,563159
2009-02-02,52.67,53.04,51.97,52.87,44.961,382415
2009-02-03,52.805,53.43,52.23,53.08,45.1394,283324
2009-02-04,53.27,53.95,52.5,53.28,45.3096,350224
2009-02-05,52.85,53.97,52.74,53.16,45.2073,376193
2009-02-06,53.485,54.61,52.93,54,45.9216,324102
2009-02-09,53.85,54.18,53.22,53.75,45.7094,206353
2009-02-10,53.5,53.96,52.04,52.78,44.8843,346627
2009-02-11,53,53.21,51.99,52.85,44.9436,306063
2009-02-12,52.08,53.83,52.08,53.5,45.4965,367064
2009-02-13,53.7,54.06,52.905,53.12,45.1733,245363
2009-02-17,52.07,52.45,51.19,51.94,44.1703,309158
2009-02-18,52.25,52.26,51.01,51.34,43.6598,235733
2009-02-19,51.47,51.87,50.48,50.85,43.243,236923
2009-02-20,49.93,50.52,48.58,49.61,42.1884,358804
2009-02-23,50.12,50.31,48.23,48.31,41.0832,281577
2009-02-24,48.58,49.49,47.96,49.07,41.7293,487826
2009-02-25,51.98,52.89,50.96,51.58,43.8639,1519128
2009-02-26,52,52.56,49.15,49.44,42.0437,475542
2009-02-27,48.53,49.92,47.41,47.5,40.394,618676
2009-03-02,46.8,48.559,45.87,46.12,39.2203,918506
2009-03-03,46.63,46.63,44.97,45.74,39.1863,470149
2009-03-04,46.06,46.74,45.56,46.05,39.4524,468717
2009-03-05,45.23,45.5293,43.4155,43.96,37.6615,515212
2009-03-06,44.54,44.7,42.93,43.85,37.5672,328357
2009-03-09,43.25,43.64,42.15,42.38,36.3078,454610
2009-03-10,43.06,43.92,42.62,43.68,37.4216,367107
2009-03-11,44.01,44.59,42.695,43.28,37.0785,338780
2009-03-12,43.09,45.4,42.61,45.2,38.7235,454877
2009-03-13,45.38,46.67,44.96,46.35,39.7084,272301
