Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,29.86,29.92,28.56,29.72,48.331,1552246.5
2009-01-05,29.8,31.28,29.52,31.08,50.5428,1936732.5
2009-01-06,32.3,34,31.5,33.92,55.161,4141643.5
2009-01-07,33.6,35.66,32.72,35.12,57.1126,3314663.5
2009-01-08,34.38,35.58,32.72,35.5,57.7304,2060030
2009-01-09,35.58,35.6,33.68,34.5,56.1044,1481809.5
2009-01-12,34.4,34.45,31.54,32.02,52.0714,2075387.5
2009-01-13,32.26,32.5,31.74,32.38,52.6568,1402722.5
2009-01-14,32.18,32.32,31.4,31.94,51.9412,1651377.5
2009-01-15,31.76,31.76,25.84,27.74,45.1112,5022025
2009-01-16,27.74,28.5,26.68,27.08,44.038,1550969
2009-01-20,27.2,28.4,25.12,25.24,41.0456,1923622.5
2009-01-21,25.26,27.02,25,26.84,43.6476,2220234.5
2009-01-22,26.26,27.38,25.76,26.84,43.6476,1922798.5
2009-01-23,26.38,26.38,25.3,25.56,41.566,1969574.5
2009-01-26,24.24,26.86,24.24,26.58,43.2248,1631760.5
2009-01-27,26.54,27.44,25.3,26.94,43.8102,2284943.5
2009-01-28,27.72,28.28,27.1,28.16,45.7942,1539409.5
2009-01-29,27.8,29.02,27.16,27.56,44.8184,1280448
2009-01-30,28.14,28.16,26.82,27.18,44.2004,1132231.5
2009-02-02,26.78,28.26,26.24,27.82,45.2412,1701339.5
2009-02-03,28.28,28.6,26.9202,28.5,46.347,1749986
2009-02-04,29,30,28.98,29.1,47.3228,1757055.5
2009-02-05,29.1,30,28.74,29.96,48.7214,1207804.5
2009-02-06,29.9,30.4,29.4,29.86,48.5586,1265730.5
2009-02-09,29.98,30.92,29.6,30.8,50.0874,1654338.5
2009-02-10,30.08,31.04,28.38,28.82,46.8674,1424664.5
2009-02-11,28.92,29.34,27.78,28.48,46.3144,1584886.5
2009-02-12,28.24,28.74,27.56,28.62,46.5422,904211
2009-02-13,28.72,29.94,28.5202,29.3,47.648,1107978
2009-02-17,28.42,28.56,27.1,27.66,44.981,1371037
2009-02-18,28.08,28.08,26.18,26.56,43.1922,1426665.5
2009-02-19,26.78,27.42,24.84,25.1,40.8178,2176670
2009-02-20,24.84,25.42,21.26,25,40.6554,3289778.5
2009-02-23,25.5,25.72,23.96,24.14,39.2566,2294986.5
2009-02-24,24,25.26,23.52,25.14,40.883,2959125.5
2009-02-25,25.48,26.18,23.54,25.32,41.1756,2304948
2009-02-26,27.5,29.46,26.56,26.72,43.4524,3334883
2009-02-27,26.04,30,26.04,29,47.1602,4601652.5
2009-03-02,28.7,29.26,26.8,26.96,43.8426,1810141.5
2009-03-03,27.68,28.02,26.22,26.64,43.3222,1683712
2009-03-04,27.76,29.4,27.34,28.86,46.9326,1951327
2009-03-05,27.82,29.52,27.8,28.32,46.0544,2239036
2009-03-06,28.56,29.56,28,28.72,46.7048,2040240.5
2009-03-09,27.7,29.6,27.66,29.12,47.3554,1551831.5
2009-03-10,29.28,31.28,29.14,30.44,49.502,2283005.5
2009-03-11,30.94,31.8,30.34,31.3,50.9004,2411460
2009-03-12,31,32.18,30.64,31.84,51.7786,2317506
2009-03-13,32.48,33.8,32.2,33.7,54.8032,2497253.5
2009-03-16,33.14,34,32.08,32.32,52.559,1650474
2009-03-17,31.8,33.76,31.78,33.76,54.901,1062972.5
2009-03-18,33.36,34.64,33,34.44,56.0068,1591102
2009-03-19,34.4,34.64,33.94,34.56,56.202,1044231
2009-03-20,34.5,34.86,33.24,33.26,54.0878,998698.5
2009-03-23,33.42,35.42,33.42,35.22,57.2752,1424930
2009-03-24,34.42,35.6,34.26,34.6,56.2668,1778346.5
2009-03-25,34.52,35.68,33.98,34.98,56.885,1933981
2009-03-26,34.7,36.2,34.7,35.98,58.511,1786262.5
2009-03-27,35.78,35.98,34.7,35.04,56.9824,800293
2009-03-30,34.54,35.26,33.46,34.04,55.3564,1399246
2009-03-31,34.24,35.4,33.8,34.16,55.5514,1370442
2009-04-01,33.68,36,33.44,35.44,57.633,1848601
2009-04-02,36.12,37.96,35.9,37.5,60.983,3664658.5
2009-04-03,36.1,37.88,36.1,36.66,59.6168,1423226
2009-04-06,36.36,36.36,35,35.9,58.381,1072143
2009-04-07,35.3,35.3,33.78,33.82,54.9986,2447437.5
2009-04-08,33.5,34.32,33.12,33.68,54.7708,1752043.5
2009-04-09,33.94,35,33.94,34.44,56.0068,1115284
2009-04-13,34.2,34.52,33.74,34.16,55.5514,460400.5
2009-04-14,34.52,34.52,33.48,33.6,54.6408,657341
2009-04-15,33.5,33.52,32.68,33.44,54.3804,939952
2009-04-16,33.92,34.98,33.92,34.32,55.8116,938465.5
2009-04-17,34.54,34.54,33.06,33.16,53.9252,889378
2009-04-20,32.94,33.16,31.6,31.86,51.811,1017692.5
2009-04-21,31.66,32.8,31.62,32.46,52.7868,1012853
2009-04-22,32.54,33.32,32.18,32.42,52.7218,812211.5
2009-04-23,32.88,32.94,31.7,32.18,52.3316,799560
2009-04-24,32.12,32.48,31.4,32.2,52.364,583088.5
2009-04-27,31.7,33.56,31.7,32.86,53.4374,878969.5
2009-04-28,32.38,32.84,31.78,32.04,52.104,822858.5
2009-04-29,32.24,33.46,32.04,33.08,53.795,1537245.5
2009-04-30,33.4,34.74,33.18,34.18,55.5838,1358135.5
2009-05-01,33.94,34.52,33.28,34.1,55.454,1359892.5
2009-05-04,34.56,36,34.46,36,58.5436,1771996.5
2009-05-05,35.96,36,34.5,35.44,57.633,837383
2009-05-06,36,36.96,34.66,36.88,59.9746,1491133.5
2009-05-07,37.34,37.7,33.22,33.9,55.1286,2115602
2009-05-08,34.6,35.48,34,34.74,56.4946,1163395.5
2009-05-11,34.12,35.36,33.44,34.92,56.7874,708512
2009-05-12,34.92,34.94,33.66,34.26,55.714,558641
2009-05-13,33.8,33.82,33,33.26,54.0878,776904
2009-05-14,33.44,34.1,32.68,33.48,54.4456,1137926.5
2009-05-15,33.52,33.98,32.8,33.46,54.413,949729
2009-05-18,33.7,35.2,32.98,35.04,56.9824,1196833
2009-05-19,35.2,35.72,34.44,35.3,57.4052,1610601.5
2009-05-20,35.78,36,34.36,34.5,56.1044,1146903
