Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,35.43,36.74,33.77,36.4,26.8274,2238879
2009-01-05,36,37.75,35.27,37.01,27.2772,3565495
2009-01-06,37.37,37.91,35.62,36.5,26.901,3964846
2009-01-07,36,36,34.03,34.09,25.1249,2211820
2009-01-08,34.63,34.63,33.13,34.01,25.0661,2885576
2009-01-09,33.38,33.7,31.62,31.81,23.4448,3420615
2009-01-12,31.81,32.44,30.44,30.76,22.6706,2639921
2009-01-13,30.49,31.86,30.02,31.07,22.8992,3492692
2009-01-14,30.9,30.9,28.97,29.04,21.4029,4215363
2009-01-15,29.09,29.5,27.18,28.39,20.9241,7298750
2009-01-16,29.39,30.35,28.15,29.29,21.5872,6659496
2009-01-20,29,29.67,26.91,26.97,19.8777,6834123
2009-01-21,29.41,29.76,26.68,29.65,21.8529,6328061
2009-01-22,28.92,29.55,27.38,28.16,20.7545,4710900
2009-01-23,27.04,30.13,26.89,29.94,22.0666,4883764
2009-01-26,30.53,31.0999,28.71,29.23,21.5432,4966897
2009-01-27,29.43,30,28.51,29.73,21.9115,2889341
2009-01-28,30.75,33.5,30.55,33.4,24.6165,5945092
2009-01-29,31.75,32.11,29.85,29.85,22.0002,6124911
2009-01-30,28.45,29.65,27.34,27.58,20.3271,5409689
2009-02-02,27.1875,27.7,26.45,27.56,20.3123,4567973
2009-02-03,27.75,27.75,25.96,26.57,19.5826,5900629
2009-02-04,27.11,27.72,26.49,26.85,19.7886,3787654
2009-02-05,26.36,27.56,26.09,26.93,19.8479,4884862
2009-02-06,27.25,28.88,27.01,28.82,21.241,4433397
2009-02-09,28.84,29.24,28.15,29.07,21.4252,4947402
2009-02-10,28.5,29.07,26.28,26.42,19.4722,5852496
2009-02-11,26.54,27.36,26.26,27.34,20.1502,3180287
2009-02-12,26.58,27.57,26.1,27.47,20.2461,4418865
2009-02-13,27.13,27.86,26.51,26.68,19.6634,3137698
2009-02-17,25.41,25.76,24.88,24.91,18.3594,5002776
2009-02-18,25.28,25.53,24.33,25.21,18.5801,3511885
2009-02-19,25.76,25.85,24.18,24.18,17.8211,3779675
2009-02-20,23.28,24.92,23.25,24.4,17.9833,5172455
2009-02-23,24.1,25.19,22.59,22.66,16.7011,5708890
2009-02-24,23.08,25,22.7,25,18.4254,4915822
2009-02-25,24.41,25.11,23.46,24.3,17.9096,4425927
2009-02-26,24.38,24.74,23.44,23.69,17.46,3621995
2009-02-27,23.21,23.79,22.74,22.74,16.7597,4443090
2009-03-02,22.55,23.41,21.53,21.69,15.9859,7574215
2009-03-03,21.98,22.21,21.19,21.39,15.7651,5044253
2009-03-04,22.13,22.91,21.13,22.27,16.4137,5822052
2009-03-05,21.79,22,20.68,21.01,15.4849,10305312
2009-03-06,21.65,21.69,20.09,21.07,15.5291,7417491
2009-03-09,20.78,21.5,20.51,21.17,15.6028,4466662
2009-03-10,21.46,24.67,21.3,24.67,18.1824,8757657
2009-03-11,24.62,25.37,23.68,25.04,18.4551,7217129
2009-03-12,24.99,26.51,24.22,26.4,19.6535,6610547
2009-03-13,26.44,26.58,24.4,26.45,19.691,4829213
2009-03-16,26.84,27.25,24.89,24.93,18.5591,4135020
2009-03-17,25.14,26.79,24.64,26.33,19.6015,4146504
2009-03-18,26,28.55,25.41,28.4,21.1422,6060829
2009-03-19,29.03,29.27,25.33,25.35,18.8723,6117674
2009-03-20,25.72,26.14,24.52,24.88,18.5219,4983374
2009-03-23,25.8,29.7,25.77,29.4,21.8869,6079728
2009-03-24,28.7,28.89,26.62,26.63,19.8246,4998749
