Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,27.14,28.39,27.14,28.31,17.2069,262954
2009-01-05,28.28,29.01,28.1,28.37,17.2435,632976
2009-01-06,28.73,28.92,27.91,28.04,17.043,551053
2009-01-07,28.21,28.25,27.37,27.48,16.7026,417289
2009-01-08,27.55,28.77,27.51,28.77,17.4863,458605
2009-01-09,28.59,28.59,27.86,28,17.0183,345822
2009-01-12,27.67,28.06,27.14,27.3,16.5932,418603
2009-01-13,27.07,27.69,26.92,27.53,16.733,467592
2009-01-14,27.1,27.13,26.41,26.87,16.3316,501914
2009-01-15,26.78,27.3,26.36,27.12,16.484,758734
2009-01-16,27.67,27.67,26.66,27.37,16.6354,490966
2009-01-20,27.39,27.57,26.27,26.41,16.0525,1010146
2009-01-21,26.43,26.73,25.68,26.66,16.2042,769376
2009-01-22,26.11,26.37,25.6,26.18,15.9123,731319
2009-01-23,25.7,26.47,25.51,26.2,15.9243,576857
2009-01-26,26.14,26.97,26.14,26.72,16.2405,585089
2009-01-27,26.6,27.11,26.6,27.05,16.4408,492356
2009-01-28,27.63,27.93,27.29,27.5,16.7144,622294
2009-01-29,27.47,27.85,27.27,27.41,16.6599,561263
2009-01-30,27.29,27.31,26.34,26.85,16.3197,556276
2009-02-02,26.76,27.02,26.28,26.78,16.277,544189
2009-02-03,27.21,27.35,26.16,26.47,16.0884,638459
2009-02-04,26.42,27.36,26.37,26.94,16.3743,666916
2009-02-05,26.99,27.36,26.58,27.1,16.4716,590854
2009-02-06,26.81,27.97,26.54,27.55,16.7452,973836
2009-02-09,27.84,28.05,27.52,27.92,16.9701,972605
2009-02-10,27.78,27.98,26.52,26.9,16.3499,1224361
2009-02-11,26.74,27.21,26.57,26.95,16.3804,839807
2009-02-12,26.46,27.03,26.25,27.03,16.4289,1020487
2009-02-13,27.1,27.48,26.96,27.08,16.4592,682598
2009-02-17,26.24,26.28,25.64,25.68,15.6083,881047
2009-02-18,25.87,26.08,24.96,25.09,15.2496,706262
2009-02-19,25.3,25.93,25.3,25.47,15.4807,494422
2009-02-20,25.05,25.89,24.62,25.48,15.4869,828589
2009-02-23,25.63,25.64,24,24.05,14.6181,706557
2009-02-24,24,24.55,23.8,24.19,14.7028,750458
2009-02-25,24.24,24.69,23.49,24.34,14.7939,833874
2009-02-26,24.37,25.216,24.32,24.78,15.0614,847557
2009-02-27,24.3,24.46,20.01,24.06,14.6238,1206348
2009-03-02,23.63,23.81,22.79,23.1,14.0403,814926
2009-03-03,23.43,23.48,22.53,22.76,13.8334,982757
2009-03-04,23.34,23.67,23.07,23.49,14.2777,721329
2009-03-05,23.13,23.18,22.49,22.63,13.7549,595292
2009-03-06,22.73,23.3,22.38,22.83,13.8762,787308
2009-03-09,22.48,22.83,22.24,22.54,13.7002,634085
2009-03-10,23.05,23.26,22.78,22.98,13.9676,496639
2009-03-11,23.18,23.34,22.8,23.17,14.083,620967
2009-03-12,22.89,23.85,22.88,23.76,14.4416,730796
2009-03-13,24.02,24.13,23.52,23.85,14.4962,765856
2009-03-16,23.82,24.73,23.82,24.15,14.6785,845112
2009-03-17,24.12,25.1,23.8801,25.1,15.2559,573822
2009-03-18,25.08,25.51,24.46,25.24,15.3412,864734
2009-03-19,25.71,25.78,24.86,24.9,15.134,891235
2009-03-20,25.18,25.61,24.93,25.37,15.4202,744785
2009-03-23,25.94,26.19,25.53,25.95,15.7723,603432
2009-03-24,25.8,25.8,25.1,25.17,15.2984,595828
2009-03-25,25.45,25.54,25.1,25.27,15.3593,604521
2009-03-26,25.83,25.83,25.14,25.68,15.6083,608568
2009-03-27,25.12,25.27,24.5,24.55,15.104,653714
2009-03-30,24.3,24.3,23.47,23.7,14.581,716153
2009-03-31,24.13,24.13,23.6,23.65,14.5503,668877
2009-04-01,23.24,23.97,23.2,23.82,14.6551,834116
2009-04-02,24.26,24.82,24.18,24.51,15.0792,921281
2009-04-03,24.35,24.66,24.28,24.6,15.1345,535129
2009-04-06,24.53,24.62,24.17,24.38,14.9996,789469
2009-04-07,24.33,24.58,24.24,24.32,14.9627,516389
2009-04-08,24.46,24.46,24.02,24.34,14.9749,556940
2009-04-09,24.69,24.87,24.13,24.49,15.0671,423326
2009-04-13,24.34,24.46,24.09,24.4,15.0115,407158
2009-04-14,24.32,24.53,24.24,24.47,15.0547,412095
2009-04-15,24.47,24.725,24.27,24.69,15.1902,416281
2009-04-16,24.71,24.71,24.33,24.42,15.0239,505956
2009-04-17,24.41,24.841,24.35,24.77,15.2394,391246
2009-04-20,24.42,24.46,23.77,23.85,14.6731,460572
2009-04-21,23.79,24.05,23.65,23.98,14.7533,367224
2009-04-22,23.85,24.26,23.78,23.83,14.6613,434144
2009-04-23,23.87,24.18,23.8,24.18,14.8761,411669
2009-04-24,24.38,24.69,24.34,24.61,15.1406,496841
2009-04-27,24.48,24.89,24.46,24.66,15.1717,345876
2009-04-28,24.32,24.67,24.32,24.53,15.0915,280116
2009-04-29,24.89,25.19,24.86,24.98,15.3685,360721
2009-04-30,25.28,25.63,24.86,24.97,15.3626,560191
2009-05-01,25.13,25.57,24.94,25.57,15.7314,467786
2009-05-04,25.72,25.92,25.15,25.92,15.9468,319026
2009-05-05,25.8,26.12,25.8,26.04,16.0206,371036
2009-05-06,26.29,26.74,26.13,26.67,16.4085,405934
2009-05-07,26.93,26.93,25.88,26.03,16.0146,404034
2009-05-08,26.32,26.57,26.19,26.38,16.2299,309164
2009-05-11,26.34,26.72,26.2,26.56,16.3406,377995
2009-05-12,26.82,26.82,26.34,26.48,16.2912,321914
2009-05-13,26.37,26.77,25.84,25.9,15.9348,394892
2009-05-14,26.1,26.6,25.98,26.32,16.1929,418455
2009-05-15,26.29,26.49,25.96,26.05,16.0265,475650
2009-05-18,26.12,26.6,26.01,26.56,16.3406,203120
2009-05-19,26.93,27.25,26.55,27.02,16.6238,368036
2009-05-20,26.66,28.23,26.66,27.93,17.1834,570350
2009-05-21,27.72,27.98,27.52,27.63,16.9991,392432
2009-05-22,27.77,28.26,27.77,28.11,17.2941,313762
2009-05-26,27.84,28.67,27.75,28.67,17.6388,359345
2009-05-27,28.8,28.94,28.45,28.48,17.5218,381466
2009-05-28,28.56,29.18,28.52,28.99,17.8358,411296
2009-05-29,29.48,29.94,29.15,29.74,18.297,348060
2009-06-01,30.06,30.4,29.94,30.07,18.5,336233
2009-06-02,30.11,30.93,30.11,30.79,18.9433,355840
2009-06-03,30.45,30.55,29.85,29.93,18.4138,305920
2009-06-04,30.05,30.57,30,30.5,18.7646,242353
2009-06-05,30.49,30.49,29.68,29.93,18.4138,449192
2009-06-08,29.92,29.92,29.47,29.76,18.3093,351699
2009-06-09,30.58,30.58,29.95,30.18,18.5679,310705
2009-06-10,30.17,30.3,29.51,29.78,18.3216,313563
2009-06-11,29.95,30.67,29.89,30.48,18.7523,455059
2009-06-12,30.36,30.77,29.98,30.62,18.8385,474812
2009-06-15,30.53,30.53,29.3,29.8,18.334,495194
2009-06-16,30.15,30.17,29.1,29.22,17.9772,491817
2009-06-17,27.68,27.75,27.25,27.68,17.0296,1013770
2009-06-18,27.68,27.88,27.59,27.69,17.0359,701447
2009-06-19,27.94,27.94,27.58,27.73,17.0603,228673
2009-06-22,27.57,27.57,26.69,26.72,16.4393,303115
2009-06-23,26.78,26.9524,26.17,26.46,16.2791,471833
2009-06-24,26.97,27,26.58,26.78,16.4758,396311
2009-06-25,26.75,27.15,26.52,27.15,16.7038,473449
2009-06-26,27.26,27.26,26.87,27.03,16.8324,345388
2009-06-29,27.01,27.12,26.89,26.93,16.7702,250392
2009-06-30,26.95,27,26.5,26.91,16.7576,342390
2009-07-01,27.1,27.4,26.98,26.99,16.8076,199494
2009-07-02,27.09,27.14,26.76,26.84,16.7138,208654
2009-07-06,26.83,26.97,26.53,26.97,16.7951,264957
2009-07-07,26.99,27.01,26.15,26.15,16.2843,250653
2009-07-08,26.36,26.63,25.88,26.04,16.216,339919
2009-07-09,26.29,26.51,26.084,26.4,16.4404,229511
2009-07-10,26.07,26.47,26.03,26.39,16.4339,189767
2009-07-13,26.62,26.65,26.12,26.57,16.5461,200109
2009-07-14,26.96,27.06,26.67,27.05,16.8448,183343
2009-07-15,27.27,27.8492,27.27,27.56,17.1622,326317
2009-07-16,27.42,27.89,27.42,27.78,17.2995,238029
2009-07-17,27.71,27.96,27.71,27.94,17.399,147389
2009-07-20,28.16,28.4,28.14,28.36,17.6608,173644
2009-07-21,28.58,28.64,27.93,27.94,17.399,242562
2009-07-22,28.08,28.28,27.84,27.89,17.3681,186191
2009-07-23,27.97,28.56,27.94,28.54,17.7729,275152
2009-07-24,28.77,28.77,28.37,28.56,17.7851,282562
2009-07-27,28.62,28.72,28.28,28.29,17.6172,308324
2009-07-28,28.4,28.49,27.9,28.22,17.5735,256793
2009-07-29,28.06,28.14,27.7,27.88,17.3619,245936
2009-07-30,28.05,28.52,28.03,28.26,17.5986,318658
2009-07-31,28.25,28.62,28.01,28.45,17.7167,298374
2009-08-03,28.94,28.99,28.71,28.78,17.9226,146041
2009-08-04,28.92,29.37,28.75,29.22,18.1964,436656
2009-08-05,29.4,29.5,29.01,29.13,18.1399,1881247
2009-08-06,29.04,29.3,28.73,28.86,17.972,602431
2009-08-07,29.08,29.14,28.75,28.84,17.9595,440940
2009-08-10,28.84,29.06,28.7491,28.9,17.9968,401549
2009-08-11,28.83,28.83,28.24,28.35,17.6543,486107
2009-08-12,28.44,28.9,28.4,28.77,17.9162,343395
2009-08-13,28.94,28.95,28.531,28.82,17.9471,258452
2009-08-14,28.99,29.04,28.51,28.63,17.8287,311294
2009-08-17,28.56,28.56,28.0496,28.29,17.6172,247369
2009-08-18,28.2,28.65,28.15,28.62,17.8226,308011
2009-08-19,28.5,28.83,28.2,28.82,17.9471,247841
2009-08-20,28.79,29.38,28.73,29.32,18.2587,328181
2009-08-21,29.53,29.77,29.461,29.6,18.433,346826
2009-08-24,29.91,30.16,29.8,30.1,18.7445,340438
2009-08-25,30.16,30.29,29.78,29.92,18.6319,303482
2009-08-26,29.74,29.94,29.66,29.81,18.5635,224404
2009-08-27,29.7,29.98,29.3,29.87,18.6011,305927
2009-08-28,30.16,30.22,29.64,29.8,18.5573,324059
2009-08-31,29.5,29.77,29.19,29.68,18.4827,476408
2009-09-01,29.67,29.9674,29.13,29.22,18.1964,372782
2009-09-02,29.09,29.32,28.88,28.93,18.0155,323680
2009-09-03,28.94,29.39,28.94,29.15,18.1527,248625
2009-09-04,29.34,29.9,29.33,29.83,18.5762,247207
2009-09-08,30.18,30.37,29.71,29.92,18.6319,297755
2009-09-09,30.03,30.03,29.51,29.61,18.439,279616
2009-09-10,29.59,29.81,29.432,29.81,18.5635,260432
2009-09-11,29.9,29.97,29.53,29.64,18.4581,293921
2009-09-14,29.43,29.82,29.28,29.78,18.545,276495
2009-09-15,29.74,30.32,29.74,30.28,18.8562,223512
2009-09-16,30.45,30.72,30.21,30.37,18.9124,464897
2009-09-17,30.36,30.61,30.25,30.57,19.0369,357652
2009-09-18,30.68,31.04,30.52,30.97,19.2862,462450
2009-09-21,30.63,30.93,30.51,30.87,19.2234,211903
2009-09-22,31.14,31.64,31.03,31.62,19.6908,349506
