Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,7.77,8.29,7.77,8.22,5.5911,9837987
2009-01-05,8.08,8.29,7.93,8.06,5.4821,13437633
2009-01-06,8.08,8.47,7.95,8.4,5.7133,17039025
2009-01-07,7.92,7.97,7.645,7.71,5.244,21638419
2009-01-08,7.5,7.58,7.32,7.54,5.1285,16390235
2009-01-09,7.44,7.6,7.24,7.49,5.0944,17958276
2009-01-12,7.33,7.73,7.26,7.34,4.9924,22172217
2009-01-13,7.59,7.82,7.47,7.67,5.2168,15805890
2009-01-14,7.51,7.525,7.28,7.37,5.0129,9913714
2009-01-15,7.33,7.52,7.09,7.37,5.0129,26440491
2009-01-16,7.51,7.67,7.29,7.45,5.0672,14725833
2009-01-20,7.09,7.2,6.98,6.99,4.7544,16122328
2009-01-21,7.08,7.21,6.89,7.15,4.8632,23390099
2009-01-22,6.76,7.72,6.7,7.45,5.0672,54720031
2009-01-23,7.22,7.89,7.16,7.72,5.2508,28603562
2009-01-26,7.87,7.87,7.25,7.65,5.2033,16747053
2009-01-27,7.62,8,7.61,7.9,5.3733,20359559
2009-01-28,8,8.2,7.98,8.12,5.5229,26220064
2009-01-29,8.02,8.02,7.64,7.68,5.2237,19889379
2009-01-30,7.66,7.85,7.54,7.54,5.1285,11788288
2009-02-02,7.5,7.57,7.3,7.51,5.108,17741728
2009-02-03,7.47,7.84,7.47,7.8,5.3053,24752426
2009-02-04,7.66,8.05,7.6,7.93,5.3938,32435164
2009-02-05,7.75,8.19,7.64,8.11,5.5161,27222762
2009-02-06,8.2,8.84,8.11,8.69,5.9106,41765373
2009-02-09,8.68,8.68,8.34,8.49,5.7745,21950084
2009-02-10,8.35,8.5,8.02,8.12,5.5229,21715440
2009-02-11,8.3,8.48,8.22,8.31,5.6521,20633178
2009-02-12,8.1,8.4,8.04,8.39,5.7066,22161239
2009-02-13,8.3,8.43,8.25,8.29,5.6386,11356232
2009-02-17,8.09,8.09,7.64,7.72,5.2508,20316917
2009-02-18,7.92,8,7.72,7.97,5.4209,18422227
2009-02-19,8.05,8.15,7.6,7.63,5.1895,19578548
2009-02-20,7.55,7.59,7.26,7.5,5.1013,19897277
2009-02-23,7.66,7.79,7.32,7.34,4.9924,19286123
2009-02-24,7.4,7.71,7.25,7.64,5.1965,24503019
2009-02-25,7.45,7.8,7.45,7.63,5.1895,36797250
2009-02-26,7.66,8.04,7.61,7.68,5.2237,24715095
