Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,33.36,33.81,32.11,33.57,7.7414,496601
2009-01-05,33.53,35.0937,33.31,34.69,7.9997,566487
2009-01-06,34.72,35.52,34.64,35.5,8.1865,493991
2009-01-07,34.85,35.64,34.65,34.98,8.0666,755026
2009-01-08,34.83,36.33,34.53,36.27,8.364,588700
2009-01-09,36.55,36.55,35.44,35.61,8.2118,431835
2009-01-12,35.81,35.82,34.6,34.85,8.0367,519454
2009-01-13,34.78,35.59,34.64,35.23,8.1242,351377
2009-01-14,34.75,34.91,33.11,33.64,7.7575,472324
2009-01-15,33.72,34.06,31.87,33.19,7.6538,705522
2009-01-16,33.56,33.56,31.78,33.06,7.6238,446378
2009-01-20,32.74,33.22,31.49,31.73,7.3172,297283
2009-01-21,31.82,33.05,31.6,33.04,7.6191,446744
2009-01-22,32.69,33.25,32.21,32.49,7.4924,625401
2009-01-23,31.67,32.54,31.14,32.04,7.3887,602194
2009-01-26,32.04,33.66,31.93,32.41,7.4739,388191
2009-01-27,32.39,33.17,31.78,32.39,7.4693,511281
2009-01-28,32.64,34.27,32.64,33.6,7.7483,360868
2009-01-29,32.73,33.36,30.53,30.69,7.0773,518360
2009-01-30,30.8,31.26,29.32,29.61,6.8283,754763
2009-02-02,29.44,30.86,29.15,30.46,7.0244,590672
2009-02-03,30.31,30.35,28.77,29.98,6.9135,673793
2009-02-04,30.79,30.79,28.55,28.95,6.6761,589714
2009-02-05,28.9,29.83,28.05,29.39,6.7774,607056
2009-02-06,29.14,30.76,29.14,30.35,6.9989,644422
2009-02-09,30.09,30.63,29.51,30.41,7.0127,411463
2009-02-10,30.25,30.9,28.98,29.08,6.7061,697522
2009-02-11,28.94,28.95,27.495,28.05,6.4685,726528
2009-02-12,27.9,28.34,27.12,28.34,6.5353,535151
2009-02-13,28.57,28.68,27.21,27.44,6.3278,515209
2009-02-17,26.67,27.09,26.31,26.39,6.0856,710736
2009-02-18,26.44,27.15,25.61,25.88,5.9681,1053932
2009-02-19,24.4,26.73,23.95,24.02,5.5391,1843848
2009-02-20,23.55,24,22.73,23.08,5.3224,1169438
2009-02-23,23.23,23.43,21.41,21.48,4.9534,1004875
2009-02-24,21.74,23.19,21.55,22.8,5.2578,859324
