Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,7.59,8.04,7.54,7.95,7.95,844997
2009-01-05,7.91,8.23,7.88,8.14,8.14,1223360
2009-01-06,8.24,8.25,7.88,7.89,7.89,1629514
2009-01-07,7.75,7.89,7.66,7.73,7.73,847506
2009-01-08,7.63,8.17,7.62,8.09,8.09,1249582
2009-01-09,8.11,8.17,7.82,7.86,7.86,831560
2009-01-12,7.87,7.92,7.42,7.5,7.5,1012733
2009-01-13,7.55,7.73,7.04,7.1,7.1,1534737
2009-01-14,7.05,7.17,6.84,7.11,7.11,1184031
2009-01-15,7.09,7.21,6.91,7.09,7.09,1118545
2009-01-16,7.14,7.6,7.03,7.6,7.6,2039138
2009-01-20,7.58,7.63,7.29,7.31,7.31,940223
2009-01-21,7.4,7.45,6.9999,7.36,7.36,697370
2009-01-22,7.24,7.24,6.9,7.06,7.06,499132
2009-01-23,6.85,7.72,6.85,7.46,7.46,1755931
2009-01-26,7.29,7.69,7.2899,7.44,7.44,553420
2009-01-27,7.5,7.55,7.31,7.39,7.39,506220
2009-01-28,7.52,7.59,7.36,7.44,7.44,771687
2009-01-29,7.35,7.47,7.16,7.19,7.19,939688
2009-01-30,7.26,7.28,6.995,7.02,7.02,892523
2009-02-02,6.97,7.18,6.7,7.03,7.03,1405051
2009-02-03,6.99,7,6.709,6.79,6.79,1221861
2009-02-04,6.81,6.99,6.73,6.91,6.91,1110362
2009-02-05,6.85,7.49,6.8,7.29,7.29,1552466
2009-02-06,7.28,7.82,7.22,7.78,7.78,1324742
2009-02-09,7.76,7.98,7.755,7.98,7.98,782327
2009-02-10,7.99,8.3,7.48,7.49,7.49,988422
2009-02-11,7.54,7.73,7.21,7.33,7.33,679903
2009-02-12,7.25,7.47,7.03,7.43,7.43,474108
2009-02-13,7.41,7.89,7.33,7.78,7.78,750799
2009-02-17,7.63,7.63,7.05,7.05,7.05,771394
2009-02-18,7.17,7.34,7.05,7.18,7.18,724774
2009-02-19,7.28,7.3,6.929,7.01,7.01,421710
2009-02-20,6.93,6.93,6.44,6.7,6.7,885489
2009-02-23,6.7,6.71,6.42,6.48,6.48,791022
2009-02-24,6.54,6.9,6.51,6.9,6.9,743602
