Date,Open,High,Low,Close,Adjusted_close,Volume
2016-06-23,23.99,29.61,23.66,28.79,28.79,21299009
2016-06-24,27.54,28.739,26.05,26.3,26.3,4670689
2016-06-27,27.35,28.19,26.3,27.25,27.25,3929574
2016-06-28,30.4,33.4114,29.57,29.92,29.92,10620519
2016-06-29,31.98,37.19,31.75,37.08,37.08,13782994
2016-06-30,39.68,41.89,34.8,36.5,36.5,18512567
2016-07-01,36.97,37.34,33.65,34.03,34.03,7005298
2016-07-05,34.87,35.43,33.07,34.04,34.04,3998666
2016-07-06,33.41,37.93,33.27,37.93,37.93,5074073
2016-07-07,38.41,38.62,36,36.51,36.51,4066611
2016-07-08,37.25,37.4,35.25,35.54,35.54,3250050
2016-07-11,36.3,38.3,35.7901,37.3,37.3,5734722
2016-07-12,37.99,38.94,36.815,38.3,38.3,4178920
2016-07-13,41.29,42.75,40.21,42.25,42.25,8547881
2016-07-14,43.4,44.8,40.8,41.75,41.75,7230801
2016-07-15,42.74,43.75,41.2,43,43,2921416
2016-07-18,41.25,42.4844,40.15,41.03,41.03,3758280
2016-07-19,40.53,41,39.04,39.07,39.07,2223578
2016-07-20,39.5,42.5735,38.51,41.73,41.73,4511937
2016-07-21,41.71,42.55,39.83,40.12,40.12,2639374
2016-07-22,40.32,41.76,40.1,40.81,40.81,1937967
2016-07-25,40.7,41.49,39.5701,40.75,40.75,2240765
2016-07-26,40.55,41.782,39.75,40.39,40.39,2247899
2016-07-27,40.92,43.25,40.77,42.54,42.54,4813914
2016-07-28,42.96,43.7,41.02,42.17,42.17,4156579
2016-07-29,42.75,42.881,40.55,40.63,40.63,4896012
2016-08-01,40.63,41.64,39.11,39.33,39.33,2661841
2016-08-02,39.1,40.25,37.5,37.93,37.93,2647958
2016-08-03,38.1,39,37.2,38.55,38.55,1382770
2016-08-04,38.9,41.07,38.9,40.59,40.59,1659642
2016-08-05,40.97,41.72,40.75,41.49,41.49,1442462
2016-08-08,42.7,42.92,40.58,42.5,42.5,3249979
2016-08-09,44.32,45.69,41.35,43.01,43.01,7377874
2016-08-10,43.22,43.95,41.9,43.63,43.63,2493626
2016-08-11,43.45,49,43.45,48.71,48.71,8139415
2016-08-12,49.05,53.37,48.6,53.29,53.29,9286048
2016-08-15,56.75,66.3989,55.1332,58.47,58.47,22052422
2016-08-16,60.57,64.16,59.06,59.34,59.34,12272173
2016-08-17,60.9,61.5,57.05,58.86,58.86,6795911
2016-08-18,59.14,59.3599,54.15,54.4,54.4,7445193
2016-08-19,52.32,56.47,51.8501,54.88,54.88,6905469
2016-08-22,56.23,59.75,55.34,58.65,58.65,7201539
2016-08-23,60.15,61.35,55.71,56.08,56.08,7620779
2016-08-24,56.08,58.07,53.35,53.6,53.6,7644738
2016-08-25,54.25,55.0999,51.257,51.93,51.93,5511120
2016-08-26,51.93,54.33,49.611,54.25,54.25,7093711
2016-08-29,54.55,56,53.2,53.82,53.82,4455735
2016-08-30,53.85,54.93,53.51,53.8,53.8,3393266
2016-08-31,53.99,54.59,52.14,53.62,53.62,2177870
2016-09-01,53.61,56.74,53.6,54.38,54.38,5952930
2016-09-02,54.93,57.74,54.93,57.62,57.62,3740987
2016-09-06,58.24,60.69,57.791,59.18,59.18,7321377
2016-09-07,60.2,60.4,56.31,56.63,56.63,5303567
2016-09-08,57.4,58.45,56.51,57.45,57.45,3661092
2016-09-09,57,58,55.02,56,56,4478684
2016-09-12,55.08,57.88,54.58,56.7,56.7,3497447
2016-09-13,55.78,56.75,53.6,53.97,53.97,4026102
2016-09-14,54.97,55,52.77,53.12,53.12,2714084
2016-09-15,53.88,54.85,53.26,54,54,2291145
