Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,14.25,14.27,13.11,13.32,8.839,2370323
2009-01-05,13.31,13.31,12.46,12.51,8.3013,3796263
2009-01-06,12.93,13.74,12.62,13.57,9.0048,3694317
2009-01-07,13.35,13.78,13.12,13.46,8.9321,3628472
2009-01-08,12.44,13.2,12.44,12.98,8.6133,3667780
2009-01-09,12.98,13.08,12.13,12.35,8.1953,2842045
2009-01-12,12.03,12.09,11.1,11.28,7.4853,3376083
2009-01-13,11.25,11.94,11.08,11.8,7.8305,4449228
2009-01-14,11.46,11.65,10.96,11.16,7.4055,3268173
2009-01-15,10.91,12.26,10.48,11.8,7.8305,5396729
2009-01-16,12.26,12.52,11.28,12.42,8.2419,5850962
2009-01-20,12.15,12.36,11.22,11.23,7.4519,6235216
2009-01-21,11.5,12.6,11.02,12.4,8.2284,4473505
2009-01-22,12.22,12.22,11.06,11.54,7.6578,4882469
2009-01-23,11.24,12.0699,10.91,11.85,7.8632,3945159
2009-01-26,11.89,12,11.36,11.51,7.6382,3124362
2009-01-27,11.74,11.91,11.49,11.88,7.8833,2051608
2009-01-28,12.18,13.14,12.11,13.02,8.64,4246956
2009-01-29,12.48,12.93,12.16,12.22,8.1089,4445904
2009-01-30,12.32,12.62,11.52,11.73,7.7841,4305101
2009-02-02,11.25,11.82,11.04,11.78,7.817,4047017
2009-02-03,11.65,12,11.38,11.62,7.7111,2692411
2009-02-04,11.66,11.99,11.15,11.24,7.4587,3576233
2009-02-05,11.15,11.15,9.96,10.57,7.0141,4918797
2009-02-06,10.5,11.26,10.371,11.16,7.4055,4920967
2009-02-09,11.23,11.23,10.685,11.1,7.3658,3175779
2009-02-10,10.99,10.99,9.76,9.87,6.5499,4923369
2009-02-11,9.91,10.155,9.54,10.06,6.6756,5200347
2009-02-12,10.59,10.59,9.14,9.77,6.4833,4642385
2009-02-13,9.13,9.86,8.99,9.4,6.2377,4830168
2009-02-17,8.89,9.1,8.64,8.86,5.8797,5644712
2009-02-18,8.79,9.08,8.48,8.99,5.9655,4327144
