Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,37.72,38.29,36.69,38.12,18.1006,394052
2009-01-05,38.01,38.56,37.38,38.39,18.229,708352
2009-01-06,38.56,39.4,37.87,39,18.5186,805074
2009-01-07,38.5,40.39,38.14,39.11,18.5708,910739
2009-01-08,38.97,40.09,38.28,39.63,18.8177,658522
2009-01-09,39.55,39.68,38.29,39.45,18.7322,418862
2009-01-12,39.27,39.27,37.645,37.84,17.9678,597777
2009-01-13,37.85,39.07,37.62,38.55,18.3049,430905
2009-01-14,38.13,38.38,36.81,36.96,17.5497,705923
2009-01-15,36.82,37.16,35.44,36.93,17.5358,648104
2009-01-16,37.43,38.12,37.09,37.88,17.9868,380626
2009-01-20,37.69,37.78,35.61,35.8,16.999,338399
2009-01-21,35.84,37.08,35.5,36.99,17.5642,337845
2009-01-22,36.14,37.27,36.14,36.81,17.4786,510407
2009-01-23,35.85,36.58,35.21,36.1,17.1417,380867
2009-01-26,36.24,36.8393,35.78,36.15,17.1651,344417
2009-01-27,36.18,37.59,36.16,37.43,17.7729,500425
2009-01-28,38.01,38.57,37.6,38.55,18.3049,610100
2009-01-29,38.37,38.57,37.87,38.43,18.2478,893464
2009-01-30,38.34,38.47,37.19,37.85,17.9723,1279279
2009-02-02,37.35,39.27,37.18,38.55,18.3049,792056
2009-02-03,38.71,39.18,38.04,38.96,18.4995,630572
2009-02-04,38.96,39.36,38.49,38.9,18.4711,655455
2009-02-05,38.86,40.89,38.56,40.81,19.378,956325
2009-02-06,40.77,42.22,40.41,41.9,19.8957,989398
2009-02-09,41.73,41.95,40.53,40.94,19.4396,435640
2009-02-10,40.67,42.09,40.44,40.58,19.2688,737738
2009-02-11,39.83,40.29,39.02,39.77,18.8842,1038774
2009-02-12,39.31,40.78,38.89,40.61,19.2831,757999
2009-02-13,40.14,41.51,40.14,41.25,19.5869,459055
2009-02-17,40.21,40.67,39.59,40.14,19.0599,706725
2009-02-18,40.49,40.7,39.44,40.51,19.2356,562906
2009-02-19,41.19,41.19,39.4,39.92,18.9555,907942
2009-02-20,39.73,40.02,38.14,39.72,18.8603,1239045
2009-02-23,39.81,39.87,37.75,38.29,18.1814,811338
2009-02-24,38.29,39.94,38.11,39.81,18.9031,811172
2009-02-25,39.75,40.03,38.57,38.92,18.4807,534285
2009-02-26,39.31,39.54,35.56,35.64,16.9579,2396762
2009-02-27,37.68,39.75,36.5,36.83,17.5242,3141313
2009-03-02,35.69,36.49,33.54,33.66,16.0159,1507831
2009-03-03,33.95,35.19,33.13,34.38,16.3586,1032382
2009-03-04,34.64,36.17,33.94,35.44,16.8628,865388
