Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,55.32,56.38,54.37,56.11,40.4798,4233198
2009-01-05,55.94,56.03,54.66,55.18,39.8092,3593499
2009-01-06,55.44,56.21,54.35,55.42,39.982,4579283
2009-01-07,54.87,55,53.2,53.41,38.5321,5222089
2009-01-08,53.27,53.7,51.69,52.21,37.6663,5726749
2009-01-09,52.2,52.74,50.92,50.93,36.7429,4422180
2009-01-12,51.18,51.5,50.37,50.65,36.5412,4044435
2009-01-13,50.66,50.79,49.4,49.74,35.8846,4530662
2009-01-14,49.39,49.39,47.77,48.15,34.7372,5579359
2009-01-15,48.15,48.57,47.05,48.3,34.8455,6495745
2009-01-16,48.91,49.08,47.24,48.2,34.7733,5858261
2009-01-20,48,48.06,45.85,45.93,33.1356,5306145
2009-01-21,46.69,47.9,46.23,47.72,34.4271,5867921
2009-01-22,46.96,48.3,46.7,47.63,34.3621,5012839
2009-01-23,47.08,47.78,46.59,46.92,33.8503,5857042
2009-01-26,47.21,47.91,46.5,46.97,33.8864,4972720
2009-01-27,47.33,47.6,46.43,47.11,33.987,3864440
2009-01-28,47.44,47.67,46.05,46.85,33.7995,6530321
2009-01-29,46.38,46.77,44.64,44.84,32.3493,6384568
2009-01-30,45.05,45.81,42.24,42.49,30.6543,11081726
2009-02-02,42.19,42.95,41.4,42.42,30.6037,7535360
2009-02-03,42.7,45.57,42.4,45,32.4647,12612650
2009-02-04,45.6,45.82,44.57,45.03,32.4866,7368067
2009-02-05,44.77,46.25,44.42,45.91,33.1215,6893894
2009-02-06,45.88,47.4,45.82,47.07,33.9584,5885236
2009-02-09,47.63,47.63,46.44,47.26,34.0955,4770579
2009-02-10,46.94,47.26,44.31,44.72,32.263,7184686
2009-02-11,45.06,45.44,44.3,45.3,32.6814,5426610
2009-02-12,44.34,44.95,43.29,44.9,32.3928,6389994
2009-02-13,44.84,45.88,44.67,44.84,32.3493,4030835
2009-02-17,43.9,43.9,42.19,42.95,30.9857,6473631
2009-02-18,43.18,43.33,42.25,42.73,30.8273,5958861
2009-02-19,42.97,43.58,42.29,42.93,31.3011,6161485
2009-02-20,42.72,43.5,41.75,42.8,31.2061,7247713
2009-02-23,43.17,43.51,40.82,40.92,29.8356,5575015
2009-02-24,41.2,43.4,41.05,43.17,31.4759,6988118
2009-02-25,42.59,42.88,41.58,42.03,30.6447,7473372
2009-02-26,42.55,42.77,41.06,41.19,30.0323,5721411
2009-02-27,40.45,41.76,39.46,41.18,30.025,8382573
2009-03-02,40.49,40.87,38.5,38.92,28.3773,9003510
2009-03-03,39.39,39.57,38.23,38.49,28.064,6554103
2009-03-04,39.01,41.16,38.72,40.7,29.6752,8823932
2009-03-05,40.07,40.07,38.97,39.97,29.1428,13430531
2009-03-06,40.27,41.26,38.44,39.38,28.7128,9498676
2009-03-09,39.03,39.3884,37.99,38.3,27.9255,7429690
2009-03-10,39,41.39,38.79,41.22,30.0542,10005014
2009-03-11,41.49,43.12,41.09,42.71,31.1406,9720677
2009-03-12,42.55,43.34,41.75,43.27,31.5489,6623087
2009-03-13,43.63,43.69,42.58,43.09,31.4177,5570830
2009-03-16,43.56,45.655,43.55,44.73,32.6136,9306855
2009-03-17,44.68,46.28,44.19,46.24,33.7146,6448343
2009-03-18,45.67,47.34,44.55,46.52,33.9187,8582474
2009-03-19,46.94,47.2,45.81,45.99,33.5326,7202150
2009-03-20,46.05,46.39,44.58,44.71,32.599,8956413
2009-03-23,45.36,47.64,45.03,47.54,34.6625,6404123
2009-03-24,47.39,48.46,46.87,47.24,34.4436,5974088
2009-03-25,47.7,49.19,46.93,48.07,35.0489,9207896
2009-03-26,48.26,50.54,48.26,50.46,36.7915,9107254
2009-03-27,50.35,50.99,49.65,50.11,36.5361,8372620
2009-03-30,49.18,49.43,48.01,48.61,35.4422,6402432
2009-03-31,48.96,49.92,47.8,49.22,35.8872,7949174
2009-04-01,48.69,50.34,48.69,50.07,36.507,6245662
2009-04-02,51.03,53.62,50.51,52.37,38.1837,10843901
2009-04-03,51.93,52.82,51.75,52.75,38.4612,6790842
2009-04-06,52.17,52.73,51.56,52.58,38.3367,5649402
2009-04-07,51.79,51.94,51.02,51.28,37.3893,5167825
2009-04-08,51.59,52.26,50.92,52.2,38.0601,4206881
2009-04-09,53.12,54.29,52.7,53.49,39.0005,6553068
2009-04-13,52.94,53.95,52.75,53.43,38.957,3567240
2009-04-14,52.95,53.98,52.53,53.43,38.957,4690014
2009-04-15,53.07,54.31,53.02,54.25,39.5545,4834337
2009-04-16,54.57,56.13,53.8,55.92,40.7724,5854234
2009-04-17,55.89,56.13,53.82,54.65,39.8464,8297664
2009-04-20,53.85,53.85,52.69,53.16,38.76,5956822
2009-04-21,52.78,55.62,52.75,55.35,40.3568,6243686
2009-04-22,54.75,57.25,54.46,54.75,39.9194,7635371
2009-04-23,52.9,53.719,50.61,53.33,38.884,12639503
2009-04-24,53.01,54.04,52.53,53.28,38.8476,6055516
2009-04-27,52.58,52.58,50.9,51.21,37.3382,5840275
2009-04-28,50.97,51.66,50.62,51.04,37.2143,4366990
2009-04-29,51.31,52.42,51.24,51.79,37.7612,4456567
2009-04-30,52.38,52.92,52.01,52.34,38.1617,4979785
2009-05-01,52.1,52.6,51.21,51.66,37.6661,3775881
2009-05-04,51.81,54.28,51.39,54.12,39.4602,4981941
2009-05-05,54.01,55.16,54.01,55.15,40.211,4698805
2009-05-06,55.51,55.83,54.59,55.83,40.7069,4875068
2009-05-07,56.18,56.92,55.235,55.83,40.7069,7717557
2009-05-08,56.53,57.89,56.4,57.62,42.012,7036070
2009-05-11,56.62,56.86,55.59,55.83,40.7069,4451046
2009-05-12,56.01,56.24,53.86,54.64,39.839,6669436
2009-05-13,53.83,53.83,51.93,52.41,38.2132,6810177
2009-05-14,52.31,52.97,51.87,52.26,38.4338,4387339
2009-05-15,52.05,53.5,51.8,51.99,38.2354,5344788
2009-05-18,52.05,53.17,52.05,52.8,38.8309,5103676
2009-05-19,52.89,53.4,51.76,51.82,38.1102,5819847
2009-05-20,52.51,53.14,51.78,51.86,38.1394,5133296
2009-05-21,51.46,51.46,49.34,49.49,36.3967,7135591
2009-05-22,49.79,50.27,48.59,49.65,36.5142,6093862
2009-05-26,49.22,51.4,49.15,51.14,37.6101,4902363
2009-05-27,51.23,51.49,49.57,49.75,36.588,4487363
2009-05-28,49.9,50.47,48.85,49.01,36.0434,5929835
2009-05-29,49.17,51.14,49.14,51.14,37.6101,5962022
2009-06-01,52.2,53,51.51,52.56,38.6543,6763258
2009-06-02,52.37,54.12,51.9,52.56,38.6543,5131661
2009-06-03,51.72,52.02,50.63,51.02,37.5217,6510508
2009-06-04,51.1,51.43,50.26,51,37.507,4668440
2009-06-05,51.9,52.27,51.21,51.52,37.8895,4022954
2009-06-08,51.31,51.74,50.2,51.43,37.8235,4225530
2009-06-09,51.36,52.18,51.05,51.88,38.1545,3069034
2009-06-10,52.18,52.33,50.8,51.65,37.985,4698221
2009-06-11,51.62,52.32,51.55,51.78,38.0809,3692514
2009-06-12,51.6,51.74,50.08,50.53,37.1616,5606421
2009-06-15,49.92,50,48.7,49,36.0364,6316884
2009-06-16,49.28,49.6,48.3801,48.44,35.6243,4237806
2009-06-17,47.97,48.6,47.53,48.12,35.389,6354276
2009-06-18,48.26,48.69,47.66,48.3,35.5216,3756737
2009-06-19,48.73,48.74,47.69,48.14,35.4034,6419111
2009-06-22,47.92,47.97,46.41,46.84,34.4479,7168151
2009-06-23,47.2,47.76,46.94,47.2,34.7127,5780879
2009-06-24,47.66,48.49,47.38,47.64,35.036,4696577
2009-06-25,47.37,49.45,47.37,49.37,36.3086,5046429
2009-06-26,49.11,50.1,49,49.86,36.6685,5543621
2009-06-29,49.94,50.86,49.4,50.32,37.0071,4089914
2009-06-30,50.25,50.73,49.5,49.99,36.7643,4541353
2009-07-01,49.95,51.24,49.95,50.85,37.3968,3703283
2009-07-02,50.13,50.27,48.6,48.6,35.742,4427973
2009-07-06,48.25,49.18,48.14,49.14,36.1391,4400711
2009-07-07,49.13,49.17,47.59,47.72,35.095,4575290
2009-07-08,48.01,48.2299,46.78,47.88,35.2125,7529717
2009-07-09,48.22,48.59,47.8,48.02,35.3155,3978133
2009-07-10,47.63,48.78,47.53,48.57,35.7201,3783270
2009-07-13,48.58,49.44,47.91,49.42,36.3453,3829321
2009-07-14,49.11,49.67,48.7,49.58,36.4629,3559703
2009-07-15,50.14,50.64,49.71,50.53,37.1616,4497170
2009-07-16,50.46,53.41,50.29,52.93,38.9264,7807425
2009-07-17,52.58,52.93,51.9101,52.17,38.3676,5167495
2009-07-20,52.33,52.92,52.17,52.75,38.7939,3884705
2009-07-21,52.9,53.27,51.71,52.29,38.4559,3767903
2009-07-22,51.9,53.54,51.9,52.3,38.4631,5073491
2009-07-23,51.2,54,50.8,53.51,39.3532,7732601
2009-07-24,53.32,53.7,52.61,53.4,39.2723,3424037
2009-07-27,53.44,54.25,53.07,54.2,39.8605,3575497
2009-07-28,53.8,53.9,52.81,53.48,39.3308,3441936
2009-07-29,53.23,53.58,52.59,52.94,38.9339,3920137
2009-07-30,53.65,54.05,53.05,53.62,39.4337,4325960
2009-07-31,53.65,54,53.38,53.73,39.5153,3444170
2009-08-03,54.22,54.62,53.18,54.38,39.993,3473179
2009-08-04,54.17,54.58,53.72,54.08,39.772,2698879
2009-08-05,54.27,54.3,52.94,53.68,39.4783,3264079
2009-08-06,53.78,53.9,53.02,53.24,39.1541,2817249
2009-08-07,53.7,54.5,53.55,54.11,39.7943,3875307
2009-08-10,53.78,54.07,53.43,53.72,39.5075,2315379
2009-08-11,53.67,53.95,53.1,53.66,39.4634,2886887
2009-08-12,53.71,55.04,53.24,54.53,40.1032,3987127
2009-08-13,54.8,54.97,53.73,54.12,39.8018,3602075
2009-08-14,54.16,54.38,53.01,53.53,39.3677,3386265
2009-08-17,53.09,53.2,51.93,52.11,38.3233,4219498
2009-08-18,52.18,52.755,51.9,52.59,38.6763,3418982
2009-08-19,52.11,53.37,52.11,52.78,38.8163,3439726
2009-08-20,52.68,52.91,52.24,52.77,39.1426,3194783
2009-08-21,53.21,53.72,53,53.62,39.773,5157654
2009-08-24,53.59,53.95,53.24,53.52,39.6989,2564979
2009-08-25,53.77,54.52,53.655,54.37,40.3293,4165893
2009-08-26,54.31,54.46,53.64,54.01,40.0623,3316792
2009-08-27,53.81,54.35,53.15,53.95,40.0179,2900442
2009-08-28,54.2,54.5,53.36,53.71,39.8399,3064137
2009-08-31,53.45,53.68,52.88,53.46,39.6541,3474043
2009-09-01,53.39,54.23,52.43,52.58,39.0016,4098836
2009-09-02,52.44,53.01,52.06,52.75,39.1276,3801999
2009-09-03,52.88,53.16,52.17,52.83,39.1869,4018865
2009-09-04,52.92,53.86,52.75,53.81,39.914,2914839
2009-09-08,53.9,54.3,53.38,54.1,40.1292,3716091
2009-09-09,55.15,55.74,54.76,55.43,41.1156,6638225
2009-09-10,55.67,56.56,55.54,56.3,41.7608,5785981
2009-09-11,57.84,58.915,57.47,58.8,43.6157,12311485
2009-09-14,58.54,59.27,58.23,59.19,43.9048,4698108
2009-09-15,59.28,59.5,58.86,59.29,43.9791,4690534
2009-09-16,59.63,59.63,58.68,59.2,43.9119,4493017
2009-09-17,58.7,59.59,58.29,58.84,43.6451,4127812
2009-09-18,59.02,59.27,58.51,58.77,43.5933,5066080
2009-09-21,58.63,58.86,57.91,58.52,43.4077,2943072
2009-09-22,58.95,58.95,58.3,58.63,43.4892,3619303
2009-09-23,58.64,59.4233,58.15,58.24,43.2001,3128721
2009-09-24,58.2,58.6,57.55,58.05,43.059,3565791
2009-09-25,58,58.11,56.32,56.81,42.1392,4016850
2009-09-28,57.06,57.92,56.71,57.63,42.7474,2729274
2009-09-29,57.84,57.88,56.68,56.78,42.1171,3178344
2009-09-30,56.89,57.1,55.79,56.47,41.8871,5314474
2009-10-01,56.37,56.62,55.09,55.2,40.945,5132896
2009-10-02,54.78,55.47,54.59,54.94,40.7522,4673849
2009-10-05,55.04,55.71,54.57,55.61,41.2494,3542469
2009-10-06,55.85,56.485,55.34,55.59,41.2344,4088462
2009-10-07,55.5,55.8,55.15,55.63,41.2638,2349583
2009-10-08,55.75,56.68,55.72,56.33,41.7831,7005471
2009-10-09,56.3,56.46,55.64,55.97,41.5164,3299708
2009-10-12,56.05,56.43,55.57,55.93,41.4864,2179165
2009-10-13,55.94,55.94,55.13,55.73,41.3381,3435800
2009-10-14,56.11,57.28,56.04,57.21,42.4359,4870388
2009-10-15,57.07,57.8,56.7,57.71,42.8069,4223890
2009-10-16,57.16,57.36,56.7,57.12,42.3693,4499609
2009-10-19,57.3,57.76,57.12,57.62,42.7402,2738812
2009-10-20,57.79,57.91,57.1,57.73,42.8218,3330950
2009-10-21,57.49,58.27,56.69,57.1,42.3542,4453338
2009-10-22,56.96,57.39,55.81,57.1,42.3542,5528380
2009-10-23,57.09,57.09,55.31,55.7,41.3161,6065466
2009-10-26,55.67,56.38,54.26,54.52,40.4406,8866047
2009-10-27,54.6,54.79,54,54.5,40.4259,5855772
2009-10-28,54.4,55.08,54.24,54.37,40.3293,4765680
2009-10-29,54.61,55.17,54.31,54.94,40.7522,3260519
2009-10-30,54.61,54.89,53.6,53.68,39.8175,5487118
2009-11-02,53.77,54.18,53.17,54.01,40.0623,4203328
2009-11-03,54.06,54.56,53.86,54.2,40.2029,4271671
2009-11-04,54.64,55.02,53.47,53.5,39.6841,4113844
2009-11-05,53.65,54.55,53.64,54.46,40.3962,2954357
2009-11-06,54.39,55.03,54.0538,54.86,40.6929,3276105
2009-11-09,55.1,56.32,55,56.2,41.6868,5100817
2009-11-10,56.13,57.0799,56.01,56.85,42.1693,5075319
2009-11-11,57.22,58.48,57.01,58.07,43.0738,6085996
2009-11-12,57.99,57.99,56.58,56.83,42.4833,5331336
2009-11-13,57.02,57.04,56.55,56.69,42.3786,4447204
2009-11-16,57.06,58.23,57,57.74,43.1636,4234131
2009-11-17,57.46,57.63,56.9,57.07,42.6629,3745805
2009-11-18,57.01,57.47,56.59,57.37,42.8871,4308528
2009-11-19,56.98,57.27,56.5,57.16,42.7301,3981238
2009-11-20,56.83,57.64,56.83,57.51,42.9916,4227733
2009-11-23,57.99,58.8,57.82,58.16,43.4776,4057330
