Date,Open,High,Low,Close,Adjusted_close,Volume
2017-10-17,18.55,18.55,18.55,18.55,17.1637,100000
2017-10-18,18.5,18.52,18.5,18.5,16.9023,8227502
2017-10-19,18.5,18.57,18.5,18.5,16.9023,550484
2017-10-20,18.25,19,18,18,16.4454,155577
2017-10-23,18,18,18,18,16.4454,349
2017-10-24,18.7,18.7,18.65,18.65,17.0393,287571
2017-10-25,18.6,18.65,18.6,18.65,17.0393,100127
2017-10-26,18.6,18.65,18.5,18.5,16.9023,160091
2017-10-27,18,18.585,18,18.54,16.9388,2133104
2017-10-30,18.54,18.54,18.54,18.54,16.9388,0
2017-10-31,18.5,18.5,18.4,18.5,16.9023,43330
2017-11-01,18.25,18.5,18.25,18.5,16.9023,57558
2017-11-02,18.5,18.5,18.25,18.5,16.9023,14760
2017-11-03,18.52,18.54,18.52,18.54,16.9388,370000
2017-11-06,18.55,18.55,18.52,18.55,16.9479,2745114
2017-11-07,18.5,18.61,18.5,18.58,16.9754,410946
2017-11-08,18.55,18.6,18.5,18.55,16.9479,24316
2017-11-09,18.55,18.55,18.55,18.55,16.9479,679
2017-11-10,18.5,18.75,18.45,18.5,16.9023,3621672
2017-11-13,18.45,18.75,18.45,18.5,16.9023,76362
2017-11-14,18.5,18.5,18.35,18.35,16.7652,218457
2017-11-15,18.25,18.5,18.25,18.5,16.9023,677508
2017-11-16,18.5,18.6,18.5,18.5,16.9023,152501
2017-11-17,18.65,18.7,18.5,18.55,16.9479,373494
2017-11-20,18.65,18.65,18.55,18.6,16.9936,312873
2017-11-21,18.75,18.75,18.65,18.75,17.1307,872552
2017-11-22,18.65,18.75,18.65,18.75,17.1307,1140544
2017-11-24,18.75,18.75,18.75,18.75,17.1307,0
2017-11-27,18.75,18.8,18.75,18.8,17.1764,6972
2017-11-28,18.8,19,18.8,19,17.3591,874646
2017-11-29,19.05,19.05,19.05,19.05,17.4048,230115
2017-11-30,19,19.75,19,19.75,18.0443,317469
2017-12-01,19.75,20.5,19.75,19.78,18.0717,600841
2017-12-04,20,20.75,19.5,20,18.2727,633824
2017-12-05,20.05,21,19.85,21,19.1863,301513
2017-12-06,19.85,19.92,19.85,19.85,18.1357,1035005
2017-12-07,20,20,19.65,19.8,18.09,591002
2017-12-08,19.8,19.88,19.8,19.8,18.09,385096
2017-12-11,19.8,19.81,19.75,19.81,18.0991,347860
2017-12-12,19.75,19.81,19.75,19.81,18.0991,144448
2017-12-13,19.82,19.85,19.7,19.85,18.1357,29863
2017-12-14,19.9,20,19.85,20,18.2727,343450
2017-12-15,19.95,20,19.95,20,18.2727,18468
2017-12-18,20,20.1,19.95,20,18.2727,15757
2017-12-19,19.95,20,19.95,19.975,18.2499,15001
2017-12-20,20,20.4,20,20,18.2727,29359
2017-12-21,20,20.5,20,20.5,18.7295,5647
2017-12-22,20.5,20.75,20,20.2,18.4554,26936
2017-12-26,20,20,20,20,18.2727,1096
2017-12-27,20.5,20.5,20.5,20.5,18.7295,120
2017-12-28,20.5,20.5,20.5,20.5,18.7295,0
2017-12-29,20.5,21,19.95,20.5,18.7295,48885
2018-01-02,20,20.6,19.95,20.1,18.3641,427900
2018-01-03,20.5,20.6,20,20.16,18.4189,231300
2018-01-04,20.15,20.5,20.1,20.2,18.4554,447800
2018-01-05,20.2,20.2,20.15,20.2,18.4554,78300
2018-01-08,20.2,20.2,20.05,20.2,18.4554,59200
2018-01-09,20.2,20.21,20,20.21,18.4646,224700
2018-01-10,19.9,20.2,19.9,20,18.2727,367500
2018-01-11,20,20,19.85,20,18.2727,37800
2018-01-12,20,20,19.5,19.99,18.2636,1109300
2018-01-16,20.5,22.99,20.5,21.5,19.6432,2005000
2018-01-17,21.25,21.3,21.25,21.28,19.4422,233000
2018-01-18,21.25,21.35,20.984,21,19.1863,634400
2018-01-19,20.85,21,20.75,20.75,18.9579,955700
2018-01-22,20.75,22.99,20.3,22.99,21.0045,3600
2018-01-23,21,21.5,21,21,19.1863,127300
2018-01-24,20.75,21.1,19.5,21,19.1863,20000
2018-01-25,21.15,21.15,20.93,20.93,19.1224,73500
2018-01-26,21,21.1,21,21.1,19.2777,5000
2018-01-29,20.6,21.1,20.6,21.1,19.2777,24900
2018-01-30,21.05,21.1,21,21.05,19.232,40100
2018-01-31,21.05,22.97,20.9,22,20.1,643200
2018-02-01,21.08,21.33,20.67,20.89,19.0859,24638300
2018-02-02,20.75,21.1,20.4,21.01,19.1955,4923100
2018-02-05,20.78,21.1,18.49,20.61,18.83,4454000
2018-02-06,20.24,20.91,19.5,20.5,18.7295,9323000
2018-02-07,20.31,20.93,20.31,20.76,18.9671,15743200
2018-02-08,20.55,20.7,19.9,20,18.2727,7726200
2018-02-09,20,20.3,19.01,19.91,18.1905,5664400
2018-02-12,19.96,20,19.35,19.58,17.889,2149100
2018-02-13,19.7,19.75,19.4,19.7,17.9986,1396400
2018-02-14,19.67,19.78,19.32,19.65,17.9529,2311500
2018-02-15,19.81,19.95,19.46,19.85,18.1357,2318700
2018-02-16,19.9,20.01,19.65,19.99,18.2636,1168600
2018-02-20,19.85,20.08,19.85,20,18.2727,2273500
2018-02-21,19.99,20,19.6,19.67,17.9712,2484500
2018-02-22,19.72,20,19.68,19.84,18.1265,2713600
2018-02-23,19.85,19.95,19.65,19.82,18.1083,2631500
2018-02-26,19.79,19.79,19.53,19.7,17.9986,2092200
2018-02-27,19.76,19.83,19.39,19.46,17.7794,1665000
2018-02-28,19.43,19.715,19.31,19.55,17.8616,2408600
2018-03-01,19.55,19.71,19.34,19.49,17.8068,2674800
2018-03-02,19.49,19.52,19.159,19.4,17.7245,1471400
2018-03-05,19.36,19.515,19.289,19.47,17.7885,1797100
2018-03-06,19.6,19.71,19.5,19.61,17.9164,2350600
2018-03-07,19.54,19.685,19.39,19.61,17.9164,1433500
2018-03-08,19.59,19.65,19.2,19.29,17.624,2447900
2018-03-09,19.16,19.65,19.08,19.6,17.9073,2827700
2018-03-12,19.6,19.66,19.2,19.39,17.7154,3098800
2018-03-13,19.4,19.68,19.4,19.6,17.9073,2115800
2018-03-14,19.63,19.75,19.59,19.63,17.9347,2741500
2018-03-15,19.65,19.75,19.2,19.42,17.7428,3091200
2018-03-16,19.25,19.53,19.22,19.42,17.7428,19539200
2018-03-19,19.43,19.435,19.15,19.23,17.5692,2324000
2018-03-20,19.34,19.34,18.84,19.03,17.3865,4471100
2018-03-21,18.99,19.06,18.77,18.97,17.3317,1937400
2018-03-22,18.85,19,18.76,18.8,17.1764,1527200
2018-03-23,18.85,18.93,18.27,18.47,16.8749,2140000
2018-03-26,18.67,18.93,18.51,18.66,17.0484,2106900
2018-03-27,18.75,18.75,18.33,18.48,16.884,1420000
2018-03-28,18.37,18.44,18.16,18.27,16.8379,4879900
2018-03-29,18.11,18.41,17.855,18.32,16.884,6687600
2018-04-02,18.35,18.39,18.14,18.29,16.8563,5131100
2018-04-03,18.33,18.35,18.14,18.27,16.8379,1757600
2018-04-04,18.16,18.34,18,18.13,16.7089,3282400
2018-04-05,18.17,18.29,18.05,18.18,16.755,3853800
2018-04-06,18.17,18.34,18.08,18.28,16.8471,2187100
2018-04-09,18.29,18.345,18.1,18.14,16.7181,2919500
2018-04-10,18.29,18.33,18.01,18.16,16.7365,1523700
2018-04-11,18.05,18.215,17.98,18.17,16.7457,1926700
2018-04-12,18.17,18.32,17.91,18.17,16.7457,896800
2018-04-13,18.2,18.245,18.03,18.2,16.7734,1426600
2018-04-16,18.2,18.37,18.14,18.23,16.801,2935700
2018-04-17,18.27,18.42,18.24,18.27,16.8379,1570000
2018-04-18,18.29,18.41,18.24,18.38,16.9393,1460400
