Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,21.69,23.52,21.5,23.24,15.8197,9449169
2009-01-05,23.47,24.9,23.15,24.6,16.7455,16972557
2009-01-06,25.36,25.9,24.67,24.95,16.9839,15411660
2009-01-07,24.51,24.8,23.05,23.68,16.1191,9638376
2009-01-08,23.24,24.76,23.24,24.6,16.7455,10726891
2009-01-09,24.68,24.86,23.43,24,16.3374,9196467
2009-01-12,23.87,23.96,22.68,22.95,15.6224,10212207
2009-01-13,23.04,24.36,23.01,23.99,16.3303,12110509
2009-01-14,23.39,23.46,21.34,22.18,15.0984,14301659
2009-01-15,22.25,23.08,21.19,22.87,15.5677,13700327
2009-01-16,23.68,24.25,22.88,24.03,16.3576,12992447
2009-01-20,23.59,24.5,23.04,23.38,15.9152,16874642
2009-01-21,23.67,24.99,23.43,24.93,16.9706,14031102
2009-01-22,24.4,24.87,22.73,23.3,15.8607,18381096
2009-01-23,22.6,24.85,22.44,24.59,16.7388,12526998
2009-01-26,24.43,26.2,24.43,25.85,17.5965,15083619
2009-01-27,25.19,25.35,23.56,24.26,16.5144,16510807
2009-01-28,24.67,25.59,23.92,25.25,17.1881,15709657
2009-01-29,24.78,25.15,24.06,24.69,16.8069,10058138
2009-01-30,25.04,25.2,23.65,24.12,16.4187,14205453
2009-02-02,23.6,23.6,22.52,22.9,15.5882,12605974
2009-02-03,23.14,23.74,22.87,23.51,16.0034,11550626
2009-02-04,23.6,24.39,23.57,23.92,16.2828,12653916
2009-02-05,23.71,24.02,23.06,23.71,16.1397,15526800
2009-02-06,23.62,23.95,23.23,23.74,16.1602,11442415
2009-02-09,23.81,24.88,23.79,24.47,16.76,10258789
2009-02-10,24.65,25,22.93,23.2,15.8902,12481088
2009-02-11,23.6,23.76,22.46,23.02,15.7666,13767125
2009-02-12,22.69,24.14,22.4,23.99,16.4311,18351396
2009-02-13,23.52,24.5,23.5,24.07,16.486,10752357
2009-02-17,23.4,23.66,22.02,22.11,15.1437,13957638
2009-02-18,22.34,22.34,21,21.25,14.5541,13155023
2009-02-19,21.7,21.94,20.39,20.65,14.1433,14993938
2009-02-20,20.05,20.1,18.54,19.15,13.1163,16599282
2009-02-23,19.48,19.88,18.46,18.52,12.6846,13946647
2009-02-24,18.8,20.04,18.62,19.87,13.6092,11440148
2009-02-25,20.25,21.04,19.39,20.52,14.0544,15873620
2009-02-26,20.91,20.97,20.16,20.24,13.8629,9885736
2009-02-27,19.65,20.26,19.09,19.38,13.2738,11289387
2009-03-02,18.84,18.93,16.9,16.98,11.6301,16693756
2009-03-03,17.54,17.9,17.02,17.2,11.7805,13302510
2009-03-04,17.87,18.27,17.27,17.4,11.9175,18159412
2009-03-05,16.99,17.14,16.18,16.35,11.1983,12842762
2009-03-06,16.51,16.89,15.71,16.24,11.1229,10704889
2009-03-09,15.95,17.24,15.95,16.63,11.3901,9051861
2009-03-10,17.16,17.66,16.8,17.03,11.6638,11667261
2009-03-11,17.26,17.72,16.54,17.07,11.6917,11471729
2009-03-12,17.06,17.64,16.81,17.58,12.0409,9954154
2009-03-13,17.9,18,16.89,17.33,11.8697,10816902
2009-03-16,17.42,18.52,17.42,17.92,12.2738,8987311
2009-03-17,17.98,18.52,17.35,18.5,12.6706,9397159
2009-03-18,18.57,18.74,17.83,18.51,12.6781,13336440
2009-03-19,19.1,20.08,18.8,19.43,13.308,12568584
2009-03-20,19.54,19.57,18,18.03,12.3489,12840414
2009-03-23,18.69,18.69,17.5,18.55,12.7052,17106840
2009-03-24,18.05,18.67,17.83,18.21,12.472,10110925
2009-03-25,18.47,19.09,18.1,18.64,12.7667,12174174
2009-03-26,19.17,19.98,19.04,19.87,13.6092,13863373
2009-03-27,19.4,19.74,19.02,19.05,13.0473,10333105
2009-03-30,18.52,18.71,17.3,17.73,12.1436,10019620
2009-03-31,18.33,18.38,17.45,17.9,12.2601,11370227
2009-04-01,17.64,18.57,17.615,18.43,12.6229,10676656
2009-04-02,19.01,19.82,18.99,19.52,13.3696,13424099
2009-04-03,19.4,20.09,19.11,19.84,13.5888,10375545
2009-04-06,19.35,19.7,19.05,19.68,13.4792,8399142
2009-04-07,19.2,19.77,19.01,19.39,13.2805,8619345
2009-04-08,19.47,20.33,19.15,20.16,13.8077,10661157
2009-04-09,20.84,21.1,20.56,21,14.3833,10439439
2009-04-13,20.6,20.83,20.19,20.62,14.1229,10576407
2009-04-14,20.36,21,20.25,20.56,14.0814,9095631
2009-04-15,20.4,20.99,20.21,20.89,14.3077,10915641
2009-04-16,21.07,21.75,20.56,21.54,14.7532,9965206
2009-04-17,21.57,21.91,21.25,21.72,14.8767,9520188
2009-04-20,21.24,21.3,19.795,20.08,13.7532,12631234
2009-04-21,19.98,20.49,19.64,20.38,13.9583,9728486
2009-04-22,20.21,21.14,20.15,20.5,14.041,12034709
2009-04-23,20.77,21.6,20.52,21.29,14.5815,11235337
2009-04-24,21.6,21.92,21.28,21.68,14.8488,9270071
2009-04-27,21.2,21.26,20.55,20.74,14.2049,11502864
2009-04-28,20.86,21.27,20.66,20.82,14.2599,10244748
2009-04-29,20.89,20.94,20.22,20.49,14.0338,13957022
2009-04-30,20.66,20.74,19.58,19.84,13.5888,11891372
2009-05-01,19.89,21,19.84,20.65,14.1433,9749576
2009-05-04,20.81,21.92,20.78,21.85,14.9654,10408546
2009-05-05,21.59,22.03,21.37,21.87,14.979,9686111
2009-05-06,22.19,23,21.87,22.65,15.5133,10913720
2009-05-07,23.36,23.61,21.58,21.88,14.9859,12192121
2009-05-08,22.3,23.615,22.22,23.3,15.9584,10149410
2009-05-11,22.56,22.73,21.71,21.81,14.9378,10234086
2009-05-12,22,22.04,20.77,21.13,14.4723,9889211
2009-05-13,20.7,21.35,20.35,20.65,14.1433,13081102
2009-05-14,20.7,21.55,20.14,21.28,14.5752,7979404
2009-05-15,21.07,21.65,20.65,20.84,14.2735,7607956
2009-05-18,21.01,21.25,20.79,20.95,14.349,9910925
2009-05-19,21.16,21.82,20.96,21.54,14.7532,9467706
2009-05-20,21.8,22.58,21.57,21.62,14.808,10105061
2009-05-21,21.27,21.27,20.46,20.76,14.2187,8594777
2009-05-22,20.99,21.02,20.43,20.55,14.1774,6649079
2009-05-26,20.4,20.97,19.98,20.8,14.3501,8996809
2009-05-27,20.87,21.66,20.87,21.07,14.5364,8857397
2009-05-28,21.11,21.99,21,21.85,15.0745,9722872
2009-05-29,22.25,22.49,21.91,22.37,15.433,8509169
2009-06-01,22.86,23.49,22.64,22.81,15.7367,10755173
2009-06-02,22.7,22.84,22.36,22.38,15.4401,8543545
2009-06-03,19.64,19.79,18.12,18.4,12.6941,48629838
2009-06-04,18.43,19.02,18.2,18.25,12.5908,73314344
2009-06-05,18.71,18.74,18.1,18.21,12.563,21250387
2009-06-08,18.19,18.37,17.92,18.24,12.5836,13860859
2009-06-09,18.6,18.67,18.05,18.15,12.5218,14139046
2009-06-10,18.34,18.48,18.06,18.19,12.5494,16604388
2009-06-11,18.36,18.36,17.63,17.67,12.1907,19639456
2009-06-12,17.59,17.83,17.46,17.61,12.1489,13564307
2009-06-15,17.49,17.59,17.1,17.31,11.9424,14169371
2009-06-16,17.45,17.8,17.15,17.25,11.901,13916428
2009-06-17,17.12,17.35,16.8,17.24,11.8938,16691275
2009-06-18,17.28,17.675,17.07,17.42,12.0179,10600287
2009-06-19,18,18,17.11,17.19,11.8595,17452623
2009-06-22,17.04,17.07,16.23,16.25,11.2108,13698717
2009-06-23,16.45,16.64,15.95,16.56,11.4249,13419086
2009-06-24,16.39,16.79,15.89,16.03,11.059,19302388
2009-06-25,16,16.7,15.91,16.69,11.5145,13617878
