Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,71.26,71.26,67.21,69.74,61.8729,1375691
2009-01-05,69.39,71.02,69.11,69.95,62.0595,2119116
2009-01-06,70.97,71,66.55,67.07,59.5041,2029845
2009-01-07,66.8,67.05,63.32,64,56.7806,1603076
2009-01-08,63.36,63.36,61,63,55.8939,1942381
2009-01-09,63.01,63.01,60.78,61.19,54.2876,1343523
2009-01-12,61.46,61.64,56.87,57.17,50.7207,1741488
2009-01-13,58.41,58.7,56.93,58.18,51.6173,1620221
2009-01-14,55.99,56.62,55.01,55.8,49.5057,1481259
2009-01-15,55.5,58.36,53.33,56.73,50.3307,2202404
2009-01-16,57.61,60.64,57.09,58.67,52.0517,2088107
2009-01-20,57.14,57.29,52.85,53.83,47.7579,2263733
2009-01-21,54.5,54.98,51.78,53.73,47.6691,1585052
2009-01-22,52.72,53.14,51.02,52.33,46.4271,1657260
2009-01-23,51,53.98,50.58,53.18,47.1809,1490670
2009-01-26,53.55,54.21,50.11,50.58,44.8747,2552169
2009-01-27,51.24,53.14,50.53,52.56,46.6309,1488084
2009-01-28,54.45,56.24,52.81,53.46,47.4295,1469007
2009-01-29,53.01,53.09,50.66,50.86,45.1228,1805763
2009-01-30,51.39,51.94,49.03,49.46,43.8808,1792140
2009-02-02,48.68,49.23,47.55,48.26,42.8162,1788612
2009-02-03,49,51.58,48.67,50.82,45.0875,1898560
2009-02-04,50.82,55.25,50.82,51.44,45.6377,2036032
2009-02-05,50.43,52.69,50.07,51.07,45.3096,1473067
2009-02-06,51.81,52.62,51,51.47,45.6637,1588490
2009-02-09,51.17,51.17,48.53,49.29,43.7299,1967568
2009-02-10,49.2,53.8,46.77,47.34,42.0001,4105770
2009-02-11,46.94,47.33,44,44.94,39.8707,2290984
2009-02-12,45,47.57,43.9,47.47,42.1154,2494035
2009-02-13,47.2,47.5,45.25,45.73,40.5716,1162863
2009-02-17,45.57,45.59,43.93,44.12,39.1433,2010113
2009-02-18,44.89,44.89,41,42.81,37.9808,2404359
2009-02-19,43.2,44,40.38,40.75,36.1532,1662940
2009-02-20,40.14,41.87,39.3,40.45,35.8873,2833277
2009-02-23,40.99,41.81,38.75,39.64,35.1686,1948195
2009-02-24,39.67,42.5775,38.9,41.93,37.2001,1752939
2009-02-25,42.69,43.52,40.34,42.29,37.9634,2318510
2009-02-26,42.86,44.9,41.73,43.09,38.6816,1719529
2009-02-27,42.09,43.4,41.19,41.41,37.1732,2111542
2009-03-02,40.51,42.37,40.14,40.63,36.4732,1735009
2009-03-03,41.16,41.6,39.12,39.49,35.4494,1814998
2009-03-04,40.23,40.75,39.085,39.52,35.4765,1898671
2009-03-05,38.46,39.2,36.47,36.97,33.1875,1632911
2009-03-06,37.29,37.65,35.02,35.82,32.1552,1611181
2009-03-09,35.02,36.3,34.3,34.55,31.0146,1282205
2009-03-10,35.18,36.42,34.83,36.35,32.6309,2687984
2009-03-11,36.35,37.5,36.26,36.92,33.1424,1309380
2009-03-12,36.92,37.39,35.92,37.25,33.4387,3012435
2009-03-13,37.62,39.64,37.52,39.62,35.5663,2098422
2009-03-16,40.05,40.66,39.63,39.87,35.7908,2349689
2009-03-17,39.89,41.16,39.54,41.15,36.9397,1341051
2009-03-18,40.91,40.92,39.88,40.61,36.4553,2161583
2009-03-19,42.09,42.09,39.64,39.77,35.701,1632582
2009-03-20,39.83,40.22,38.23,38.7,34.7406,1888774
2009-03-23,39.4,40.68,38.73,40.68,36.5181,1753835
2009-03-24,40.41,41.97,40.38,41.14,36.9307,1354457
2009-03-25,41.65,43.9492,41.49,43.73,39.2559,2380001
2009-03-26,44.08,46.18,43.83,46.06,41.3478,2094432
2009-03-27,45.5,46.04,43.88,44.39,39.8484,1393257
2009-03-30,43.21,44.45,42.71,44.35,39.8124,1426735
2009-03-31,44.48,45.12,43.95,44.29,39.7587,1236810
2009-04-01,43.56,46.4,43.08,45.96,41.2579,1069782
2009-04-02,47.02,48.9,47.01,47.41,42.5595,1880574
2009-04-03,47.56,48.35,46.68,48.3,43.3582,845691
2009-04-06,47,47.76,45,46.51,41.7514,1284518
2009-04-07,45.64,45.79,43.3,43.67,39.2021,842282
2009-04-08,44.32,44.54,43.34,44.01,39.5073,759903
2009-04-09,46.5,47.2,45.03,47.06,42.2451,1378166
2009-04-13,46.49,47.78,45.31,47.33,42.4873,1300500
2009-04-14,46.98,47.75,46.55,46.98,42.1733,1354123
2009-04-15,46.82,48.69,46.56,48.65,43.6724,1069992
2009-04-16,49.08,53.94,48.44,52.63,47.2454,3195342
2009-04-17,52.68,53.94,51.97,52.33,46.9759,1413544
2009-04-20,51.26,51.47,48.6,48.94,43.9328,989091
2009-04-21,48.48,49.72,47.89,49.11,44.0854,921900
2009-04-22,48.82,50.8692,48.41,49.23,44.1933,1423948
2009-04-23,49.37,49.8,47.82,49.66,44.5794,889047
2009-04-24,49.67,51.94,49.67,51.49,46.2223,1190909
2009-04-27,51.22,51.99,50,50.48,45.3154,1152753
2009-04-28,49.74,51.36,49.41,50.69,45.5036,722552
2009-04-29,51.2,51.82,49.62,50.19,45.0551,1035169
2009-04-30,50,50.4596,47.5,47.55,42.685,1528849
2009-05-01,47.5,47.5,45.2,45.26,40.6291,1812968
2009-05-04,46.42,50.9,45.3,50.5,45.3335,3517951
2009-05-05,47.99,52.47,47.1,48.32,43.3762,3094527
2009-05-06,49.37,49.87,47.82,49.75,44.66,1951598
2009-05-07,50.19,51.98,46.86,47.22,42.3884,1379025
2009-05-08,47.71,48.46,46.15,47.65,42.7751,1224017
2009-05-11,47.09,48.05,45.8275,46.53,41.7693,1255043
2009-05-12,46.89,47.67,45.32,46.01,41.3028,869493
2009-05-13,45.52,45.59,42.32,42.38,38.0442,1991756
2009-05-14,42.76,43.58,41.21,41.48,37.236,1814964
2009-05-15,42,43.19,41.09,41.38,37.1462,1648790
2009-05-18,41.93,43.47,41.55,43.46,39.0138,1380920
2009-05-19,43.61,44.06,42.91,43.03,38.6275,1456149
2009-05-20,43.92,44.4525,42.03,42.36,38.026,1536940
2009-05-21,41.07,41.54,39.65,40.53,36.8092,1691079
2009-05-22,40.86,41.17,39.77,40.26,36.564,1123758
2009-05-26,39.91,42.66,39.91,41.93,38.0805,1295806
2009-05-27,41.84,42.96,40.75,40.82,37.0724,1397274
2009-05-28,41.62,42.19,40.25,42.01,38.153,1746490
2009-05-29,43.31,44.41,43.24,44.29,40.2241,1788155
2009-06-01,45.43,48.08,45.02,47.78,43.3936,1746579
2009-06-02,48.33,49.67,47.26,48.29,43.8565,1736408
2009-06-03,47.91,48.08,45.4,46.26,42.013,1376808
2009-06-04,46.48,46.92,45,46.26,42.013,1116044
2009-06-05,47.18,47.99,45.76,46.09,41.8585,1279584
2009-06-08,45.94,46.22,44.05,44.66,40.56,1189937
2009-06-09,44.93,45.47,44.01,44.62,40.5236,1174862
2009-06-10,45.12,45.2,43.14,43.97,39.9333,1041919
2009-06-11,41.07,43.32,41.01,42.7,38.7798,5160032
2009-06-12,42.93,47.21,42.93,47.2,42.8669,13891676
2009-06-15,46.87,46.87,45.05,46,41.7769,3619901
2009-06-16,46.39,46.6,44.99,45.3,41.1412,2655184
2009-06-17,45.17,45.345,43.92,44.18,40.1239,2661262
2009-06-18,44.24,44.71,43.26,43.51,39.5155,1233146
2009-06-19,43.96,44.16,42.823,43.57,39.5701,2116626
2009-06-22,43.55,44.62,42.79,42.98,39.0341,2155763
2009-06-23,43.16,43.86,42.94,43.36,39.3793,1243956
2009-06-24,43.72,45.3,43.3,43.67,39.6606,1330237
2009-06-25,43.53,45.24,43.29,45.03,40.8961,1537454
2009-06-26,44.97,45.01,44.042,44.49,40.4057,1133947
2009-06-29,45.03,45.29,43.08,43.35,39.3701,1848118
2009-06-30,43.43,44,42.99,43.1,39.1433,1929521
2009-07-01,43.65,43.72,42.71,42.83,38.898,1282547
2009-07-02,42.26,43.11,41.79,43.08,39.1249,1504881
2009-07-06,42.34,43.76,41.92,43.76,39.7423,1872794
2009-07-07,43.71,43.71,40.97,41,37.2358,2446950
2009-07-08,41.35,42.13,41,41.8,37.9626,2199317
2009-07-09,42.13,43.17,41.645,42.69,38.7705,1477648
2009-07-10,42.29,42.6499,39.65,40.6,36.8725,3034408
2009-07-13,41,41.41,39.14,41.35,37.5538,2161463
2009-07-14,40.82,41.54,40.17,41.09,37.3177,2901280
2009-07-15,41.75,42.51,41.47,42.12,38.2529,1367095
2009-07-16,42.12,42.89,41.81,42.23,38.3532,1331984
