Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,19.19,20.7,19,20.62,17.5095,3222431
2009-01-05,20.36,20.7,19.93,20.54,17.4415,2708798
2009-01-06,20.75,20.99,20.52,20.61,17.501,4159964
2009-01-07,20.39,20.39,19.15,19.17,16.2782,3258992
2009-01-08,19.2,19.77,19.05,19.68,16.7113,3054082
2009-01-09,19.59,19.59,18.64,18.7,15.8791,3909596
2009-01-12,18.8,18.86,17.19,17.39,14.7668,5674451
2009-01-13,17.39,17.85,17.1,17.28,14.6733,4337248
2009-01-14,17.11,17.61,16.89,17.4,14.7753,4496263
2009-01-15,17.31,18.71,17.31,18.38,15.6074,6796164
2009-01-16,18.73,19.08,17.94,18.61,15.8027,4521861
2009-01-20,18.44,18.61,17.08,17.09,14.512,4539992
2009-01-21,17.13,19.46,17.13,19.41,16.482,6593707
2009-01-22,18.87,18.99,18,18.52,15.7263,5113870
2009-01-23,17.99,18.81,17.87,18.46,15.6753,4262561
2009-01-26,18.62,18.81,18.3,18.74,15.9131,4776436
2009-01-27,18.84,19.63,18.69,19.5,16.5584,4950507
2009-01-28,19.56,20.61,19.43,20.4,17.3227,4061643
2009-01-29,20,20.28,19.58,19.65,16.6858,2631353
2009-01-30,19.73,20.05,19.16,19.31,16.3971,2688183
2009-02-02,18.33,19.23,18.3,19,16.1339,3068781
2009-02-03,18.82,19.85,18.82,19.78,16.7962,4823146
2009-02-04,19.78,20.32,19.43,19.51,16.5669,3556882
2009-02-05,18.93,20.26,18.67,20.21,17.1613,4966439
2009-02-06,18.89,20.34,18.51,20.09,17.0594,10823650
2009-02-09,20.1,20.745,19.925,20.63,17.5179,6734755
2009-02-10,20.47,20.9,19.22,19.46,16.5245,4887588
2009-02-11,19.78,20.38,19.51,20.2,17.1528,4924124
2009-02-12,20.25,20.25,19.41,19.98,16.966,3993632
2009-02-13,20,20.2,19.67,19.89,16.8896,2781590
2009-02-17,19.08,19.28,18.6,18.93,16.0744,3010409
2009-02-18,19.1,19.51,18.59,19.2,16.3037,2843954
2009-02-19,19.27,19.61,19.2,19.24,16.3376,3908517
2009-02-20,18.61,19.48,18.61,19.3,16.3887,3065652
2009-02-23,19.53,19.53,18.56,18.64,15.8282,3806895
2009-02-24,18.95,19.85,18.795,19.7,16.7282,3737414
2009-02-25,19.62,19.97,18.95,19.6,16.6433,3583866
2009-02-26,19.91,20.22,19.15,19.2,16.3037,3961773
2009-02-27,19,19.82,18.87,19.33,16.4141,5142914
2009-03-02,18.68,20.48,18.68,18.96,16.0999,4569040
2009-03-03,19.545,21.2798,19.43,20.62,17.5095,10477092
2009-03-04,21.27,21.57,20.69,20.8,17.6624,6199649
2009-03-05,20.52,20.63,19.49,19.64,16.6773,4451742
2009-03-06,19.78,20.44,19.51,20.06,17.034,4519767
2009-03-09,20.03,20.77,19.63,19.68,16.7113,4194075
2009-03-10,20.17,21.51,20.08,21.41,18.1803,5260642
2009-03-11,21.4,21.65,20.2,20.81,17.6709,7235472
2009-03-12,20.68,21.1,19.96,20.43,17.3482,8949463
2009-03-13,20.49,20.5,19.7,20.17,17.1273,5192500
2009-03-16,20.44,20.5,19.21,19.24,16.3376,4912711
2009-03-17,19.39,20.15,19.24,20.12,17.0849,4842792
2009-03-18,19.51,20.42,19.5,20.13,17.0934,4562207
2009-03-19,20.35,20.54,19.79,19.89,16.8896,3812030
2009-03-20,20.01,20.21,19.64,19.78,16.7962,3674275
2009-03-23,20.1,21.22,19.98,21.21,18.0105,4929142
2009-03-24,20.81,20.95,20.11,20.14,17.1019,3942911
2009-03-25,19.69,19.71,18.79,19.25,16.3461,6896701
2009-03-26,19.55,19.83,19.35,19.65,16.6858,4199307
2009-03-27,19.5,19.72,19.09,19.23,16.3291,2346524
2009-03-30,18.95,19,18.47,18.84,15.998,2862653
2009-03-31,19.05,19.18,18.7,18.87,16.0235,3006869
2009-04-01,18.8,19.21,18.41,19.05,16.1763,3042390
2009-04-02,19.41,20.85,19.41,20.07,17.0424,5915209
2009-04-03,20.07,20.27,19.77,20.16,17.1188,3307877
2009-04-06,20.13,20.63,19.8,20.58,17.4755,6314597
2009-04-07,20.23,20.5,19.84,20.03,17.0085,4859591
2009-04-08,20.26,20.45,19.91,20.33,17.2633,2794136
2009-04-09,20.71,21.01,20.61,20.85,17.7048,2860119
2009-04-13,20.69,20.8,20.32,20.56,17.4585,2342004
2009-04-14,20.56,20.82,20.27,20.43,17.3482,2553350
2009-04-15,20.25,20.32,19.8,20.18,17.1358,2681561
2009-04-16,20.44,20.5,19.87,20.16,17.1188,3799344
2009-04-17,20.16,20.16,19.65,19.83,16.8387,5718778
2009-04-20,19.6,20.09,19.13,19.18,16.2867,3637750
2009-04-21,19.28,19.49,18.86,19.25,16.3461,2852098
2009-04-22,18.72,19.57,18.72,18.91,16.0575,3820332
2009-04-23,19.2399,19.31,18.67,19.11,16.2273,2821966
2009-04-24,19.36,19.51,18.87,19.36,16.4396,2083261
2009-04-27,19.53,19.7,19.07,19.23,16.3291,2057578
2009-04-28,18.98,19.33,18.91,19.05,16.1763,2305739
2009-04-29,19.23,20,19.11,19.91,16.9066,4083365
2009-04-30,19.92,20.91,19.91,20.58,17.4755,4825228
2009-05-01,20.8,21.4725,20.45,21.29,18.0785,4188853
2009-05-04,21.01,21.89,21.01,21.8336,18.54,5512151
2009-05-05,21.64,22.33,21.55,21.79,18.503,5212420
2009-05-06,22.13,22.44,21.16,21.65,18.3841,2955584
