Date,Open,High,Low,Close,Adjusted_close,Volume
2012-10-16,49.94,49.94,49.88,49.89,46.5496,30251
2012-10-17,49.88,49.89,49.85,49.88,46.5402,95680
2012-10-18,49.91,49.91,49.842,49.85,46.5122,109179
2012-10-19,49.91,49.96,49.9006,49.93,46.5869,106661
2012-10-22,49.91,49.91,49.89,49.9,46.5588,59465
2012-10-23,49.91,49.91,49.9,49.91,46.568,42587
2012-10-24,49.91,49.91,49.89,49.9,46.5588,47009
2012-10-25,49.84,49.84,49.83,49.84,46.503,77248
2012-10-26,49.89,49.89,49.8744,49.88,46.5402,69045
2012-10-31,49.9,49.91,49.88,49.91,46.568,52961
2012-11-01,49.95,49.96,49.9199,49.96,46.6148,83383
2012-11-02,49.96,49.96,49.95,49.96,46.6148,39262
2012-11-05,49.96,49.96,49.94,49.96,46.6148,42639
2012-11-06,49.99,49.99,49.97,49.98,46.6333,21929
2012-11-07,50,50,49.979,49.99,46.6427,47988
2012-11-08,49.99,50,49.9858,49.99,46.6427,36927
2012-11-09,49.99,49.9944,49.98,49.99,46.6427,33902
2012-11-12,49.99,50,49.9701,50,46.6521,59322
2012-11-13,50,50,49.9611,49.99,46.6427,74771
2012-11-14,49.97,49.97,49.95,49.97,46.6241,58988
2012-11-15,49.98,49.98,49.9666,49.97,46.6241,56377
2012-11-16,49.98,50,49.97,50,46.6521,65946
2012-11-19,50,50.01,49.9858,50,46.6521,39346
2012-11-20,50,50,49.98,49.99,46.6427,66548
2012-11-21,50,50,49.98,50,46.6521,30790
2012-11-23,50.12,50.12,50,50.02,46.6708,24450
2012-11-26,50.05,50.05,50.03,50.038,46.6875,39258
2012-11-27,50.06,50.06,50.03,50.05,46.6988,52071
2012-11-28,50.08,50.08,50.02,50.05,46.6988,50745
2012-11-29,50.05,50.1,50.03,50.1,46.7454,23803
2012-11-30,50.1,50.14,50.071,50.14,46.7828,91934
2012-12-03,50,50.15,50,50.15,46.792,70947
2012-12-04,50.18,50.18,50.1358,50.15,46.792,52238
2012-12-05,50.09,50.2,50.09,50.2,46.8388,48753
2012-12-06,50.19,50.19,50.15,50.19,46.8293,20317
2012-12-07,50.21,50.21,50.17,50.21,46.848,64250
2012-12-10,50.22,50.22,50.1799,50.19,46.8293,83920
2012-12-11,50.19,50.19,50.16,50.17,46.8106,86130
2012-12-12,50.2,50.22,50.18,50.21,46.848,74853
2012-12-13,50.174,50.18,50.16,50.17,46.8106,70625
2012-12-14,50.12,50.15,50.12,50.15,46.792,44425
2012-12-17,50.14,50.14,50.09,50.1,46.7454,90521
2012-12-18,50.09,50.1,50.08,50.1,46.7454,102817
2012-12-19,50.09,50.114,50.07,50.11,46.7548,65902
2012-12-20,50.06,50.11,50.0428,50.09,46.7847,152753
2012-12-21,50.08,50.08,50.0301,50.08,46.7752,58099
2012-12-24,50.07,50.07,50.05,50.07,46.7658,38098
2012-12-26,50.08,50.1,50.069,50.1,46.7938,52756
2012-12-27,50.09,50.11,50.08,50.11,46.8033,89432
2012-12-28,50.12,50.12,50.0769,50.11,46.8033,95820
2012-12-31,50.08,50.12,50.05,50.12,46.8126,85900
2013-01-02,50.09,50.09,50.07,50.09,46.7847,61846
2013-01-03,50.07,50.0899,50.03,50.04,46.738,48861
2013-01-04,50.04,50.04,50,50.02,46.7193,57160
2013-01-07,50,50.05,50,50.05,46.7473,62498
2013-01-08,50.06,50.08,50.05,50.08,46.7752,42110
2013-01-09,50.08,50.13,50.0752,50.13,46.8219,247419
2013-01-10,50.12,50.15,50.1,50.12,46.8126,156365
2013-01-11,50.1,50.1,50.05,50.08,46.7752,81045
2013-01-14,50.09,50.11,50.07,50.11,46.8033,88486
2013-01-15,50.12,50.14,50.1127,50.14,46.8313,101961
2013-01-16,50.11,50.13,50.09,50.13,46.8219,101413
2013-01-17,50.11,50.119,50.089,50.1,46.7938,143613
2013-01-18,50.1,50.11,50.089,50.11,46.8033,95184
2013-01-22,50.1,50.14,50.09,50.14,46.8313,110777
