Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,36.7,38.21,36.13,38.09,38.09,725622
2009-01-05,37.98,38.46,37.38,38.3,38.3,1185346
2009-01-06,38.45,39.24,38.13,39.02,39.02,1418001
2009-01-07,38.32,38.48,36.55,38.04,38.04,867760
2009-01-08,37.31,37.82,36.22,36.49,36.49,2158330
2009-01-09,36.48,36.6,35.51,35.67,35.67,1516126
2009-01-12,35.68,36.66,35.39,36.18,36.18,1125112
2009-01-13,35.91,37.08,35.65,36.91,36.91,1362516
2009-01-14,36.37,36.68,35.85,36.54,36.54,1529805
2009-01-15,36.57,38.81,36.44,38.32,38.32,1788422
2009-01-16,38.72,39.3,38.27,38.67,38.67,1600111
2009-01-20,38.59,39.29,37.7,38.06,38.06,2352354
2009-01-21,38.52,38.58,36.95,38.15,38.15,2086065
2009-01-22,37.97,38.04,36.9104,37.43,37.43,1250853
2009-01-23,37.04,37.04,35.49,36.51,36.51,1824352
2009-01-26,36.96,37.23,36.04,36.85,36.85,2108778
2009-01-27,37.23,38.16,36.07,37.83,37.83,2753776
2009-01-28,38.3,38.53,37.18,38.09,38.09,1322522
2009-01-29,38.16,38.16,36.82,36.94,36.94,968074
2009-01-30,37.02,37.02,35.75,36.17,36.17,1269919
2009-02-02,35.66,36.7,35.28,36.33,36.33,1174887
2009-02-03,34.97,37.3,34.93,37.05,37.05,938968
2009-02-04,37.63,39.98,37.05,39.59,39.59,3772709
2009-02-05,39.39,41.32,38.79,41.06,41.06,2189526
2009-02-06,40.83,41.94,40.76,41.76,41.76,990682
2009-02-09,41.95,41.96,40.9,41.03,41.03,1248335
2009-02-10,40.79,41.51,39.27,39.35,39.35,1496573
2009-02-11,39.12,39.29,38.535,39.14,39.14,1440049
2009-02-12,38.74,40.19,38.23,40.11,40.11,1264720
2009-02-13,40.3,41.24,40.16,40.91,40.91,1294678
2009-02-17,39.89,40.1,39.15,39.21,39.21,1387753
2009-02-18,39.13,39.4,37.2,37.65,37.65,2207049
2009-02-19,38.07,38.58,37.64,37.75,37.75,1037275
2009-02-20,37.5,38.02,36.75,37.36,37.36,1388307
2009-02-23,37.47,37.74,36.32,36.4,36.4,870931
2009-02-24,36.49,37.87,36.49,37.73,37.73,1333395
2009-02-25,37.56,37.7,36.315,36.66,36.66,944004
2009-02-26,36.7,37.02,35.34,35.47,35.47,1234782
2009-02-27,34.95,36.03,34.69,35.22,35.22,1305127
2009-03-02,34.95,35.64,33.47,33.49,33.49,1045273
2009-03-03,33.84,34.5,33.35,33.63,33.63,1218478
2009-03-04,33.99,35.32,33.84,34.85,34.85,1098619
2009-03-05,34.19,34.19,33.2815,33.53,33.53,1236219
2009-03-06,33.4,34.2,32.54,33.24,33.24,1068904
2009-03-09,32.44,32.54,31.28,31.75,31.75,2108863
2009-03-10,32.17,33.7,32.05,33.53,33.53,1962522
2009-03-11,33.77,34.87,32.04,32.16,32.16,2543329
2009-03-12,32.06,32.44,30,30.75,30.75,4929042
2009-03-13,31.15,31.89,30.58,31.62,31.62,2468661
2009-03-16,31.9,32.14,31.64,31.8,31.8,1216869
2009-03-17,31.85,32.95,31.78,32.93,32.93,1966047
2009-03-18,32.49,32.96,32.23,32.39,32.39,1866153
2009-03-19,32.74,33.03,32.12,32.4,32.4,1265290
2009-03-20,32.53,33,31.88,31.99,31.99,1267183
2009-03-23,32.47,33.57,32.32,33.54,33.54,2014242
2009-03-24,33.46,33.46,32.48,32.48,32.48,1127521
2009-03-25,32.63,33.33,31.88,32.62,32.62,1517998
2009-03-26,32.75,34.21,32.66,34.17,34.17,2046655
2009-03-27,33.86,38.78,33.86,37.31,37.31,4949086
2009-03-30,36.67,36.94,35.98,36.39,36.39,1828223
2009-03-31,36.48,37.77,36.32,36.95,36.95,1359394
2009-04-01,36.55,38.38,35.95,38.1,38.1,2266643
2009-04-02,38.53,40.24,38.39,39.14,39.14,1980263
2009-04-03,39.19,39.79,38.63,39.1,39.1,1165665
2009-04-06,38.73,40.01,38.63,39.34,39.34,1356903
2009-04-07,38.77,39.4,38.15,39,39,1270846
2009-04-08,39.07,39.69,38.7,39.6,39.6,905561
2009-04-09,40.38,40.64,39.77,40,40,1185519
2009-04-13,39.67,40,38.97,39.57,39.57,1008718
2009-04-14,39.27,39.4,38.39,38.47,38.47,1074224
2009-04-15,38.39,38.85,37.37,37.99,37.99,1441807
2009-04-16,38.08,39.24,38.08,39,39,1188769
2009-04-17,39,39.72,38.79,39.46,39.46,1133695
2009-04-20,38.84,39.35,37.91,38,38,728037
2009-04-21,37.64,38,36.58,37.31,37.31,1055122
2009-04-22,36.97,37.38,36.4,36.91,36.91,1275044
2009-04-23,34.86,36.02,34.23,35.89,35.89,1911219
2009-04-24,35.9,37.68,35.69,37.52,37.52,1309586
2009-04-27,36.91,38.36,36.79,37.7,37.7,1811203
2009-04-28,40.72,45.35,40.72,43.83,43.83,5851333
2009-04-29,44.21,44.9,42.88,43.88,43.88,2556720
2009-04-30,44.41,45.83,43.82,44.17,44.17,1695764
2009-05-01,44.46,44.81,43.93,44.46,44.46,1143167
2009-05-04,44.62,45.11,43.81,45.11,45.11,1165987
2009-05-05,45.06,45.59,44.725,45.1,45.1,984314
2009-05-06,45.23,45.59,44.18,44.53,44.53,864960
2009-05-07,44.91,45.07,44.04,44.33,44.33,934937
2009-05-08,44.99,45.91,44.15,44.45,44.45,989193
2009-05-11,43.96,44.22,43.07,43.86,43.86,910635
2009-05-12,43.82,44.7,43.72,44.55,44.55,1352313
2009-05-13,43.94,44.65,43.75,44.05,44.05,1343404
2009-05-14,44.06,44.71,43.19,44.22,44.22,1497271
2009-05-15,44.06,44.18,43.13,43.48,43.48,1388245
2009-05-18,43.77,44.23,43.38,44.15,44.15,986524
2009-05-19,44.17,45.22,44.13,44.91,44.91,963524
2009-05-20,45.31,46.12,44.91,45.36,45.36,920622
2009-05-21,44.89,44.89,43.3304,43.66,43.66,850603
2009-05-22,43.6,43.78,43.09,43.19,43.19,583256
2009-05-26,42.8,44.88,42.35,44.88,44.88,789562
2009-05-27,44.88,45.18,44.24,44.3,44.3,806941
2009-05-28,44.21,44.65,43.48,44.01,44.01,749580
2009-05-29,43.94,44.06,42.87,43.32,43.32,1411670
2009-06-01,43.75,44.94,43.61,44.8,44.8,1164107
2009-06-02,44.82,48.65,44.24,48.03,48.03,2792539
2009-06-03,47.8,48.09,46.95,47.78,47.78,2020413
2009-06-04,47.57,47.87,46.21,47,47,1275771
2009-06-05,47.72,47.72,46.61,46.69,46.69,735258
2009-06-08,46.29,46.93,44.85,46.54,46.54,1143972
2009-06-09,46.45,47.04,46.21,46.82,46.82,872495
2009-06-10,47.11,47.44,46.293,46.83,46.83,622167
2009-06-11,46.95,48.53,46.95,48.17,48.17,964633
2009-06-12,47.88,48.36,47.64,48.34,48.34,768891
2009-06-15,48,48,47.23,47.7,47.7,1004661
2009-06-16,48.29,49.2,47.81,47.99,47.99,961918
2009-06-17,48.01,49.26,48.01,48.43,48.43,1545377
2009-06-18,48.43,49.08,48.12,48.75,48.75,763279
2009-06-19,49.16,49.91,48.89,49.07,49.07,1126147
2009-06-22,49.64,50.35,49.14,49.16,49.16,1056305
2009-06-23,49.28,49.555,48.34,48.86,48.86,1286520
2009-06-24,49.05,50.56,49.05,50.43,50.43,1530390
2009-06-25,50.32,51.42,49.51,51.11,51.11,1550731
2009-06-26,50.93,51.15,50.09,50.98,50.98,762835
2009-06-29,50.98,51.575,50.65,51.52,51.52,517953
2009-06-30,51.35,51.72,50.8,51.47,51.47,833373
2009-07-01,51.74,51.74,50.87,51.3,51.3,899870
2009-07-02,50.38,50.68,48.8,49.02,49.02,1285902
2009-07-06,48.95,49.7,48.73,49.62,49.62,877044
2009-07-07,49.33,50.02,49.26,49.84,49.84,1166329
2009-07-08,49.68,50.37,48.19,48.81,48.81,1146080
2009-07-09,49.01,49.3,48.1007,48.56,48.56,532410
2009-07-10,48.62,49.54,48.37,48.94,48.94,702931
2009-07-13,49.1,49.24,47.96,49,49,704444
2009-07-14,48.04,49.18,47.57,48.81,48.81,617916
2009-07-15,49.17,49.69,48.73,49.33,49.33,776005
2009-07-16,49.35,50.46,49.25,49.96,49.96,940707
2009-07-17,49.93,50.33,49.4,50.28,50.28,600796
2009-07-20,50.44,50.8,50.31,50.77,50.77,669744
2009-07-21,51.28,52.17,50.955,51.5,51.5,485509
2009-07-22,51.39,51.82,51.01,51.16,51.16,517364
2009-07-23,51.51,52.42,51.31,51.5,51.5,894856
2009-07-24,51.18,51.9,51.02,51.86,51.86,604281
2009-07-27,52.01,53.32,51.7,52.44,52.44,946450
2009-07-28,49.4,51.6,48.63,50.88,50.88,2760393
2009-07-29,51.49,51.76,50.09,50.76,50.76,1550266
2009-07-30,51.25,51.45,50.29,50.44,50.44,753231
2009-07-31,50.74,51.28,49.93,50.25,50.25,787586
2009-08-03,50.59,51.98,50.13,51.96,51.96,813786
2009-08-04,51.55,52.39,51.53,51.99,51.99,684263
2009-08-05,51.88,52.12,50.9,51.32,51.32,550423
2009-08-06,51.57,51.69,50.2402,50.77,50.77,508077
2009-08-07,51.47,51.76,51.11,51.28,51.28,413952
2009-08-10,51.02,51.83,50.82,51.76,51.76,348691
2009-08-11,51.71,51.83,51.36,51.59,51.59,909993
2009-08-12,51.55,52.45,50.68,51.68,51.68,646005
2009-08-13,51.68,52.95,51.24,52.59,52.59,927866
2009-08-14,52.63,52.81,51.08,51.31,51.31,964590
2009-08-17,51.14,51.23,50.32,50.39,50.39,768387
2009-08-18,50.36,50.54,49.65,49.92,49.92,900890
2009-08-19,49.65,50.45,49.44,50.29,50.29,650158
2009-08-20,50.39,50.566,50.11,50.38,50.38,553996
2009-08-21,50.77,52.144,50.33,51.8,51.8,978587
2009-08-24,52.02,52.02,51.38,51.48,51.48,586687
2009-08-25,51.61,52.74,51.5,52.23,52.23,956724
2009-08-26,51.94,52.86,51.93,52.17,52.17,420200
2009-08-27,52.09,52.22,51.33,51.73,51.73,647364
2009-08-28,51.85,51.98,50.55,50.96,50.96,515184
2009-08-31,51.02,51.59,49.95,50.28,50.28,911275
2009-09-01,50.21,51.57,49.924,50.33,50.33,1002174
2009-09-02,50.1,50.68,49.34,50.33,50.33,860615
2009-09-03,50.36,50.57,49.55,50.34,50.34,863856
2009-09-04,50.47,50.78,49.52,50.76,50.76,586469
2009-09-08,51,52.33,50.64,51.87,51.87,1033730
2009-09-09,52.25,53.69,52.08,53.34,53.34,1167421
2009-09-10,53.48,54.48,52.99,54.46,54.46,1008575
2009-09-11,54.51,55.325,54.12,54.61,54.61,981765
2009-09-14,54.66,54.95,54.0906,54.4,54.4,741377
2009-09-15,54.32,54.4,53.5,53.64,53.64,871081
2009-09-16,53.63,54.87,53.44,54.81,54.81,660316
2009-09-17,54.75,56.09,54.64,55.59,55.59,1023670
