Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,12.94,13.89,12.71,13.76,13.76,772701
2009-01-05,13.81,14.07,13.44,13.72,13.72,613468
2009-01-06,13.97,14.99,13.52,14.85,14.85,693087
2009-01-07,14.8,14.89,13.51,13.9,13.9,989623
2009-01-08,13.96,14.33,13.6101,14.25,14.25,999429
2009-01-09,14.29,14.29,13.14,13.66,13.66,623358
2009-01-12,13.71,13.8,13.21,13.45,13.45,714054
2009-01-13,13.3,13.78,12.72,13.22,13.22,732253
2009-01-14,13.08,13.08,12.17,12.43,12.43,501980
2009-01-15,12.12,12.37,11.32,11.94,11.94,614932
2009-01-16,12.01,12.16,11.34,11.63,11.63,621719
2009-01-20,11.57,11.57,10.5,10.58,10.58,501523
2009-01-21,10.88,11.69,10.64,11.63,11.63,821019
2009-01-22,11.44,12.35,11.38,11.97,11.97,497934
2009-01-23,11.76,12.2786,11.34,12.03,12.03,245925
2009-01-26,13.31,14.62,13.31,13.76,13.76,2160511
2009-01-27,13.85,14.8,13.83,14.58,14.58,821627
2009-01-28,14.75,15.84,14.65,15.44,15.44,650794
2009-01-29,15.05,15.51,14.94,15.06,15.06,507599
2009-01-30,15.09,15.33,14.65,14.78,14.78,695033
2009-02-02,14.58,15.89,14.29,15.78,15.78,1012627
2009-02-03,15.76,15.98,15.21,15.63,15.63,729759
2009-02-04,15.63,15.9,14.76,14.98,14.98,795926
2009-02-05,15.33,15.75,14.49,15.68,15.68,352542
2009-02-06,15.63,16.32,15.38,16.18,16.18,429883
2009-02-09,16.2,16.82,16.1032,16.46,16.46,374069
2009-02-10,16.05,16.33,15.01,15.21,15.21,357260
2009-02-11,15.3,15.56,14.97,15.26,15.26,239275
2009-02-12,15,15.53,14.7,15.49,15.49,270617
2009-02-13,15.57,15.72,15.18,15.57,15.57,409049
2009-02-17,15.07,15.22,14.47,14.5,14.5,403486
2009-02-18,14.49,14.52,13.97,14.05,14.05,332821
2009-02-19,14.12,14.69,13.92,14.05,14.05,363657
2009-02-20,10.94,11.72,10.63,11.05,11.05,1842969
2009-02-23,11.1,11.35,9.43,9.5,9.5,1711094
2009-02-24,9.54,10.44,9.45,10.34,10.34,607887
2009-02-25,10.35,10.38,9.52,9.57,9.57,573301
2009-02-26,9.66,9.82,8.72,8.76,8.76,1188126
2009-02-27,8.57,9.24,8.26,9.03,9.03,1177584
2009-03-02,8.93,8.94,7.44,7.54,7.54,1001706
2009-03-03,8.36,8.36,7.19,7.47,7.47,1414007
2009-03-04,7.52,7.72,6.91,7.52,7.52,1046960
2009-03-05,7.39,7.54,6.4,6.51,6.51,937988
2009-03-06,6.5,6.86,6.38,6.64,6.64,1007545
2009-03-09,6.61,6.95,6.23,6.23,6.23,524099
2009-03-10,6.34,7.16,6.23,7,7,783047
2009-03-11,7.05,7.17,6.74,6.85,6.85,547058
2009-03-12,6.86,8,6.65,7.94,7.94,781812
2009-03-13,7.92,8.38,7.7,8.37,8.37,594285
2009-03-16,8.62,8.66,8.01,8.04,8.04,483856
2009-03-17,8.26,9,7.76,8.99,8.99,772401
2009-03-18,8.93,10.69,8.88,10.15,10.15,874991
2009-03-19,10.6,10.6,9.4,9.57,9.57,647025
2009-03-20,9.61,9.77,8.7802,9.04,9.04,514416
2009-03-23,9.47,10.49,9.24,10.45,10.45,535799
2009-03-24,10.28,11.49,10.09,10.56,10.56,2132492
2009-03-25,10.62,11.29,10.62,11.23,11.23,703053
2009-03-26,11.35,12.14,11.32,11.74,11.74,820167
2009-03-27,11.56,12.04,11.34,11.58,11.58,581225
2009-03-30,11.25,11.25,10.5101,10.97,10.97,411006
2009-03-31,11.18,11.81,11.18,11.25,11.25,441417
2009-04-01,10.95,11.88,10.86,11.82,11.82,416487
2009-04-02,12.58,12.74,12.06,12.59,12.59,516553
2009-04-03,12.62,13.13,11.85,12.11,12.11,392988
2009-04-06,12.03,12.79,11.68,12.76,12.76,634195
2009-04-07,12.12,13.62,12.12,13.21,13.21,596701
2009-04-08,13.28,13.5,12.09,12.43,12.43,733550
2009-04-09,12.74,13.66,12.62,13.35,13.35,579570
2009-04-13,13.55,13.97,13.0401,13.86,13.86,450249
2009-04-14,13.72,14.24,13.38,13.96,13.96,558022
2009-04-15,13.94,14.4,13.57,13.92,13.92,481950
2009-04-16,13.93,14.41,13.35,13.81,13.81,797565
2009-04-17,13.79,14.9,13.65,14.53,14.53,805435
2009-04-20,14.37,14.53,13.44,13.46,13.46,496929
2009-04-21,13.37,13.92,13.18,13.9,13.9,393874
2009-04-22,13.78,14.57,13.53,14.21,14.21,359431
2009-04-23,14.26,14.4,13.3245,13.59,13.59,661997
2009-04-24,13.59,14.11,13.05,13.34,13.34,814555
2009-04-27,13.23,13.875,12.97,13.56,13.56,466320
2009-04-28,13.36,14.42,13.36,13.94,13.94,546711
2009-04-29,14.035,14.69,13.64,14.45,14.45,673314
2009-04-30,14.575,15.33,14.45,15.01,15.01,675705
2009-05-01,15,15.5699,14.9,15.23,15.23,433388
