Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,31.52,31.67,30.78,31,12.5725,640472
2009-01-05,30.87,31.77,30.74,31.05,12.5929,596122
2009-01-06,31.12,31.66,30.45,30.65,12.4306,629624
2009-01-07,30.17,30.42,29.56,30.09,12.2034,546892
2009-01-08,30,31.12,30,30.99,12.5685,547743
2009-01-09,31.03,31.34,29.94,30.09,12.2034,504985
2009-01-12,30.12,30.12,29.23,29.53,11.9765,642345
2009-01-13,29.53,29.78,28.71,28.91,11.7249,697345
2009-01-14,28.59,28.91,26.47,26.7,10.8287,1485888
2009-01-15,26.31,27.68,25.97,27.52,11.1612,693973
2009-01-16,27.84,28.21,26.69,28.11,11.4005,1081558
2009-01-20,28.09,28.17,26.7,26.99,10.9462,904024
2009-01-21,27.34,27.99,26.77,27.89,11.3111,685423
2009-01-22,27.29,28.72,27.27,28.36,11.5018,1677353
2009-01-23,27.58,28.38,27.49,27.75,11.2545,1640913
2009-01-26,27.81,29.0999,27.72,28.74,11.6559,1435936
2009-01-27,28.79,29.85,28.74,29.09,11.7979,1512100
2009-01-28,29.38,30.51,29.3,30.09,12.2034,1774207
2009-01-29,29.72,30.18,29.22,29.47,11.9519,562959
2009-01-30,29.63,29.98,28.85,29.02,11.7697,931250
2009-02-02,28.45,28.84,27.35,28.11,11.4005,1704503
2009-02-03,27.93,28.27,27.28,28.14,11.4126,1062069
2009-02-04,28.14,28.82,27.74,28.03,11.3681,798538
2009-02-05,27.91,28.27,27.35,27.84,11.2909,900984
2009-02-06,27.82,28.1,27.33,27.63,11.2058,1033291
2009-02-09,27.53,27.62,26.12,26.9,10.91,1491735
2009-02-10,26.73,28.72,26.73,27.13,11.003,2635139
2009-02-11,27.49,28.12,26.2,26.3,10.6664,1217165
2009-02-12,26.01,26.51,25.26,26.3,10.6664,1561137
2009-02-13,26.4,26.76,26.14,26.52,10.7555,874304
2009-02-17,25.52,26.54,25.38,26.11,10.5893,915162
2009-02-18,26.18,26.26,25.36,25.47,10.3297,870750
2009-02-19,25.39,25.98,25.36,25.42,10.3095,911484
2009-02-20,25.25,25.77,24.79,25.44,10.3177,1050320
2009-02-23,25.53,25.62,24.82,24.88,10.0905,924737
2009-02-24,25.14,25.28,24.48,25.07,10.1677,781709
2009-02-25,24.89,25.13,24.06,24.41,9.8998,655213
2009-02-26,24.61,24.82,23.73,23.83,9.6644,689732
2009-02-27,23.57,24.33,23.22,23.84,9.6688,1051295
2009-03-02,23.45,23.8,22.94,23.45,9.5105,972482
2009-03-03,23.42,23.68,22.2,22.22,9.0116,1119680
2009-03-04,22.44,22.75,21.83,22.01,8.9265,941909
2009-03-05,21.59,22.01,21.07,21.54,8.7357,989033
2009-03-06,21.75,22.379,21.37,21.87,8.8697,1145237
2009-03-09,21.72,22.03,20.76,20.92,8.4845,926986
2009-03-10,21.24,21.5,20.515,21.48,8.7115,1217916
2009-03-11,21.5,21.97,21.12,21.47,8.7075,724452
2009-03-12,21.51,22.77,21.31,22.63,9.1779,866467
2009-03-13,22.7,22.76,22.2725,22.64,9.1819,667407
2009-03-16,22.91,23.04,22.39,22.47,9.1131,730172
2009-03-17,22.51,23.28,22.32,23.28,9.4415,453087
2009-03-18,23.25,24.07,22.79,23.7,9.6119,567801
2009-03-19,23.81,24.01,23.36,23.95,9.7131,785353
2009-03-20,24.04,24.68,23.76,23.76,9.6361,1007117
2009-03-23,23.99,25.25,23.71,25.25,10.2406,916855
2009-03-24,25.04,25.37,24.46,24.5,9.9364,800547
2009-03-25,24.76,25.42,24.05,24.74,10.0337,704578
2009-03-26,25.05,26.07,24.68,26.07,10.5731,1135779
2009-03-27,25.75,25.96,25.24,25.32,10.2689,442075
2009-03-30,24.86,24.91,24.41,24.83,10.0701,484563
2009-03-31,25.06,26.05,24.88,25.7,10.4231,841609
2009-04-01,25.38,25.61,24.48,25.54,10.3582,725808
2009-04-02,26.04,27.3,25.78,26.8,10.8691,747896
2009-04-03,26.87,27.62,26.7,27.62,11.2017,746533
2009-04-06,27.34,27.79,27.2,27.46,11.1368,800763
2009-04-07,27.2,27.52,26.79,27.04,10.9665,515900
2009-04-08,27.2,27.49,26.84,26.96,10.9342,625592
2009-04-09,27.34,27.34,26.92,27.06,10.9745,921325
2009-04-13,26.88,27,26.25,26.89,10.9057,608909
2009-04-14,26.62,26.81,26.25,26.67,10.8163,822017
2009-04-15,26.67,27.46,26.67,27.18,11.0234,360925
2009-04-16,27.37,27.57,26.91,27.38,11.1045,714823
2009-04-17,27.42,27.74,26.775,26.93,10.9218,988102
2009-04-20,26.62,26.72,26.15,26.54,10.7638,606956
2009-04-21,26.22,26.74,25.78,26.25,10.6461,857022
2009-04-22,27.5,27.5,26,26.08,10.5772,1722178
2009-04-23,26.21,26.21,25.3,25.59,10.3783,842533
2009-04-24,25.77,26.02,25.47,25.68,10.4149,983480
2009-04-27,25.37,26.06,25.13,25.63,10.3945,1016550
2009-04-28,25.4,26.16,25.21,25.74,10.4393,653764
2009-04-29,25.92,26.94,25.77,25.93,10.5162,1545743
2009-04-30,26.07,26.47,25.7,25.78,10.4555,1365376
2009-05-01,25.75,25.93,25.19,25.55,10.3621,666285
2009-05-04,25.81,25.81,25.1,25.69,10.4189,896821
2009-05-05,25.69,25.71,25.05,25.19,10.2162,820241
2009-05-06,25.42,25.59,24.69,24.95,10.1189,825636
2009-05-07,25.01,25.01,24.4,24.54,9.9526,698369
2009-05-08,24.79,25.64,24.66,25.57,10.3704,862253
2009-05-11,25.25,25.52,25.03,25.18,10.2123,528149
2009-05-12,25.21,25.45,24.48,24.77,10.0458,479773
2009-05-13,24.43,24.46,23.99,24.06,9.758,568077
2009-05-14,24.05,24.85,24,24.77,10.0458,636711
2009-05-15,24.71,24.82,24.19,24.42,9.9039,502012
2009-05-18,24.59,25.17,24.37,25.17,10.2082,597888
2009-05-19,25.03,25.59,24.65,25.51,10.3459,796177
2009-05-20,25.69,26.02,25.24,25.26,10.2446,732696
2009-05-21,25.01,25.27,24.7701,25.05,10.1593,587645
2009-05-22,25.09,25.36,24.91,25.07,10.1677,666503
2009-05-26,24.84,26.15,24.76,25.95,10.5245,713545
2009-05-27,25.79,25.88,25.15,25.33,10.273,597102
2009-05-28,25.55,25.76,24.96,25.59,10.3783,477379
2009-05-29,25.55,25.59,25.14,25.4,10.3013,642875
2009-06-01,25.73,26.63,25.52,26.63,10.8002,576406
2009-06-02,26.45,26.75,26.01,26.12,10.5933,839732
2009-06-03,26.02,26.24,25.71,26.15,10.6055,621311
2009-06-04,26.25,26.46,25.94,26.33,10.6786,494782
2009-06-05,26.68,26.81,26.3,26.62,10.7961,584262
2009-06-08,26.56,26.81,26.19,26.74,10.8449,591528
2009-06-09,26.82,26.85,26.39,26.63,10.8002,415820
2009-06-10,26.7,26.78,25.94,26.34,10.6827,682505
2009-06-11,26.5,26.99,26.43,26.52,10.7555,535242
2009-06-12,26.47,26.62,26.17,26.6,10.7879,422986
2009-06-15,26.31,26.32,25.65,26.01,10.5489,489382
2009-06-16,26.24,26.28,25.66,25.73,10.4353,433838
2009-06-17,25.63,26.02,25.52,25.78,10.4555,527871
2009-06-18,25.69,26.31,25.61,26.15,10.6055,345630
2009-06-19,26.41,26.5,25.76,25.83,10.4758,754962
2009-06-22,25.67,25.86,24.84,24.84,10.0741,855876
2009-06-23,24.95,25.04,24.68,24.88,10.0905,744542
2009-06-24,25.06,25.17,24.78,25.04,10.1553,727728
2009-06-25,24.95,25.99,24.82,25.96,10.5286,1049209
2009-06-26,25.91,26.27,24.33,24.4,9.8958,8217053
2009-06-29,24.54,25.67,24.54,25.64,10.3987,1512153
2009-06-30,25.61,25.93,25.61,25.91,10.5083,920696
2009-07-01,25.9,26.2,25.74,26.02,10.5528,541206
2009-07-02,25.79,26.02,25.51,25.66,10.4068,450005
2009-07-06,25.48,25.715,25.31,25.51,10.3459,340948
2009-07-07,25.57,25.83,25.32,25.43,10.3135,642159
2009-07-08,25.47,25.66,24.84,25.22,10.2284,794946
2009-07-09,25.25,25.25,24.5,24.76,10.0418,887865
2009-07-10,24.85,25.31,24.43,25.26,10.2446,820539
2009-07-13,25.42,25.86,25.26,25.74,10.4393,695484
2009-07-14,25.69,25.82,25.57,25.81,10.4677,328702
2009-07-15,26.03,26.29,25.82,26.25,10.6461,505107
2009-07-16,26.11,26.69,25.94,26.62,10.7961,490295
2009-07-17,26.62,27.34,26.37,26.55,10.7677,562847
2009-07-20,26.62,27.08,26.52,26.81,10.8733,495791
2009-07-21,26.79,27.15,26.58,27.11,10.9949,605260
2009-07-22,27.14,28.81,27.06,28.49,11.5547,1779475
2009-07-23,28.45,28.77,28.3,28.73,11.6518,652649
2009-07-24,28.67,29.06,28.3,28.68,11.6317,719628
2009-07-27,28.63,28.77,28.41,28.59,11.5951,238796
2009-07-28,28.46,28.88,28.31,28.78,11.6722,417965
2009-07-29,28.61,28.88,28.48,28.8,11.6803,361598
2009-07-30,29.09,29.09,28.41,28.45,11.5383,641612
2009-07-31,28.35,28.725,28.18,28.21,11.4409,389366
2009-08-03,28.29,28.4,27.8,27.96,11.3395,434929
2009-08-04,27.93,28.2,27.87,28.07,11.3843,478648
2009-08-05,28.02,28.09,27.73,27.84,11.2909,427978
2009-08-06,27.87,27.9,27.39,27.52,11.1612,245432
2009-08-07,27.88,27.95,27.6,27.78,11.2667,202794
2009-08-10,27.56,27.91,27.42,27.86,11.2991,235137
2009-08-11,27.74,27.82,27.3501,27.67,11.2221,273668
2009-08-12,27.54,28.5,27.4,28.21,11.4409,395102
2009-08-13,28.39,28.59,27.84,28.11,11.4005,264198
2009-08-14,28,28.12,27.45,27.6,11.1936,284521
2009-08-17,27.38,27.5,26.95,27.21,11.0355,626995
2009-08-18,27.43,28.99,26.83,27.1,10.9908,498948
2009-08-19,26.91,27.48,26.81,27.36,11.0963,305983
2009-08-20,27.45,27.68,27.26,27.65,11.2139,148095
2009-08-21,27.74,28.42,27.68,28.13,11.4085,347148
2009-08-24,28.13,28.34,27.98,28.29,11.4734,371822
2009-08-25,28.4,28.49,27.83,27.97,11.3436,310325
2009-08-26,27.98,27.98,27.51,27.74,11.2503,318091
2009-08-27,27.6,27.63,27.13,27.45,11.1329,631932
2009-08-28,27.7,27.7,27.2,27.53,11.1652,495353
2009-08-31,27.42,27.49,27.14,27.35,11.0921,266325
2009-09-01,27.19,27.8,27.01,27.18,11.0234,318454
2009-09-02,27.06,27.28,26.82,27.03,10.9625,316589
2009-09-03,27.08,27.39,26.7,27.39,11.1084,334501
2009-09-04,27.33,27.42,27.08,27.41,11.1166,162640
2009-09-08,27.66,27.66,27.18,27.46,11.1368,429336
2009-09-09,27.44,28.16,27.41,27.9,11.3154,457790
2009-09-10,27.76,28.07,27.74,28.05,11.3759,395792
2009-09-11,28.13,28.3,28.04,28.19,11.4328,307427
2009-09-14,28.12,29.04,28.1,28.95,11.741,509659
2009-09-15,28.88,29.19,28.83,29.08,11.7938,505360
2009-09-16,29.22,30.02,29.1,30,12.167,700910
2009-09-17,30,30.27,29.66,29.71,12.0495,309508
2009-09-18,29.76,29.94,29.58,29.68,12.0371,391612
2009-09-21,29.55,29.7,29.24,29.51,11.9681,310887
2009-09-22,29.81,29.81,29.06,29.3,11.8831,376001
2009-09-23,29.35,29.45,29.09,29.09,11.7979,303821
2009-09-24,29.18,29.24,28.2,28.52,11.5667,490046
2009-09-25,28.41,28.46,27.95,28.07,11.3843,242510
2009-09-28,28.1,28.64,28.07,28.64,11.6154,269084
