Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,11.6,12.39,11.49,12.33,10.0311,2554971
2009-01-05,12.2,12.67,11.881,12.02,9.7792,3314687
2009-01-06,12.21,14.45,12.09,14.32,11.6503,8264742
2009-01-07,13.85,14.13,13.36,13.52,10.9994,7163951
2009-01-08,13.3,13.7,13,13.64,11.0969,3911027
2009-01-09,13.6,14.25,13.02,14,11.3901,5056245
2009-01-12,14.04,14.04,13.1,13.37,10.8774,5130644
2009-01-13,13.23,13.66,12.84,13.05,10.617,6134780
2009-01-14,13,13,12.11,12.21,9.9338,4783772
2009-01-15,12.49,13.14,12.13,12.99,10.5682,6482575
2009-01-16,13.41,13.64,12.77,13.31,10.8287,3933649
2009-01-20,13.1,13.16,12.02,12.04,9.7954,3503344
2009-01-21,12.41,12.93,12.18,12.9,10.495,4341812
2009-01-22,12.75,12.76,12.09,12.35,10.0474,4011947
2009-01-23,12.06,13.48,12.01,13,10.5764,4314820
2009-01-26,12.97,13.6,12.64,12.98,10.5601,4451539
2009-01-27,12.97,13.6,12.86,13.55,11.0238,4185876
2009-01-28,13.85,14.66,13.7605,14.4,11.7153,5157999
2009-01-29,15,16.6,14.5,15.75,12.8135,11758565
2009-01-30,15.89,15.95,14.54,14.68,11.9434,6372176
2009-02-02,14.36,15.73,14.3,15.52,12.6266,5484288
2009-02-03,15.53,15.55,14.9,15.28,12.4314,4783411
2009-02-04,15.24,17.37,15.24,16.85,13.7084,10868015
2009-02-05,16.51,17.8,16.51,16.98,13.8144,7010749
2009-02-06,16.99,18.1,16.94,17.91,14.571,4503639
2009-02-09,17.63,17.69,17.01,17.21,14.0014,5278102
2009-02-10,17.81,18.03,16.4,16.55,13.4645,7748223
2009-02-11,16.55,17.11,16.2,16.69,13.5784,5652510
2009-02-12,16.26,17.26,16.06,17.08,13.8952,5329889
2009-02-13,17.05,17.09,16.53,16.68,13.5702,3245462
2009-02-17,16.08,16.86,15.395,15.64,12.7242,5278626
2009-02-18,15.81,16.27,15.5,15.67,12.7484,4772438
2009-02-19,15.84,15.95,14.4,14.54,11.8292,6186700
2009-02-20,14.24,14.78,14.13,14.55,11.8373,5598693
2009-02-23,14.66,14.72,13.73,13.79,11.2191,5118898
2009-02-24,13.94,14.45,13.52,14.35,11.6745,6529702
2009-02-25,14.28,14.91,13.65,14.55,11.8373,5880159
2009-02-26,14.7,14.91,13.4,13.47,10.9586,6092084
2009-02-27,13.03,14.13,12.95,13.66,11.1134,5511471
2009-03-02,13.28,13.57,12.64,12.7,10.3325,6143260
2009-03-03,12.99,13.98,12.93,13.65,11.1048,8029003
2009-03-04,13.9,15.2825,13.79,14.96,12.1709,9956642
2009-03-05,14.58,15.15,14.33,14.5,11.7965,6453981
2009-03-06,14.34,15.38,14.28,14.55,11.8373,9208465
2009-03-09,14.41,15.39,14.41,15.06,12.2522,7080983
2009-03-10,15.44,16.21,15.35,16.01,13.0254,5996964
2009-03-11,16.1,16.78,15.81,16.57,13.4806,4309740
2009-03-12,16.23,17.29,16.23,17.19,13.985,4348174
2009-03-13,17.2,17.63,16.99,17.21,14.0014,4331532
2009-03-16,17.44,17.45,16.39,16.71,13.5945,4574360
2009-03-17,16.65,17.12,16.2,17.12,13.9282,3479721
2009-03-18,17.1,17.88,16.78,17.62,14.3349,5316741
2009-03-19,17.63,18,17.3,17.84,14.514,3804915
2009-03-20,17.97,18.186,16.82,17.29,14.0663,5587598
2009-03-23,17.58,18.91,17.56,18.87,15.3522,5010608
2009-03-24,18.49,19.85,18.41,19.13,15.5633,4811646
2009-03-25,19.84,20.25,18.37,19.02,15.474,8366375
2009-03-26,19.73,19.73,19.02,19.37,15.7588,6703615
2009-03-27,19.01,19.995,19.01,19.5,15.8645,4354949
2009-03-30,19.15,19.3,18.14,18.96,15.4254,5644284
2009-03-31,19.24,19.81,18.83,19.34,15.7342,5558447
2009-04-01,18.94,19.99,18.6,19.91,16.198,6377267
2009-04-02,20.05,20.87,20,20.09,16.3444,6156006
2009-04-03,20.08,21.34,20.08,21.3,17.3288,5156772
2009-04-06,20.86,20.9,20.1,20.65,16.8,4343217
2009-04-07,20.33,20.75,20.12,20.25,16.4747,3177025
2009-04-08,20.83,21.29,20.65,21.25,17.2883,4663720
2009-04-09,21.43,22.3,21.32,22.11,17.9879,4508239
2009-04-13,21.88,21.96,20.87,21.34,17.3615,5591579
2009-04-14,20.96,21.47,20.712,21.04,17.1175,5130344
2009-04-15,20.84,21.37,20.65,21.26,17.2963,4773520
2009-04-16,21.64,22.27,21.28,22.15,18.0202,5415580
2009-04-17,22.24,22.6,21.86,22.42,18.2402,4030533
2009-04-20,21.82,22.15,20.52,21.12,17.1825,5107500
2009-04-21,21.03,21.83,20.79,21.68,17.6382,4081952
2009-04-22,21.3,22.61,21.3,22.11,17.9879,4011300
2009-04-23,22.15,22.37,21.24,21.79,17.7274,4365733
2009-04-24,22.25,22.49,19.5,21.16,17.2149,10732477
2009-04-27,20.67,22.4,20.39,21.78,17.7192,6533968
2009-04-28,21.45,21.83,20.52,21.13,17.1909,5486919
2009-04-29,21.29,22.425,21.27,22.05,17.9392,4270386
2009-04-30,22.27,24.4,22.07,23.52,19.135,7836923
2009-05-01,23.56,23.77,22.63,23.39,19.0292,4484939
2009-05-04,23.75,24.68,23.35,24.26,19.7371,4740338
2009-05-05,24.16,24.51,23.69,24.42,19.8671,4889627
2009-05-06,24.69,24.83,23.79,24.63,20.0382,4158919
2009-05-07,24.87,24.95,22.99,23.4,19.0375,5415652
2009-05-08,23.73,24.24,22.75,23.71,19.2894,4334131
2009-05-11,23.47,23.59,22.76,23.15,18.834,3432148
2009-05-12,23.37,23.48,21.9,22.36,18.1912,4216787
2009-05-13,22.08,22.67,21.8504,22.5,18.3054,5623018
2009-05-14,22.58,23.16,22.2,22.97,18.6877,3413602
2009-05-15,22.97,23.33,22.78,23.16,18.8423,3643828
2009-05-18,23.35,23.72,22.82,23.7,19.2813,3611558
2009-05-19,23.57,24.85,23.2,24.46,19.8997,3474663
2009-05-20,24.63,25.11,24.03,24.14,19.6395,3682675
2009-05-21,24.06,24.72,23.7,24.36,19.8183,3427900
2009-05-22,24.95,25.25,24.35,24.48,19.916,6117585
2009-05-26,24.38,25.075,24.14,25,20.3392,6148601
2009-05-27,25.03,25.68,24.72,24.81,20.1847,4923803
2009-05-28,25.51,25.51,23.98,24.58,19.9975,5463965
2009-05-29,24.66,25.23,24.45,24.85,20.2171,4999460
2009-06-01,24.88,26,24.88,25.91,21.0798,6162844
2009-06-02,25.74,25.74,23.97,24.35,19.8105,8072626
2009-06-03,24.18,24.37,22.99,23.4,19.0375,5113484
2009-06-04,23.44,24.24,23.44,23.97,19.5012,6337637
2009-06-05,24.195,24.4,23.08,23.68,19.2652,4411778
2009-06-08,23.3,23.95,23.08,23.81,19.3712,3293815
2009-06-09,24.03,25.12,23.86,24.92,20.2741,4531493
2009-06-10,25.4,25.45,23.97,24.56,19.9809,3332976
2009-06-11,24.64,25.58,24.62,25.44,20.6971,4696347
2009-06-12,25.34,25.34,24.5,25.14,20.453,3101004
2009-06-15,24.9,25.1102,24.62,24.87,20.2334,2401153
2009-06-16,24.92,25.04,24.02,24.07,19.5828,4462082
2009-06-17,24.12,24.9,23.75,24.44,19.8835,4405250
2009-06-18,24.39,24.8,24.07,24.64,20.0463,3826237
2009-06-19,24.85,25.52,24.62,25.42,20.6805,4810314
2009-06-22,25.1,25.61,24.33,24.33,19.7941,3774304
2009-06-23,24.44,25.18,24.01,25,20.3392,3552623
2009-06-24,25.24,25.82,25.09,25.76,20.9571,4878607
2009-06-25,25.69,26.18,25.3101,25.58,20.8109,6415214
2009-06-26,25.41,26.95,25.33,26.75,21.7628,5796804
2009-06-29,27.09,27.09,26.28,26.49,21.5512,5680691
2009-06-30,26.66,26.82,25.95,26.5,21.5596,49659798
2009-07-01,26.59,27.5,26.56,26.8,21.8036,5896795
2009-07-02,26.47,27,25.59,26.22,21.3317,4831767
2009-07-06,26.59,26.61,25.53,26.36,21.4454,6420799
2009-07-07,26.37,26.56,24.89,24.99,20.3311,5955732
2009-07-08,25.13,25.39,24.68,25.15,20.461,6317085
2009-07-09,25.26,25.855,25.12,25.68,20.8922,3274272
2009-07-10,24.98,25.68,24.97,25.37,20.6402,4904783
2009-07-13,25.5,26.5,25.2,26.47,21.5351,5299000
