Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,42.32,42.32,39.65,39.77,22.4272,1549026
2009-01-05,39.75,40.22,38.44,38.64,21.7899,1777146
2009-01-06,38.69,40.34,38.21,40.08,22.602,1987107
2009-01-07,39.66,40.289,38.54,39.07,22.0324,1804866
2009-01-08,38.92,38.92,37.67,37.91,21.3782,1450509
2009-01-09,38.12,39.12,36.91,37.1,20.9215,2506130
2009-01-12,37.03,37.33,35.67,36.12,20.3686,2320005
2009-01-13,36.01,37.74,35.4,37.34,21.0571,1845022
2009-01-14,36.42,37.14,35.64,35.79,20.1829,2265708
2009-01-15,35.67,38.21,34.81,37.35,21.0624,2307669
2009-01-16,37.61,39.49,37.43,39.34,22.1846,2789911
2009-01-20,39.07,39.24,35.67,35.73,20.149,2926672
2009-01-21,36.43,38.87,35.39,38.01,21.4348,3060026
2009-01-22,37.53,38.66,36.48,37.08,20.9102,2668520
2009-01-23,37.69,38.62,36.44,38.56,21.7449,2895264
2009-01-26,38.63,39.33,37.81,38.54,21.7336,1718698
2009-01-27,38.76,39.46,38.29,38.85,21.9085,1451773
2009-01-28,39.19,41.88,39.11,41.65,23.4874,2983560
2009-01-29,41.6,41.6,37,37,20.8652,18368013
2009-01-30,37.61,38.47,36.63,37.81,21.3219,7800404
2009-02-02,37.1,38.75,36.45,38.6,21.7673,2618974
2009-02-03,38.93,38.95,37.6,38.02,21.4403,2163245
2009-02-04,38.21,38.57,36.65,36.94,20.8312,2401117
2009-02-05,36.02,36.64,35.09,35.64,20.4751,3437593
2009-02-06,35.79,37.74,35.384,37.59,21.5957,3111378
2009-02-09,37.69,37.73,36.5,37.52,21.5553,1538876
2009-02-10,37.04,37.52,34.57,34.65,19.9063,3643334
2009-02-11,34.93,35.71,34.22,35.1,20.1647,3288872
2009-02-12,34.26,34.66,31.91,33.98,19.5214,4331481
2009-02-13,33.78,33.97,32.2,32.24,18.5216,2840383
2009-02-17,31.66,32.09,31.012,31.32,17.9934,3639033
2009-02-18,31.98,32.29,30.82,31.62,18.1657,2458214
2009-02-19,31.99,32.49,29.63,29.92,17.189,2665092
2009-02-20,29.76,32.71,28.45,32.6,18.7286,5222146
2009-02-23,33,33.17,30.91,31.11,17.8724,4403410
2009-02-24,31.08,33.62,30.89,33.45,19.2168,4188137
2009-02-25,32.9,33.92,31.49,32.77,18.8264,3539215
2009-02-26,33.27,33.77,31.18,31.56,18.1309,4327020
2009-02-27,30.57,32.32,30.57,30.77,17.6775,4470554
2009-03-02,29.77,30.35,28.61,28.83,16.5628,4464526
2009-03-03,29.08,30.17,28.01,29.41,16.8961,4107354
2009-03-04,29.96,30.25,28.82,29.56,16.9821,4470644
2009-03-05,28.88,29.3,27.32,27.66,15.8905,3918755
2009-03-06,27.67,28.13,25.86,27.27,15.6666,4576885
