Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,24.83,25.3,24.15,25.24,35.7168,851806
2009-01-05,24.83,25.45,24.8,24.89,35.2209,1342676
2009-01-06,25,26.23,24.71,25.94,36.7081,2106276
2009-01-07,25.86,26.24,25.54,25.9,36.6506,1976691
2009-01-08,25.88,26.32,25.62,26.13,36.9759,1102936
2009-01-09,26.19,26.31,25.85,26.05,36.8638,1114103
2009-01-12,26.1,26.22,25.52,25.8,36.5089,869264
2009-01-13,25.48,25.99,25.33,25.8,36.5089,1241078
2009-01-14,25.36,25.36,24.55,24.64,34.8678,947045
2009-01-15,24.56,24.67,23.98,24.28,34.3584,1642908
2009-01-16,24.92,25.26,24.38,24.58,34.7828,3208287
2009-01-20,24.57,24.7,23.51,23.61,33.4098,1611760
2009-01-21,25.15,25.31,23.62,24.9,35.236,1726699
2009-01-22,24.64,25.11,24.01,24.59,34.7968,1647829
2009-01-23,24.01,24.4,23.37,24.13,34.147,2105658
2009-01-26,24.45,24.48,23.41,23.64,33.4522,1346454
2009-01-27,23.88,24.3,23.51,24.17,34.2029,1500031
2009-01-28,24.95,25.57,24.62,25.52,36.1131,1690271
2009-01-29,25.12,25.19,24.82,24.98,35.3486,1389877
2009-01-30,25.07,25.42,24.57,24.76,35.0376,2432379
2009-02-02,24.32,24.69,24,24.54,34.7264,1287886
2009-02-03,24.61,25,24.2,24.87,35.1936,1156865
2009-02-04,24.47,24.5,22.24,22.45,31.7687,5109639
2009-02-05,22.58,23.01,22.21,22.42,31.7264,2059933
2009-02-06,22.64,23.56,22.6,23.06,32.6318,2840155
2009-02-09,23.01,23.07,22.56,22.75,32.1939,1409902
2009-02-10,22.36,22.64,21.71,21.79,30.835,2346237
2009-02-11,22.17,22.55,21.98,22.37,31.6554,2329908
2009-02-12,24.39,26,23.49,25.91,36.6646,5273231
2009-02-13,25.63,26.24,24.75,24.98,35.3486,1979296
2009-02-17,24.43,24.76,23.8,23.97,33.92,1597373
2009-02-18,24.59,24.68,23.87,24.15,34.1746,1501389
2009-02-19,24.24,24.65,23.14,23.18,32.8013,1879367
2009-02-20,22.67,23.19,22.38,22.63,32.0244,3269639
2009-02-23,23.24,23.33,21.48,21.55,30.4951,970709
2009-02-24,21.62,22.69,21.35,22.68,32.0943,2371034
2009-02-25,22.53,22.92,21.87,22.44,31.7544,1457178
2009-02-26,22.48,22.82,21.9,22.09,31.2591,1503922
2009-02-27,21.45,22.17,21.31,21.89,30.9764,1674670
2009-03-02,21.22,21.78,20.81,20.97,29.6744,1880619
2009-03-03,21.44,22.08,19.32,19.63,27.7783,3186670
2009-03-04,20.25,20.26,19.44,19.7,27.8768,2806058
2009-03-05,19.83,20.45,19.6,19.81,28.0326,2832409
2009-03-06,19.7,20.17,19.26,19.39,27.4381,2696819
2009-03-09,19.25,19.27,18.52,18.83,26.6461,2379368
2009-03-10,19.14,19.87,18.65,19.83,28.0612,1896011
2009-03-11,19.96,20,18.85,19.85,28.089,1309681
2009-03-12,20.09,20.81,19.19,20.65,29.2225,1491155
2009-03-13,20.95,21.57,20.657,21.38,30.254,1005734
2009-03-16,21.59,21.75,20.92,21.05,29.7873,1246176
2009-03-17,21.34,22.17,20.88,22.16,31.3584,927756
2009-03-18,21.65,22.86,21.57,22.84,32.3205,1030434
2009-03-19,23,23.02,22.01,22.29,31.5423,1153081
2009-03-20,22.45,22.8,22.17,22.18,31.3862,721303
2009-03-23,22.38,23.5,22.31,23.47,33.2117,1087319
2009-03-24,22.64,23.44,22.24,22.61,31.9947,1296829
2009-03-25,23.05,23.17,22.07,22.94,32.4623,1063904
2009-03-26,22.96,23.26,22.61,23.2,32.8307,883569
2009-03-27,22.53,22.71,22,22.35,32.5947,933024
