Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,33.1,33.96,32.73,33.78,23.9579,3451404
2009-01-05,33.7,33.98,33.38,33.57,23.809,3217727
2009-01-06,33.83,33.99,32.88,33.08,23.4617,3423473
2009-01-07,32.91,33.06,32.42,32.57,23.1,4711860
2009-01-08,32.37,33.26,32.12,33.18,23.5327,3163908
2009-01-09,33.37,33.66,32.62,32.73,23.2134,3080834
2009-01-12,32.72,32.75,32.17,32.54,23.0786,2892555
2009-01-13,32.5,32.53,32.04,32.32,22.9226,3669160
2009-01-14,32,32.14,31.01,31.43,22.2915,4011003
2009-01-15,30.65,32.41,30.5,32.39,22.9723,5364160
2009-01-16,32.78,32.78,31.68,32.39,22.9723,6339154
2009-01-20,32.01,32.47,31.42,31.54,22.3694,4018799
2009-01-21,31.92,32.75,31.42,32.64,23.1498,4354693
2009-01-22,32.23,32.77,31.24,32.57,23.1,4275950
2009-01-23,32.01,32.63,31.56,32.08,22.7522,3906643
2009-01-26,32.1,33.07,32,32.58,23.107,3791664
2009-01-27,32.81,33,32.43,32.74,23.2204,3320632
2009-01-28,33.24,33.4,32.51,32.84,23.2916,3797253
2009-01-29,32.66,32.785,31.644,31.81,22.5609,4323078
2009-01-30,32.06,32.1,31,31.19,22.121,4091142
2009-02-02,30.88,31.16,29.9,30.26,21.4618,5782131
2009-02-03,30.5,30.75,29.8,30.64,21.7312,4219512
2009-02-04,30.83,31.15,29.9,30,21.2772,4782497
2009-02-05,29.8,30.02,29.14,29.48,20.9084,6078356
2009-02-06,29.43,29.88,29.31,29.75,21.1,4393638
2009-02-09,29.68,30.02,29,29.5,20.9227,4466924
2009-02-10,29.31,29.5,28.29,28.3,20.0713,5109196
2009-02-11,28.5,29.03,28.32,28.45,20.1778,4651684
2009-02-12,29.61,29.61,27.6,29.26,20.7522,7120937
2009-02-13,28.96,29.7,28.93,29.3,20.7806,4481033
2009-02-17,28.59,29.15,27.84,28.63,20.3055,5140260
2009-02-18,28.63,29.03,28.4,28.54,20.2415,4861229
2009-02-19,28.73,28.92,28.31,28.4,20.1424,3088486
2009-02-20,28.01,28.81,28,28.57,20.2632,5185672
2009-02-23,28.84,28.93,27.45,27.54,19.5326,5316662
2009-02-24,27.72,28.54,27.21,28.41,20.1495,6275270
2009-02-25,28.41,28.7,27.72,27.97,19.8376,4387267
2009-02-26,28.2,28.27,27.348,27.39,19.4263,3501036
2009-02-27,27.14,27.31,26.08,27,19.1494,7557190
2009-03-02,26.48,26.83,25.79,25.81,18.3056,6955253
2009-03-03,25.5,26.29,25,25.27,17.9225,6899106
2009-03-04,25.525,25.72,24.5,24.61,17.4543,7635842
2009-03-05,24.14,24.27,23.22,23.4,16.7944,6562666
2009-03-06,23.58,24.17,22.82,23.26,16.6935,5928967
2009-03-09,23.07,23.25,22.1,22.23,15.9545,6210837
2009-03-10,22.4,23.07,22.29,22.85,16.3995,6985552
2009-03-11,23.05,23.72,22.72,23.38,16.7798,5035047
