Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,14.53,15.4,14.5,15.23,7.7077,5823604
2009-01-05,15.26,16.1,15,15.6,7.8949,8095224
2009-01-06,16.31,16.87,15.9,16.31,8.2544,11847042
2009-01-07,16.08,16.4,15.61,15.87,8.0314,7358109
2009-01-08,15.73,16.13,15.47,16.12,8.1583,7238035
2009-01-09,16.31,16.46,15.66,15.84,8.0164,7596834
2009-01-12,15.61,16.15,14.7575,15.08,7.6321,11034899
2009-01-13,15.05,15.38,14.73,15.19,7.6875,8367249
2009-01-14,14.89,15,13.97,14.37,7.2725,8827916
2009-01-15,14.34,14.4,13.55,14.19,7.1813,11554026
2009-01-16,14.39,14.68,13.39,14,7.0853,10944055
2009-01-20,13.94,14.01,12.88,12.93,6.5439,9578043
2009-01-21,13.12,13.96,13.1,13.91,7.0398,13424891
2009-01-22,13.59,13.72,12.9,13.24,6.7005,11847589
2009-01-23,12.65,13.95,12.64,13.71,6.9384,11166544
2009-01-26,13.92,14.3,13.42,13.69,6.9283,6816859
2009-01-27,13.6,14.14,13.47,14.01,7.0903,13064155
2009-01-28,14.21,14.9,14.21,14.82,7.5004,11884025
2009-01-29,14.53,14.65,14.105,14.23,7.2016,6497244
2009-01-30,14.37,14.61,14.01,14.15,7.1613,10871263
2009-02-02,13.87,14.08,13.45,13.63,6.8978,8089725
2009-02-03,13.73,14.02,13.64,13.87,7.0194,8948574
2009-02-04,13.83,14.42,13.7,14.27,7.2219,11504261
2009-02-05,14.2,15.17,13.98,14.98,7.5816,12547112
2009-02-06,14.75,16,14.74,15.76,7.976,10762745
2009-02-09,15.8,16,15.41,15.62,7.9053,7637733
2009-02-10,15.57,15.93,14.78,15.01,7.5963,9485328
2009-02-11,15.17,15.44,14.7,15.14,7.6623,8088015
2009-02-12,15.01,15.25,14.48,15.2,7.6925,10406214
2009-02-13,15.15,15.69,15,15.36,7.7737,6887067
2009-02-17,14.67,15.09,14.13,14.16,7.1663,8789647
2009-02-18,14.29,14.46,13.53,13.85,7.0093,9053728
2009-02-19,13.88,14.24,12.38,12.5,6.326,21385671
2009-02-20,12.17,12.45,10.97,11.59,5.8657,25128457
2009-02-23,11.8,11.94,10.82,10.86,5.4962,19619275
2009-02-24,11.01,11.87,10.9,11.79,5.9669,18999944
2009-02-25,11.65,12.29,11.29,11.97,6.0579,17262022
2009-02-26,12.2,12.51,11.61,11.62,5.8808,9902854
2009-02-27,11.39,11.83,10.91,11.3,5.7188,8930939
2009-03-02,10.86,11.16,9.98,10.01,5.066,19563450
2009-03-03,10.2,10.29,9.59,10.06,5.0912,19609429
2009-03-04,10.29,10.73,10.12,10.43,5.2786,11103082
2009-03-05,10.1,10.3,9.67,9.84,4.9798,9528482
2009-03-06,9.97,10.35,9.52,9.83,4.9749,10738162
2009-03-09,9.69,10.53,9.64,10,5.0608,8745110
2009-03-10,10.14,11.1925,10.1,10.96,5.5466,12154702
2009-03-11,10.94,11.41,10.58,10.85,5.5466,7690289
2009-03-12,10.81,11.285,10.67,11.22,5.736,9302493
2009-03-13,11.35,11.38,10.72,10.97,5.608,14163760
2009-03-16,11.1,11.65,10.97,11.15,5.7003,6557676
2009-03-17,11.14,11.63,10.91,11.39,5.8231,9055404
2009-03-18,11.36,11.63,10.945,11.53,5.8944,9884715
2009-03-19,11.82,12.425,11.68,12.11,6.191,11791955
2009-03-20,12.31,12.32,11.6699,11.74,6.0017,12173547
2009-03-23,12.09,12.86,11.87,12.85,6.5692,12397314
2009-03-24,12.63,12.65,11.87,11.88,6.0732,11407790
2009-03-25,12.14,12.48,11.6,12.06,6.1654,12651490
2009-03-26,12.25,12.56,11.78,12.05,6.1602,18882601
2009-03-27,11.81,11.98,11.5,11.55,5.9047,6982260
2009-03-30,11.31,11.37,10.83,11.07,5.6592,7291063
2009-03-31,11.48,11.715,11.21,11.38,5.8177,9751029
2009-04-01,11.9,11.94,11.302,11.53,5.8944,8187539
2009-04-02,11.81,12.4,11.76,12.18,6.2267,9468762
2009-04-03,12.17,12.6,12.12,12.48,6.3802,6327335
2009-04-06,12.31,12.4,12,12.14,6.2062,6086751
2009-04-07,11.87,11.905,11.52,11.57,5.9149,6662302
2009-04-08,11.61,12.54,11.32,12.34,6.3085,9828289
2009-04-09,12.8,13.06,12.54,12.87,6.5793,12873206
2009-04-13,12.68,12.83,12.32,12.78,6.5333,8834529
2009-04-14,12.68,13.29,12.41,12.87,6.5793,8481508
2009-04-15,12.8,13.07,12.68,12.98,6.6357,5580410
2009-04-16,13.12,13.39,12.8699,13.28,6.7891,6005212
2009-04-17,13.33,14.11,13.33,13.97,7.142,9131809
2009-04-20,13.66,13.71,12.67,12.69,6.4876,8096463
2009-04-21,12.57,13.49,12.345,13.31,6.8044,8527968
2009-04-22,13.16,13.56,12.89,13.22,6.7582,9064184
2009-04-23,13.32,13.58,12.93,13.38,6.8402,8004120
2009-04-24,13.49,13.93,13.36,13.77,7.0396,7048558
2009-04-27,13.47,13.75,13.2,13.42,6.8606,5866520
2009-04-28,13.25,13.33,12.95,13.14,6.7177,5946948
2009-04-29,13.27,13.77,13.26,13.62,6.9628,8687701
2009-04-30,13.75,14.61,13.75,14.1,7.2082,10911989
2009-05-01,14.16,14.7,14.02,14.45,7.3872,6167099
2009-05-04,14.7,15.17,14.22,15.17,7.7554,6371769
2009-05-05,15.14,15.26,14.15,14.74,7.5355,9373458
2009-05-06,15.05,15.6101,14.82,15.3,7.8217,7411492
2009-05-07,15.67,15.95,15.01,15.26,7.8015,8285096
2009-05-08,15.64,16.31,15.51,16.16,8.2613,9708310
2009-05-11,15.88,15.88,15.429,15.47,7.9084,5962230
2009-05-12,15.64,15.74,14.76,15.32,7.8318,7775730
2009-05-13,15.1,15.37,14.73,14.93,7.6327,8758950
2009-05-14,14.93,15.55,14.81,15.46,7.9033,8634668
2009-05-15,15.31,15.76,14.8375,15.05,7.6939,8419671
2009-05-18,15.21,15.93,15.12,15.91,8.1334,5190231
2009-05-19,16.03,16.28,15.82,16.01,8.1846,4586766
2009-05-20,16.35,16.89,16.13,16.21,8.287,5743523
2009-05-21,16.01,16.01,15.4695,15.62,7.9851,4991673
2009-05-22,15.69,16.21,15.62,15.82,8.0872,4788721
2009-05-26,15.68,16.26,15.43,16.24,8.3022,5252625
2009-05-27,16.12,16.33,15.48,15.51,7.929,8890242
2009-05-28,15.56,16.44,15.51,16.25,8.3073,6183780
2009-05-29,16.3,16.9,16.262,16.78,8.5783,7177390
2009-06-01,17.17,17.99,17.14,17.82,9.1098,7338953
2009-06-02,17.85,17.85,17.34,17.56,8.977,4984697
2009-06-03,17.26,17.69,16.66,16.9,8.6398,5113400
2009-06-04,17.13,17.47,16.84,17.3,8.8441,5378848
2009-06-05,17.4,17.64,16.84,17.05,8.7164,6382690
2009-06-08,17.02,17.2,16.71,17.01,8.6959,4562603
2009-06-09,17.17,17.3,16.79,16.96,8.6704,5482254
2009-06-10,17.13,17.25,16.67,17.05,8.7732,5651003
2009-06-11,17.06,17.93,17.05,17.64,9.077,6200046
2009-06-12,17.47,17.57,17.2,17.31,8.9073,5026146
2009-06-15,17.01,17.16,16.45,16.69,8.588,4855322
2009-06-16,16.87,16.95,16.06,16.2,8.3359,6115749
2009-06-17,16.1,16.12,15.38,15.77,8.1147,7145224
2009-06-18,15.69,16.04,15.52,15.88,8.1712,4948186
2009-06-19,16.11,16.1996,15.3,15.47,7.9603,8689378
2009-06-22,15.21,15.25,14.48,14.5,7.4611,6648231
2009-06-23,14.63,14.988,14.35,14.68,7.5537,6985518
2009-06-24,14.79,15.27,14.71,14.91,7.6721,5683977
2009-06-25,14.88,15.7,14.77,15.57,8.0117,5902050
2009-06-26,15.51,15.61,15.17,15.28,7.8624,11174831
2009-06-29,15.32,15.79,15.3,15.64,8.0477,6310418
2009-06-30,15.6,15.92,15.28,15.61,8.0322,4975874
2009-07-01,15.77,15.93,15.35,15.38,7.9138,6161976
2009-07-02,15.16,15.16,14.63,14.63,7.5279,4455178
2009-07-06,14.29,14.58,13.9,14.57,7.497,6160623
2009-07-07,14.55,14.55,13.78,13.83,7.1163,7632239
2009-07-08,13.62,14.21,13.59,13.87,7.1369,8099397
2009-07-09,14.01,14.61,13.82,14.3,7.3582,8185899
2009-07-10,14.09,14.42,13.82,14.28,7.348,6309328
2009-07-13,14.28,14.54,14.06,14.5,7.4611,10336859
2009-07-14,14.71,14.89,14.32,14.69,7.5589,8903732
2009-07-15,14.97,15.42,14.96,15.27,7.8574,7661724
2009-07-16,15.04,15.78,15,15.71,8.0838,4854307
2009-07-17,15.67,15.8,15.38,15.68,8.0684,5288730
2009-07-20,15.81,16.15,15.77,16.08,8.2742,4219755
2009-07-21,16.23,16.46,15.66,16.18,8.3256,5288285
2009-07-22,15.93,16.07,15.68,15.83,8.1454,5597638
2009-07-23,15.85,16.63,15.85,16.36,8.4183,7400166
2009-07-24,16.29,16.56,16.1,16.52,8.5004,3875231
2009-07-27,16.53,17.03,16.45,16.91,8.7012,5746038
2009-07-28,16.76,16.76,16.18,16.61,8.5466,4558346
2009-07-29,16.33,16.49,16.02,16.27,8.3717,4826302
2009-07-30,16.6,16.92,16.36,16.72,8.6032,3850842
2009-07-31,16.63,16.88,16.28,16.69,8.588,4512159
2009-08-03,17.07,17.53,16.93,17.36,8.9326,6365006
2009-08-04,17.22,17.495,17.06,17.41,8.9587,5633206
2009-08-05,17.36,17.45,16.85,17.03,8.7628,7392215
2009-08-06,17.05,17.24,16.09,16.36,8.4183,6711085
2009-08-07,16.61,17,16.38,16.93,8.7115,5623558
2009-08-10,16.06,17.32,16.06,17.23,8.8659,5387694
2009-08-11,17.24,17.26,16.73,16.78,8.6345,4759209
2009-08-12,16.87,17.3,16.83,17.17,8.8349,3898924
2009-08-13,17.3,17.4,16.96,17.18,8.8402,3810433
2009-08-14,17.18,17.25,16.59,16.83,8.6602,3766452
2009-08-17,16.45,16.59,16.09,16.12,8.2947,5353992
2009-08-18,16.16,16.38,16.09,16.31,8.3924,5522958
2009-08-19,16.16,16.68,16.01,16.59,8.5367,6165880
2009-08-20,16.56,16.98,16.5,16.96,8.7271,4474717
2009-08-21,17.15,17.4,17.1,17.38,8.943,4253057
2009-08-24,17.51,17.7,17.25,17.42,8.9638,4075447
2009-08-25,17.44,17.78,17.25,17.35,8.9275,5161567
2009-08-26,17.24,17.43,16.9,17.27,8.9432,3402287
2009-08-27,17.21,17.21,16.69,17.06,8.8346,4131273
2009-08-28,17.1,17.31,16.73,16.8,8.6998,4888320
2009-08-31,16.55,16.79,16.3,16.44,8.5134,5775728
2009-09-01,16.42,16.69,16.07,16.11,8.3426,5589214
2009-09-02,16.02,16.28,15.81,16.15,8.3631,9971300
2009-09-03,16.17,16.53,16.16,16.39,8.4875,5534171
2009-09-04,16.5,16.75,16.28,16.75,8.6738,2815323
2009-09-08,17.07,17.31,16.87,17.3,8.9588,5007316
2009-09-09,17.31,17.56,17.02,17.12,8.8655,5358007
2009-09-10,17.29,17.82,16.91,17.67,9.1502,5576495
2009-09-11,17.78,18.23,17.72,18.2,9.4249,6803699
2009-09-14,18.02,18.47,17.92,18.3,9.4765,9500927
2009-09-15,18.44,18.87,18.35,18.73,9.6992,7927948
2009-09-16,18.9,19.11,18.64,18.82,9.746,6391320
2009-09-17,19.08,19.21,18.46,18.56,9.6111,6412524
2009-09-18,18.66,18.74,18.15,18.37,9.5127,5672200
2009-09-21,18.06,18.52,17.88,18.42,9.5387,4312738
2009-09-22,18.68,19.02,18.66,18.98,9.8285,4575337
2009-09-23,19.03,19.09,18.39,18.4,9.5282,5205036
2009-09-24,18.49,18.5,17.87,17.99,9.3162,4752054
2009-09-25,17.88,18.22,17.66,17.73,9.1814,4677742
2009-09-28,17.83,18.11,17.63,18,9.3209,4461378
2009-09-29,17.95,18.37,17.86,18.17,9.4091,4667837
2009-09-30,18.27,18.35,17.64,17.87,9.2539,8962953
2009-10-01,17.82,17.96,16.86,16.89,8.7464,10963320
2009-10-02,16.59,17.23,16.57,16.89,8.7464,7663268
2009-10-05,16.88,17.78,16.83,17.65,9.1399,11185853
2009-10-06,17.97,18.47,17.86,18.29,9.4714,7273199
2009-10-07,18.36,18.46,18.14,18.46,9.5595,4919950
2009-10-08,18.5,19.52,18.45,19.42,10.0565,10674907
2009-10-09,19.33,19.53,19.22,19.39,10.0412,4558433
2009-10-12,19.51,19.93,19.4,19.5,10.098,3558420
2009-10-13,19.53,19.77,19.2,19.67,10.186,5477982
2009-10-14,19.8,19.86,19.51,19.77,10.2377,4787380
2009-10-15,19.68,20.25,19.61,20.23,10.4759,6383856
2009-10-16,20.05,20.2,19.77,19.94,10.3257,5833220
2009-10-19,19.83,20.19,19.82,20.12,10.4191,3959254
2009-10-20,20.21,20.21,19.49,19.86,10.2844,5106536
