Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,55.98,57.51,55.78,57.18,43.8601,16054800
2009-01-05,56.96,57.35,55.68,56.52,43.3539,16021300
2009-01-06,56.61,56.8,55.6,56.02,42.9705,19146000
2009-01-07,55.49,56.21,55.06,55.54,42.6022,16782000
2009-01-08,51.31,51.82,50.31,51.38,39.4112,92838800
2009-01-09,51.58,52.41,51.25,51.58,39.5647,28697300
2009-01-12,51.5,52.19,51.16,51.39,39.4192,18435400
2009-01-13,51.59,52.7,51.56,52.12,39.9791,24993400
2009-01-14,51.28,52,51.24,51.56,39.5495,20477000
2009-01-15,51.56,51.84,50.33,51.35,39.3881,28060700
2009-01-16,51.9,52.05,51.01,51.56,39.5495,21674600
2009-01-20,51.41,51.64,50.44,50.56,38.7824,22569400
2009-01-21,50.22,50.32,48.52,49.14,37.6933,39078400
2009-01-22,48.94,49.6,47.77,48.87,37.4858,31114400
2009-01-23,48.09,48.6,48,48.35,37.0869,23091300
2009-01-26,48.64,48.99,48.03,48.6,37.2787,18882400
2009-01-27,48.95,49.3,48.53,48.79,37.4247,16478500
2009-01-28,49.51,49.64,48.51,48.73,37.3786,24663700
2009-01-29,48.56,49.07,47.79,47.86,36.7111,18873100
2009-01-30,48,48.3,46.92,47.12,36.1437,20614700
2009-02-02,46.57,47.02,46.25,46.57,35.7219,20861100
2009-02-03,47.03,48,46.57,47.81,36.673,22551800
2009-02-04,46.89,47.59,46.29,46.42,35.6068,26506100
2009-02-05,47.17,48.98,47.16,48.56,37.2481,33293100
2009-02-06,48.84,50.08,48.53,49.63,38.0691,28297100
2009-02-09,49.56,49.56,48.77,49.28,37.8004,16277300
2009-02-10,49,49.28,47.34,47.72,36.6036,25607600
2009-02-11,47.98,48.52,47.75,48.23,36.9949,17759300
2009-02-12,47.98,48.29,47.03,48.13,36.9185,22392700
2009-02-13,47.75,48.11,46.48,46.53,35.691,25666900
2009-02-17,47.53,48.88,47.3,48.24,37.0029,38919100
2009-02-18,48.94,50,48.52,50,38.3526,47356000
2009-02-19,49.44,50.67,49.44,50.45,38.6979,27311000
2009-02-20,49.99,50.65,49.53,50.02,38.368,29581400
2009-02-23,50.35,50.44,48.79,48.88,37.4936,23619000
2009-02-24,48.78,50.36,48.69,50.01,38.3606,26226300
2009-02-25,48.97,50.06,48.56,49.21,37.7469,25476600
2009-02-26,49.51,49.64,48.14,48.25,37.0103,23169100
2009-02-27,47.87,50,47.58,49.24,37.7699,28161700
2009-03-02,48.81,49.49,47.96,48.04,36.8493,25350800
2009-03-03,48.34,48.57,47,47.38,36.3429,28041800
2009-03-04,47.96,49.2,47.15,48.49,37.1945,31810400
2009-03-05,50.35,51,49.29,49.75,38.161,46265200
2009-03-06,50.15,50.15,48.1,48.91,37.5167,33772800
2009-03-09,48.56,49.11,47.3,47.51,36.443,26508900
2009-03-10,47.61,48.92,47.27,48.67,37.3323,32532500
2009-03-11,48.66,48.81,47.15,47.46,36.6093,26065900
